Date,Open,High,Low,Close,Volume
23-Oct-14,14.64,15.00,14.60,14.60,2320
22-Oct-14,15.00,15.00,15.00,15.00,1276
17-Oct-14,14.50,14.99,14.50,14.95,4445
16-Oct-14,14.21,14.99,14.21,14.99,500
15-Oct-14,14.98,14.99,14.98,14.99,348
14-Oct-14,15.00,15.00,14.51,14.51,1144
13-Oct-14,14.80,15.10,14.80,15.06,657
10-Oct-14,14.75,14.78,14.75,14.78,1087
9-Oct-14,14.41,14.94,14.41,14.80,4047
8-Oct-14,15.03,15.03,15.00,15.00,4204
6-Oct-14,15.00,15.00,15.00,15.00,181
3-Oct-14,15.00,15.00,15.00,15.00,164
2-Oct-14,14.75,15.00,14.75,15.00,1640
1-Oct-14,15.00,15.00,15.00,15.00,139
30-Sep-14,15.00,15.00,15.00,15.00,320
29-Sep-14,14.85,15.00,14.85,15.00,5898
25-Sep-14,15.33,15.33,15.33,15.33,100
24-Sep-14,15.34,15.34,15.34,15.34,202
22-Sep-14,14.99,14.99,14.99,14.99,3768
19-Sep-14,14.71,16.60,14.71,16.60,4819
18-Sep-14,14.98,15.05,14.68,14.95,3525
17-Sep-14,14.75,14.98,14.75,14.98,2992
16-Sep-14,14.75,14.77,14.71,14.75,7134
15-Sep-14,14.69,14.75,14.68,14.75,6755
12-Sep-14,14.75,14.75,14.70,14.70,342
11-Sep-14,14.43,14.43,14.39,14.40,6981
10-Sep-14,14.37,14.54,14.33,14.54,774
9-Sep-14,14.57,14.60,14.35,14.35,3052
8-Sep-14,14.50,14.55,14.50,14.55,388
4-Sep-14,14.43,14.60,14.43,14.59,2040
3-Sep-14,14.39,14.48,14.39,14.48,348
29-Aug-14,14.33,14.50,14.33,14.48,400
28-Aug-14,14.50,14.55,14.35,14.45,7431
27-Aug-14,14.33,14.45,14.33,14.45,5079
26-Aug-14,14.45,14.46,14.25,14.25,8000
25-Aug-14,14.25,14.45,14.25,14.40,1691
22-Aug-14,14.25,14.48,14.22,14.45,9229
21-Aug-14,14.33,14.45,14.31,14.35,3639
20-Aug-14,14.30,14.45,14.28,14.28,10333
18-Aug-14,14.55,14.55,14.34,14.35,2179
15-Aug-14,14.46,14.50,14.46,14.50,1019
14-Aug-14,14.52,14.52,14.50,14.50,5312
13-Aug-14,14.50,14.55,14.45,14.50,3354
12-Aug-14,14.50,14.50,14.25,14.50,18144
11-Aug-14,14.50,14.50,14.50,14.50,2648
8-Aug-14,14.47,14.50,14.47,14.50,734
7-Aug-14,14.50,14.50,14.50,14.50,272
6-Aug-14,14.35,14.50,14.26,14.49,8237
31-Jul-14,14.42,14.55,14.40,14.55,1289
30-Jul-14,14.50,14.50,14.50,14.50,500
28-Jul-14,14.48,14.48,14.45,14.45,257
25-Jul-14,14.45,14.45,14.45,14.45,300
24-Jul-14,14.45,14.45,14.45,14.45,100
23-Jul-14,14.45,14.52,14.45,14.47,536
22-Jul-14,14.45,14.55,14.45,14.45,4796
21-Jul-14,14.45,14.48,14.45,14.47,432
18-Jul-14,14.45,14.45,14.45,14.45,144
17-Jul-14,14.49,14.70,14.49,14.58,3818
16-Jul-14,14.51,14.70,14.50,14.70,1221
15-Jul-14,14.57,14.57,14.56,14.56,400
14-Jul-14,14.70,14.70,14.55,14.60,473
10-Jul-14,14.70,14.70,14.60,14.60,704
9-Jul-14,14.60,14.65,14.60,14.65,206
8-Jul-14,14.65,14.65,14.60,14.60,423
7-Jul-14,14.60,14.70,14.60,14.67,1848
3-Jul-14,14.51,14.70,14.51,14.60,1310
2-Jul-14,14.50,14.52,14.50,14.52,310
1-Jul-14,14.53,14.72,14.50,14.50,1410
30-Jun-14,14.50,14.75,14.49,14.75,2321
27-Jun-14,14.54,14.75,14.50,14.55,8458
26-Jun-14,14.59,14.75,14.53,14.53,3223
25-Jun-14,14.54,14.59,14.52,14.59,300
24-Jun-14,14.60,14.75,14.51,14.75,2427
23-Jun-14,14.51,14.51,14.50,14.50,919
20-Jun-14,14.45,14.75,14.45,14.75,5410
19-Jun-14,14.60,14.60,14.45,14.45,1501
18-Jun-14,14.45,14.45,14.45,14.45,902
17-Jun-14,14.45,14.50,14.45,14.50,8585
16-Jun-14,14.58,14.58,14.45,14.45,941
12-Jun-14,14.45,14.46,14.45,14.45,800
11-Jun-14,14.45,14.45,14.45,14.45,100
10-Jun-14,14.47,14.47,14.45,14.45,800
9-Jun-14,14.46,14.50,14.45,14.50,3119
5-Jun-14,14.41,14.45,14.40,14.45,5698
4-Jun-14,14.40,14.40,14.40,14.40,100
3-Jun-14,14.30,14.34,14.30,14.31,1100
2-Jun-14,14.25,14.55,14.25,14.40,40720
30-May-14,14.25,14.35,14.20,14.35,13127
29-May-14,14.25,14.26,14.24,14.26,5026
28-May-14,14.25,14.25,14.20,14.25,4654
27-May-14,14.25,14.30,14.20,14.25,4710
23-May-14,14.20,14.20,14.20,14.20,800
22-May-14,14.25,14.25,14.20,14.20,1546
21-May-14,14.25,14.25,14.20,14.20,1100
20-May-14,14.25,14.25,14.20,14.25,2601
19-May-14,14.25,14.30,14.25,14.30,5442
16-May-14,14.10,14.12,14.10,14.12,1336
15-May-14,14.31,14.31,14.28,14.28,9152
14-May-14,14.30,14.30,14.30,14.30,500
13-May-14,14.18,14.20,14.17,14.20,1634
12-May-14,14.05,14.05,14.05,14.05,2075
9-May-14,14.20,14.24,14.15,14.15,2862
8-May-14,14.35,14.35,14.25,14.25,1715
7-May-14,14.28,14.35,14.28,14.33,1738
6-May-14,14.13,14.45,14.13,14.30,1530
5-May-14,14.51,14.52,14.30,14.30,3064
2-May-14,14.55,14.55,14.48,14.48,1041
1-May-14,14.50,14.55,14.15,14.47,3238
29-Apr-14,14.72,14.75,14.14,14.36,3408
25-Apr-14,14.39,14.43,14.39,14.41,804
24-Apr-14,14.72,14.75,14.45,14.45,1831
23-Apr-14,14.75,14.75,14.47,14.47,686
22-Apr-14,14.72,14.75,14.72,14.75,2823
21-Apr-14,14.78,14.78,14.65,14.73,1208
17-Apr-14,14.58,14.58,14.58,14.58,340
16-Apr-14,14.58,14.58,14.58,14.58,100
15-Apr-14,14.45,14.51,14.45,14.50,5488
14-Apr-14,14.40,14.49,14.40,14.49,815
11-Apr-14,14.05,14.49,14.05,14.49,9224
10-Apr-14,14.05,14.06,14.05,14.05,3225
9-Apr-14,14.11,14.11,14.05,14.05,1500
8-Apr-14,14.09,14.10,14.05,14.05,3410
7-Apr-14,14.08,14.08,14.05,14.05,1000
4-Apr-14,14.50,14.50,14.05,14.08,4800
3-Apr-14,14.27,14.40,14.27,14.40,2816
2-Apr-14,14.23,14.27,14.22,14.27,10306
1-Apr-14,14.18,14.23,14.18,14.23,4687
31-Mar-14,14.01,14.20,13.95,14.20,10699
25-Mar-14,13.97,14.05,13.95,14.05,4839
24-Mar-14,14.24,14.24,13.85,13.85,9113
21-Mar-14,14.02,14.02,14.02,14.02,368
19-Mar-14,14.00,14.24,14.00,14.24,626
17-Mar-14,13.85,14.07,13.85,14.07,1985
14-Mar-14,14.25,14.26,14.18,14.18,2066
13-Mar-14,14.04,14.04,14.00,14.00,3044
12-Mar-14,14.00,14.00,14.00,14.00,295
10-Mar-14,14.01,14.01,14.01,14.01,194
6-Mar-14,14.25,14.25,14.05,14.20,2745
5-Mar-14,14.25,14.25,14.25,14.25,600
4-Mar-14,14.19,14.24,14.18,14.24,1690
28-Feb-14,13.77,14.00,13.77,14.00,6302
27-Feb-14,13.87,13.88,13.83,13.83,5585
26-Feb-14,13.75,13.87,13.75,13.87,3500
25-Feb-14,13.62,13.93,13.62,13.83,1400
24-Feb-14,14.05,14.05,12.46,13.51,7797
21-Feb-14,14.02,14.02,14.02,14.02,182
20-Feb-14,13.90,13.90,13.90,13.90,223
18-Feb-14,13.90,13.90,13.90,13.90,3017
14-Feb-14,13.90,13.92,13.88,13.90,7243
13-Feb-14,14.01,14.01,14.01,14.01,204
11-Feb-14,13.87,13.91,13.85,13.85,1249
10-Feb-14,13.90,13.90,13.75,13.75,4788
7-Feb-14,13.98,14.05,13.98,14.05,1024
4-Feb-14,13.80,14.00,13.75,13.98,6502
3-Feb-14,13.76,13.81,13.76,13.79,838
31-Jan-14,13.92,14.00,13.92,14.00,1649
30-Jan-14,13.80,13.82,13.75,13.75,1240
29-Jan-14,14.00,14.00,13.98,13.98,742
28-Jan-14,13.98,14.00,13.87,13.87,925
24-Jan-14,13.85,13.85,13.85,13.85,600
23-Jan-14,13.90,13.90,13.85,13.90,2644
22-Jan-14,13.92,13.92,13.90,13.90,577
21-Jan-14,13.95,13.95,13.94,13.95,1504
17-Jan-14,13.90,14.19,13.90,13.95,5838
15-Jan-14,14.05,14.05,14.05,14.05,2676
14-Jan-14,14.22,14.22,14.00,14.00,1300
13-Jan-14,14.05,14.05,14.05,14.05,500
10-Jan-14,14.02,14.02,14.00,14.00,2028
8-Jan-14,14.00,14.00,14.00,14.00,100
7-Jan-14,14.26,14.28,14.15,14.15,4953
3-Jan-14,14.25,14.28,14.25,14.28,9601
2-Jan-14,14.12,14.25,14.12,14.15,9889
31-Dec-13,14.21,14.21,14.01,14.01,229
30-Dec-13,14.16,14.18,13.85,13.86,1473
26-Dec-13,13.86,14.00,13.86,14.00,420
20-Dec-13,14.20,14.22,13.81,13.87,6902
19-Dec-13,14.19,14.19,14.19,14.19,268
18-Dec-13,13.81,13.81,13.81,13.81,385
17-Dec-13,14.19,14.20,14.14,14.14,6252
16-Dec-13,14.27,14.27,14.27,14.27,293
13-Dec-13,14.20,14.21,14.20,14.20,979
10-Dec-13,14.28,14.30,14.28,14.28,1241
9-Dec-13,14.30,14.30,14.30,14.30,6529
6-Dec-13,14.20,14.30,14.20,14.20,2000
5-Dec-13,14.32,14.32,14.25,14.25,2400
3-Dec-13,14.50,14.50,14.21,14.32,2601
2-Dec-13,14.40,14.40,14.20,14.40,1676
29-Nov-13,14.40,14.40,14.39,14.40,551
26-Nov-13,14.36,14.40,14.36,14.39,474
22-Nov-13,14.35,14.37,14.35,14.35,1390
21-Nov-13,14.34,14.50,14.34,14.43,2949
20-Nov-13,14.23,14.25,14.23,14.25,4000
19-Nov-13,14.33,14.34,14.25,14.25,1035
18-Nov-13,14.20,14.34,14.20,14.22,1585
12-Nov-13,14.28,14.28,14.28,14.28,100
11-Nov-13,14.25,14.25,14.20,14.20,1750
8-Nov-13,14.20,14.35,14.20,14.35,595
7-Nov-13,14.35,14.35,14.20,14.20,3944
6-Nov-13,14.08,14.35,14.08,14.35,3762
5-Nov-13,14.10,14.10,14.09,14.10,1261
4-Nov-13,14.20,14.20,13.93,13.93,4110
1-Nov-13,14.25,14.25,14.25,14.25,1100
31-Oct-13,14.22,14.22,14.21,14.21,1000
30-Oct-13,14.26,14.26,14.26,14.26,100
29-Oct-13,14.28,14.28,14.25,14.28,1500
28-Oct-13,14.35,14.35,14.35,14.35,2000
25-Oct-13,14.06,14.50,14.06,14.50,1335
24-Oct-13,14.05,14.05,14.05,14.05,4700
23-Oct-13,14.04,14.21,14.04,14.10,19260
22-Oct-13,14.07,14.68,13.85,14.00,41240
21-Oct-13,13.74,14.11,13.74,14.11,700
