Date,Open,High,Low,Close,Volume
23-Oct-14,21.88,22.00,21.81,22.00,50608
22-Oct-14,21.94,22.07,21.60,21.79,39678
21-Oct-14,21.98,22.67,21.63,21.96,75924
20-Oct-14,21.70,22.16,21.50,22.00,53989
17-Oct-14,22.32,22.46,21.54,21.61,28735
16-Oct-14,21.72,22.26,21.65,21.99,43764
15-Oct-14,21.36,21.97,21.36,21.90,38118
14-Oct-14,21.92,22.08,21.36,21.66,49412
13-Oct-14,21.69,22.20,21.53,21.81,35549
10-Oct-14,21.48,22.06,21.35,21.58,31426
9-Oct-14,22.04,22.33,21.62,21.63,49040
8-Oct-14,21.43,22.45,21.36,22.33,30818
7-Oct-14,21.46,21.84,21.33,21.49,44523
6-Oct-14,22.11,22.17,21.48,21.65,43181
3-Oct-14,22.34,22.54,22.12,22.12,32000
2-Oct-14,21.78,22.10,21.58,22.10,39943
1-Oct-14,21.39,21.63,21.36,21.51,63806
30-Sep-14,21.56,21.75,21.42,21.47,69523
29-Sep-14,21.99,22.26,21.40,21.51,39798
26-Sep-14,21.48,22.35,21.48,22.20,34235
25-Sep-14,21.79,21.90,21.40,21.48,46319
24-Sep-14,21.81,22.19,21.61,21.78,43524
23-Sep-14,22.46,22.72,21.72,21.83,30116
22-Sep-14,22.35,22.58,22.26,22.46,37883
19-Sep-14,22.44,22.79,22.37,22.61,53042
18-Sep-14,22.00,22.34,21.97,22.22,23464
17-Sep-14,22.00,22.30,21.65,21.93,26991
16-Sep-14,22.05,22.12,21.91,22.02,35220
15-Sep-14,22.32,22.39,21.87,22.13,32268
12-Sep-14,22.35,22.67,22.14,22.36,42698
11-Sep-14,22.28,22.47,22.12,22.42,34100
10-Sep-14,22.06,22.50,22.06,22.35,30130
9-Sep-14,22.70,22.82,22.00,22.18,43324
8-Sep-14,22.80,22.89,22.39,22.71,33325
5-Sep-14,22.60,22.79,22.38,22.75,24287
4-Sep-14,22.91,23.09,22.64,22.73,49128
3-Sep-14,22.97,23.02,22.67,22.79,29601
2-Sep-14,22.64,23.08,22.50,22.94,51518
29-Aug-14,22.46,22.69,22.16,22.68,24009
28-Aug-14,22.46,22.92,22.28,22.49,42284
27-Aug-14,22.93,23.17,22.51,22.63,42906
26-Aug-14,22.95,23.06,22.76,22.96,37650
25-Aug-14,22.83,23.02,22.51,22.98,39949
22-Aug-14,22.62,22.99,22.62,22.80,22326
21-Aug-14,22.40,22.86,22.31,22.76,29610
20-Aug-14,22.48,22.54,22.24,22.43,28133
19-Aug-14,22.58,22.69,22.36,22.48,32918
18-Aug-14,21.95,22.64,21.95,22.58,45934
15-Aug-14,22.01,22.10,21.54,21.98,36458
14-Aug-14,22.02,22.18,21.80,21.96,30987
13-Aug-14,21.56,22.03,21.34,21.95,44593
12-Aug-14,21.38,21.49,21.10,21.42,35567
11-Aug-14,21.56,22.24,20.91,21.38,99357
8-Aug-14,21.10,21.41,21.10,21.37,31092
7-Aug-14,21.00,21.37,20.83,21.08,27171
6-Aug-14,20.48,21.06,20.47,20.86,50533
5-Aug-14,20.53,20.76,20.26,20.62,40073
4-Aug-14,21.74,21.95,20.40,20.58,75008
1-Aug-14,21.95,21.95,20.40,21.51,109602
31-Jul-14,19.79,20.55,19.60,20.43,93618
30-Jul-14,20.14,20.29,19.81,19.90,24394
29-Jul-14,20.11,20.20,19.85,19.92,18211
28-Jul-14,20.19,20.36,19.86,19.94,29387
25-Jul-14,20.24,20.64,20.08,20.11,130728
24-Jul-14,20.41,20.50,20.19,20.49,47914
23-Jul-14,20.40,20.47,20.11,20.31,29694
22-Jul-14,20.09,20.64,20.09,20.30,22194
21-Jul-14,20.17,20.33,19.91,20.04,53941
18-Jul-14,19.83,20.43,19.83,20.42,20180
17-Jul-14,19.83,20.02,19.70,19.90,33170
16-Jul-14,20.08,20.08,19.85,19.90,32211
15-Jul-14,20.10,20.10,19.89,19.91,34975
14-Jul-14,20.02,20.29,19.91,20.17,30377
11-Jul-14,20.13,20.13,19.89,19.92,16423
10-Jul-14,20.34,20.51,20.17,20.20,28792
9-Jul-14,20.52,20.69,20.29,20.67,36645
8-Jul-14,20.37,20.50,20.16,20.37,69079
7-Jul-14,20.54,20.70,20.27,20.43,33453
3-Jul-14,20.48,20.57,20.31,20.52,12624
2-Jul-14,20.56,20.63,20.26,20.32,49670
1-Jul-14,20.70,20.94,20.56,20.65,40002
30-Jun-14,21.20,21.46,20.48,20.68,37812
27-Jun-14,20.52,21.41,20.52,21.13,65537
26-Jun-14,20.36,20.68,20.21,20.61,44810
25-Jun-14,20.20,20.52,20.10,20.45,30024
24-Jun-14,20.13,20.58,20.06,20.32,49063
23-Jun-14,20.43,20.43,20.16,20.27,37999
20-Jun-14,20.47,20.50,20.32,20.42,51069
19-Jun-14,20.32,20.59,20.17,20.31,33065
18-Jun-14,20.35,20.39,20.05,20.30,34194
17-Jun-14,20.25,20.63,20.08,20.33,46028
16-Jun-14,20.82,21.01,20.10,20.23,38654
13-Jun-14,20.55,20.99,20.55,20.91,38667
12-Jun-14,20.71,20.82,20.30,20.44,25099
11-Jun-14,21.20,21.20,20.42,20.76,31927
10-Jun-14,21.13,21.38,20.88,21.25,19348
9-Jun-14,21.23,21.39,20.06,21.16,23937
6-Jun-14,20.50,21.20,20.50,21.18,28511
5-Jun-14,20.16,20.63,19.96,20.50,37112
4-Jun-14,20.25,20.25,19.95,20.17,44502
3-Jun-14,20.70,20.70,20.17,20.23,33864
2-Jun-14,20.95,21.11,20.59,20.69,31789
