Date,Open,High,Low,Close,Volume
23-Oct-14,42.46,42.92,41.87,42.87,238212
22-Oct-14,42.52,42.85,42.16,42.23,232071
21-Oct-14,42.01,42.95,41.78,42.60,257875
20-Oct-14,42.17,43.00,42.13,42.97,144573
17-Oct-14,42.82,42.82,42.22,42.33,146002
16-Oct-14,41.59,42.39,41.59,42.26,281205
15-Oct-14,41.54,42.41,41.33,42.05,293521
14-Oct-14,42.23,42.76,41.82,41.92,326570
13-Oct-14,41.26,42.29,41.26,41.88,287529
10-Oct-14,40.95,41.71,40.95,41.27,243256
9-Oct-14,40.72,41.27,40.72,40.75,335301
8-Oct-14,40.09,40.89,39.89,40.83,237779
7-Oct-14,40.29,40.59,40.09,40.17,159726
6-Oct-14,40.57,40.89,40.29,40.49,184000
3-Oct-14,40.62,40.82,40.37,40.51,90337
2-Oct-14,40.25,40.75,40.04,40.30,124562
1-Oct-14,40.35,40.62,40.02,40.26,267734
30-Sep-14,40.88,40.99,40.20,40.21,291524
29-Sep-14,40.32,40.84,40.07,40.82,151990
26-Sep-14,40.22,40.67,40.09,40.55,115393
25-Sep-14,40.40,40.53,40.07,40.20,154023
24-Sep-14,40.31,40.74,39.83,40.56,126447
23-Sep-14,40.65,40.98,40.09,40.23,395109
22-Sep-14,40.89,41.33,40.70,40.82,269552
19-Sep-14,40.98,41.46,40.77,41.09,408188
18-Sep-14,41.09,41.41,40.90,40.94,155771
17-Sep-14,41.22,41.48,40.85,41.06,201548
16-Sep-14,40.73,41.49,40.73,41.27,247182
15-Sep-14,40.61,40.92,40.45,40.78,263136
12-Sep-14,41.34,41.68,40.20,40.59,274529
11-Sep-14,41.74,42.17,41.57,41.70,211356
10-Sep-14,42.31,42.39,41.75,41.92,118212
9-Sep-14,42.61,42.70,42.23,42.30,109398
8-Sep-14,42.91,43.01,42.51,42.76,156959
5-Sep-14,42.30,43.20,42.24,42.93,237519
4-Sep-14,42.63,42.80,42.22,42.44,150632
3-Sep-14,43.04,43.11,42.49,42.57,336808
