Date,Open,High,Low,Close,Volume
23-Oct-14,20.78,20.91,20.47,20.68,8089
22-Oct-14,20.62,20.85,20.54,20.74,17374
21-Oct-14,20.50,20.70,20.49,20.70,31440
20-Oct-14,20.36,20.50,20.33,20.50,12560
17-Oct-14,20.49,20.50,20.25,20.40,40179
16-Oct-14,19.86,20.42,19.86,20.38,15770
15-Oct-14,20.12,20.30,19.98,19.98,26563
14-Oct-14,20.15,20.40,20.14,20.30,6572
13-Oct-14,20.21,20.30,20.03,20.19,20593
8-Oct-14,19.91,20.20,19.91,20.20,9236
7-Oct-14,19.96,20.12,19.96,20.02,1600
6-Oct-14,20.35,20.35,20.07,20.08,1108
3-Oct-14,20.25,20.25,20.04,20.24,8874
2-Oct-14,20.05,20.17,20.00,20.15,14980
1-Oct-14,19.84,20.12,19.84,20.00,12351
30-Sep-14,20.12,20.12,19.92,20.00,1100
29-Sep-14,20.30,20.30,19.94,20.05,1100
26-Sep-14,20.15,20.15,20.05,20.15,2170
25-Sep-14,20.21,20.21,19.95,19.95,3632
24-Sep-14,20.29,20.29,20.08,20.16,3831
23-Sep-14,20.21,20.26,20.13,20.13,5532
22-Sep-14,20.38,20.38,20.00,20.24,45911
19-Sep-14,20.35,20.50,20.27,20.50,9649
18-Sep-14,20.37,20.45,20.36,20.40,12493
17-Sep-14,20.13,20.28,20.11,20.28,2211
16-Sep-14,20.33,20.52,20.22,20.22,4467
15-Sep-14,20.39,20.40,20.17,20.37,10824
12-Sep-14,20.58,20.69,20.26,20.43,6347
11-Sep-14,20.32,21.00,20.32,20.37,5370
10-Sep-14,20.09,20.32,20.08,20.08,12354
9-Sep-14,20.11,20.21,20.07,20.16,1305
8-Sep-14,20.15,20.20,20.10,20.17,6001
5-Sep-14,20.19,20.20,20.02,20.10,22982
4-Sep-14,20.07,20.22,20.07,20.22,34661
3-Sep-14,20.16,20.20,20.08,20.15,54838
2-Sep-14,20.05,20.18,20.05,20.17,17646
29-Aug-14,20.04,20.12,20.00,20.07,3822
28-Aug-14,20.10,20.18,20.02,20.10,5121
27-Aug-14,20.14,20.20,20.14,20.20,3379
26-Aug-14,20.19,20.20,20.12,20.15,417221
25-Aug-14,20.06,20.19,20.02,20.12,2654
22-Aug-14,19.92,20.15,19.92,20.06,8789
21-Aug-14,19.91,20.00,19.82,19.98,15927
20-Aug-14,19.94,19.94,19.88,19.88,3821
19-Aug-14,19.95,20.00,19.89,19.99,13736
18-Aug-14,19.60,20.00,19.60,20.00,35168
15-Aug-14,19.69,19.77,19.66,19.72,25045
14-Aug-14,19.69,19.70,19.64,19.70,37551
13-Aug-14,19.61,19.70,19.59,19.69,33424
12-Aug-14,19.53,19.69,19.53,19.66,42594
11-Aug-14,19.45,19.67,19.45,19.64,173459
8-Aug-14,19.56,19.56,19.43,19.52,147930
7-Aug-14,19.65,19.70,19.50,19.54,268523
6-Aug-14,19.85,19.93,19.51,19.65,1099173
5-Aug-14,18.23,18.31,17.89,18.16,6593
4-Aug-14,18.20,18.25,18.01,18.22,6025
1-Aug-14,18.01,18.72,18.00,18.20,8860
31-Jul-14,18.29,18.30,17.82,18.27,6037
30-Jul-14,18.24,18.32,18.12,18.32,17467
29-Jul-14,18.14,18.33,18.13,18.25,12396
28-Jul-14,18.25,18.34,18.18,18.30,20344
25-Jul-14,18.26,18.37,18.13,18.37,5195
24-Jul-14,18.26,18.51,18.22,18.27,6243
23-Jul-14,18.26,18.40,18.23,18.30,6240
22-Jul-14,18.26,18.66,18.17,18.49,6777
21-Jul-14,18.27,18.64,18.25,18.28,7032
18-Jul-14,18.22,18.44,18.11,18.25,15209
17-Jul-14,18.36,18.42,18.20,18.29,19849
16-Jul-14,18.42,18.42,18.42,18.42,403
15-Jul-14,18.49,18.59,18.20,18.20,1069
