Date,Open,High,Low,Close,Volume
23-Oct-14,13.22,13.22,12.68,12.68,54132
22-Oct-14,13.25,13.39,13.20,13.20,1237
21-Oct-14,13.28,13.28,13.20,13.20,1646
20-Oct-14,13.20,13.29,13.20,13.21,1857
17-Oct-14,13.30,13.42,13.11,13.11,3920
16-Oct-14,13.20,13.32,13.20,13.25,2020
15-Oct-14,13.24,13.45,13.20,13.24,7076
14-Oct-14,13.28,13.28,13.24,13.24,2580
9-Oct-14,13.20,13.20,13.20,13.20,1200
7-Oct-14,13.20,13.22,13.20,13.22,200
6-Oct-14,13.35,13.35,13.20,13.25,3634
3-Oct-14,13.36,13.36,13.20,13.35,547
2-Oct-14,13.24,13.35,13.20,13.35,1906
1-Oct-14,13.24,13.39,13.24,13.24,1104
30-Sep-14,13.24,13.35,13.24,13.24,1550
29-Sep-14,13.30,13.40,13.26,13.26,4430
26-Sep-14,13.25,13.54,13.24,13.54,681
25-Sep-14,13.24,13.34,13.24,13.34,488
24-Sep-14,13.22,13.24,13.11,13.24,16212
23-Sep-14,13.34,13.35,13.22,13.22,6039
22-Sep-14,13.40,13.40,13.31,13.40,3567
19-Sep-14,13.34,13.56,13.34,13.40,3962
18-Sep-14,13.36,13.43,13.20,13.31,63413
17-Sep-14,13.46,13.50,13.20,13.40,11482
16-Sep-14,13.46,13.46,13.46,13.46,208
15-Sep-14,13.46,13.46,13.46,13.46,555
12-Sep-14,13.43,13.46,13.43,13.46,351
11-Sep-14,13.43,13.57,13.43,13.43,1019
10-Sep-14,13.57,13.57,13.41,13.45,1011
9-Sep-14,13.40,13.48,13.40,13.41,5703
8-Sep-14,13.52,13.52,13.40,13.40,2183
5-Sep-14,13.42,13.42,13.40,13.40,1050
4-Sep-14,13.41,13.56,13.39,13.56,2349
3-Sep-14,13.41,13.49,13.40,13.42,1948
29-Aug-14,13.31,13.31,13.31,13.31,894
28-Aug-14,13.33,13.33,13.33,13.33,200
27-Aug-14,13.33,13.33,13.33,13.33,560
26-Aug-14,13.31,13.31,13.30,13.31,3130
25-Aug-14,13.26,13.28,13.26,13.26,1150
22-Aug-14,13.49,13.49,13.47,13.47,400
21-Aug-14,13.20,13.30,13.19,13.30,13591
20-Aug-14,13.24,13.25,13.24,13.25,504
19-Aug-14,13.05,13.29,13.03,13.29,5461
18-Aug-14,12.97,13.22,12.97,13.00,2378
15-Aug-14,12.91,12.91,12.86,12.86,1688
14-Aug-14,12.99,12.99,12.99,12.99,1000
13-Aug-14,13.29,13.30,13.08,13.08,2037
12-Aug-14,13.07,13.07,12.99,12.99,3370
8-Aug-14,13.03,13.10,13.03,13.10,450
7-Aug-14,13.10,13.10,13.05,13.05,4100
5-Aug-14,13.11,13.11,13.10,13.11,969
4-Aug-14,13.20,13.20,13.16,13.16,1664
1-Aug-14,13.16,13.20,13.16,13.16,1982
