Date,Open,High,Low,Close,Volume
23-Oct-14,13.96,14.06,13.52,13.65,138192
22-Oct-14,13.86,14.02,13.86,14.00,38323
21-Oct-14,13.88,13.95,13.78,13.86,57734
20-Oct-14,13.87,13.95,13.52,13.76,85380
17-Oct-14,14.05,14.06,13.75,13.88,90204
16-Oct-14,13.43,13.92,13.30,13.86,73010
15-Oct-14,13.48,13.48,13.25,13.48,139020
14-Oct-14,13.58,13.74,13.34,13.48,115599
13-Oct-14,13.85,13.93,13.51,13.58,100676
10-Oct-14,13.84,13.89,13.77,13.80,96720
9-Oct-14,13.91,14.02,13.78,13.93,88717
8-Oct-14,13.81,13.98,13.80,13.98,61394
7-Oct-14,13.95,13.99,13.81,13.85,44715
6-Oct-14,13.95,13.99,13.85,13.94,50996
3-Oct-14,13.89,13.96,13.80,13.87,63739
2-Oct-14,13.89,13.89,13.76,13.84,79835
1-Oct-14,13.86,13.86,13.76,13.83,70000
30-Sep-14,13.89,14.08,13.74,13.78,227781
29-Sep-14,13.91,14.04,13.91,13.99,55333
26-Sep-14,13.98,14.12,13.92,13.99,31491
25-Sep-14,14.17,14.19,13.91,13.93,64100
24-Sep-14,14.19,14.38,14.05,14.11,50136
23-Sep-14,14.16,14.40,14.05,14.23,47806
22-Sep-14,14.19,14.21,14.04,14.15,53924
19-Sep-14,14.35,14.35,14.07,14.08,98698
18-Sep-14,14.38,14.44,14.22,14.29,117861
17-Sep-14,14.36,14.36,14.16,14.27,53230
16-Sep-14,14.28,14.30,14.13,14.20,55536
15-Sep-14,14.11,14.34,14.10,14.21,52443
12-Sep-14,14.27,14.29,14.10,14.16,76320
11-Sep-14,14.40,14.40,14.22,14.22,55644
10-Sep-14,14.40,14.47,14.27,14.34,57057
9-Sep-14,14.25,14.40,14.24,14.37,198081
8-Sep-14,14.13,14.30,14.12,14.24,36258
5-Sep-14,14.30,14.30,14.17,14.18,125824
4-Sep-14,14.38,14.39,14.21,14.32,113934
3-Sep-14,14.21,14.21,14.10,14.21,61489
2-Sep-14,14.20,14.21,14.10,14.13,84500
29-Aug-14,14.14,14.20,14.10,14.10,95479
28-Aug-14,14.17,14.19,14.14,14.16,57601
27-Aug-14,14.25,14.25,14.06,14.17,53092
26-Aug-14,14.16,14.18,14.07,14.18,46407
25-Aug-14,14.16,14.16,14.04,14.11,48950
22-Aug-14,14.09,14.09,14.03,14.08,21098
21-Aug-14,14.11,14.11,13.97,14.10,49337
20-Aug-14,13.97,14.08,13.91,14.07,32328
19-Aug-14,14.09,14.10,13.91,13.93,58201
18-Aug-14,14.15,14.15,14.00,14.02,47386
15-Aug-14,14.17,14.17,13.99,14.14,43876
14-Aug-14,14.10,14.21,13.93,14.17,72312
13-Aug-14,14.26,14.26,14.00,14.05,91634
12-Aug-14,14.09,14.26,13.98,14.18,101914
11-Aug-14,14.29,14.29,13.96,14.01,73896
8-Aug-14,14.02,14.13,13.91,14.13,30114
7-Aug-14,14.08,14.08,13.90,13.96,38519
6-Aug-14,13.85,14.08,13.83,14.01,50225
5-Aug-14,13.71,13.83,13.69,13.83,39892
4-Aug-14,13.77,13.92,13.73,13.75,54173
1-Aug-14,13.85,13.92,13.69,13.79,124146
31-Jul-14,13.97,14.12,13.79,13.80,90389
30-Jul-14,13.96,14.12,13.91,13.99,33871
29-Jul-14,13.95,14.05,13.92,13.92,38672
28-Jul-14,13.91,14.02,13.91,13.95,41062
25-Jul-14,13.92,14.07,13.90,13.92,33412
24-Jul-14,14.07,14.07,13.87,13.94,71298
23-Jul-14,14.00,14.03,13.95,14.01,35415
22-Jul-14,13.90,14.07,13.90,13.95,31670
21-Jul-14,13.98,14.03,13.90,13.91,84195
18-Jul-14,14.00,14.07,13.96,13.99,32929
17-Jul-14,14.14,14.15,13.98,13.98,31523
16-Jul-14,14.20,14.29,14.08,14.10,57646
15-Jul-14,14.15,14.25,14.06,14.20,64013
14-Jul-14,14.30,14.30,14.10,14.10,58516
11-Jul-14,14.15,14.31,14.11,14.26,72272
10-Jul-14,14.23,14.23,13.90,14.13,71012
9-Jul-14,14.12,14.28,14.05,14.25,76306
8-Jul-14,14.11,14.24,14.00,14.05,103296
7-Jul-14,14.31,14.31,14.10,14.13,91706
3-Jul-14,14.18,14.28,14.10,14.28,73691
2-Jul-14,14.33,14.40,14.09,14.13,110697
1-Jul-14,14.37,14.44,14.31,14.39,232178
30-Jun-14,14.23,14.40,14.12,14.29,338212
27-Jun-14,14.02,14.25,14.01,14.23,2181065
26-Jun-14,13.97,14.04,13.92,14.02,149546
25-Jun-14,13.80,14.00,13.80,13.90,90725
24-Jun-14,13.91,14.01,13.78,13.85,73627
23-Jun-14,13.95,13.96,13.85,13.85,65931
20-Jun-14,13.92,14.01,13.90,13.95,109037
19-Jun-14,14.03,14.05,13.93,14.02,52226
18-Jun-14,13.95,13.99,13.87,13.96,60565
17-Jun-14,13.93,13.95,13.85,13.89,79302
16-Jun-14,13.98,13.98,13.88,13.96,53941
13-Jun-14,14.04,14.10,13.86,13.88,138228
12-Jun-14,14.10,14.10,13.90,13.97,56775
11-Jun-14,13.97,13.97,13.87,13.90,42478
10-Jun-14,13.91,13.97,13.79,13.93,48006
9-Jun-14,14.07,14.07,13.74,13.87,74563
6-Jun-14,14.07,14.09,13.91,14.01,100679
5-Jun-14,13.83,13.94,13.73,13.94,66445
4-Jun-14,13.85,13.85,13.71,13.75,61981
3-Jun-14,13.90,13.94,13.76,13.80,57561
2-Jun-14,14.14,14.14,13.82,13.87,79745
30-May-14,14.02,14.03,13.75,14.00,104414
29-May-14,13.86,13.98,13.79,13.96,88128
28-May-14,13.89,13.98,13.71,13.77,66834
27-May-14,13.96,14.01,13.88,13.97,87076
23-May-14,13.76,13.90,13.70,13.89,32980
22-May-14,13.70,13.91,13.70,13.82,52836
21-May-14,13.71,13.83,13.70,13.73,46091
20-May-14,13.98,13.99,13.70,13.73,85299
19-May-14,13.75,13.94,13.74,13.92,34676
16-May-14,13.89,13.95,13.70,13.82,42494
15-May-14,13.61,13.86,13.55,13.86,40518
14-May-14,13.80,13.89,13.61,13.78,100790
13-May-14,13.83,13.89,13.79,13.79,53052
12-May-14,13.84,13.90,13.70,13.89,63184
9-May-14,13.60,13.82,13.60,13.74,39548
8-May-14,13.75,13.84,13.62,13.64,69235
7-May-14,13.68,13.83,13.62,13.74,59622
6-May-14,13.78,13.82,13.60,13.61,65763
5-May-14,13.80,13.86,13.75,13.79,34371
2-May-14,13.81,13.90,13.70,13.76,37787
1-May-14,13.84,13.97,13.65,13.75,72436
30-Apr-14,13.70,13.93,13.65,13.90,66498
29-Apr-14,13.82,13.82,13.70,13.71,58195
28-Apr-14,13.78,13.89,13.70,13.75,75223
25-Apr-14,13.78,13.89,13.70,13.77,54712
24-Apr-14,13.92,13.92,13.75,13.77,24090
23-Apr-14,13.86,13.90,13.75,13.84,36574
22-Apr-14,13.95,13.97,13.78,13.83,61867
21-Apr-14,13.97,13.97,13.77,13.95,44526
17-Apr-14,13.75,14.02,13.75,13.88,42543
16-Apr-14,13.73,13.81,13.70,13.75,56495
15-Apr-14,13.64,13.81,13.53,13.68,60133
14-Apr-14,13.70,13.82,13.60,13.65,40810
11-Apr-14,13.62,14.03,13.51,13.62,100201
10-Apr-14,13.88,13.88,13.64,13.66,98381
9-Apr-14,13.82,13.93,13.77,13.82,45449
8-Apr-14,13.76,13.96,13.71,13.84,62224
7-Apr-14,13.72,13.87,13.72,13.76,115530
4-Apr-14,13.92,14.00,13.73,13.78,90162
3-Apr-14,13.77,14.07,13.76,13.94,56983
2-Apr-14,14.00,14.00,13.75,13.77,79728
1-Apr-14,13.83,14.02,13.80,13.99,69482
31-Mar-14,13.63,13.91,13.63,13.82,78785
28-Mar-14,13.59,13.71,13.50,13.63,53325
27-Mar-14,13.51,13.64,13.50,13.59,84906
26-Mar-14,13.76,13.77,13.47,13.51,97642
25-Mar-14,13.77,13.83,13.66,13.72,28334
24-Mar-14,13.81,13.81,13.65,13.76,78067
21-Mar-14,13.83,13.85,13.65,13.81,191663
20-Mar-14,13.85,13.93,13.82,13.85,39560
19-Mar-14,13.69,13.89,13.69,13.82,97973
18-Mar-14,13.86,13.86,13.67,13.74,86524
17-Mar-14,13.97,13.97,13.85,13.89,70108
14-Mar-14,14.04,14.08,13.85,13.87,75330
13-Mar-14,14.17,14.17,14.02,14.02,52139
12-Mar-14,14.05,14.14,14.00,14.12,68440
11-Mar-14,14.10,14.18,14.03,14.09,46903
10-Mar-14,14.11,14.16,14.08,14.13,60854
7-Mar-14,14.05,14.18,14.05,14.15,40419
6-Mar-14,14.15,14.17,14.05,14.06,71593
5-Mar-14,14.30,14.30,14.03,14.15,81761
4-Mar-14,14.23,14.28,14.10,14.27,181017
3-Mar-14,14.25,14.25,14.11,14.24,70976
28-Feb-14,14.18,14.23,14.09,14.21,86821
27-Feb-14,14.18,14.18,14.02,14.12,48530
26-Feb-14,14.15,14.17,14.00,14.15,64381
25-Feb-14,14.01,14.18,13.90,14.10,103120
24-Feb-14,14.05,14.14,13.90,14.08,85343
21-Feb-14,14.07,14.15,13.97,13.98,91544
20-Feb-14,14.06,14.15,14.00,14.07,93802
19-Feb-14,13.98,14.19,13.98,14.01,84231
18-Feb-14,14.13,14.13,14.00,14.03,78912
14-Feb-14,13.98,14.18,13.94,14.06,215925
13-Feb-14,13.91,14.04,13.91,14.02,59336
12-Feb-14,14.05,14.05,13.94,13.99,61854
11-Feb-14,13.97,14.05,13.88,13.98,32255
10-Feb-14,14.14,14.14,13.85,13.90,162696
7-Feb-14,13.67,13.89,13.64,13.78,74517
6-Feb-14,13.68,13.74,13.64,13.72,54138
5-Feb-14,13.62,13.72,13.53,13.63,93067
4-Feb-14,13.67,13.75,13.57,13.66,82603
3-Feb-14,13.99,14.02,13.58,13.65,73285
31-Jan-14,13.75,14.15,13.75,13.95,141739
30-Jan-14,13.83,13.90,13.72,13.90,102971
29-Jan-14,13.69,13.86,13.69,13.82,119520
28-Jan-14,13.55,13.80,13.53,13.76,83828
27-Jan-14,13.73,13.81,13.55,13.57,76138
24-Jan-14,13.65,13.77,13.60,13.73,95590
23-Jan-14,13.75,13.80,13.62,13.68,41887
22-Jan-14,13.66,13.81,13.61,13.79,37866
21-Jan-14,13.68,13.75,13.53,13.70,62470
17-Jan-14,13.54,13.62,13.48,13.56,32969
16-Jan-14,13.61,13.72,13.56,13.62,56554
15-Jan-14,13.51,13.75,13.51,13.67,105291
14-Jan-14,13.63,13.69,13.58,13.60,42069
13-Jan-14,13.60,13.63,13.49,13.61,63370
10-Jan-14,13.66,13.72,13.53,13.67,41846
9-Jan-14,13.72,13.78,13.61,13.62,28818
8-Jan-14,13.72,13.73,13.45,13.68,85305
7-Jan-14,13.74,13.82,13.65,13.70,39553
6-Jan-14,13.73,13.80,13.71,13.78,38305
3-Jan-14,13.74,13.80,13.62,13.73,35534
2-Jan-14,13.72,13.79,13.52,13.75,79668
31-Dec-13,13.57,13.75,13.49,13.73,85322
30-Dec-13,13.69,13.69,13.48,13.51,64461
27-Dec-13,13.68,13.71,13.60,13.65,48259
26-Dec-13,13.69,13.78,13.63,13.68,63815
24-Dec-13,13.67,13.68,13.43,13.61,71690
23-Dec-13,13.65,13.83,13.52,13.74,64487
20-Dec-13,13.47,13.63,13.40,13.61,168730
