Date,Open,High,Low,Close,Volume
23-Oct-14,37.14,38.44,36.86,37.65,470781
22-Oct-14,38.49,38.49,36.16,36.50,368411
21-Oct-14,37.35,38.26,36.54,38.20,275575
20-Oct-14,35.64,37.21,35.64,37.17,308841
17-Oct-14,37.78,37.78,35.25,35.94,548435
16-Oct-14,34.84,37.81,33.61,37.04,548730
15-Oct-14,32.99,36.57,30.07,35.78,583246
14-Oct-14,33.85,35.58,33.45,33.63,611584
13-Oct-14,34.47,35.24,33.16,33.44,432381
10-Oct-14,36.42,36.95,34.31,34.34,544092
9-Oct-14,38.39,38.84,36.60,36.70,392445
8-Oct-14,37.69,38.81,36.62,38.53,295494
7-Oct-14,38.98,38.98,37.01,37.78,431272
6-Oct-14,39.51,39.97,38.31,39.53,514138
3-Oct-14,37.93,39.73,37.70,39.49,343575
2-Oct-14,36.08,38.02,35.61,37.46,399345
1-Oct-14,37.14,37.41,35.05,35.99,723883
30-Sep-14,38.12,38.12,37.05,37.14,455039
29-Sep-14,37.41,38.50,37.21,38.08,254977
26-Sep-14,37.36,38.12,36.86,38.03,244361
25-Sep-14,38.85,38.85,36.90,37.16,313009
24-Sep-14,36.43,38.90,36.43,38.90,390890
23-Sep-14,38.36,38.36,36.42,36.43,385162
22-Sep-14,38.34,38.80,37.44,38.45,407452
19-Sep-14,38.71,38.82,37.89,38.68,1149143
18-Sep-14,38.79,39.23,38.02,38.40,310987
17-Sep-14,37.72,38.97,37.47,38.35,341668
16-Sep-14,38.00,38.29,36.40,37.57,732314
15-Sep-14,41.40,41.70,37.84,38.01,410184
12-Sep-14,41.65,42.00,40.89,41.31,543640
11-Sep-14,39.04,41.96,39.00,41.55,471006
10-Sep-14,38.55,39.70,38.55,39.31,671342
9-Sep-14,40.22,40.37,39.32,39.63,310435
8-Sep-14,39.00,41.00,38.82,40.19,675769
5-Sep-14,38.78,39.25,37.81,39.01,472156
4-Sep-14,39.68,40.03,38.36,38.84,430446
3-Sep-14,40.15,40.54,39.33,39.54,266401
2-Sep-14,39.87,40.56,39.61,39.90,550626
29-Aug-14,38.89,40.20,38.80,39.88,368028
28-Aug-14,39.50,39.89,38.56,38.67,308888
27-Aug-14,40.83,41.00,39.48,39.80,212932
26-Aug-14,39.49,41.04,38.98,40.86,360763
25-Aug-14,40.36,40.46,38.94,39.34,255796
22-Aug-14,40.01,40.95,39.76,39.97,502107
21-Aug-14,39.97,40.23,38.95,40.16,260825
20-Aug-14,39.45,40.13,39.14,39.92,367521
19-Aug-14,39.72,39.90,39.32,39.69,289736
18-Aug-14,39.52,40.09,39.23,39.50,776489
15-Aug-14,39.67,39.85,38.58,39.04,446093
14-Aug-14,39.37,39.85,38.85,39.38,427133
13-Aug-14,38.58,39.66,38.57,39.37,945322
12-Aug-14,36.61,38.68,36.61,38.37,697986
11-Aug-14,35.74,37.19,35.74,36.85,330421
8-Aug-14,35.35,36.38,35.00,35.58,450563
7-Aug-14,34.30,35.50,34.26,34.65,314105
6-Aug-14,34.37,35.39,33.89,33.96,295109
5-Aug-14,34.74,35.17,34.21,34.81,379460
4-Aug-14,33.99,35.21,33.37,34.96,286559
1-Aug-14,35.31,35.50,33.57,33.89,366881
31-Jul-14,36.65,36.75,35.21,35.27,454847
30-Jul-14,37.04,37.46,36.59,37.08,424621
29-Jul-14,35.99,36.79,35.35,36.70,424638
28-Jul-14,37.05,37.31,35.49,35.95,622850
25-Jul-14,37.86,38.50,35.66,37.73,1126613
24-Jul-14,35.25,37.22,35.18,36.65,777249
23-Jul-14,35.65,35.79,34.95,35.21,347539
22-Jul-14,34.57,35.76,34.43,35.61,397790
21-Jul-14,33.70,34.67,33.56,34.19,222501
18-Jul-14,33.33,34.19,33.00,33.97,298351
17-Jul-14,34.04,34.59,33.14,33.38,307803
16-Jul-14,34.27,34.69,33.82,34.32,351210
15-Jul-14,34.04,34.33,32.76,33.26,259208
14-Jul-14,34.35,34.67,33.54,34.03,295810
11-Jul-14,33.83,34.16,33.39,33.90,255735
10-Jul-14,32.30,34.10,32.03,33.60,447488
9-Jul-14,34.25,34.98,33.17,33.27,428440
8-Jul-14,33.59,34.46,32.92,33.86,509723
7-Jul-14,36.46,36.46,34.54,34.65,454194
3-Jul-14,36.95,36.96,36.14,36.58,198713
2-Jul-14,39.20,40.03,36.70,36.78,972374
1-Jul-14,37.99,39.29,37.90,39.16,784748
30-Jun-14,36.85,38.21,36.39,37.46,445906
27-Jun-14,36.55,37.59,36.52,36.81,2257769
26-Jun-14,37.55,37.58,36.40,36.70,381577
25-Jun-14,36.31,37.63,35.70,37.52,612362
24-Jun-14,37.62,38.12,36.43,36.51,719688
23-Jun-14,37.73,38.38,37.51,37.79,308135
20-Jun-14,37.63,37.88,36.91,37.63,628175
19-Jun-14,37.65,37.75,37.05,37.61,336184
18-Jun-14,37.09,37.76,36.47,37.67,343895
17-Jun-14,36.39,37.95,36.20,37.10,554018
16-Jun-14,35.36,36.83,34.71,36.51,583533
13-Jun-14,33.88,35.47,33.30,35.40,462648
12-Jun-14,33.32,34.04,32.74,33.92,431852
11-Jun-14,32.64,33.52,32.64,33.29,257205
10-Jun-14,32.79,33.05,32.17,32.82,179252
9-Jun-14,32.84,33.85,32.65,33.03,438406
6-Jun-14,33.54,33.97,32.72,32.96,332863
5-Jun-14,31.66,33.06,31.13,32.93,383130
4-Jun-14,30.96,31.97,30.38,31.64,261253
3-Jun-14,31.07,31.49,30.84,31.15,423075
2-Jun-14,33.12,33.23,31.40,31.58,334268
30-May-14,33.43,33.50,31.34,31.92,971450
29-May-14,32.81,33.57,32.68,33.50,609299
28-May-14,32.60,33.03,32.37,32.68,377175
27-May-14,32.00,32.73,31.44,32.66,355333
23-May-14,31.77,31.82,30.80,31.75,332605
22-May-14,30.96,31.89,30.62,31.71,288393
21-May-14,30.90,31.94,30.62,30.97,623967
20-May-14,30.22,31.68,29.81,30.57,1181718
19-May-14,28.43,30.70,28.43,30.47,910393
16-May-14,27.97,28.50,27.14,28.50,454498
15-May-14,26.97,27.83,26.16,27.80,325547
14-May-14,27.76,28.26,27.06,27.12,418320
13-May-14,29.21,29.21,27.74,27.77,372977
12-May-14,27.96,29.33,27.85,29.15,433825
9-May-14,27.04,27.81,26.36,27.76,538146
8-May-14,26.55,28.04,26.33,27.04,672586
7-May-14,28.24,28.24,26.04,26.49,1157922
6-May-14,28.58,29.22,28.21,28.40,589112
5-May-14,28.50,29.02,28.00,28.90,499287
2-May-14,28.93,29.42,28.41,28.85,627464
1-May-14,28.10,30.39,27.97,28.95,1637155
30-Apr-14,25.48,25.64,24.50,25.44,1139686
29-Apr-14,24.52,25.80,24.10,25.75,932614
28-Apr-14,25.64,26.56,24.04,24.49,1070737
25-Apr-14,27.62,27.90,25.30,25.42,892477
24-Apr-14,30.45,30.85,27.50,27.89,1171397
23-Apr-14,31.68,31.73,30.26,30.29,481804
22-Apr-14,30.19,32.30,29.91,31.79,820641
21-Apr-14,29.60,30.32,28.95,30.22,438986
17-Apr-14,28.01,29.80,27.51,29.61,778063
16-Apr-14,29.76,29.85,27.82,27.99,1364811
15-Apr-14,29.35,29.79,28.01,29.33,923877
14-Apr-14,31.89,32.00,28.91,29.27,1107042
11-Apr-14,31.91,33.05,31.07,31.67,669831
10-Apr-14,35.69,35.69,31.75,32.33,904745
9-Apr-14,34.15,36.06,33.80,35.91,394032
8-Apr-14,33.79,34.60,33.36,33.97,438774
7-Apr-14,36.34,36.45,33.01,33.55,943796
4-Apr-14,37.18,37.60,35.56,36.69,765142
3-Apr-14,37.41,37.56,35.93,36.53,425806
2-Apr-14,37.71,37.95,36.51,37.48,306423
1-Apr-14,37.23,37.98,36.63,37.69,326928
31-Mar-14,36.01,37.53,35.65,37.08,557094
28-Mar-14,36.35,36.58,35.50,35.80,590294
27-Mar-14,35.51,36.81,35.51,36.43,958355
26-Mar-14,37.02,37.18,35.34,36.00,566598
25-Mar-14,37.18,37.50,36.29,36.68,564396
24-Mar-14,39.33,39.33,35.09,37.10,1063965
21-Mar-14,42.50,42.50,38.52,39.15,1312128
20-Mar-14,42.08,43.02,41.73,42.15,205873
19-Mar-14,43.74,43.74,41.57,42.23,392570
18-Mar-14,41.92,43.95,41.66,43.91,499190
17-Mar-14,42.93,43.34,41.92,41.97,302389
14-Mar-14,41.34,42.97,41.10,42.56,280954
13-Mar-14,43.16,43.40,41.00,41.63,312676
12-Mar-14,42.85,43.08,41.61,42.95,296009
11-Mar-14,43.55,44.99,42.84,42.99,406808
10-Mar-14,44.08,44.36,42.89,43.36,379142
7-Mar-14,44.22,44.27,42.21,43.96,548047
6-Mar-14,44.62,45.42,43.56,44.26,411518
5-Mar-14,43.25,45.66,43.25,45.31,1021067
4-Mar-14,41.97,43.25,41.54,43.24,706450
3-Mar-14,40.69,41.79,40.29,41.40,287850
28-Feb-14,41.68,42.50,40.74,41.45,606089
27-Feb-14,40.85,41.98,40.85,41.61,461477
26-Feb-14,40.24,41.82,40.11,41.17,482061
25-Feb-14,41.07,41.08,39.80,40.42,582963
24-Feb-14,41.53,42.58,41.00,41.42,314927
21-Feb-14,41.29,42.47,41.00,41.61,792485
20-Feb-14,39.44,41.83,39.44,41.34,890055
19-Feb-14,39.56,40.00,39.23,39.58,448999
18-Feb-14,38.91,39.80,36.38,39.77,226817
14-Feb-14,39.45,39.75,39.00,39.53,250080
13-Feb-14,39.12,40.14,39.02,39.56,581166
12-Feb-14,39.83,40.49,37.32,39.66,539691
11-Feb-14,40.14,40.99,39.71,40.58,476018
10-Feb-14,39.70,40.40,39.10,40.14,636811
7-Feb-14,39.91,40.00,38.45,39.62,432617
6-Feb-14,38.09,40.61,37.48,39.95,702069
5-Feb-14,38.27,38.40,37.56,38.01,242535
4-Feb-14,36.73,38.69,36.73,38.58,497168
3-Feb-14,40.01,41.94,37.93,38.45,902873
31-Jan-14,41.94,43.37,40.21,40.48,2032218
30-Jan-14,35.52,37.97,35.52,36.53,761785
29-Jan-14,36.00,36.17,34.87,34.91,375671
28-Jan-14,35.95,36.91,35.60,36.17,331319
27-Jan-14,36.50,36.92,35.32,35.75,369853
24-Jan-14,37.12,37.25,35.93,36.60,304486
23-Jan-14,37.72,37.72,36.94,37.24,295844
22-Jan-14,37.96,38.34,37.20,37.74,214997
21-Jan-14,40.00,40.00,37.25,37.99,487956
17-Jan-14,37.75,38.40,37.57,38.18,608365
16-Jan-14,37.56,38.46,37.39,37.64,354596
15-Jan-14,36.76,37.90,36.30,36.85,749845
14-Jan-14,35.10,36.68,34.95,35.74,596557
13-Jan-14,35.75,35.98,34.89,35.03,364897
10-Jan-14,35.40,36.66,34.44,35.83,363427
9-Jan-14,36.20,36.56,35.02,35.37,556143
8-Jan-14,36.18,36.70,35.73,36.16,415716
7-Jan-14,35.47,36.41,35.12,36.11,1000430
6-Jan-14,34.31,35.61,34.09,35.02,829070
3-Jan-14,32.83,34.97,32.56,34.18,904224
2-Jan-14,32.93,33.12,31.81,32.40,466232
31-Dec-13,33.44,33.66,32.94,33.17,352968
30-Dec-13,32.31,33.84,31.84,33.51,456899
27-Dec-13,31.34,32.36,31.08,32.31,303658
26-Dec-13,31.46,31.51,30.76,31.29,276004
24-Dec-13,31.18,32.23,30.46,31.41,252824
23-Dec-13,29.80,31.41,29.37,31.22,653759
20-Dec-13,29.68,29.78,29.38,29.65,559789
19-Dec-13,29.11,29.52,29.11,29.32,227559
18-Dec-13,29.34,29.34,28.50,29.12,281841
17-Dec-13,28.80,29.39,28.61,29.29,266392
16-Dec-13,29.47,29.67,28.24,28.73,482261
13-Dec-13,28.61,29.66,28.15,29.27,450619
12-Dec-13,28.37,28.42,27.76,28.10,213554
11-Dec-13,29.08,29.16,28.19,28.44,216420
10-Dec-13,28.10,29.29,27.92,29.00,641599
9-Dec-13,28.27,28.41,26.92,28.17,950985
6-Dec-13,29.45,29.49,27.79,28.03,1569425
5-Dec-13,29.87,29.90,28.35,29.45,1435962
4-Dec-13,30.85,31.39,30.25,30.35,158478
3-Dec-13,30.66,31.18,30.54,31.03,195610
2-Dec-13,30.44,31.03,30.17,30.80,202340
29-Nov-13,30.92,31.00,30.50,30.50,56266
27-Nov-13,30.75,30.96,30.55,30.75,169991
26-Nov-13,30.14,30.74,29.75,30.68,203635
25-Nov-13,30.30,30.36,29.67,30.01,199512
22-Nov-13,30.44,30.86,30.10,30.25,354630
21-Nov-13,30.09,30.88,30.03,30.38,75825
20-Nov-13,30.50,30.70,29.72,30.00,269695
19-Nov-13,30.04,30.99,29.60,30.41,257618
18-Nov-13,30.87,30.87,29.80,30.21,421664
15-Nov-13,30.52,31.06,30.08,30.93,291731
14-Nov-13,31.55,31.55,30.36,30.57,174554
13-Nov-13,31.01,32.00,30.87,31.67,227225
12-Nov-13,30.70,31.16,30.58,31.11,174172
11-Nov-13,31.19,31.72,30.66,30.87,156936
8-Nov-13,29.79,31.43,29.04,31.36,379307
7-Nov-13,30.83,30.83,29.52,29.80,491679
6-Nov-13,30.58,31.11,30.10,30.93,183205
5-Nov-13,30.85,30.88,30.22,30.58,291077
4-Nov-13,31.10,31.21,30.57,30.92,223558
1-Nov-13,31.17,31.46,30.54,30.93,721422
31-Oct-13,31.09,34.00,29.36,31.64,824274
30-Oct-13,28.80,29.03,27.33,27.51,278127
29-Oct-13,29.48,29.72,28.11,28.89,227291
28-Oct-13,30.85,31.00,29.19,29.36,181020
25-Oct-13,31.52,31.66,30.54,30.75,139404
24-Oct-13,31.13,31.66,30.96,31.45,128453
23-Oct-13,31.23,31.65,30.89,31.15,213338
22-Oct-13,31.72,31.90,30.98,31.45,335184
21-Oct-13,30.65,31.83,30.46,31.69,233044
18-Oct-13,29.98,30.71,29.91,30.67,107514
17-Oct-13,29.33,29.81,29.16,29.77,129896
16-Oct-13,30.00,30.05,29.18,29.37,143415
15-Oct-13,29.71,29.77,29.32,29.58,140285
14-Oct-13,29.33,29.65,28.76,29.40,162404
11-Oct-13,28.20,29.45,28.15,29.44,197288
10-Oct-13,27.11,28.30,27.03,28.17,149872
9-Oct-13,26.78,27.19,26.19,26.88,334613
8-Oct-13,27.98,28.52,26.75,26.81,251971
7-Oct-13,28.51,29.05,28.06,28.09,114454
4-Oct-13,28.50,29.25,28.03,28.87,256991
3-Oct-13,30.55,30.78,28.53,28.59,308317
2-Oct-13,32.10,32.10,30.26,30.63,255745
1-Oct-13,32.02,32.83,31.59,32.01,113502
30-Sep-13,31.36,32.24,30.63,32.12,215990
27-Sep-13,31.00,31.81,30.80,31.67,79884
26-Sep-13,31.25,31.56,31.06,31.19,190285
25-Sep-13,31.08,31.85,30.90,31.17,182786
24-Sep-13,32.15,32.15,31.07,31.14,130500
23-Sep-13,32.01,32.33,31.29,32.03,144717
20-Sep-13,32.01,33.15,31.84,31.91,488490
19-Sep-13,32.00,32.19,31.47,32.01,137919
18-Sep-13,31.07,32.16,30.95,31.98,238852
17-Sep-13,30.85,31.28,30.76,31.14,212010
16-Sep-13,31.78,32.32,30.50,30.78,195325
13-Sep-13,30.17,31.65,29.76,31.56,308180
12-Sep-13,29.65,30.84,29.36,30.07,424185
11-Sep-13,28.77,29.89,28.74,29.64,146743
10-Sep-13,28.42,29.75,28.33,29.44,151165
9-Sep-13,28.05,29.16,27.73,28.28,235511
6-Sep-13,28.56,28.56,27.60,27.91,216913
5-Sep-13,29.10,29.28,28.37,28.50,202819
4-Sep-13,29.37,29.59,28.92,28.99,88803
3-Sep-13,29.05,29.69,28.83,29.37,179315
30-Aug-13,29.10,29.20,28.55,28.81,162560
29-Aug-13,28.56,29.31,28.24,29.16,77708
28-Aug-13,28.35,28.80,27.66,28.53,81583
27-Aug-13,29.37,29.37,27.72,28.34,194362
26-Aug-13,29.40,30.10,29.08,29.54,186812
23-Aug-13,29.65,29.91,29.13,29.27,131078
22-Aug-13,29.45,29.92,29.31,29.68,94903
21-Aug-13,29.42,29.92,29.18,29.39,188789
20-Aug-13,29.58,29.74,29.09,29.52,119850
19-Aug-13,29.23,29.67,28.66,29.53,158445
16-Aug-13,28.85,29.24,27.94,28.97,131970
15-Aug-13,29.43,29.43,28.84,29.01,168298
14-Aug-13,28.90,29.76,28.84,29.48,329218
13-Aug-13,29.08,29.19,28.57,28.89,229320
12-Aug-13,28.83,29.43,28.72,29.00,289128
9-Aug-13,29.41,29.41,28.90,29.00,260279
8-Aug-13,29.36,29.66,29.00,29.18,140332
7-Aug-13,28.96,29.52,28.35,29.40,304822
6-Aug-13,28.65,29.29,28.51,29.11,355209
5-Aug-13,27.76,28.91,27.76,28.90,238828
2-Aug-13,27.24,28.00,27.20,28.00,207636
1-Aug-13,27.00,27.59,26.80,27.54,267098
31-Jul-13,27.00,27.20,26.58,26.91,410328
30-Jul-13,26.72,27.00,25.78,26.93,267274
29-Jul-13,26.23,26.66,25.42,26.64,336372
26-Jul-13,25.93,27.00,25.20,26.93,250116
25-Jul-13,25.90,27.00,25.74,26.08,280279
24-Jul-13,25.69,26.43,25.44,25.87,432834
23-Jul-13,25.24,26.13,25.03,25.57,488766
22-Jul-13,24.57,24.67,23.69,24.64,167840
19-Jul-13,25.24,25.39,24.31,24.76,162136
18-Jul-13,24.98,25.47,24.77,25.26,262160
17-Jul-13,24.12,25.11,24.02,24.96,308631
16-Jul-13,24.55,24.63,23.83,24.00,182768
