Date,Open,High,Low,Close,Volume
23-Oct-14,18.30,18.80,18.20,18.20,350
21-Oct-14,19.20,19.30,18.30,18.50,702
20-Oct-14,18.40,18.40,18.40,18.40,11
17-Oct-14,18.17,18.80,18.17,18.80,721
16-Oct-14,16.70,19.10,16.50,17.60,2908
15-Oct-14,16.80,18.20,16.80,16.90,609
14-Oct-14,17.20,19.40,16.70,16.80,3665
13-Oct-14,16.00,17.65,16.00,17.21,3065
9-Oct-14,18.20,18.40,18.20,18.20,536
8-Oct-14,18.20,18.52,18.20,18.50,199
7-Oct-14,18.90,19.00,17.70,18.40,1137
6-Oct-14,18.20,18.20,18.00,18.00,742
3-Oct-14,17.20,18.30,17.20,17.90,4985
2-Oct-14,16.70,17.10,16.70,17.10,390
1-Oct-14,17.40,17.40,17.00,17.20,258
30-Sep-14,16.90,17.40,16.70,17.40,317
29-Sep-14,16.70,17.20,16.70,17.10,618
26-Sep-14,17.40,17.40,17.40,17.40,112
25-Sep-14,17.50,17.50,17.42,17.50,1165
24-Sep-14,17.60,17.80,17.50,17.80,1474
23-Sep-14,17.80,18.00,17.50,17.90,203
19-Sep-14,18.00,18.02,17.30,17.80,634
18-Sep-14,18.10,18.12,18.03,18.03,101
17-Sep-14,17.40,18.68,17.40,17.60,840
16-Sep-14,17.60,17.70,17.50,17.50,511
15-Sep-14,17.80,18.30,17.80,18.30,348
12-Sep-14,18.40,18.40,17.80,17.94,737
11-Sep-14,18.20,18.30,17.90,17.90,362
10-Sep-14,18.30,18.52,18.20,18.20,244
9-Sep-14,18.30,19.90,18.30,18.60,1337
8-Sep-14,20.20,20.20,18.60,19.20,2994
5-Sep-14,18.40,18.65,18.30,18.40,742
4-Sep-14,18.20,18.90,18.19,18.50,837
3-Sep-14,18.40,18.40,18.06,18.20,470
2-Sep-14,17.80,18.50,17.80,18.10,994
29-Aug-14,17.90,18.60,17.90,18.60,1426
28-Aug-14,17.60,18.70,17.60,18.60,460
27-Aug-14,17.72,17.72,17.72,17.72,200
26-Aug-14,18.20,18.20,17.50,17.80,971
25-Aug-14,18.80,18.80,17.50,17.75,1446
22-Aug-14,18.80,18.80,18.06,18.40,555
21-Aug-14,17.70,18.29,17.70,18.10,536
20-Aug-14,17.60,18.10,17.60,17.90,637
19-Aug-14,18.00,18.00,17.60,17.70,548
18-Aug-14,18.50,18.50,17.60,18.00,1096
15-Aug-14,18.40,18.40,17.70,17.80,793
14-Aug-14,18.40,18.40,17.40,17.40,726
13-Aug-14,17.70,18.30,17.55,18.00,1133
12-Aug-14,17.40,18.00,17.32,17.50,1399
11-Aug-14,18.00,18.00,17.51,17.70,451
8-Aug-14,17.60,18.00,17.30,18.00,1337
7-Aug-14,17.20,17.60,17.00,17.60,3070
6-Aug-14,19.00,19.00,17.60,17.80,4106
5-Aug-14,19.80,19.80,19.00,19.10,1225
4-Aug-14,20.50,20.50,19.00,19.00,4099
1-Aug-14,20.02,20.50,19.80,20.20,1100
31-Jul-14,20.55,20.90,20.00,20.10,4673
30-Jul-14,20.60,21.00,19.80,20.30,4465
29-Jul-14,19.40,21.40,19.40,19.70,8356
28-Jul-14,20.90,20.90,19.20,19.41,7374
25-Jul-14,21.00,21.00,19.00,19.90,26166
24-Jul-14,15.60,23.80,15.00,19.70,176828
23-Jul-14,14.60,15.40,14.60,15.20,3962
