Date,Open,High,Low,Close,Volume
23-Oct-14,10.93,10.93,10.62,10.62,382190
22-Oct-14,10.99,10.99,10.67,10.83,632646
21-Oct-14,10.69,10.79,10.62,10.69,439855
20-Oct-14,10.64,10.75,10.56,10.69,397353
17-Oct-14,10.48,10.79,10.48,10.64,504162
16-Oct-14,9.98,10.47,9.87,10.47,715018
15-Oct-14,10.40,10.43,9.51,10.10,2327141
14-Oct-14,10.48,10.59,10.40,10.41,559851
13-Oct-14,10.60,10.69,10.46,10.47,436564
10-Oct-14,10.74,10.77,10.56,10.56,485567
9-Oct-14,10.78,10.81,10.73,10.76,299494
8-Oct-14,10.79,10.82,10.65,10.78,601593
7-Oct-14,10.86,10.95,10.82,10.83,297920
6-Oct-14,10.94,10.96,10.87,10.90,338839
3-Oct-14,10.98,11.00,10.85,10.90,437764
2-Oct-14,10.96,11.04,10.87,10.94,487884
1-Oct-14,10.95,10.95,10.82,10.95,599188
30-Sep-14,11.11,11.14,10.91,10.91,622266
29-Sep-14,11.09,11.19,11.05,11.06,515660
26-Sep-14,11.14,11.20,11.01,11.19,623690
25-Sep-14,11.05,11.15,11.04,11.12,937882
24-Sep-14,10.99,11.24,10.92,11.12,2171430
23-Sep-14,11.23,11.39,11.22,11.31,844212
22-Sep-14,11.34,11.34,11.20,11.22,602454
19-Sep-14,11.50,11.50,11.27,11.31,956578
18-Sep-14,11.49,11.55,11.45,11.45,480301
17-Sep-14,11.42,11.54,11.40,11.44,514124
16-Sep-14,11.47,11.52,11.42,11.42,410413
15-Sep-14,11.59,11.59,11.40,11.52,929366
12-Sep-14,11.48,11.54,11.45,11.52,627465
11-Sep-14,11.59,11.61,11.51,11.53,733234
10-Sep-14,11.60,11.61,11.53,11.59,625550
9-Sep-14,11.55,11.63,11.51,11.56,700942
8-Sep-14,11.47,11.64,11.47,11.58,2205257
5-Sep-14,11.43,11.58,11.26,11.41,8220280
4-Sep-14,11.86,11.90,11.80,11.86,408086
3-Sep-14,11.94,11.98,11.79,11.80,407424
2-Sep-14,11.95,11.96,11.85,11.91,380535
29-Aug-14,11.84,11.91,11.80,11.90,317076
28-Aug-14,11.75,11.84,11.72,11.81,290024
27-Aug-14,11.79,11.85,11.70,11.74,483180
26-Aug-14,11.89,11.89,11.73,11.73,600024
25-Aug-14,11.78,11.90,11.73,11.84,922903
22-Aug-14,11.78,11.78,11.68,11.74,341690
21-Aug-14,11.75,11.80,11.70,11.77,393223
20-Aug-14,11.75,11.79,11.69,11.75,432018
19-Aug-14,11.75,11.79,11.70,11.72,266401
18-Aug-14,11.75,11.78,11.71,11.76,394547
15-Aug-14,11.72,11.74,11.66,11.73,350820
14-Aug-14,11.65,11.70,11.56,11.68,359898
13-Aug-14,11.66,11.69,11.53,11.61,356730
12-Aug-14,11.62,11.70,11.59,11.61,339521
11-Aug-14,11.50,11.65,11.41,11.63,386132
8-Aug-14,11.37,11.51,11.34,11.50,406593
7-Aug-14,11.29,11.41,11.28,11.36,496400
6-Aug-14,11.00,11.36,11.00,11.25,576575
5-Aug-14,11.27,11.35,11.04,11.04,503389
4-Aug-14,11.26,11.33,11.22,11.31,349310
1-Aug-14,11.10,11.23,11.09,11.22,540240
31-Jul-14,11.36,11.36,11.13,11.13,523132
30-Jul-14,11.49,11.54,11.36,11.38,312358
29-Jul-14,11.62,11.62,11.44,11.44,688951
28-Jul-14,11.60,11.60,11.47,11.59,433010
25-Jul-14,11.51,11.60,11.48,11.57,419098
24-Jul-14,11.48,11.52,11.46,11.49,220924
23-Jul-14,11.45,11.51,11.44,11.48,264573
22-Jul-14,11.47,11.50,11.43,11.43,312699
21-Jul-14,11.42,11.50,11.40,11.44,254742
18-Jul-14,11.36,11.47,11.34,11.44,222699
17-Jul-14,11.48,11.51,11.34,11.34,430144
16-Jul-14,11.54,11.54,11.46,11.50,318567
15-Jul-14,11.49,11.57,11.46,11.51,306631
14-Jul-14,11.54,11.57,11.51,11.51,292597
11-Jul-14,11.50,11.59,11.46,11.47,313698
10-Jul-14,11.56,11.56,11.46,11.52,365088
9-Jul-14,11.55,11.69,11.54,11.64,529356
8-Jul-14,11.47,11.53,11.35,11.53,847612
7-Jul-14,11.50,11.55,11.37,11.46,695253
3-Jul-14,11.53,11.57,11.41,11.45,451569
2-Jul-14,11.58,11.61,11.47,11.53,557915
1-Jul-14,11.57,11.66,11.52,11.55,1005427
30-Jun-14,11.49,11.55,11.38,11.46,972874
27-Jun-14,11.44,11.60,11.35,11.49,12089298
26-Jun-14,11.17,11.43,11.16,11.41,2024237
25-Jun-14,11.04,11.16,11.01,11.12,595206
24-Jun-14,11.07,11.22,11.03,11.05,903082
23-Jun-14,11.07,11.15,11.06,11.09,794370
20-Jun-14,11.13,11.14,11.05,11.07,723045
19-Jun-14,11.11,11.11,10.96,11.09,555594
18-Jun-14,11.06,11.16,11.00,11.08,549215
17-Jun-14,11.06,11.14,10.99,11.05,819645
16-Jun-14,11.30,11.35,11.20,11.26,639359
13-Jun-14,11.25,11.38,11.14,11.25,638448
12-Jun-14,11.23,11.24,11.11,11.20,611725
11-Jun-14,11.26,11.39,11.18,11.21,352995
10-Jun-14,11.30,11.32,11.25,11.26,360707
9-Jun-14,11.20,11.33,11.17,11.32,472839
6-Jun-14,11.09,11.18,11.06,11.17,461803
5-Jun-14,11.01,11.04,10.88,11.03,367271
4-Jun-14,11.11,11.11,10.92,10.96,458104
3-Jun-14,10.98,11.07,10.88,11.07,548218
2-Jun-14,11.11,11.16,10.99,11.00,483487
30-May-14,11.10,11.10,11.00,11.05,1088060
29-May-14,11.11,11.18,11.02,11.06,616807
28-May-14,11.08,11.10,10.98,11.04,502089
27-May-14,11.11,11.15,11.00,11.04,632895
23-May-14,10.90,11.02,10.86,11.02,373296
22-May-14,10.79,10.97,10.79,10.87,520054
21-May-14,10.85,10.85,10.70,10.79,517353
20-May-14,10.85,10.88,10.75,10.78,589181
19-May-14,10.80,10.89,10.80,10.84,392511
16-May-14,10.79,10.85,10.72,10.83,380688
15-May-14,10.71,10.78,10.65,10.73,463936
14-May-14,10.79,10.81,10.70,10.73,522062
13-May-14,10.83,10.84,10.72,10.75,475698
12-May-14,10.55,10.88,10.53,10.81,555634
9-May-14,10.58,10.64,10.46,10.56,873914
8-May-14,10.70,10.78,10.55,10.62,778301
7-May-14,10.49,10.57,10.33,10.46,732047
6-May-14,10.58,10.66,10.48,10.52,529300
5-May-14,10.60,10.65,10.55,10.61,434809
2-May-14,10.64,10.76,10.61,10.62,313329
1-May-14,10.65,10.75,10.58,10.64,435595
30-Apr-14,10.68,10.75,10.61,10.70,388580
29-Apr-14,10.60,10.67,10.52,10.66,448570
28-Apr-14,10.84,10.85,10.52,10.57,911779
25-Apr-14,10.90,10.92,10.83,10.84,405134
24-Apr-14,10.99,11.02,10.90,10.94,252055
23-Apr-14,10.95,11.02,10.92,10.94,251878
22-Apr-14,10.92,10.99,10.90,10.97,441735
21-Apr-14,10.88,10.95,10.87,10.93,278691
17-Apr-14,10.95,10.95,10.87,10.89,371340
16-Apr-14,11.01,11.02,10.92,10.96,266757
15-Apr-14,10.89,10.97,10.84,10.94,443232
14-Apr-14,10.98,10.98,10.81,10.86,383186
11-Apr-14,10.96,11.03,10.85,10.85,495422
10-Apr-14,11.10,11.15,10.98,10.98,459695
9-Apr-14,11.15,11.17,11.06,11.11,304047
8-Apr-14,11.12,11.15,11.03,11.11,398320
7-Apr-14,11.01,11.12,10.95,11.09,595168
4-Apr-14,11.20,11.20,10.95,11.01,593786
3-Apr-14,11.23,11.23,11.13,11.20,444739
2-Apr-14,11.14,11.22,11.09,11.20,542975
1-Apr-14,11.10,11.18,11.02,11.09,543453
31-Mar-14,11.12,11.25,11.05,11.05,853070
28-Mar-14,11.07,11.14,10.98,11.04,750673
27-Mar-14,10.90,11.04,10.89,11.04,518604
26-Mar-14,11.14,11.14,10.88,10.89,465129
25-Mar-14,11.05,11.13,11.02,11.07,321220
24-Mar-14,11.08,11.08,10.91,11.03,467952
21-Mar-14,11.03,11.12,10.91,11.02,1308526
20-Mar-14,11.02,11.04,10.94,11.00,416964
19-Mar-14,11.03,11.08,10.92,10.98,711471
18-Mar-14,11.00,11.12,10.95,10.99,694209
17-Mar-14,11.16,11.30,11.15,11.26,642669
14-Mar-14,11.21,11.26,11.12,11.14,530082
13-Mar-14,11.32,11.35,11.16,11.21,492201
12-Mar-14,11.15,11.32,11.15,11.27,379761
11-Mar-14,11.34,11.37,11.18,11.20,315689
10-Mar-14,11.26,11.35,11.25,11.35,301018
7-Mar-14,11.41,11.44,11.23,11.28,306833
6-Mar-14,11.25,11.45,11.25,11.36,404113
5-Mar-14,11.24,11.33,11.17,11.23,477814
4-Mar-14,11.46,11.50,11.23,11.25,896791
3-Mar-14,11.40,11.49,11.35,11.41,327641
28-Feb-14,11.50,11.51,11.33,11.44,365668
27-Feb-14,11.41,11.47,11.32,11.47,391608
26-Feb-14,11.35,11.47,11.28,11.41,312148
25-Feb-14,11.61,11.64,11.28,11.33,633520
24-Feb-14,11.65,11.71,11.58,11.65,323465
21-Feb-14,11.57,11.67,11.55,11.60,275653
20-Feb-14,11.41,11.62,11.38,11.52,282314
19-Feb-14,11.50,11.67,11.35,11.37,409533
18-Feb-14,11.40,11.59,11.38,11.56,635955
14-Feb-14,11.38,11.40,11.31,11.36,342287
13-Feb-14,11.25,11.40,11.25,11.35,298876
12-Feb-14,11.38,11.43,11.24,11.33,367421
