Date,Open,High,Low,Close,Volume
23-Oct-14,2.91,3.19,2.91,3.15,134181
22-Oct-14,2.95,2.95,2.83,2.92,50078
21-Oct-14,2.95,2.95,2.81,2.86,103154
20-Oct-14,2.75,2.87,2.75,2.87,40075
17-Oct-14,2.83,2.87,2.80,2.83,19191
16-Oct-14,2.79,2.89,2.76,2.85,18998
15-Oct-14,2.59,2.79,2.59,2.79,27242
14-Oct-14,2.63,2.73,2.45,2.66,103442
13-Oct-14,2.63,2.65,2.56,2.65,42330
10-Oct-14,2.60,2.69,2.48,2.63,39003
9-Oct-14,2.45,2.71,2.35,2.57,130039
8-Oct-14,2.29,2.29,2.19,2.22,20183
7-Oct-14,2.21,2.32,2.13,2.27,198366
6-Oct-14,2.54,2.59,2.27,2.28,82927
3-Oct-14,2.61,2.63,2.50,2.56,55027
2-Oct-14,2.60,2.65,2.58,2.62,37017
1-Oct-14,2.76,2.81,2.63,2.65,147866
30-Sep-14,2.79,2.84,2.75,2.82,24632
29-Sep-14,2.63,2.80,2.56,2.79,148769
26-Sep-14,2.59,2.68,2.59,2.65,27281
25-Sep-14,2.65,2.76,2.57,2.60,90641
24-Sep-14,2.80,2.84,2.65,2.67,23607
23-Sep-14,2.75,2.80,2.72,2.80,36682
22-Sep-14,2.75,2.79,2.70,2.77,41510
19-Sep-14,2.76,2.87,2.71,2.76,48028
18-Sep-14,2.69,2.88,2.66,2.76,210626
17-Sep-14,3.00,3.08,2.96,2.98,82736
16-Sep-14,2.99,3.02,2.95,3.00,26969
15-Sep-14,2.97,3.03,2.94,2.97,57729
12-Sep-14,2.92,3.08,2.89,2.94,85044
11-Sep-14,3.00,3.05,2.92,2.93,84445
10-Sep-14,3.14,3.14,3.00,3.00,48531
9-Sep-14,3.20,3.21,3.05,3.13,69471
8-Sep-14,3.07,3.21,3.06,3.17,49509
5-Sep-14,3.03,3.10,3.00,3.06,52796
4-Sep-14,2.97,3.08,2.97,3.01,12049
3-Sep-14,3.01,3.04,2.97,2.99,24843
2-Sep-14,3.07,3.10,2.90,3.03,26802
29-Aug-14,3.20,3.23,3.02,3.05,81307
28-Aug-14,2.97,3.24,2.88,3.20,120181
27-Aug-14,2.91,2.93,2.88,2.93,26547
26-Aug-14,2.93,2.99,2.88,2.92,39732
25-Aug-14,2.97,3.00,2.92,2.96,52499
22-Aug-14,2.96,2.97,2.94,2.96,23033
21-Aug-14,2.93,2.97,2.93,2.97,45303
20-Aug-14,2.99,3.02,2.92,2.98,51469
19-Aug-14,3.02,3.03,2.94,2.97,39281
18-Aug-14,2.95,3.05,2.88,3.02,64245
15-Aug-14,2.94,2.95,2.86,2.95,64559
14-Aug-14,2.94,2.98,2.90,2.96,84470
13-Aug-14,3.03,3.03,2.96,2.99,31114
12-Aug-14,2.94,2.98,2.90,2.98,151685
11-Aug-14,2.93,3.00,2.90,2.95,70292
8-Aug-14,2.81,2.88,2.78,2.87,91631
7-Aug-14,2.79,2.88,2.75,2.81,125042
6-Aug-14,2.90,2.96,2.55,2.81,258145
5-Aug-14,3.05,3.08,2.96,3.02,76479
4-Aug-14,3.15,3.15,2.96,3.05,60439
1-Aug-14,3.31,3.31,3.16,3.17,31415
31-Jul-14,3.32,3.36,3.24,3.28,23811
30-Jul-14,3.32,3.37,3.29,3.34,44077
29-Jul-14,3.23,3.36,3.23,3.29,40762
28-Jul-14,3.20,3.28,3.18,3.25,54814
25-Jul-14,3.14,3.21,3.14,3.15,20511
24-Jul-14,3.10,3.14,3.10,3.14,11882
23-Jul-14,3.13,3.18,3.07,3.12,50223
22-Jul-14,3.07,3.22,3.07,3.13,30071
21-Jul-14,3.18,3.20,3.05,3.08,94491
18-Jul-14,3.29,3.36,3.22,3.24,38391
17-Jul-14,3.44,3.44,3.30,3.32,24838
16-Jul-14,3.47,3.47,3.40,3.42,15687
15-Jul-14,3.52,3.52,3.38,3.40,50431
14-Jul-14,3.36,3.49,3.25,3.48,79686
11-Jul-14,3.58,3.58,3.39,3.39,43881
10-Jul-14,3.54,3.58,3.37,3.56,86910
9-Jul-14,3.69,3.69,3.51,3.61,54341
8-Jul-14,3.84,3.84,3.63,3.63,104210
7-Jul-14,4.00,4.09,3.73,3.81,599826
3-Jul-14,3.69,4.00,3.68,4.00,237009
2-Jul-14,3.60,3.65,3.52,3.63,46581
1-Jul-14,3.60,3.60,3.44,3.58,85299
30-Jun-14,3.69,3.69,3.50,3.61,129649
27-Jun-14,3.61,3.68,3.50,3.67,62035
26-Jun-14,3.60,3.62,3.47,3.58,61612
25-Jun-14,3.63,3.65,3.44,3.61,61707
24-Jun-14,3.67,3.76,3.63,3.65,155591
23-Jun-14,3.85,3.88,3.60,3.63,128146
20-Jun-14,3.73,4.00,3.71,3.81,402175
19-Jun-14,3.58,3.81,3.54,3.70,412452
18-Jun-14,3.55,3.60,3.49,3.55,554982
17-Jun-14,3.54,3.55,3.47,3.53,46343
16-Jun-14,3.50,3.63,3.40,3.51,171002
13-Jun-14,3.42,3.48,3.40,3.47,576801
12-Jun-14,3.50,3.50,3.41,3.44,37364
11-Jun-14,3.48,3.53,3.45,3.50,66046
10-Jun-14,3.44,3.52,3.43,3.47,43951
9-Jun-14,3.55,3.55,3.43,3.48,87131
6-Jun-14,3.57,3.57,3.46,3.52,71745
5-Jun-14,3.57,3.57,3.50,3.54,45653
4-Jun-14,3.65,3.69,3.47,3.56,89057
3-Jun-14,3.67,3.67,3.51,3.58,133922
2-Jun-14,3.67,3.75,3.59,3.67,223025
30-May-14,3.63,3.69,3.48,3.61,124397
29-May-14,3.60,3.71,3.46,3.60,55859
28-May-14,3.81,3.81,3.48,3.57,158634
27-May-14,3.55,3.90,3.47,3.63,403169
23-May-14,3.21,3.49,3.21,3.43,56244
22-May-14,3.35,3.36,3.22,3.26,55593
21-May-14,3.21,3.35,3.21,3.34,32002
20-May-14,3.35,3.35,3.22,3.25,27003
19-May-14,3.22,3.37,3.15,3.36,50198
16-May-14,3.20,3.29,3.15,3.20,72438
15-May-14,3.33,3.36,3.21,3.24,32565
14-May-14,3.36,3.36,3.26,3.33,37764
13-May-14,3.41,3.44,3.28,3.32,67297
12-May-14,3.43,3.47,3.37,3.40,63344
9-May-14,3.09,3.52,3.05,3.30,428127
8-May-14,2.96,3.15,2.94,3.03,246890
7-May-14,3.10,3.10,2.94,2.99,66791
6-May-14,3.00,3.02,2.95,2.97,53931
5-May-14,2.95,3.05,2.91,2.94,51510
2-May-14,3.10,3.14,2.96,2.99,102053
1-May-14,3.08,3.20,3.08,3.15,36952
30-Apr-14,3.12,3.25,3.08,3.12,118142
29-Apr-14,3.12,3.20,3.08,3.16,37343
28-Apr-14,3.15,3.22,3.07,3.12,92619
25-Apr-14,3.17,3.25,3.08,3.14,67933
24-Apr-14,3.21,3.25,3.13,3.17,41090
23-Apr-14,3.13,3.20,3.06,3.20,85228
22-Apr-14,3.08,3.13,3.02,3.11,87775
21-Apr-14,2.95,3.06,2.89,3.03,54169
17-Apr-14,3.02,3.04,2.86,2.94,48764
16-Apr-14,2.79,3.02,2.79,3.02,79760
15-Apr-14,2.84,2.84,2.75,2.79,61263
14-Apr-14,2.80,2.84,2.75,2.81,89167
11-Apr-14,2.77,2.94,2.75,2.84,67066
10-Apr-14,2.87,3.04,2.85,2.90,230341
9-Apr-14,2.87,2.93,2.74,2.79,81141
8-Apr-14,2.83,2.86,2.72,2.85,45378
7-Apr-14,2.87,2.87,2.52,2.83,110363
4-Apr-14,2.91,3.07,2.84,2.87,80308
3-Apr-14,3.00,3.05,2.89,2.93,118480
2-Apr-14,3.13,3.13,2.97,3.04,152456
1-Apr-14,3.10,3.15,2.92,3.09,95962
31-Mar-14,3.07,3.19,2.98,3.06,199753
28-Mar-14,2.88,3.05,2.86,2.96,141681
27-Mar-14,2.81,2.91,2.68,2.86,72362
26-Mar-14,2.90,2.90,2.81,2.84,91660
25-Mar-14,2.90,2.95,2.64,2.92,168026
24-Mar-14,2.90,2.93,2.75,2.84,226234
21-Mar-14,2.95,2.99,2.85,2.96,167994
20-Mar-14,2.99,3.03,2.78,2.91,313578
19-Mar-14,3.33,3.33,3.00,3.03,248656
18-Mar-14,3.20,3.36,3.17,3.27,316339
17-Mar-14,3.05,3.34,3.04,3.24,1325952
14-Mar-14,2.96,3.05,2.93,2.99,190685
13-Mar-14,3.05,3.05,2.82,2.90,169188
12-Mar-14,2.75,3.10,2.68,3.00,410110
11-Mar-14,2.90,2.90,2.75,2.80,92082
10-Mar-14,2.77,2.93,2.67,2.90,309066
7-Mar-14,2.65,2.84,2.50,2.77,377497
6-Mar-14,2.31,2.47,2.15,2.47,66891
5-Mar-14,2.65,2.65,2.23,2.31,195411
4-Mar-14,2.10,2.36,2.07,2.24,156848
3-Mar-14,2.05,2.09,2.05,2.05,35223
28-Feb-14,1.96,2.10,1.96,2.06,94528
27-Feb-14,1.97,2.00,1.96,1.99,14890
26-Feb-14,1.97,2.01,1.97,2.01,20771
25-Feb-14,2.01,2.02,1.95,2.00,80370
24-Feb-14,2.04,2.04,2.00,2.04,38043
21-Feb-14,2.07,2.07,2.00,2.05,20447
20-Feb-14,2.10,2.10,2.00,2.08,49378
19-Feb-14,2.05,2.10,2.01,2.10,32262
18-Feb-14,2.00,2.05,1.82,2.05,374974
14-Feb-14,2.12,2.12,2.02,2.03,98176
13-Feb-14,2.12,2.24,2.12,2.13,17155
12-Feb-14,2.19,2.20,2.15,2.16,36157
11-Feb-14,2.25,2.27,2.16,2.21,56259
10-Feb-14,2.25,2.30,2.19,2.24,75532
7-Feb-14,2.30,2.34,2.19,2.32,56624
6-Feb-14,2.34,2.40,2.10,2.28,271407
5-Feb-14,2.38,2.38,2.30,2.33,32609
4-Feb-14,2.45,2.60,2.35,2.37,61620
3-Feb-14,2.52,2.52,2.42,2.52,35004
31-Jan-14,2.38,2.50,2.38,2.50,28955
30-Jan-14,2.38,2.47,2.38,2.46,13432
29-Jan-14,2.32,2.43,2.28,2.43,19480
28-Jan-14,2.40,2.45,2.35,2.44,52014
27-Jan-14,2.44,2.44,2.35,2.37,73769
24-Jan-14,2.45,2.46,2.42,2.46,18352
23-Jan-14,2.46,2.46,2.35,2.46,33197
22-Jan-14,2.42,2.46,2.42,2.46,21879
21-Jan-14,2.44,2.45,2.37,2.41,20265
17-Jan-14,2.39,2.46,2.32,2.43,35063
16-Jan-14,2.33,2.46,2.33,2.37,52112
15-Jan-14,2.25,2.39,2.25,2.32,40916
14-Jan-14,2.22,2.30,2.16,2.25,53307
13-Jan-14,2.31,2.38,2.22,2.23,79454
10-Jan-14,2.43,2.43,2.35,2.35,45980
9-Jan-14,2.43,2.44,2.40,2.40,19738
8-Jan-14,2.50,2.52,2.40,2.42,26296
7-Jan-14,2.42,2.46,2.35,2.43,16047
6-Jan-14,2.45,2.50,2.36,2.45,35063
3-Jan-14,2.50,2.50,2.35,2.41,37654
2-Jan-14,2.50,2.54,2.40,2.46,36106
31-Dec-13,2.51,2.53,2.29,2.48,113036
30-Dec-13,2.51,2.55,2.38,2.43,68699
27-Dec-13,2.64,2.66,2.51,2.51,56254
26-Dec-13,2.61,2.68,2.55,2.55,18901
24-Dec-13,2.65,2.65,2.55,2.59,37383
23-Dec-13,2.55,2.69,2.55,2.59,94035
20-Dec-13,2.20,2.55,2.19,2.50,113587
19-Dec-13,2.12,2.23,2.12,2.19,49863
18-Dec-13,2.27,2.27,2.16,2.16,32824
17-Dec-13,2.14,2.28,2.14,2.22,32469
16-Dec-13,2.24,2.27,2.12,2.16,30785
13-Dec-13,2.21,2.27,2.21,2.26,26825
12-Dec-13,2.02,2.23,2.02,2.16,64290
11-Dec-13,2.19,2.25,2.06,2.06,128740
10-Dec-13,2.13,2.23,2.02,2.23,123493
9-Dec-13,2.36,2.36,2.15,2.18,148973
6-Dec-13,2.37,2.38,2.28,2.33,62278
5-Dec-13,2.33,2.47,2.27,2.32,54786
4-Dec-13,2.33,2.34,2.26,2.34,54199
3-Dec-13,2.52,2.56,2.30,2.37,110181
2-Dec-13,2.51,2.66,2.48,2.51,112659
29-Nov-13,2.55,2.66,2.44,2.66,51135
27-Nov-13,2.45,2.58,2.44,2.51,132536
26-Nov-13,2.46,2.55,2.45,2.51,110151
25-Nov-13,2.53,2.53,2.40,2.47,172900
22-Nov-13,2.59,2.59,2.41,2.50,157666
21-Nov-13,2.57,2.60,2.35,2.54,174422
20-Nov-13,2.73,2.73,2.51,2.59,118715
19-Nov-13,2.74,2.86,2.50,2.57,315523
18-Nov-13,2.94,2.95,2.72,2.77,216444
15-Nov-13,2.92,3.00,2.76,2.94,239875
14-Nov-13,2.90,2.95,2.63,2.91,381634
13-Nov-13,2.56,2.95,2.56,2.91,409837
12-Nov-13,2.66,2.66,2.52,2.65,185114
11-Nov-13,2.43,2.66,2.43,2.66,254641
8-Nov-13,2.46,2.48,2.36,2.43,136793
7-Nov-13,2.64,2.64,2.28,2.44,493164
6-Nov-13,2.23,2.69,2.20,2.65,762861
5-Nov-13,2.16,2.25,2.04,2.16,740992
4-Nov-13,1.94,1.95,1.79,1.91,157339
1-Nov-13,1.75,1.95,1.75,1.90,231236
31-Oct-13,1.89,1.89,1.73,1.78,55387
30-Oct-13,1.88,1.90,1.81,1.85,70594
29-Oct-13,1.99,2.00,1.85,1.91,277084
28-Oct-13,1.95,1.98,1.91,1.98,32196
25-Oct-13,1.89,2.00,1.83,1.95,56659
24-Oct-13,1.80,1.99,1.78,1.93,119156
23-Oct-13,1.94,1.95,1.83,1.87,52986
22-Oct-13,1.93,2.00,1.88,1.92,142110
21-Oct-13,1.82,1.95,1.82,1.91,151309
18-Oct-13,1.85,1.86,1.73,1.82,61438
17-Oct-13,1.81,1.90,1.71,1.85,95952
16-Oct-13,1.68,1.90,1.60,1.81,223524
15-Oct-13,1.81,1.81,1.61,1.66,97590
14-Oct-13,1.90,1.90,1.76,1.76,89663
11-Oct-13,1.74,1.94,1.60,1.89,414166
10-Oct-13,2.10,2.15,1.64,1.67,703300
9-Oct-13,1.55,3.18,1.55,1.98,2384716
8-Oct-13,1.54,1.54,1.45,1.51,134775
7-Oct-13,1.50,1.53,1.41,1.51,76501
4-Oct-13,1.45,1.53,1.42,1.49,174067
3-Oct-13,1.38,1.45,1.37,1.43,148908
2-Oct-13,1.35,1.37,1.31,1.36,48121
1-Oct-13,1.32,1.36,1.32,1.33,90316
30-Sep-13,1.28,1.36,1.21,1.32,129536
27-Sep-13,1.34,1.37,1.27,1.28,207739
26-Sep-13,1.26,1.38,1.25,1.38,466335
25-Sep-13,1.18,1.27,1.18,1.26,524075
24-Sep-13,1.16,1.17,1.13,1.13,91545
23-Sep-13,1.18,1.19,1.16,1.16,828771
20-Sep-13,1.20,1.20,1.15,1.18,160454
19-Sep-13,1.13,1.20,1.12,1.17,198454
18-Sep-13,1.10,1.13,1.10,1.13,88282
17-Sep-13,1.06,1.08,1.05,1.07,36162
16-Sep-13,1.06,1.08,1.06,1.06,97345
13-Sep-13,1.05,1.06,1.02,1.05,140065
12-Sep-13,1.03,1.03,1.00,1.02,212888
11-Sep-13,0.99,1.02,0.98,1.00,208259
10-Sep-13,0.97,1.00,0.97,0.99,199845
9-Sep-13,0.94,0.97,0.94,0.97,18637
6-Sep-13,0.95,0.96,0.91,0.95,37013
5-Sep-13,0.95,0.99,0.94,0.95,11303
4-Sep-13,0.96,0.98,0.94,0.94,57682
3-Sep-13,0.99,0.99,0.94,0.95,43024
30-Aug-13,0.96,0.97,0.94,0.95,9520
29-Aug-13,0.96,1.00,0.96,0.96,50939
28-Aug-13,0.95,0.99,0.94,0.95,43084
27-Aug-13,0.95,0.99,0.94,0.94,35431
26-Aug-13,0.94,0.95,0.94,0.95,54850
23-Aug-13,1.00,1.00,0.93,0.94,113725
22-Aug-13,0.95,0.98,0.93,0.97,89566
21-Aug-13,0.99,0.99,0.95,0.95,21772
20-Aug-13,1.00,1.00,0.94,0.97,17995
19-Aug-13,0.97,1.00,0.96,0.97,49843
16-Aug-13,0.99,1.00,0.95,0.95,37298
15-Aug-13,1.00,1.00,0.96,0.97,21686
14-Aug-13,1.05,1.05,0.93,0.99,264711
13-Aug-13,1.05,1.09,1.01,1.03,59672
12-Aug-13,0.99,1.04,0.97,0.99,129280
9-Aug-13,0.96,0.99,0.96,0.97,43865
8-Aug-13,0.99,1.05,0.97,0.97,102289
7-Aug-13,1.03,1.03,0.94,0.99,180180
6-Aug-13,1.11,1.12,1.08,1.09,127453
5-Aug-13,1.16,1.16,1.10,1.13,228639
2-Aug-13,1.21,1.23,1.15,1.15,131765
1-Aug-13,1.23,1.23,1.12,1.21,96622
31-Jul-13,1.25,1.26,1.16,1.20,441065
30-Jul-13,1.09,1.29,1.07,1.24,1094686
29-Jul-13,0.96,1.09,0.96,1.04,292662
26-Jul-13,0.96,0.98,0.93,0.95,73710
25-Jul-13,0.98,0.98,0.93,0.96,84544
24-Jul-13,0.98,1.00,0.95,0.96,100865
23-Jul-13,0.96,1.00,0.96,0.97,70500
22-Jul-13,1.01,1.01,0.95,0.95,66132
19-Jul-13,1.02,1.02,0.97,0.97,98671
18-Jul-13,0.96,1.06,0.96,1.04,295009
17-Jul-13,0.96,1.02,0.96,0.96,120766
16-Jul-13,1.01,1.06,0.93,0.94,168965
15-Jul-13,1.03,1.06,1.00,1.00,265669
12-Jul-13,1.04,1.06,1.03,1.03,91770
11-Jul-13,1.05,1.08,1.04,1.05,135392
10-Jul-13,1.10,1.16,1.02,1.04,592720
9-Jul-13,1.14,1.18,1.09,1.12,355040
8-Jul-13,1.10,1.15,1.10,1.13,52745
5-Jul-13,1.14,1.19,1.07,1.12,48590
3-Jul-13,1.10,1.17,1.10,1.11,14594
2-Jul-13,1.11,1.12,1.05,1.12,321049
1-Jul-13,1.14,1.15,1.10,1.13,101024
28-Jun-13,1.14,1.19,1.11,1.15,2440983
27-Jun-13,1.21,1.21,1.14,1.14,119313
26-Jun-13,1.18,1.22,1.15,1.19,127091
25-Jun-13,1.16,1.22,1.13,1.17,103499
24-Jun-13,1.20,1.25,1.13,1.16,104892
21-Jun-13,1.20,1.26,1.20,1.20,107129
20-Jun-13,1.22,1.25,1.20,1.20,62394
19-Jun-13,1.23,1.26,1.23,1.24,41134
18-Jun-13,1.25,1.27,1.22,1.24,64497
17-Jun-13,1.27,1.33,1.24,1.24,758231
14-Jun-13,1.28,1.31,1.24,1.25,56919
13-Jun-13,1.28,1.34,1.23,1.25,91381
12-Jun-13,1.24,1.30,1.24,1.26,51254
11-Jun-13,1.26,1.29,1.25,1.25,42349
10-Jun-13,1.35,1.36,1.24,1.27,122808
7-Jun-13,1.32,1.35,1.27,1.30,92396
6-Jun-13,1.27,1.30,1.24,1.29,140638
5-Jun-13,1.36,1.36,1.30,1.31,103835
4-Jun-13,1.30,1.35,1.29,1.29,102865
3-Jun-13,1.24,1.30,1.23,1.29,126042
31-May-13,1.24,1.28,1.22,1.24,64100
30-May-13,1.26,1.28,1.21,1.23,61145
29-May-13,1.28,1.31,1.24,1.24,120455
28-May-13,1.33,1.39,1.28,1.31,129967
24-May-13,1.19,1.31,1.19,1.29,207393
23-May-13,1.13,1.19,1.12,1.17,49781
22-May-13,1.14,1.18,1.13,1.14,102520
21-May-13,1.15,1.16,1.12,1.15,113769
20-May-13,1.17,1.19,1.11,1.12,192157
17-May-13,1.21,1.28,1.10,1.17,150371
16-May-13,1.23,1.26,1.19,1.19,340913
15-May-13,1.28,1.28,1.16,1.24,553083
14-May-13,1.21,1.30,1.21,1.26,584128
13-May-13,1.20,1.25,1.20,1.24,115212
10-May-13,1.23,1.25,1.16,1.20,95396
9-May-13,1.35,1.38,1.24,1.26,427626
8-May-13,1.62,1.64,1.26,1.35,931087
7-May-13,1.38,1.88,1.38,1.46,958588
6-May-13,1.27,1.36,1.27,1.36,53610
3-May-13,1.24,1.28,1.23,1.26,48518
2-May-13,1.24,1.30,1.20,1.23,52375
1-May-13,1.25,1.31,1.20,1.22,84364
30-Apr-13,1.29,1.34,1.24,1.25,127773
29-Apr-13,1.23,1.28,1.23,1.28,43961
26-Apr-13,1.26,1.27,1.25,1.25,26878
25-Apr-13,1.29,1.29,1.24,1.26,79641
