Date,Open,High,Low,Close,Volume
23-Oct-14,51.15,51.26,50.90,50.95,33591
22-Oct-14,51.42,51.62,50.90,50.90,7031
21-Oct-14,51.00,51.56,51.00,51.44,24374
20-Oct-14,50.07,50.96,50.07,50.96,66181
17-Oct-14,50.53,50.60,50.01,50.60,33857
16-Oct-14,50.97,50.97,48.81,50.29,44279
15-Oct-14,50.50,50.60,49.52,50.47,40605
14-Oct-14,52.04,52.04,50.78,50.78,62428
13-Oct-14,50.54,51.30,50.25,50.75,72785
10-Oct-14,50.96,51.28,50.96,51.10,1203
9-Oct-14,51.75,51.75,50.77,50.84,5344
8-Oct-14,50.94,50.94,50.54,50.54,1254
7-Oct-14,51.32,51.32,51.00,51.00,1634
3-Oct-14,51.02,51.34,51.02,51.24,1087
2-Oct-14,50.62,50.73,50.53,50.73,1061
1-Oct-14,50.47,50.47,50.18,50.31,9001
30-Sep-14,51.17,51.17,50.88,50.89,2182
29-Sep-14,50.66,50.91,50.66,50.91,10711
26-Sep-14,50.41,50.75,50.41,50.75,521
25-Sep-14,50.12,50.36,50.12,50.29,13429
24-Sep-14,50.62,50.97,50.61,50.97,13465
23-Sep-14,50.77,50.77,50.37,50.37,1321
22-Sep-14,51.04,51.04,50.89,51.01,2187
19-Sep-14,51.52,51.52,51.47,51.47,469
18-Sep-14,51.38,51.51,51.30,51.51,1414
17-Sep-14,51.13,51.43,51.13,51.22,3201
16-Sep-14,50.98,51.22,50.98,51.22,1123
15-Sep-14,51.29,51.29,50.80,50.92,9176
12-Sep-14,51.68,51.68,51.36,51.36,5243
11-Sep-14,51.46,51.76,51.46,51.66,1924
10-Sep-14,51.17,51.53,51.17,51.53,2341
9-Sep-14,51.69,51.69,51.20,51.20,494
8-Sep-14,51.01,51.09,51.01,51.09,2029
5-Sep-14,50.93,51.08,50.93,51.04,1859
4-Sep-14,51.33,51.43,50.92,50.92,1668
3-Sep-14,51.40,51.40,51.26,51.26,1206
2-Sep-14,51.15,51.50,51.05,51.45,1408
29-Aug-14,50.81,51.07,50.81,51.07,1230
28-Aug-14,50.82,50.93,50.71,50.88,7070
27-Aug-14,51.07,51.07,50.97,50.97,318
26-Aug-14,50.77,50.77,50.77,50.77,267
25-Aug-14,50.91,50.91,50.91,50.91,358
22-Aug-14,50.28,50.61,50.28,50.51,3824
21-Aug-14,50.44,50.44,50.37,50.37,550
20-Aug-14,50.16,50.35,50.15,50.33,2772
19-Aug-14,50.44,50.55,50.44,50.50,2884
18-Aug-14,49.86,50.43,49.86,50.36,3646
15-Aug-14,49.81,49.81,49.81,49.81,673
14-Aug-14,50.02,50.11,49.96,49.96,522
13-Aug-14,49.80,49.80,49.80,49.80,256
12-Aug-14,49.88,49.88,49.61,49.61,764
11-Aug-14,49.98,50.33,49.98,50.10,12846
8-Aug-14,48.85,49.19,48.85,49.19,641
7-Aug-14,48.50,48.65,48.50,48.65,781
6-Aug-14,47.73,48.42,47.73,48.34,4493
5-Aug-14,47.75,48.08,47.72,47.88,6902
4-Aug-14,47.82,48.01,46.00,48.01,6962
1-Aug-14,47.61,47.70,47.55,47.70,4022
31-Jul-14,47.88,47.94,47.51,47.53,3439
30-Jul-14,48.89,48.89,48.29,48.32,5454
29-Jul-14,49.06,49.06,48.68,48.68,1342
28-Jul-14,49.00,49.00,48.66,48.93,4799
25-Jul-14,49.12,49.12,49.03,49.10,1549
24-Jul-14,49.42,49.55,49.33,49.42,8345
23-Jul-14,49.46,49.46,49.26,49.30,3773
22-Jul-14,49.50,49.53,49.45,49.47,2011
