Date,Open,High,Low,Close,Volume
23-Oct-14,36.10,37.15,35.90,36.92,4267
22-Oct-14,37.63,37.85,35.61,35.61,15455
21-Oct-14,37.00,37.31,36.58,37.31,14391
20-Oct-14,35.42,36.60,35.42,36.14,12960
17-Oct-14,37.62,38.28,35.70,35.94,16816
16-Oct-14,34.53,37.19,34.53,36.84,26621
15-Oct-14,33.72,35.30,32.61,35.21,14871
14-Oct-14,34.87,35.32,33.67,34.00,9552
13-Oct-14,36.80,36.80,34.58,34.58,27682
10-Oct-14,37.32,37.38,36.00,36.41,12813
9-Oct-14,39.46,39.46,37.66,37.66,5092
8-Oct-14,39.33,39.42,37.86,39.42,13594
7-Oct-14,40.06,40.52,39.70,39.71,5352
6-Oct-14,40.70,40.90,40.00,40.32,11459
3-Oct-14,40.91,41.11,40.65,40.65,29415
2-Oct-14,41.41,41.45,40.13,41.22,12252
1-Oct-14,42.58,42.64,41.63,41.67,4727
30-Sep-14,43.16,43.30,43.16,43.30,7192
29-Sep-14,43.68,44.34,43.63,44.18,22709
26-Sep-14,43.81,44.22,43.81,44.17,1729
25-Sep-14,44.58,44.58,43.75,43.75,2557
24-Sep-14,44.00,44.70,43.78,44.67,4848
23-Sep-14,43.90,44.59,43.90,44.17,25420
22-Sep-14,44.63,44.63,43.80,44.03,7266
19-Sep-14,45.83,45.83,45.03,45.28,5435
18-Sep-14,46.47,46.47,45.63,45.80,2635
17-Sep-14,46.99,46.99,46.44,46.72,2308
16-Sep-14,46.28,46.73,46.20,46.51,3370
15-Sep-14,46.00,46.21,45.50,46.16,7627
12-Sep-14,46.74,46.74,45.85,45.87,8987
11-Sep-14,46.00,46.93,46.00,46.92,11080
10-Sep-14,45.61,46.43,45.61,46.32,22001
9-Sep-14,46.62,47.04,46.10,46.18,5978
8-Sep-14,47.03,47.13,46.50,46.55,7883
5-Sep-14,47.34,47.55,47.29,47.55,1652
4-Sep-14,48.82,48.82,47.25,47.33,10716
3-Sep-14,49.29,49.40,48.94,48.94,2968
2-Sep-14,49.49,49.49,48.68,48.82,6521
29-Aug-14,49.04,49.57,49.04,49.57,2705
28-Aug-14,48.90,49.17,48.87,48.91,3468
27-Aug-14,49.07,49.36,49.07,49.12,3701
26-Aug-14,49.13,49.25,48.99,49.23,13161
25-Aug-14,48.43,48.50,48.23,48.47,4481
22-Aug-14,47.78,48.18,47.54,48.16,10414
21-Aug-14,47.94,48.12,47.39,48.12,20305
20-Aug-14,48.10,48.10,47.64,47.90,8387
19-Aug-14,48.36,48.74,48.34,48.35,20769
18-Aug-14,48.03,48.09,47.67,47.96,3972
15-Aug-14,47.50,47.70,47.40,47.66,2522
14-Aug-14,47.69,47.69,47.16,47.24,4131
13-Aug-14,47.89,47.96,47.79,47.91,2015
12-Aug-14,49.25,49.25,47.82,47.83,2471
11-Aug-14,48.82,49.35,48.73,48.73,172685
8-Aug-14,47.75,48.49,47.75,48.44,2298
7-Aug-14,47.92,48.00,47.05,47.24,18945
6-Aug-14,47.38,48.09,47.38,47.71,3159
5-Aug-14,48.36,48.69,47.37,47.84,101012
4-Aug-14,47.82,48.98,47.51,48.97,6290
1-Aug-14,48.13,48.20,47.16,47.82,18390
31-Jul-14,49.44,49.49,48.04,48.14,41677
30-Jul-14,50.05,50.68,49.64,49.64,3321
29-Jul-14,49.54,50.28,49.54,50.18,2986
28-Jul-14,50.26,50.26,49.52,49.75,6691
25-Jul-14,50.71,50.71,50.16,50.35,4100
24-Jul-14,51.36,51.42,50.75,50.95,19058
23-Jul-14,50.97,51.20,50.92,51.14,15470
22-Jul-14,50.84,51.25,50.84,51.08,4505
21-Jul-14,50.41,50.65,50.27,50.57,12357
18-Jul-14,50.33,50.72,50.33,50.60,8417
17-Jul-14,51.12,51.50,50.22,50.26,6321
16-Jul-14,50.80,51.36,50.80,51.25,8856
15-Jul-14,51.64,51.64,50.29,50.72,9849
14-Jul-14,51.51,51.96,51.51,51.93,3408
11-Jul-14,51.40,51.43,51.10,51.10,4172
10-Jul-14,51.88,52.02,51.50,52.01,3654
9-Jul-14,52.89,52.89,52.40,52.84,4749
8-Jul-14,52.60,52.74,51.68,52.74,10280
7-Jul-14,54.13,54.13,52.57,52.60,7518
3-Jul-14,54.00,54.20,53.92,54.10,4317
2-Jul-14,54.44,54.64,53.88,53.88,32723
1-Jul-14,54.81,54.85,54.47,54.47,8256
30-Jun-14,54.00,54.49,53.83,54.49,9689
27-Jun-14,53.50,54.08,53.47,54.08,5393
26-Jun-14,53.41,53.69,53.36,53.65,28538
25-Jun-14,52.42,53.67,52.40,53.67,23217
24-Jun-14,54.25,54.28,52.48,52.48,9484
23-Jun-14,54.51,54.70,54.22,54.22,4391
20-Jun-14,54.22,54.49,54.06,54.48,5393
19-Jun-14,54.38,54.38,53.86,54.21,5489
18-Jun-14,53.54,54.15,53.50,54.15,20633
17-Jun-14,53.30,53.88,53.30,53.40,9559
16-Jun-14,53.47,53.55,53.12,53.36,6598
13-Jun-14,52.70,53.02,52.55,52.98,2931
12-Jun-14,52.99,53.09,52.54,52.70,5650
11-Jun-14,52.07,52.40,52.04,52.38,13173
10-Jun-14,52.37,52.37,52.14,52.18,2175
9-Jun-14,51.89,52.69,51.89,52.33,2255
6-Jun-14,51.57,51.92,51.52,51.92,2273
5-Jun-14,51.02,51.39,51.02,51.39,2058
4-Jun-14,50.22,50.70,49.92,50.58,4276
3-Jun-14,50.35,50.74,50.19,50.73,5098
2-Jun-14,51.24,51.36,50.47,50.53,3251
30-May-14,51.20,51.32,50.88,51.16,2638
29-May-14,51.02,51.60,50.63,51.58,17891
28-May-14,50.87,50.88,50.20,50.59,12625
27-May-14,50.43,50.74,50.27,50.63,5143
23-May-14,50.51,50.51,50.17,50.34,2824
22-May-14,50.65,50.81,50.50,50.50,17268
21-May-14,49.61,50.31,49.61,50.28,6606
20-May-14,49.50,49.63,49.20,49.59,27650
19-May-14,49.54,50.16,49.54,50.13,6616
16-May-14,49.07,49.44,48.90,49.44,16604
15-May-14,49.67,49.67,48.41,49.22,22383
14-May-14,50.56,50.56,50.00,50.05,5235
13-May-14,50.30,50.64,50.00,50.61,14906
12-May-14,50.02,50.53,50.02,50.53,3480
9-May-14,49.65,49.94,49.52,49.80,18184
8-May-14,51.00,51.00,49.96,49.96,9528
7-May-14,50.90,51.50,50.44,51.47,10020
6-May-14,51.23,51.63,51.00,51.08,4393
5-May-14,51.34,51.54,51.00,51.35,2668
2-May-14,51.22,51.81,51.22,51.81,4949
1-May-14,52.09,52.09,50.75,51.01,12969
30-Apr-14,51.74,52.00,51.00,52.00,8700
29-Apr-14,51.28,52.18,51.28,51.62,52936
28-Apr-14,51.70,51.70,50.33,50.83,62237
25-Apr-14,52.00,52.08,51.35,51.47,20514
24-Apr-14,53.00,53.00,52.07,52.60,14339
23-Apr-14,52.63,53.03,52.56,52.71,6101
22-Apr-14,52.70,52.86,52.33,52.55,26595
21-Apr-14,52.96,52.96,52.12,52.54,43920
17-Apr-14,51.69,52.26,51.69,52.26,50402
16-Apr-14,51.50,51.82,51.34,51.72,11731
15-Apr-14,50.37,51.30,50.15,51.25,22348
14-Apr-14,50.96,50.96,50.11,50.33,14044
11-Apr-14,49.80,50.16,49.67,49.92,6861
10-Apr-14,51.06,51.06,49.78,50.20,4025
9-Apr-14,50.96,51.21,50.28,51.13,11627
8-Apr-14,49.70,50.97,49.70,50.88,5496
7-Apr-14,50.60,50.60,49.42,49.66,8353
4-Apr-14,52.12,52.30,50.78,50.89,5991
3-Apr-14,51.95,52.01,51.60,51.72,9230
2-Apr-14,51.42,51.85,51.42,51.80,8443
1-Apr-14,51.29,51.49,50.84,51.16,3894
31-Mar-14,51.29,51.46,50.96,51.41,23990
28-Mar-14,50.50,51.19,50.50,50.97,4819
27-Mar-14,49.66,50.64,49.65,50.22,8312
26-Mar-14,50.59,50.67,49.79,49.79,4106
25-Mar-14,50.15,50.43,50.12,50.43,11347
24-Mar-14,50.69,50.70,49.57,49.74,4119
21-Mar-14,49.80,50.60,49.80,50.02,45366
20-Mar-14,48.94,49.72,48.94,49.66,10775
19-Mar-14,48.90,49.17,48.78,49.07,8745
18-Mar-14,47.97,48.99,47.97,48.96,4307
17-Mar-14,47.97,47.97,47.50,47.88,2569
14-Mar-14,46.94,47.28,46.94,47.19,3127
13-Mar-14,47.94,47.94,46.77,46.93,17549
12-Mar-14,47.45,47.97,47.45,47.69,4422
11-Mar-14,49.13,49.22,47.51,47.58,9518
10-Mar-14,49.48,49.48,48.86,48.97,3653
7-Mar-14,49.74,49.74,49.23,49.50,2026
6-Mar-14,49.63,49.70,49.59,49.65,1928
5-Mar-14,49.69,49.69,49.17,49.37,41525
4-Mar-14,49.02,49.97,49.02,49.97,6315
3-Mar-14,48.90,49.07,48.65,48.66,13814
28-Feb-14,48.85,49.23,48.40,48.89,31725
27-Feb-14,47.95,48.54,47.62,48.54,7113
26-Feb-14,48.07,48.43,47.82,48.13,21002
25-Feb-14,48.28,48.28,47.83,48.05,1748
24-Feb-14,47.16,48.57,47.16,48.32,13332
21-Feb-14,47.15,47.57,47.15,47.45,4343
20-Feb-14,46.94,47.21,46.94,47.19,2739
19-Feb-14,46.70,47.01,46.70,46.70,3340
18-Feb-14,46.32,47.02,46.31,46.80,2973
14-Feb-14,46.24,46.31,46.10,46.31,2493
13-Feb-14,44.99,46.12,44.99,46.04,17855
12-Feb-14,44.38,44.98,44.38,44.98,2304
11-Feb-14,43.43,44.57,43.43,44.57,4834
10-Feb-14,43.53,43.61,43.21,43.61,2925
7-Feb-14,43.91,43.91,43.34,43.62,6585
6-Feb-14,43.76,43.88,43.75,43.81,3012
5-Feb-14,43.30,43.42,42.82,42.82,8544
4-Feb-14,43.16,43.89,43.16,43.88,7642
3-Feb-14,43.81,43.81,42.82,42.99,5529
31-Jan-14,44.03,44.54,43.84,44.25,9910
30-Jan-14,44.47,44.84,44.23,44.73,4118
29-Jan-14,44.39,44.51,44.10,44.11,3381
28-Jan-14,44.18,44.75,44.18,44.75,4564
27-Jan-14,44.48,44.48,43.66,44.36,12668
24-Jan-14,44.94,44.97,44.44,44.71,5137
23-Jan-14,46.12,46.29,45.40,45.52,12062
22-Jan-14,45.95,46.34,45.95,46.26,20493
21-Jan-14,45.23,45.53,45.23,45.48,4487
17-Jan-14,45.27,45.44,44.93,45.02,21178
16-Jan-14,45.15,45.48,44.99,45.34,20354
15-Jan-14,44.90,45.29,44.84,45.14,6544
14-Jan-14,43.91,44.88,43.31,44.80,9782
13-Jan-14,44.49,44.71,43.59,43.63,63402
10-Jan-14,44.19,44.75,44.18,44.63,11534
9-Jan-14,44.88,44.89,43.95,44.20,18650
8-Jan-14,45.23,45.30,44.65,44.71,12596
7-Jan-14,45.34,45.34,45.09,45.23,8755
6-Jan-14,45.26,45.26,44.75,45.10,37446
3-Jan-14,45.46,45.46,44.92,45.30,3219
2-Jan-14,46.11,46.11,45.09,45.29,7718
31-Dec-13,46.02,46.37,45.88,46.34,9190
30-Dec-13,46.75,46.93,46.05,46.05,6381
27-Dec-13,46.00,46.63,46.00,46.61,9112
26-Dec-13,46.46,46.46,46.03,46.14,6447
24-Dec-13,45.88,46.47,45.83,46.40,9053
23-Dec-13,45.74,46.19,45.74,45.79,38359
20-Dec-13,45.20,45.75,45.20,45.40,12588
19-Dec-13,45.00,45.09,44.83,44.90,11866
18-Dec-13,45.02,45.06,44.41,44.99,7914
17-Dec-13,44.99,45.03,44.49,45.01,9750
16-Dec-13,44.74,45.31,44.00,45.27,9112
13-Dec-13,44.54,44.73,44.10,44.73,10560
12-Dec-13,44.04,44.82,44.04,44.81,42548
11-Dec-13,45.31,45.31,44.41,44.47,13757
10-Dec-13,45.41,46.10,45.27,45.27,36683
9-Dec-13,45.70,45.75,45.14,45.46,26263
6-Dec-13,46.72,46.83,45.64,45.71,6957
5-Dec-13,46.36,46.62,46.20,46.39,14265
4-Dec-13,46.36,46.82,45.99,46.54,28943
3-Dec-13,46.39,46.39,46.12,46.33,3453
2-Dec-13,46.30,46.52,46.14,46.29,12795
29-Nov-13,45.82,46.83,45.82,46.48,11292
27-Nov-13,46.66,46.66,46.00,46.23,36162
26-Nov-13,46.27,47.03,46.16,46.91,10054
25-Nov-13,47.72,47.72,46.31,46.39,15880
22-Nov-13,47.61,47.61,46.86,47.40,29133
21-Nov-13,46.65,47.30,46.65,47.28,13934
20-Nov-13,46.54,46.72,46.38,46.38,12574
19-Nov-13,46.62,46.91,46.00,46.41,13985
18-Nov-13,48.23,48.23,46.53,46.62,36386
15-Nov-13,48.62,48.62,47.86,48.23,11305
14-Nov-13,47.69,48.25,47.69,48.08,10645
13-Nov-13,47.02,47.93,47.02,47.93,9261
12-Nov-13,47.39,47.52,47.15,47.21,2641
11-Nov-13,47.70,48.18,47.56,47.72,29154
8-Nov-13,46.27,47.72,46.27,47.70,44349
7-Nov-13,48.03,48.03,46.15,46.39,10091
6-Nov-13,48.89,48.89,47.52,47.57,14189
5-Nov-13,48.80,48.82,48.02,48.18,10232
4-Nov-13,47.90,49.19,47.90,49.19,13573
1-Nov-13,48.38,48.38,46.86,47.69,16541
31-Oct-13,49.45,49.45,47.99,48.45,26636
30-Oct-13,49.83,49.83,48.43,48.88,10508
29-Oct-13,49.30,49.33,49.08,49.28,18068
28-Oct-13,53.73,53.73,48.44,48.60,41401
25-Oct-13,49.16,49.16,48.45,48.70,15008
24-Oct-13,48.13,48.88,47.88,48.85,11588
23-Oct-13,48.82,48.82,47.60,47.84,45725
22-Oct-13,49.49,49.76,48.80,48.98,17817
21-Oct-13,50.34,50.34,48.93,49.04,53065
18-Oct-13,49.87,49.87,48.96,49.45,37330
17-Oct-13,48.62,48.73,48.20,48.62,56342
16-Oct-13,47.98,48.46,47.90,48.40,15722
15-Oct-13,48.13,48.19,47.60,47.77,11382
14-Oct-13,47.50,48.13,47.38,48.04,87679
11-Oct-13,46.79,47.65,46.63,47.49,54897
10-Oct-13,45.82,46.79,45.82,46.68,16920
9-Oct-13,45.50,45.50,44.95,45.28,23826
8-Oct-13,46.41,46.73,45.69,45.78,5014
7-Oct-13,46.78,47.11,46.25,46.25,76575
4-Oct-13,46.63,47.15,46.63,47.13,8981
3-Oct-13,46.46,46.55,45.88,46.55,3822
2-Oct-13,46.15,46.43,45.78,46.37,28156
1-Oct-13,45.51,46.35,45.51,46.29,12588
30-Sep-13,45.08,45.36,44.60,45.36,11492
27-Sep-13,45.38,45.53,45.20,45.33,2087
26-Sep-13,45.64,45.70,45.40,45.50,1219
25-Sep-13,45.31,45.66,45.26,45.44,5465
24-Sep-13,44.59,45.61,44.59,45.17,93442
23-Sep-13,45.23,45.23,44.34,44.63,8920
20-Sep-13,45.01,45.03,44.57,44.57,5025
19-Sep-13,45.26,45.26,45.00,45.06,4150
18-Sep-13,44.65,45.00,44.43,44.98,1560
17-Sep-13,44.05,44.70,44.05,44.69,3952
16-Sep-13,44.52,44.52,44.05,44.14,8245
13-Sep-13,44.10,44.12,43.88,44.12,3220
12-Sep-13,44.72,44.72,43.92,43.97,12077
11-Sep-13,44.24,44.36,43.83,44.29,3600
10-Sep-13,43.88,44.01,43.37,44.01,4422
9-Sep-13,43.23,43.91,43.23,43.88,19531
6-Sep-13,42.86,43.26,42.40,43.23,3615
5-Sep-13,42.80,42.92,42.80,42.86,2196
4-Sep-13,41.85,42.54,41.85,42.53,10628
3-Sep-13,42.48,42.48,41.96,41.96,545
30-Aug-13,42.25,42.25,41.77,41.80,2250
29-Aug-13,42.51,42.61,42.17,42.35,1291
28-Aug-13,42.21,42.75,42.06,42.54,3350
27-Aug-13,42.34,42.34,41.80,41.80,5626
26-Aug-13,42.36,42.63,42.31,42.31,5630
23-Aug-13,41.90,42.27,41.90,42.26,950
22-Aug-13,41.17,43.30,41.17,41.77,740
21-Aug-13,41.34,41.34,41.02,41.27,970
20-Aug-13,41.00,41.73,40.84,41.60,1375
19-Aug-13,41.46,41.46,41.02,41.02,750
16-Aug-13,41.63,41.63,41.44,41.45,1500
15-Aug-13,41.68,41.85,41.66,41.82,1885
14-Aug-13,41.96,42.01,41.96,42.00,4243
13-Aug-13,41.83,42.05,41.83,41.97,4800
12-Aug-13,41.64,41.85,41.64,41.83,3248
9-Aug-13,41.91,41.91,41.41,41.84,3968
8-Aug-13,42.03,42.03,41.42,41.84,2395
7-Aug-13,42.01,42.04,41.60,41.80,7056
6-Aug-13,42.62,42.63,42.02,42.40,12750
5-Aug-13,42.79,43.23,42.79,43.17,7689
2-Aug-13,42.44,42.85,42.44,42.83,5940
1-Aug-13,42.26,42.84,42.26,42.84,7263
31-Jul-13,41.45,41.98,41.45,41.98,1550
30-Jul-13,41.19,41.38,41.14,41.38,4050
29-Jul-13,41.90,41.90,41.43,41.63,4817
26-Jul-13,42.28,42.28,41.87,41.88,1027
25-Jul-13,42.43,42.43,42.00,42.29,2445
24-Jul-13,42.59,42.59,41.81,41.88,2610
23-Jul-13,43.00,43.05,42.83,42.90,3903
22-Jul-13,42.83,42.92,42.75,42.75,3190
19-Jul-13,42.57,42.83,42.57,42.81,3632
18-Jul-13,42.10,42.71,42.10,42.58,2658
17-Jul-13,41.92,41.92,41.70,41.74,6525
16-Jul-13,41.63,41.63,41.15,41.54,960
15-Jul-13,41.39,41.72,41.39,41.59,4978
12-Jul-13,41.64,41.91,41.59,41.91,742
11-Jul-13,42.17,42.17,41.57,41.83,650
10-Jul-13,41.92,41.93,41.57,41.58,5070
9-Jul-13,41.80,41.89,41.74,41.85,2729
8-Jul-13,41.53,41.53,41.44,41.44,250
5-Jul-13,40.84,40.84,40.84,40.84,164
3-Jul-13,40.03,40.03,40.03,40.03,250
2-Jul-13,40.26,40.26,39.96,40.10,845
1-Jul-13,39.85,39.95,39.85,39.95,225
27-Jun-13,39.38,39.38,39.20,39.20,200
26-Jun-13,39.58,39.58,39.06,39.33,1140
25-Jun-13,38.92,39.29,38.92,39.29,750
24-Jun-13,39.00,39.14,38.38,38.97,1936
21-Jun-13,39.82,39.82,39.23,39.39,2185
20-Jun-13,39.76,39.84,39.34,39.34,2335
19-Jun-13,41.05,41.09,41.05,41.08,790
18-Jun-13,40.69,41.11,40.69,41.04,3365
17-Jun-13,40.39,40.65,40.39,40.65,1824
14-Jun-13,40.24,40.24,39.85,39.90,2099
13-Jun-13,39.52,40.43,39.52,40.40,5532
12-Jun-13,39.83,39.83,39.78,39.78,608
11-Jun-13,40.05,40.05,39.85,39.85,3463
10-Jun-13,41.00,41.00,40.39,40.47,5870
7-Jun-13,40.24,40.65,40.24,40.57,1896
6-Jun-13,39.57,39.77,39.34,39.49,2293
5-Jun-13,39.81,39.89,39.51,39.51,1740
4-Jun-13,40.36,40.52,39.75,40.09,11679
3-Jun-13,40.06,40.53,39.71,40.23,5660
31-May-13,40.55,40.55,39.97,40.10,3145
30-May-13,40.60,40.70,40.55,40.70,682
29-May-13,41.22,41.28,40.62,40.76,16337
28-May-13,40.85,41.53,40.85,41.32,26611
24-May-13,40.30,40.30,40.07,40.19,1761
23-May-13,39.95,40.47,39.88,40.47,3021
