Date,Open,High,Low,Close,Volume
23-Oct-14,43.68,44.60,43.68,44.37,18205
22-Oct-14,44.01,44.22,43.30,43.30,35761
21-Oct-14,43.40,44.01,43.40,43.96,15569
20-Oct-14,42.80,43.05,42.72,43.02,46043
17-Oct-14,43.29,43.36,42.65,42.87,12578
16-Oct-14,41.99,42.98,41.99,42.88,35415
15-Oct-14,41.46,42.76,41.15,42.61,29468
14-Oct-14,41.66,42.49,41.66,41.89,16007
13-Oct-14,41.52,42.32,41.27,41.47,40651
10-Oct-14,42.50,42.62,41.65,41.78,41228
9-Oct-14,43.97,44.00,42.95,42.95,9540
8-Oct-14,43.27,44.06,42.72,44.06,12613
7-Oct-14,43.76,43.97,43.35,43.36,13388
6-Oct-14,45.02,45.09,43.04,44.22,29287
3-Oct-14,44.97,45.33,44.97,45.02,8357
2-Oct-14,43.92,44.88,43.82,44.63,15679
1-Oct-14,44.62,44.62,43.95,44.05,24613
30-Sep-14,45.09,45.19,44.84,44.84,51128
29-Sep-14,44.69,45.30,44.61,45.16,18051
26-Sep-14,44.86,45.13,44.86,45.10,7066
25-Sep-14,45.51,45.51,44.69,44.78,25563
24-Sep-14,45.19,45.69,45.19,45.57,21227
23-Sep-14,45.39,45.59,45.10,45.15,28652
22-Sep-14,45.96,45.96,45.43,45.50,144627
19-Sep-14,46.92,46.96,45.87,46.16,20627
18-Sep-14,46.39,46.76,46.37,46.72,16939
17-Sep-14,46.03,46.42,46.03,46.15,9745
16-Sep-14,45.78,46.17,45.54,46.12,9467
15-Sep-14,46.53,46.59,45.85,45.99,7259
12-Sep-14,46.79,46.82,46.47,46.56,4435
11-Sep-14,46.40,47.06,46.40,46.96,4988
10-Sep-14,46.41,46.53,46.16,46.53,5958
9-Sep-14,47.13,47.13,46.40,46.47,20708
8-Sep-14,46.89,47.34,46.89,47.04,8737
5-Sep-14,46.87,47.00,46.58,46.94,12377
4-Sep-14,47.18,47.52,46.88,46.88,7324
3-Sep-14,47.56,47.56,46.87,46.87,29231
2-Sep-14,47.22,47.48,47.06,47.48,19393
29-Aug-14,46.56,47.05,46.44,47.02,23876
28-Aug-14,46.56,46.67,46.38,46.44,16923
27-Aug-14,46.81,46.90,46.57,46.70,14137
26-Aug-14,46.50,46.98,46.50,46.90,14513
25-Aug-14,46.84,46.95,46.23,46.38,9857
22-Aug-14,46.41,46.80,46.41,46.69,6587
21-Aug-14,46.24,46.60,45.84,46.50,29041
20-Aug-14,46.47,46.54,46.16,46.37,12906
19-Aug-14,46.40,46.72,46.40,46.61,9520
18-Aug-14,46.00,46.38,46.00,46.30,12706
15-Aug-14,45.96,46.25,45.29,45.71,10702
14-Aug-14,45.63,45.85,45.54,45.75,5921
13-Aug-14,45.60,45.84,45.56,45.62,7748
12-Aug-14,45.90,45.93,45.40,45.52,6764
11-Aug-14,45.49,46.16,45.49,45.95,16959
8-Aug-14,45.03,45.43,45.03,45.43,5280
7-Aug-14,45.44,45.65,44.93,44.94,9512
6-Aug-14,44.95,45.64,44.92,45.41,6870
5-Aug-14,44.94,45.57,44.94,45.37,25810
4-Aug-14,44.77,45.17,44.42,45.17,14140
1-Aug-14,44.46,44.80,44.24,44.64,25409
31-Jul-14,45.37,45.43,44.58,44.67,224865
30-Jul-14,45.40,45.77,45.23,45.61,21650
29-Jul-14,45.13,45.61,45.13,45.40,11884
28-Jul-14,45.04,45.15,44.43,44.98,25466
25-Jul-14,45.32,45.32,44.92,45.02,17233
24-Jul-14,45.50,45.94,45.31,45.50,30106
23-Jul-14,46.04,46.04,45.32,45.47,21728
22-Jul-14,45.72,46.13,45.65,46.00,15001
21-Jul-14,45.18,45.34,45.02,45.33,16296
18-Jul-14,44.52,45.32,44.40,45.28,19079
17-Jul-14,44.92,45.05,44.56,44.65,15030
16-Jul-14,45.40,45.40,44.95,45.11,86025
15-Jul-14,45.87,45.87,44.90,45.15,16372
14-Jul-14,45.93,46.00,45.68,45.83,25252
11-Jul-14,45.49,45.66,45.42,45.53,7606
10-Jul-14,45.36,45.95,45.15,45.59,200199
9-Jul-14,46.23,46.44,46.03,46.14,12799
8-Jul-14,46.88,46.88,45.86,46.14,74042
7-Jul-14,47.64,47.64,46.93,46.98,6953
3-Jul-14,47.58,47.83,47.58,47.83,7185
2-Jul-14,47.57,47.80,47.41,47.41,14545
1-Jul-14,46.99,47.93,46.99,47.76,17759
30-Jun-14,46.45,46.90,46.34,46.90,10380
27-Jun-14,46.15,46.50,46.15,46.45,5890
26-Jun-14,46.31,46.31,45.84,46.18,5071
25-Jun-14,45.83,46.19,45.74,46.14,12268
24-Jun-14,46.39,46.84,45.86,45.89,11763
23-Jun-14,46.25,46.38,46.20,46.35,10939
20-Jun-14,46.17,46.27,45.96,46.20,18268
19-Jun-14,46.18,46.27,45.75,46.06,12735
18-Jun-14,45.94,46.10,45.64,46.10,24928
17-Jun-14,45.53,46.20,45.53,46.08,38896
16-Jun-14,45.45,45.45,45.18,45.40,14523
13-Jun-14,45.13,45.46,45.01,45.46,10466
12-Jun-14,44.83,45.20,44.72,44.81,74687
11-Jun-14,44.85,45.25,44.85,45.15,8062
10-Jun-14,44.82,45.05,44.68,44.94,19719
9-Jun-14,44.55,45.17,44.55,44.90,20900
6-Jun-14,44.16,44.66,44.16,44.41,15938
5-Jun-14,43.09,44.09,42.81,43.97,29341
4-Jun-14,42.70,43.03,42.56,42.95,9777
3-Jun-14,42.89,43.00,42.50,42.82,12957
2-Jun-14,43.45,43.45,42.71,42.94,24077
30-May-14,43.69,43.69,43.22,43.42,17311
29-May-14,43.88,43.88,43.60,43.69,14420
28-May-14,43.63,43.78,43.39,43.64,7199
27-May-14,43.41,44.00,43.35,43.77,31448
23-May-14,42.48,43.17,42.48,43.11,25208
22-May-14,42.22,42.62,42.18,42.44,23596
21-May-14,42.16,42.32,41.74,42.08,19432
20-May-14,42.66,42.66,41.73,41.95,36952
19-May-14,42.03,42.85,41.97,42.72,22751
16-May-14,41.78,42.05,41.39,42.03,7999
15-May-14,41.59,41.73,41.03,41.71,31833
14-May-14,42.80,42.80,41.78,41.84,10937
13-May-14,43.47,43.47,42.70,42.78,10453
12-May-14,42.20,43.63,42.20,43.38,24211
9-May-14,41.75,42.15,41.38,42.01,17560
8-May-14,41.92,42.76,41.62,41.72,30138
7-May-14,42.28,42.31,41.50,42.03,51137
6-May-14,42.84,42.86,42.07,42.07,43405
5-May-14,42.79,43.18,42.53,43.03,16763
2-May-14,43.18,43.64,43.14,43.14,19108
1-May-14,43.07,43.79,42.70,43.08,32233
30-Apr-14,42.77,43.21,42.42,43.16,46016
29-Apr-14,43.01,43.25,42.84,42.98,13249
28-Apr-14,43.45,43.53,42.21,42.83,28452
25-Apr-14,44.43,44.43,43.30,43.34,14063
24-Apr-14,44.95,44.99,44.21,44.56,24281
23-Apr-14,44.75,44.89,44.40,44.55,27424
22-Apr-14,44.14,44.93,44.07,44.69,26992
21-Apr-14,44.04,44.20,43.67,44.10,19135
17-Apr-14,43.42,44.20,43.42,44.05,18353
16-Apr-14,43.36,43.62,43.04,43.62,11911
15-Apr-14,43.04,43.22,42.06,43.09,90444
14-Apr-14,43.34,43.35,42.52,42.87,19997
11-Apr-14,43.45,43.62,42.72,42.90,42081
10-Apr-14,44.89,44.90,43.38,43.65,35398
9-Apr-14,44.38,45.05,44.19,45.05,22344
8-Apr-14,43.88,44.50,43.72,44.36,35598
7-Apr-14,44.38,44.45,43.64,43.88,43634
4-Apr-14,46.10,46.18,44.39,44.72,27842
3-Apr-14,46.15,46.31,45.73,45.89,16361
2-Apr-14,46.07,46.27,46.01,46.23,10108
1-Apr-14,45.56,46.01,45.56,45.97,27329
31-Mar-14,44.64,45.55,44.56,45.36,52033
28-Mar-14,44.61,45.29,44.46,44.46,12582
27-Mar-14,44.71,45.05,44.38,44.59,32251
26-Mar-14,46.00,46.17,44.78,44.78,30185
25-Mar-14,46.02,46.50,45.65,45.74,23008
24-Mar-14,46.44,46.60,45.34,45.75,16624
21-Mar-14,46.64,47.06,46.34,46.44,14788
20-Mar-14,46.40,46.77,46.21,46.65,37119
19-Mar-14,46.90,46.93,46.34,46.48,11513
18-Mar-14,46.12,46.90,46.12,46.87,28734
17-Mar-14,45.91,46.33,45.91,46.08,19318
14-Mar-14,45.47,45.93,45.39,45.81,30995
13-Mar-14,46.30,46.37,45.27,45.56,36284
12-Mar-14,45.98,46.29,45.65,46.29,185005
11-Mar-14,46.83,46.93,46.00,46.06,17379
10-Mar-14,46.83,46.95,46.47,46.68,27420
7-Mar-14,47.05,47.15,46.77,46.88,47015
6-Mar-14,47.15,47.15,46.90,46.96,32084
5-Mar-14,47.06,47.09,46.82,47.07,21255
4-Mar-14,45.95,47.20,45.95,47.00,13502
3-Mar-14,45.56,45.60,44.90,45.45,29228
28-Feb-14,45.98,46.30,45.61,45.81,26269
27-Feb-14,45.80,46.06,45.62,46.03,34163
26-Feb-14,45.41,46.07,45.41,45.76,38942
25-Feb-14,45.50,45.52,45.18,45.23,31074
24-Feb-14,45.30,45.63,45.20,45.49,24885
21-Feb-14,45.13,45.24,44.91,44.95,24655
20-Feb-14,44.49,45.15,44.47,45.10,24922
19-Feb-14,44.74,44.85,44.35,44.46,33831
18-Feb-14,44.13,44.79,44.13,44.73,39831
14-Feb-14,44.12,44.15,43.63,44.13,28348
13-Feb-14,43.33,44.10,43.04,44.10,18271
12-Feb-14,43.31,43.54,43.20,43.43,27644
11-Feb-14,42.88,43.35,42.88,43.16,40303
10-Feb-14,42.89,42.94,42.58,42.91,31243
7-Feb-14,42.70,43.03,42.58,43.02,22863
6-Feb-14,41.98,42.71,41.97,42.64,18081
5-Feb-14,41.98,42.08,41.37,41.87,25622
4-Feb-14,42.06,42.33,41.90,42.17,56245
3-Feb-14,43.18,43.18,41.60,41.85,54606
31-Jan-14,42.90,43.45,42.90,43.17,26504
30-Jan-14,43.06,43.82,43.06,43.76,25787
29-Jan-14,43.20,43.40,42.82,42.87,43990
28-Jan-14,43.24,43.43,42.52,43.43,23557
27-Jan-14,43.77,43.77,42.88,43.18,48384
24-Jan-14,44.56,44.56,43.51,43.74,152189
23-Jan-14,45.09,45.09,44.54,44.87,26567
22-Jan-14,44.70,45.16,44.70,45.15,31569
21-Jan-14,44.61,44.81,44.34,44.70,37838
17-Jan-14,44.64,44.76,44.34,44.50,27614
16-Jan-14,44.82,44.89,44.62,44.79,27994
15-Jan-14,44.46,44.98,44.46,44.93,37034
14-Jan-14,43.53,44.37,43.53,44.36,57984
13-Jan-14,44.22,44.22,43.30,43.47,49833
10-Jan-14,44.22,44.27,43.91,44.25,11735
9-Jan-14,44.49,44.60,44.05,44.17,22368
8-Jan-14,44.36,44.49,44.19,44.38,24820
7-Jan-14,43.96,44.45,43.87,44.22,48561
6-Jan-14,44.23,44.23,43.80,43.83,36421
3-Jan-14,43.93,44.27,43.89,44.15,13801
2-Jan-14,44.34,44.34,43.63,43.95,52696
31-Dec-13,44.29,44.64,44.29,44.53,25852
30-Dec-13,44.30,44.44,44.15,44.20,13830
27-Dec-13,44.33,44.50,44.12,44.25,40030
26-Dec-13,44.42,44.64,44.25,44.35,20076
24-Dec-13,44.24,44.46,44.24,44.35,15580
23-Dec-13,44.00,44.20,43.84,44.20,34226
20-Dec-13,42.94,43.84,42.94,43.70,31548
19-Dec-13,43.05,43.08,42.77,42.89,21773
18-Dec-13,42.79,43.20,42.44,43.08,30168
17-Dec-13,42.61,42.77,42.53,42.77,13967
16-Dec-13,42.13,42.73,42.13,42.52,32510
13-Dec-13,41.97,42.15,41.80,42.06,10732
12-Dec-13,42.10,42.13,41.78,41.97,18550
