Date,Open,High,Low,Close,Volume
23-Oct-14,24.23,24.48,23.92,24.08,172948
22-Oct-14,24.18,24.80,23.81,23.94,196406
21-Oct-14,24.15,24.22,23.37,24.17,273228
20-Oct-14,23.71,24.21,23.68,24.00,309698
17-Oct-14,24.42,24.55,23.90,23.90,189685
16-Oct-14,23.72,24.35,23.00,24.08,236945
15-Oct-14,23.92,24.39,23.30,24.03,467101
14-Oct-14,22.76,24.24,22.64,24.08,294756
13-Oct-14,23.15,23.18,22.52,22.64,283428
10-Oct-14,22.84,23.95,22.82,23.38,371394
9-Oct-14,22.84,23.15,22.71,22.84,215998
8-Oct-14,21.86,22.94,21.47,22.84,340158
7-Oct-14,20.49,22.20,20.29,21.82,339476
6-Oct-14,20.87,20.88,20.48,20.53,99933
3-Oct-14,21.02,21.27,20.44,20.88,114828
2-Oct-14,20.40,21.08,20.37,20.83,122593
1-Oct-14,20.28,20.94,20.23,20.32,153169
30-Sep-14,20.65,20.74,20.23,20.23,171781
29-Sep-14,20.36,20.89,20.22,20.65,152683
26-Sep-14,20.28,20.87,20.07,20.42,233459
25-Sep-14,20.27,20.46,19.73,20.23,128406
24-Sep-14,20.41,20.45,20.07,20.30,160097
23-Sep-14,20.23,20.49,20.02,20.30,182302
22-Sep-14,20.88,20.88,20.09,20.36,138211
19-Sep-14,21.18,21.43,20.64,20.98,209778
18-Sep-14,21.10,21.20,20.82,21.08,95470
17-Sep-14,21.27,21.33,20.94,21.00,109278
16-Sep-14,20.49,21.38,20.49,21.31,143356
15-Sep-14,20.54,20.74,20.13,20.59,152153
12-Sep-14,21.65,21.90,20.76,20.77,91898
11-Sep-14,21.45,21.83,21.42,21.64,197792
10-Sep-14,21.09,21.57,20.67,21.51,111798
9-Sep-14,21.37,21.70,21.10,21.15,213764
8-Sep-14,21.05,21.27,20.86,21.25,166126
5-Sep-14,21.04,21.26,20.88,21.03,117707
4-Sep-14,21.15,21.53,20.71,21.03,141468
3-Sep-14,21.14,21.40,20.83,21.18,231200
2-Sep-14,21.02,21.47,20.35,20.98,310422
29-Aug-14,21.16,21.22,20.68,21.17,115834
28-Aug-14,20.96,21.36,20.76,21.16,142156
27-Aug-14,21.42,21.42,20.98,21.05,242939
26-Aug-14,21.22,21.63,21.20,21.30,239857
25-Aug-14,21.09,21.56,21.05,21.20,198531
22-Aug-14,20.44,21.22,20.01,20.85,233022
21-Aug-14,20.56,21.29,20.25,21.02,144418
20-Aug-14,21.15,21.16,20.45,20.59,171298
19-Aug-14,21.28,21.50,21.11,21.25,159138
18-Aug-14,20.96,21.19,20.45,21.18,239016
15-Aug-14,20.60,20.60,20.20,20.56,114761
14-Aug-14,20.31,20.46,19.91,20.41,134901
13-Aug-14,20.16,20.63,20.08,20.31,233468
12-Aug-14,19.86,20.54,19.86,20.51,297822
