Date,Open,High,Low,Close,Volume
23-Oct-14,39.55,39.83,39.47,39.69,53189
22-Oct-14,39.81,39.82,39.10,39.12,131670
21-Oct-14,38.81,39.55,38.72,39.51,154891
20-Oct-14,37.97,38.41,37.78,38.41,66642
17-Oct-14,38.03,38.39,37.88,38.03,74445
16-Oct-14,36.80,37.80,36.53,37.54,111316
15-Oct-14,36.90,37.60,36.44,37.50,283633
14-Oct-14,37.47,37.88,37.25,37.37,89902
13-Oct-14,37.67,38.04,37.10,37.15,93699
10-Oct-14,39.09,39.09,37.70,37.70,162407
9-Oct-14,40.30,40.34,39.44,39.49,146497
8-Oct-14,39.64,40.43,39.28,40.38,117666
7-Oct-14,40.17,40.21,39.60,39.60,29660
6-Oct-14,40.66,40.75,40.21,40.31,141535
3-Oct-14,40.57,40.73,40.39,40.54,61024
2-Oct-14,40.24,40.40,39.65,40.28,86780
1-Oct-14,41.09,41.09,40.22,40.24,123656
30-Sep-14,41.30,41.32,41.03,41.12,30342
29-Sep-14,40.77,41.30,40.77,41.21,13880
26-Sep-14,40.96,41.23,40.83,41.18,54110
25-Sep-14,41.37,41.37,40.68,40.75,91306
24-Sep-14,41.24,41.58,41.04,41.56,66913
23-Sep-14,41.04,41.36,41.04,41.15,29204
22-Sep-14,41.77,41.77,41.19,41.30,21537
19-Sep-14,42.51,42.51,41.71,41.86,83626
18-Sep-14,41.94,42.24,41.87,42.24,97488
17-Sep-14,41.66,41.95,41.50,41.72,189504
16-Sep-14,41.03,41.67,41.03,41.64,62906
15-Sep-14,41.80,41.80,41.12,41.17,34620
12-Sep-14,41.96,41.96,41.56,41.65,45680
11-Sep-14,41.78,41.91,41.59,41.91,63174
10-Sep-14,41.78,41.87,41.56,41.82,27476
9-Sep-14,42.09,42.09,41.63,41.67,35036
8-Sep-14,41.82,42.20,41.82,42.03,59373
5-Sep-14,41.64,41.89,41.61,41.89,27789
4-Sep-14,41.72,41.82,41.45,41.53,90286
3-Sep-14,41.51,41.65,41.45,41.51,34082
2-Sep-14,41.59,41.74,41.28,41.46,169784
