Date,Open,High,Low,Close,Volume
23-Oct-14,6.19,6.19,6.10,6.13,2200
22-Oct-14,6.12,6.18,6.03,6.15,8068
21-Oct-14,5.98,6.15,5.98,6.11,20559
20-Oct-14,5.85,6.05,5.85,6.01,5600
17-Oct-14,5.99,6.01,5.79,5.79,6204
16-Oct-14,5.96,6.01,5.94,5.99,5620
15-Oct-14,5.75,5.94,5.75,5.94,7610
14-Oct-14,5.93,6.04,5.86,6.04,12298
13-Oct-14,5.65,5.72,5.65,5.72,2200
10-Oct-14,5.65,5.65,5.61,5.63,3952
9-Oct-14,5.82,5.82,5.79,5.79,355
8-Oct-14,5.75,5.80,5.75,5.80,2700
7-Oct-14,5.80,5.80,5.80,5.80,2200
6-Oct-14,5.98,5.98,5.72,5.82,12422
2-Oct-14,5.47,5.68,5.47,5.68,2251
1-Oct-14,5.76,5.76,5.60,5.60,31076
30-Sep-14,5.78,5.93,5.63,5.90,20000
29-Sep-14,5.80,5.90,5.76,5.85,5773
26-Sep-14,5.90,5.90,5.90,5.90,278
25-Sep-14,5.97,5.97,5.78,5.92,597
24-Sep-14,5.90,6.05,5.90,6.02,11479
23-Sep-14,5.88,5.90,5.88,5.90,5010
22-Sep-14,5.82,5.89,5.82,5.86,7851
19-Sep-14,5.90,5.95,5.86,5.94,6442
18-Sep-14,5.98,5.98,5.85,5.85,3422
17-Sep-14,5.94,5.99,5.93,5.94,3117
16-Sep-14,5.89,5.90,5.89,5.89,2932
15-Sep-14,5.90,5.90,5.90,5.90,208
12-Sep-14,5.90,5.99,5.90,5.91,1607
11-Sep-14,5.86,5.90,5.86,5.89,4055
10-Sep-14,5.88,5.88,5.56,5.86,3150
9-Sep-14,5.82,5.90,5.64,5.90,12038
8-Sep-14,5.82,5.84,5.76,5.84,8004
5-Sep-14,5.78,5.81,5.72,5.81,10560
4-Sep-14,5.80,5.82,5.76,5.80,7361
3-Sep-14,5.82,5.82,5.52,5.52,10498
2-Sep-14,5.80,5.90,5.70,5.85,10745
29-Aug-14,5.99,6.00,5.80,5.80,25332
28-Aug-14,5.83,6.00,5.77,5.91,6475
27-Aug-14,5.73,6.00,5.73,5.77,60752
26-Aug-14,5.80,5.80,5.71,5.71,3422
25-Aug-14,5.52,5.80,5.52,5.60,9617
22-Aug-14,5.50,5.62,5.50,5.51,4002
21-Aug-14,5.56,6.00,5.56,5.56,4114
20-Aug-14,5.77,5.84,5.07,5.57,21932
19-Aug-14,5.74,5.82,5.70,5.79,1770
18-Aug-14,5.85,5.90,5.81,5.82,23980
15-Aug-14,6.00,6.00,5.72,5.88,24278
14-Aug-14,5.88,6.20,5.78,5.86,73508
13-Aug-14,5.16,5.47,5.05,5.22,33323
12-Aug-14,5.20,5.60,5.13,5.18,24930
11-Aug-14,5.44,5.50,5.43,5.43,9643
8-Aug-14,5.42,5.58,5.36,5.36,4081
7-Aug-14,5.40,5.40,5.33,5.35,550
6-Aug-14,5.21,5.60,5.10,5.41,75208
5-Aug-14,5.37,5.48,4.98,5.09,49018
4-Aug-14,5.50,5.50,5.31,5.31,500
1-Aug-14,5.16,5.47,5.16,5.26,1002
31-Jul-14,5.34,5.49,5.34,5.49,1255
30-Jul-14,5.45,5.47,5.30,5.45,4807
29-Jul-14,5.25,5.43,4.99,5.30,28197
28-Jul-14,5.60,5.60,5.36,5.37,10586
25-Jul-14,5.51,5.78,5.51,5.75,2043
24-Jul-14,5.94,5.94,5.53,5.88,3972
23-Jul-14,5.99,6.08,5.70,5.84,47258
22-Jul-14,5.87,6.05,5.87,6.00,17677
21-Jul-14,5.62,6.00,5.62,5.90,5775
18-Jul-14,6.13,6.13,5.92,6.03,7950
17-Jul-14,6.25,6.25,6.02,6.02,8065
16-Jul-14,5.99,6.45,5.99,6.14,6338
15-Jul-14,5.53,6.08,5.53,6.00,29803
14-Jul-14,5.40,5.60,5.40,5.55,13594
11-Jul-14,5.34,5.34,5.30,5.30,2423
10-Jul-14,5.33,5.65,5.23,5.26,6396
9-Jul-14,5.30,5.30,5.20,5.29,16867
8-Jul-14,5.24,5.25,5.21,5.25,7599
7-Jul-14,5.19,5.39,5.19,5.39,2751
3-Jul-14,5.21,5.30,5.21,5.24,661
2-Jul-14,5.26,5.30,5.22,5.27,6148
1-Jul-14,5.35,5.35,5.26,5.26,712
30-Jun-14,5.23,5.25,5.23,5.25,329
27-Jun-14,5.17,5.31,5.17,5.31,4180
26-Jun-14,5.30,5.30,5.20,5.21,1108
25-Jun-14,5.22,5.35,5.21,5.35,950
24-Jun-14,5.21,5.35,5.19,5.35,4615
23-Jun-14,5.35,5.35,5.21,5.35,13959
20-Jun-14,5.10,5.43,5.10,5.43,2166
19-Jun-14,5.28,5.29,5.20,5.26,18815
18-Jun-14,5.34,5.45,5.26,5.39,4977
17-Jun-14,5.09,5.29,5.09,5.28,35619
16-Jun-14,5.39,5.39,5.09,5.26,1731
13-Jun-14,5.21,5.43,5.21,5.41,1075
12-Jun-14,5.19,5.43,5.19,5.41,398
11-Jun-14,5.29,5.44,5.12,5.22,10327
