Date,Open,High,Low,Close,Volume
23-Oct-14,387.00,397.35,386.50,393.96,870253
22-Oct-14,380.06,384.85,373.34,384.46,1025800
21-Oct-14,370.64,381.03,366.14,381.01,1051349
20-Oct-14,367.79,369.00,360.10,366.12,1147170
17-Oct-14,366.99,376.88,362.02,369.64,2471408
16-Oct-14,326.50,344.48,326.09,340.71,937878
15-Oct-14,324.00,337.03,320.06,334.75,1238105
14-Oct-14,334.09,335.66,323.80,328.07,1155215
13-Oct-14,341.89,344.98,330.89,332.10,869321
10-Oct-14,353.38,357.75,343.28,343.51,753410
9-Oct-14,361.24,361.26,352.00,355.04,648881
8-Oct-14,353.83,361.07,350.79,360.15,742149
7-Oct-14,356.99,359.68,353.10,354.21,591850
6-Oct-14,363.48,365.00,356.60,359.19,453102
3-Oct-14,355.54,362.46,355.54,361.60,758083
2-Oct-14,355.79,358.25,353.05,353.69,666295
1-Oct-14,363.95,363.95,352.91,355.61,669386
30-Sep-14,355.79,361.70,353.11,360.52,1004010
29-Sep-14,355.02,358.10,351.55,354.96,357384
26-Sep-14,357.23,359.00,351.48,358.18,692491
25-Sep-14,363.35,364.71,354.00,355.54,692150
24-Sep-14,357.22,365.33,357.06,364.41,639600
23-Sep-14,357.42,361.23,355.33,357.22,953018
22-Sep-14,358.00,360.17,355.38,359.92,743852
19-Sep-14,365.59,365.59,357.29,358.92,2635094
18-Sep-14,359.84,362.90,357.25,362.74,550332
17-Sep-14,357.30,360.88,354.29,359.10,659747
16-Sep-14,346.82,356.21,345.00,355.47,821443
15-Sep-14,347.07,347.50,340.39,346.03,539439
12-Sep-14,349.41,349.83,344.05,346.06,573760
11-Sep-14,352.66,353.11,347.01,350.34,381100
10-Sep-14,346.08,355.20,345.07,354.32,663645
9-Sep-14,347.50,347.77,343.40,346.39,609930
8-Sep-14,349.43,351.00,343.18,348.10,652083
5-Sep-14,352.02,353.56,343.47,350.66,835060
4-Sep-14,362.96,362.98,351.22,352.08,653655
3-Sep-14,362.30,364.56,359.81,361.90,602428
2-Sep-14,367.00,369.31,359.23,359.50,1517580
29-Aug-14,349.10,350.74,346.20,350.46,525535
28-Aug-14,348.93,351.42,346.47,346.92,401786
27-Aug-14,354.27,354.27,348.39,350.01,439481
26-Aug-14,349.51,354.79,348.44,354.05,668654
25-Aug-14,347.94,349.50,342.22,347.91,449724
22-Aug-14,342.10,344.70,339.10,340.79,448880
21-Aug-14,347.00,347.00,341.11,341.51,389668
20-Aug-14,345.22,349.38,344.09,345.28,352646
19-Aug-14,349.94,351.42,345.09,346.79,467657
18-Aug-14,350.80,353.05,349.07,349.46,509985
15-Aug-14,347.79,351.50,343.85,348.62,549288
14-Aug-14,342.27,348.10,341.86,347.74,566565
13-Aug-14,339.12,344.00,338.22,343.06,624444
12-Aug-14,338.44,339.84,335.24,338.15,415827
11-Aug-14,340.27,341.62,335.89,338.81,508355
