Date,Open,High,Low,Close,Volume
23-Oct-14,23.45,24.38,23.15,23.98,331761
22-Oct-14,22.69,23.43,22.53,23.09,256708
21-Oct-14,22.87,22.95,22.55,22.72,296668
20-Oct-14,22.84,22.96,22.34,22.75,244763
17-Oct-14,22.86,23.00,22.34,22.50,526170
16-Oct-14,20.69,22.54,20.50,22.28,466054
15-Oct-14,20.95,21.67,20.46,21.33,609234
14-Oct-14,21.58,21.83,21.03,21.52,320712
13-Oct-14,21.52,21.89,20.97,21.28,433676
10-Oct-14,21.40,21.98,21.11,21.64,431824
9-Oct-14,21.75,21.89,20.94,21.50,377294
8-Oct-14,20.62,21.88,20.55,21.83,551115
7-Oct-14,20.56,20.88,19.90,20.71,548468
6-Oct-14,20.78,20.87,20.52,20.73,341164
3-Oct-14,20.54,20.84,20.06,20.78,279177
2-Oct-14,20.84,20.87,19.92,20.25,491486
1-Oct-14,19.92,20.98,19.86,20.80,558214
30-Sep-14,20.14,20.36,19.71,19.91,753815
29-Sep-14,18.98,20.14,18.57,20.10,369849
26-Sep-14,19.30,19.37,18.55,19.28,441169
25-Sep-14,20.04,20.16,19.09,19.34,655625
24-Sep-14,19.65,20.08,19.34,20.05,276104
23-Sep-14,19.60,19.97,19.47,19.66,337751
22-Sep-14,19.63,19.78,19.36,19.70,319402
19-Sep-14,19.70,20.06,19.50,19.71,803205
18-Sep-14,19.72,19.88,19.43,19.65,315735
17-Sep-14,19.09,19.68,19.06,19.57,279611
16-Sep-14,18.49,19.30,18.28,19.20,197105
15-Sep-14,18.68,18.84,18.23,18.58,306398
12-Sep-14,19.24,19.48,18.62,18.68,351398
11-Sep-14,18.97,19.28,18.61,19.19,226830
10-Sep-14,18.69,19.42,18.60,19.10,181874
9-Sep-14,19.54,19.54,18.66,18.69,191409
8-Sep-14,18.70,19.75,18.52,19.64,304869
5-Sep-14,19.61,19.64,18.57,18.75,335705
4-Sep-14,20.50,20.55,19.65,19.69,270961
3-Sep-14,19.89,20.50,19.73,20.38,1056105
2-Sep-14,19.39,20.45,19.34,19.80,855571
29-Aug-14,19.61,19.69,19.04,19.06,264907
28-Aug-14,20.02,20.22,19.54,19.63,221245
27-Aug-14,20.63,20.73,20.09,20.20,204321
26-Aug-14,20.72,20.93,20.64,20.66,243427
25-Aug-14,20.50,20.79,20.49,20.69,308235
22-Aug-14,20.43,20.43,20.08,20.27,209920
21-Aug-14,19.95,20.53,19.80,20.37,347556
20-Aug-14,20.24,20.35,19.90,19.92,237103
19-Aug-14,20.46,20.80,20.21,20.37,329408
18-Aug-14,19.31,20.50,19.31,20.47,639761
15-Aug-14,19.33,19.73,18.84,19.18,480557
14-Aug-14,20.02,20.38,19.10,19.18,549763
13-Aug-14,20.58,20.73,19.90,20.31,508875
12-Aug-14,22.22,22.57,20.44,20.53,572910
