Date,Open,High,Low,Close,Volume
23-Oct-14,25.16,25.42,25.16,25.31,11136
22-Oct-14,25.32,25.32,24.94,24.94,16353
21-Oct-14,24.98,25.22,24.94,25.15,16993
20-Oct-14,24.65,24.95,24.65,24.95,9306
17-Oct-14,24.75,24.75,24.46,24.63,26027
16-Oct-14,24.00,24.55,24.00,24.43,38489
15-Oct-14,24.15,24.30,23.80,24.29,47038
14-Oct-14,24.21,24.55,24.21,24.34,27720
13-Oct-14,24.35,24.45,24.07,24.09,39741
10-Oct-14,24.79,24.79,24.41,24.41,41300
9-Oct-14,25.33,25.33,24.88,24.94,30246
8-Oct-14,25.25,25.69,25.10,25.69,33463
7-Oct-14,25.61,25.79,25.50,25.50,10389
6-Oct-14,26.06,26.06,25.78,25.85,24914
3-Oct-14,25.99,25.99,25.74,25.84,23828
2-Oct-14,25.78,25.78,25.25,25.65,20086
1-Oct-14,26.00,26.02,25.70,25.78,82880
30-Sep-14,26.39,26.39,26.19,26.26,16957
29-Sep-14,26.36,26.51,26.33,26.44,6622
26-Sep-14,26.61,26.76,26.52,26.69,61644
25-Sep-14,26.63,26.66,26.39,26.44,47344
24-Sep-14,26.26,26.65,26.26,26.65,13859
23-Sep-14,26.43,26.59,26.40,26.40,36067
22-Sep-14,26.91,26.91,26.50,26.59,26260
19-Sep-14,26.93,27.05,26.75,26.76,18220
18-Sep-14,27.01,27.01,26.93,26.95,21438
17-Sep-14,26.80,26.95,26.80,26.83,7965
16-Sep-14,26.85,27.02,26.75,26.96,9900
15-Sep-14,26.91,26.91,26.77,26.81,15804
12-Sep-14,27.13,27.13,26.87,26.91,17634
11-Sep-14,27.00,27.11,26.95,27.10,13523
10-Sep-14,27.10,27.20,27.01,27.20,25152
9-Sep-14,27.28,27.28,27.00,27.02,16385
8-Sep-14,27.20,27.31,27.14,27.17,15012
5-Sep-14,27.28,27.28,27.06,27.24,11619
4-Sep-14,27.38,27.45,27.08,27.11,21554
3-Sep-14,27.61,27.61,27.33,27.39,23416
2-Sep-14,27.41,27.41,27.30,27.32,25209
29-Aug-14,27.30,27.35,27.21,27.35,16112
28-Aug-14,27.35,27.35,27.19,27.24,34491
27-Aug-14,27.35,27.45,27.35,27.39,14158
26-Aug-14,27.46,27.48,27.37,27.39,11333
25-Aug-14,27.39,27.49,27.38,27.43,8253
22-Aug-14,27.33,27.33,27.20,27.31,6645
21-Aug-14,27.36,27.37,27.20,27.35,13237
20-Aug-14,27.15,27.32,27.15,27.30,11674
19-Aug-14,27.17,27.31,27.14,27.25,21837
18-Aug-14,26.89,27.10,26.89,27.07,11649
15-Aug-14,26.93,27.06,26.69,26.86,82576
14-Aug-14,26.94,26.96,26.76,26.92,152909
13-Aug-14,26.66,26.87,26.66,26.86,12007
12-Aug-14,26.88,26.89,26.58,26.65,42813
11-Aug-14,27.00,27.10,26.85,26.93,21921
8-Aug-14,26.40,26.63,26.35,26.62,10179
7-Aug-14,26.61,26.75,26.43,26.45,11936
6-Aug-14,26.50,26.65,26.43,26.55,14436
5-Aug-14,26.84,26.85,26.50,26.57,30044
4-Aug-14,27.10,27.18,26.91,27.18,13472
1-Aug-14,27.21,27.21,26.88,27.01,26667
31-Jul-14,27.40,27.40,27.13,27.17,18875
30-Jul-14,27.58,27.62,27.46,27.51,30616
29-Jul-14,27.59,27.71,27.40,27.40,39551
28-Jul-14,27.38,27.38,27.14,27.30,9815
25-Jul-14,27.45,27.58,27.28,27.28,28427
24-Jul-14,27.50,27.65,27.45,27.47,28510
23-Jul-14,27.49,27.57,27.46,27.50,21312
22-Jul-14,27.18,27.41,27.18,27.36,16170
21-Jul-14,27.08,27.10,26.91,27.05,14441
18-Jul-14,26.80,27.15,26.80,27.08,15952
17-Jul-14,27.18,27.18,26.84,26.84,19059
16-Jul-14,27.20,27.25,27.11,27.16,14239
15-Jul-14,27.49,27.49,27.16,27.19,8131
14-Jul-14,27.50,27.56,27.37,27.46,18583
11-Jul-14,27.03,27.33,27.03,27.15,13405
10-Jul-14,27.23,27.32,27.00,27.23,29758
9-Jul-14,27.37,27.64,27.37,27.54,27734
8-Jul-14,27.83,27.83,27.43,27.52,29806
7-Jul-14,28.21,28.21,27.81,27.82,46765
3-Jul-14,28.23,28.30,28.15,28.25,33003
2-Jul-14,28.30,28.37,28.03,28.10,26576
1-Jul-14,28.12,28.42,28.09,28.29,65644
30-Jun-14,27.84,27.90,27.73,27.89,44431
27-Jun-14,27.53,27.66,27.48,27.65,17427
26-Jun-14,27.50,27.50,27.38,27.48,27952
25-Jun-14,27.40,27.49,27.35,27.49,8739
24-Jun-14,27.68,27.70,27.39,27.45,47078
23-Jun-14,27.65,27.70,27.51,27.67,12890
20-Jun-14,27.68,27.68,27.53,27.64,22490
19-Jun-14,27.66,27.71,27.55,27.66,132984
18-Jun-14,27.32,27.59,27.32,27.57,23044
17-Jun-14,27.20,27.35,27.12,27.32,22491
16-Jun-14,27.01,27.22,27.01,27.19,20903
13-Jun-14,27.03,27.03,26.85,27.01,15776
12-Jun-14,27.06,27.09,26.85,26.91,17633
11-Jun-14,27.00,27.03,26.90,27.01,13238
10-Jun-14,27.04,27.07,26.90,26.93,27621
9-Jun-14,27.00,27.18,27.00,27.12,8163
6-Jun-14,26.81,27.02,26.81,26.94,45766
5-Jun-14,26.67,26.86,26.59,26.86,8329
4-Jun-14,26.31,26.55,26.31,26.50,12028
3-Jun-14,26.46,26.47,26.35,26.46,8971
2-Jun-14,26.38,26.42,26.24,26.40,78069
30-May-14,26.38,26.38,26.24,26.31,10468
29-May-14,26.21,26.46,26.21,26.32,10749
28-May-14,26.34,26.34,26.20,26.24,20086
27-May-14,26.02,26.37,26.02,26.37,15034
23-May-14,25.75,25.99,25.75,25.98,12509
22-May-14,25.38,25.71,25.38,25.64,27453
21-May-14,25.36,25.46,25.32,25.46,6511
20-May-14,25.40,25.40,25.16,25.20,34415
19-May-14,25.45,25.56,25.40,25.43,27960
16-May-14,25.37,25.52,25.31,25.52,16756
15-May-14,25.60,25.60,25.31,25.44,44448
14-May-14,25.90,25.90,25.65,25.69,66020
13-May-14,26.03,26.08,25.90,25.90,29038
12-May-14,25.56,26.05,25.56,25.92,25392
9-May-14,25.51,25.58,25.50,25.55,16412
8-May-14,25.51,25.96,25.51,25.60,63943
7-May-14,26.02,26.02,25.69,25.72,486195
6-May-14,26.03,26.10,25.94,26.04,18045
5-May-14,26.02,26.09,25.88,26.03,23385
2-May-14,26.00,26.20,25.99,26.18,16046
1-May-14,25.94,26.17,25.91,26.11,242206
30-Apr-14,25.85,26.09,25.84,26.09,23273
29-Apr-14,26.04,26.16,26.04,26.10,37975
28-Apr-14,26.18,26.32,25.92,26.22,27923
25-Apr-14,26.51,26.51,26.15,26.19,23363
24-Apr-14,26.70,26.70,26.44,26.62,15667
23-Apr-14,26.64,26.68,26.60,26.62,17952
22-Apr-14,26.76,26.87,26.60,26.80,38081
21-Apr-14,26.71,26.73,26.52,26.71,17863
17-Apr-14,26.55,26.74,26.50,26.68,10173
16-Apr-14,26.30,26.46,26.17,26.46,7414
15-Apr-14,26.01,26.19,25.75,26.13,35939
14-Apr-14,26.26,26.28,26.00,26.14,24226
11-Apr-14,26.20,26.38,26.08,26.18,36963
10-Apr-14,26.99,26.99,26.20,26.30,46105
9-Apr-14,26.72,27.08,26.72,27.08,20253
8-Apr-14,26.79,26.85,26.55,26.75,24300
7-Apr-14,27.00,27.03,26.67,26.87,45023
4-Apr-14,27.71,27.71,27.03,27.09,27102
3-Apr-14,27.71,27.71,27.58,27.68,52142
2-Apr-14,27.72,27.72,27.53,27.71,28920
1-Apr-14,27.45,27.61,27.44,27.58,52283
31-Mar-14,27.29,27.30,27.18,27.21,44772
28-Mar-14,26.89,27.10,26.88,26.88,14286
27-Mar-14,26.67,27.00,26.63,26.70,11533
26-Mar-14,27.28,27.28,26.87,26.87,52941
25-Mar-14,27.00,27.12,26.84,27.03,154063
24-Mar-14,26.97,26.99,26.50,26.76,33213
21-Mar-14,27.04,27.04,26.70,26.75,17291
20-Mar-14,26.75,26.88,26.68,26.82,14329
19-Mar-14,27.08,27.08,26.61,26.90,36297
18-Mar-14,26.82,27.03,26.82,26.99,19202
17-Mar-14,26.61,26.85,26.61,26.73,52892
14-Mar-14,26.43,26.63,26.27,26.48,25835
13-Mar-14,26.94,27.12,26.50,26.58,42631
12-Mar-14,26.91,27.00,26.78,26.97,22944
11-Mar-14,27.45,27.46,27.07,27.08,24548
10-Mar-14,27.53,27.53,27.28,27.43,23191
7-Mar-14,27.75,27.77,27.42,27.56,58312
6-Mar-14,27.45,27.67,27.44,27.61,62902
5-Mar-14,27.45,27.45,27.37,27.44,28105
4-Mar-14,27.20,27.48,27.20,27.41,66964
3-Mar-14,27.09,27.09,26.81,26.96,76325
28-Feb-14,27.43,27.53,27.24,27.35,51610
27-Feb-14,27.22,27.32,27.16,27.30,39380
26-Feb-14,27.22,27.33,27.01,27.08,67898
25-Feb-14,27.38,27.38,27.14,27.14,26732
24-Feb-14,27.26,27.47,27.25,27.31,147002
21-Feb-14,27.28,27.30,27.04,27.04,31181
20-Feb-14,26.98,27.14,26.82,27.11,32944
19-Feb-14,27.34,27.34,26.96,26.96,70038
18-Feb-14,27.27,27.37,27.10,27.33,115834
14-Feb-14,26.77,26.93,26.68,26.89,64677
13-Feb-14,26.41,26.83,26.34,26.79,45167
12-Feb-14,26.57,26.70,26.56,26.66,47506
11-Feb-14,26.27,26.57,26.23,26.50,66657
10-Feb-14,26.20,26.20,26.01,26.13,35657
7-Feb-14,26.03,26.20,25.97,26.17,39586
6-Feb-14,25.62,25.98,25.60,25.88,64118
5-Feb-14,25.69,25.74,25.45,25.62,114893
4-Feb-14,25.62,25.75,25.50,25.70,61248
3-Feb-14,26.22,26.22,25.50,25.56,85615
31-Jan-14,26.13,26.35,26.09,26.25,44400
30-Jan-14,26.38,26.67,26.38,26.55,26348
29-Jan-14,26.53,26.63,26.45,26.47,33029
28-Jan-14,26.34,26.65,26.34,26.64,35950
27-Jan-14,26.76,26.76,26.12,26.35,111879
24-Jan-14,27.26,27.26,26.68,26.70,88113
23-Jan-14,27.69,27.69,27.31,27.41,76232
22-Jan-14,27.70,27.75,27.62,27.69,96492
21-Jan-14,27.77,27.77,27.45,27.59,85908
17-Jan-14,27.58,27.66,27.49,27.52,241012
16-Jan-14,27.69,27.69,27.50,27.58,54213
15-Jan-14,27.61,27.64,27.49,27.61,146656
14-Jan-14,27.15,27.44,27.15,27.44,62640
13-Jan-14,27.47,27.47,27.12,27.15,135849
10-Jan-14,27.37,27.46,27.27,27.45,79306
9-Jan-14,27.40,27.43,27.10,27.24,205423
8-Jan-14,27.23,27.23,27.09,27.18,192946
7-Jan-14,27.07,27.29,26.98,27.03,39359
6-Jan-14,27.27,27.31,26.90,26.94,63486
3-Jan-14,27.10,27.19,26.95,26.99,59180
2-Jan-14,27.76,27.76,26.95,27.00,244309
31-Dec-13,27.49,27.49,27.30,27.36,115787
30-Dec-13,27.29,27.32,27.10,27.28,123233
27-Dec-13,27.36,27.36,27.14,27.18,123102
26-Dec-13,27.34,27.34,26.94,27.01,76628
24-Dec-13,26.85,26.85,26.75,26.76,60851
23-Dec-13,26.90,26.90,26.59,26.75,81075
20-Dec-13,26.40,27.23,26.32,26.46,74661
19-Dec-13,26.60,27.14,26.06,26.08,53671
18-Dec-13,26.23,26.36,25.95,26.29,92214
17-Dec-13,26.06,26.06,25.84,25.88,36164
16-Dec-13,25.86,25.86,25.75,25.81,26764
13-Dec-13,26.00,26.00,25.51,25.63,23003
12-Dec-13,25.65,25.65,25.53,25.60,12038
11-Dec-13,26.00,26.00,25.60,25.60,24795
10-Dec-13,25.97,25.97,25.89,25.92,27488
9-Dec-13,26.35,26.35,25.84,25.89,34335
6-Dec-13,26.00,26.00,25.80,25.90,28975
5-Dec-13,25.73,25.73,25.52,25.57,39185
4-Dec-13,25.73,25.73,25.46,25.67,29452
3-Dec-13,25.91,26.25,25.65,25.74,31829
2-Dec-13,26.18,26.18,25.81,25.85,23279
29-Nov-13,26.20,26.20,26.00,26.00,11815
27-Nov-13,25.95,25.95,25.77,25.92,23561
26-Nov-13,25.85,25.85,25.70,25.75,27052
25-Nov-13,26.01,26.01,25.71,25.71,25097
22-Nov-13,25.99,25.99,25.66,25.78,82149
21-Nov-13,25.66,25.66,25.50,25.62,34687
20-Nov-13,25.90,25.91,25.37,25.40,71238
19-Nov-13,26.18,26.18,25.75,25.80,52595
18-Nov-13,26.26,26.26,25.85,25.92,69216
15-Nov-13,25.99,25.99,25.76,25.85,37290
14-Nov-13,25.75,25.80,25.61,25.74,96926
13-Nov-13,25.63,25.63,25.31,25.56,39307
12-Nov-13,25.55,25.56,25.36,25.45,83013
11-Nov-13,25.30,25.45,25.25,25.43,21575
8-Nov-13,25.12,25.29,25.00,25.24,13569
7-Nov-13,25.53,25.53,24.92,24.94,27432
6-Nov-13,25.60,25.60,25.30,25.37,30239
5-Nov-13,25.36,25.36,25.10,25.24,21558
4-Nov-13,25.42,25.42,25.22,25.34,13990
1-Nov-13,25.20,25.20,25.02,25.20,13966
31-Oct-13,25.21,25.31,25.10,25.20,36189
30-Oct-13,25.26,25.26,25.03,25.09,95017
29-Oct-13,25.10,25.10,24.96,25.08,29078
28-Oct-13,25.15,25.15,24.91,24.96,34854
25-Oct-13,25.25,25.25,24.88,24.97,54344
24-Oct-13,25.19,25.19,25.06,25.14,30694
23-Oct-13,25.30,25.30,24.85,24.96,84861
22-Oct-13,24.91,25.33,24.91,25.32,226988
