Date,Open,High,Low,Close,Volume
23-Oct-14,2.38,2.39,2.35,2.37,122969
22-Oct-14,2.35,2.39,2.34,2.38,142167
21-Oct-14,2.33,2.37,2.31,2.35,120273
20-Oct-14,2.35,2.35,2.28,2.32,164662
17-Oct-14,2.40,2.43,2.34,2.38,53956
16-Oct-14,2.30,2.37,2.30,2.37,20609
15-Oct-14,2.25,2.38,2.22,2.32,150916
14-Oct-14,2.30,2.31,2.22,2.28,299612
13-Oct-14,2.30,2.30,2.26,2.30,80499
10-Oct-14,2.16,2.30,2.08,2.30,89770
9-Oct-14,2.22,2.25,2.11,2.15,453471
8-Oct-14,2.35,2.37,2.24,2.24,105247
7-Oct-14,2.45,2.46,2.30,2.38,255170
6-Oct-14,2.58,2.63,2.45,2.46,226195
3-Oct-14,2.64,2.70,2.58,2.59,94244
2-Oct-14,2.54,2.66,2.52,2.60,189515
1-Oct-14,2.67,2.78,2.52,2.53,51498
30-Sep-14,2.69,2.72,2.57,2.67,104792
29-Sep-14,2.71,2.73,2.60,2.69,142177
26-Sep-14,2.80,2.84,2.75,2.78,90130
25-Sep-14,2.80,2.81,2.80,2.80,28450
24-Sep-14,2.83,2.84,2.78,2.83,69452
23-Sep-14,2.86,2.87,2.82,2.82,70960
22-Sep-14,2.89,2.95,2.87,2.89,43358
19-Sep-14,2.89,3.02,2.86,2.94,114420
18-Sep-14,2.83,2.90,2.83,2.90,357910
17-Sep-14,2.82,2.85,2.82,2.82,32225
16-Sep-14,2.84,2.87,2.82,2.84,12488
15-Sep-14,2.92,2.92,2.82,2.84,37068
12-Sep-14,2.87,2.98,2.86,2.91,57669
11-Sep-14,2.96,3.00,2.88,2.91,133518
10-Sep-14,2.99,3.00,2.97,2.97,13124
9-Sep-14,2.99,3.01,2.96,2.99,130880
8-Sep-14,2.95,3.02,2.90,2.98,81954
5-Sep-14,2.92,2.97,2.90,2.97,83260
4-Sep-14,3.10,3.16,2.95,2.95,207988
3-Sep-14,3.09,3.09,2.95,2.98,141975
2-Sep-14,3.11,3.12,3.07,3.08,73234
29-Aug-14,3.07,3.11,3.05,3.08,28101
28-Aug-14,3.04,3.11,3.02,3.07,83432
27-Aug-14,2.97,3.15,2.97,3.08,48529
26-Aug-14,3.04,3.08,3.04,3.07,243861
25-Aug-14,3.00,3.06,2.94,3.05,595647
