Date,Open,High,Low,Close,Volume
23-Oct-14,939.60,955.80,938.25,938.25,5
22-Oct-14,935.55,957.15,934.20,935.55,16
21-Oct-14,951.75,958.50,931.51,932.85,16
20-Oct-14,928.80,980.78,918.00,945.00,30
17-Oct-14,905.85,949.05,904.50,949.05,21
16-Oct-14,945.00,945.00,897.75,904.50,62
15-Oct-14,966.60,983.74,957.15,958.50,57
14-Oct-14,957.15,969.30,957.15,966.60,49
13-Oct-14,957.15,978.75,957.15,969.30,21
10-Oct-14,1043.55,1043.55,958.64,959.85,87
9-Oct-14,1038.15,1059.74,1035.45,1053.00,104
8-Oct-14,1081.35,1081.35,1026.00,1027.35,104
7-Oct-14,1093.49,1093.50,1081.35,1082.70,17
6-Oct-14,1081.35,1093.50,1081.35,1082.70,19
3-Oct-14,1080.00,1086.75,1054.35,1080.00,119
2-Oct-14,1116.45,1116.45,1053.00,1067.85,249
1-Oct-14,1096.11,1120.50,1090.80,1115.10,104
30-Sep-14,1093.50,1127.25,1090.80,1121.85,130
29-Sep-14,1089.45,1134.00,1089.45,1109.70,16
26-Sep-14,1089.45,1120.50,1089.45,1104.30,29
25-Sep-14,1098.90,1121.85,1097.55,1108.35,52
24-Sep-14,1102.95,1124.55,1096.20,1119.15,36
23-Sep-14,1142.10,1156.95,1096.20,1111.97,93
22-Sep-14,1161.00,1174.50,1123.20,1129.95,108
19-Sep-14,1123.60,1170.45,1086.75,1161.00,217
18-Sep-14,1089.45,1120.50,1088.10,1109.70,22
17-Sep-14,1123.20,1124.55,1077.30,1116.45,151
16-Sep-14,1109.70,1132.65,1093.50,1100.25,192
15-Sep-14,1148.85,1189.35,1111.05,1111.05,61
12-Sep-14,1148.85,1161.00,1140.75,1150.20,116
11-Sep-14,1139.40,1204.20,1139.40,1148.85,26
10-Sep-14,1206.90,1206.90,1115.10,1204.20,86
9-Sep-14,1186.38,1216.35,1154.25,1158.30,135
8-Sep-14,1227.15,1227.15,1185.30,1188.00,69
5-Sep-14,1221.59,1232.55,1219.06,1231.34,12
4-Sep-14,1223.09,1223.10,1216.35,1216.35,28
3-Sep-14,1233.90,1233.90,1219.05,1223.10,41
2-Sep-14,1216.36,1232.55,1216.36,1232.55,67
29-Aug-14,1216.35,1223.10,1207.58,1219.05,41
28-Aug-14,1161.00,1235.25,1160.99,1213.65,279
27-Aug-14,1161.00,1161.00,1161.00,1161.00,1
26-Aug-14,1159.65,1161.00,1150.20,1150.20,8
25-Aug-14,1156.95,1161.00,1156.95,1161.00,56
22-Aug-14,1178.55,1197.45,1142.10,1155.60,58
21-Aug-14,1186.62,1189.34,1167.75,1185.30,55
20-Aug-14,1152.90,1193.40,1139.40,1189.67,676
19-Aug-14,1167.75,1167.75,1152.90,1152.90,77
18-Aug-14,1178.55,1178.55,1147.50,1167.75,162
15-Aug-14,1154.25,1183.95,1140.75,1167.75,172
14-Aug-14,1167.75,1167.75,1142.11,1154.25,43
13-Aug-14,1135.35,1158.30,1135.35,1158.30,32
12-Aug-14,1125.90,1140.75,1125.90,1136.70,316
11-Aug-14,1151.55,1151.55,1121.85,1125.90,121
8-Aug-14,1165.05,1165.05,1144.79,1151.55,37
7-Aug-14,1167.75,1208.25,1121.85,1138.05,130
6-Aug-14,1154.25,1174.50,1148.85,1148.85,658
5-Aug-14,1177.20,1178.31,1116.46,1159.64,229
