Date,Open,High,Low,Close,Volume
23-Oct-14,9.88,9.98,9.88,9.93,1564
22-Oct-14,9.85,9.94,9.85,9.93,623
21-Oct-14,9.82,9.98,9.80,9.95,1051
16-Oct-14,9.84,9.84,9.84,9.84,100
15-Oct-14,9.89,9.90,9.85,9.90,9784
14-Oct-14,9.87,9.95,9.79,9.95,1358
13-Oct-14,9.95,9.99,9.67,9.94,2744
10-Oct-14,9.89,9.96,9.89,9.96,953
9-Oct-14,9.99,10.09,9.98,9.98,2689
8-Oct-14,9.84,9.98,9.84,9.95,328
7-Oct-14,9.72,9.87,9.72,9.87,2942
6-Oct-14,9.99,10.00,9.97,9.99,1300
3-Oct-14,10.01,10.09,9.80,9.84,3970
2-Oct-14,10.01,10.10,10.00,10.06,2830
29-Sep-14,9.98,9.99,9.98,9.98,1508
26-Sep-14,9.99,9.99,9.96,9.97,2514
25-Sep-14,9.75,9.99,9.75,9.99,568
22-Sep-14,9.88,9.98,9.60,9.90,14872
19-Sep-14,9.95,10.14,9.81,9.81,45556
18-Sep-14,10.09,10.15,9.95,10.05,9131
17-Sep-14,9.90,10.55,9.65,10.10,63665
16-Sep-14,9.77,9.77,9.62,9.74,7902
15-Sep-14,9.76,9.86,9.76,9.86,4353
12-Sep-14,9.76,9.76,9.70,9.76,3360
11-Sep-14,9.60,9.85,9.60,9.76,138247
10-Sep-14,9.61,9.62,9.57,9.61,3347
9-Sep-14,9.41,9.70,9.35,9.62,17897
8-Sep-14,9.70,9.70,9.35,9.63,47696
5-Sep-14,9.51,9.69,9.50,9.53,4670
3-Sep-14,9.50,9.68,9.42,9.68,5805
2-Sep-14,9.45,9.50,9.45,9.50,424
29-Aug-14,9.52,9.52,9.49,9.50,6236
27-Aug-14,9.49,9.56,9.49,9.55,2366
25-Aug-14,9.50,9.60,9.50,9.50,4053
22-Aug-14,9.57,9.70,9.38,9.62,2751
21-Aug-14,9.56,9.64,9.56,9.62,10299
19-Aug-14,9.57,9.59,9.35,9.35,4000
18-Aug-14,9.63,9.63,9.63,9.63,154
15-Aug-14,9.74,9.75,9.41,9.70,1596
14-Aug-14,9.61,9.70,9.49,9.70,11747
13-Aug-14,9.69,9.70,9.69,9.70,2025
12-Aug-14,9.54,9.54,9.54,9.54,105
11-Aug-14,9.54,9.85,9.50,9.55,34977
8-Aug-14,9.58,9.60,9.45,9.58,1943
7-Aug-14,9.60,9.60,9.43,9.43,1323
6-Aug-14,9.55,9.55,9.46,9.55,2129
4-Aug-14,9.55,9.55,9.55,9.55,300
1-Aug-14,9.37,9.45,9.37,9.45,1300
31-Jul-14,9.36,9.44,9.35,9.44,400
30-Jul-14,9.22,9.45,9.22,9.45,4832
29-Jul-14,9.35,9.45,9.22,9.37,15902
28-Jul-14,9.35,9.35,9.20,9.35,1500
25-Jul-14,9.35,9.35,9.35,9.35,100
23-Jul-14,9.21,9.35,9.12,9.35,6467
22-Jul-14,9.32,9.35,9.20,9.26,7430
21-Jul-14,9.10,9.30,9.10,9.11,7406
18-Jul-14,9.10,9.10,9.10,9.10,101
17-Jul-14,9.12,9.17,9.12,9.17,946
16-Jul-14,9.35,9.35,9.17,9.17,200
15-Jul-14,9.11,9.24,9.11,9.24,5504
14-Jul-14,9.18,9.18,9.11,9.18,1436
11-Jul-14,9.35,9.35,9.02,9.35,1300
10-Jul-14,9.06,9.35,9.06,9.35,1005
9-Jul-14,9.35,9.35,9.10,9.10,2701
7-Jul-14,9.26,9.40,9.25,9.25,4768
3-Jul-14,9.19,9.40,9.10,9.39,7750
2-Jul-14,9.33,9.40,9.12,9.40,9888
1-Jul-14,9.07,9.40,8.96,9.35,14371
30-Jun-14,9.23,9.23,9.10,9.23,800
27-Jun-14,9.09,9.45,8.95,9.42,9307
26-Jun-14,9.06,9.45,8.93,9.17,10134
25-Jun-14,9.21,9.49,8.95,9.08,13522
24-Jun-14,9.04,9.40,8.93,9.06,12661
23-Jun-14,9.18,9.50,8.91,9.08,11998
20-Jun-14,9.21,9.33,8.90,9.02,7329
19-Jun-14,9.01,9.30,8.90,9.24,12759
18-Jun-14,8.94,9.43,8.85,9.26,9829
17-Jun-14,9.16,9.16,8.83,9.06,9150
16-Jun-14,9.05,9.05,8.80,8.80,460
13-Jun-14,8.91,9.14,8.91,8.91,1705
12-Jun-14,9.00,9.20,8.96,9.20,931
11-Jun-14,9.00,9.20,8.95,9.14,9136
10-Jun-14,9.24,9.24,8.94,9.00,9492
9-Jun-14,9.00,9.15,8.93,8.93,5791
6-Jun-14,9.00,9.20,8.92,9.17,4598
4-Jun-14,8.98,9.20,8.95,8.95,1086
3-Jun-14,9.18,9.23,8.92,8.97,1339
2-Jun-14,8.90,9.25,8.90,9.17,4789
29-May-14,9.15,9.20,9.07,9.17,1012
28-May-14,9.10,9.17,8.90,8.94,14233
27-May-14,9.10,9.20,9.10,9.10,4701
22-May-14,9.25,9.30,9.00,9.03,5179
15-May-14,9.30,9.30,9.20,9.20,437
14-May-14,9.24,9.31,9.08,9.25,4239
13-May-14,9.03,9.24,8.97,9.24,1410
12-May-14,9.15,9.24,8.97,9.02,3790
9-May-14,9.20,9.20,9.02,9.11,3337
8-May-14,9.14,9.24,9.00,9.17,9678
7-May-14,9.24,9.24,9.00,9.00,2046
5-May-14,9.38,9.38,8.78,9.00,18073
2-May-14,9.30,9.30,8.85,8.85,435
1-May-14,8.98,9.39,8.76,9.16,15039
30-Apr-14,9.02,9.02,8.87,8.99,1077
29-Apr-14,8.97,8.97,8.72,8.95,1398
28-Apr-14,8.94,8.94,8.71,8.71,2700
25-Apr-14,8.70,8.70,8.68,8.70,300
24-Apr-14,8.72,8.72,8.66,8.66,225
23-Apr-14,8.75,8.75,8.66,8.66,2754
21-Apr-14,8.98,8.98,8.53,8.53,355
17-Apr-14,8.85,8.85,8.56,8.56,250
16-Apr-14,8.69,8.79,8.58,8.67,3678
15-Apr-14,8.94,8.94,8.56,8.56,330
14-Apr-14,8.65,8.71,8.65,8.71,1570
11-Apr-14,8.83,8.85,8.83,8.85,622
10-Apr-14,8.96,9.00,8.76,8.99,1951
8-Apr-14,8.88,8.88,8.75,8.75,798
7-Apr-14,8.86,8.88,8.68,8.88,960
4-Apr-14,8.85,8.85,8.74,8.75,1542
3-Apr-14,8.66,8.67,8.61,8.66,2200
1-Apr-14,8.81,8.81,8.63,8.73,960
31-Mar-14,8.89,8.98,8.50,8.68,5871
28-Mar-14,8.94,8.94,8.57,8.70,2960
27-Mar-14,8.98,8.98,8.55,8.75,1355
26-Mar-14,8.75,8.75,8.74,8.74,2113
25-Mar-14,8.80,8.80,8.67,8.67,850
24-Mar-14,8.90,9.02,8.51,8.78,2074
21-Mar-14,8.70,8.98,8.67,8.98,4831
20-Mar-14,8.78,8.87,8.65,8.75,7975
19-Mar-14,8.79,8.80,8.50,8.67,2388
18-Mar-14,8.85,8.85,8.62,8.65,3819
17-Mar-14,8.60,8.75,8.50,8.68,1493
14-Mar-14,8.60,8.62,8.52,8.54,6269
13-Mar-14,8.94,9.20,8.63,8.65,12486
12-Mar-14,9.31,9.31,8.73,8.78,14225
11-Mar-14,8.81,9.39,8.80,8.85,12199
10-Mar-14,9.05,9.40,8.75,8.92,36351
7-Mar-14,9.12,9.32,8.93,9.01,15285
6-Mar-14,9.24,9.25,9.01,9.25,875
5-Mar-14,9.14,9.15,9.00,9.00,3850
4-Mar-14,9.15,9.15,9.11,9.12,8948
3-Mar-14,9.17,9.17,9.00,9.00,9603
28-Feb-14,9.24,9.24,9.00,9.00,5895
25-Feb-14,8.80,8.80,8.56,8.56,3670
24-Feb-14,8.80,8.80,8.80,8.80,516
21-Feb-14,8.94,8.98,8.90,8.90,6271
