Date,Open,High,Low,Close,Volume
23-Oct-14,40.35,40.35,39.00,39.30,1821
22-Oct-14,41.10,41.25,40.05,40.35,2029
21-Oct-14,41.25,41.40,40.80,40.95,515
20-Oct-14,40.80,41.25,40.50,40.50,1178
17-Oct-14,43.05,43.05,40.50,40.50,1536
16-Oct-14,40.50,42.00,40.50,41.55,1881
15-Oct-14,39.45,40.65,38.16,40.65,2047
14-Oct-14,39.15,40.05,39.15,39.45,2196
13-Oct-14,40.20,40.20,39.00,39.30,2109
10-Oct-14,40.80,40.80,38.70,40.20,7342
9-Oct-14,42.00,42.30,40.35,40.80,3387
8-Oct-14,41.40,42.45,41.25,41.85,2063
7-Oct-14,42.30,43.20,42.00,42.15,1299
6-Oct-14,42.75,43.05,41.85,42.30,1846
3-Oct-14,42.63,43.20,42.60,43.05,1190
2-Oct-14,41.70,43.48,40.80,42.30,4427
1-Oct-14,42.30,42.30,41.55,42.15,1574
30-Sep-14,42.15,43.10,41.55,42.15,3997
29-Sep-14,40.80,42.45,40.80,41.55,1421
26-Sep-14,40.50,41.78,40.50,41.25,1129
25-Sep-14,40.65,41.24,40.65,40.80,1437
24-Sep-14,42.00,43.35,41.25,41.25,1752
23-Sep-14,41.55,43.05,41.55,41.85,2208
22-Sep-14,42.90,43.80,40.65,42.00,5414
19-Sep-14,42.90,44.24,40.95,43.65,7606
18-Sep-14,41.10,46.35,41.10,42.60,10031
17-Sep-14,40.35,43.05,40.35,42.30,2844
16-Sep-14,40.05,41.25,39.75,40.80,2393
15-Sep-14,41.25,41.40,39.75,40.05,6896
12-Sep-14,41.85,42.60,40.50,41.85,6622
11-Sep-14,42.00,43.05,41.40,42.00,4189
10-Sep-14,45.15,45.30,42.00,42.00,7582
9-Sep-14,48.00,48.00,44.10,45.00,7254
8-Sep-14,43.50,45.90,43.50,45.60,3561
5-Sep-14,42.90,44.24,42.78,43.35,1766
4-Sep-14,44.70,44.70,42.90,43.20,4907
3-Sep-14,46.35,46.80,44.55,44.85,3500
2-Sep-14,46.50,47.70,45.30,45.90,4762
29-Aug-14,46.95,47.70,46.35,46.80,1358
28-Aug-14,46.35,47.40,46.35,47.10,1504
27-Aug-14,48.15,48.15,46.65,47.25,2400
26-Aug-14,47.70,48.45,47.25,47.70,18154
25-Aug-14,46.80,47.85,45.90,46.95,5308
22-Aug-14,46.50,46.50,45.30,46.05,2950
21-Aug-14,46.50,47.25,45.45,46.35,5263
20-Aug-14,46.35,48.45,46.20,46.95,24001
19-Aug-14,44.70,46.65,44.54,46.28,9315
18-Aug-14,44.10,45.60,43.80,45.00,6573
15-Aug-14,43.50,44.10,43.20,43.65,1145
14-Aug-14,45.00,45.90,42.00,43.20,9708
13-Aug-14,43.65,45.30,43.50,44.70,10725
12-Aug-14,44.70,46.05,42.00,43.80,14663
11-Aug-14,42.00,44.70,42.00,44.55,10018
8-Aug-14,38.70,42.00,38.34,41.55,5859
7-Aug-14,39.00,40.50,38.40,38.40,5483
6-Aug-14,37.80,39.00,37.42,38.40,3508
5-Aug-14,37.80,37.80,37.50,37.80,560
4-Aug-14,37.05,38.40,36.75,37.65,3389
1-Aug-14,37.65,39.00,36.75,37.50,3166
31-Jul-14,38.85,38.85,36.30,37.95,9910
30-Jul-14,39.60,39.86,38.85,39.00,3347
29-Jul-14,39.75,40.80,39.00,39.75,5302
28-Jul-14,40.65,41.18,39.15,39.60,4409
25-Jul-14,42.00,43.05,40.20,40.80,5826
24-Jul-14,42.45,42.75,41.70,42.30,2141
23-Jul-14,41.85,42.75,41.73,42.45,1468
22-Jul-14,40.95,42.15,40.50,41.99,4152
21-Jul-14,40.80,41.85,40.05,40.50,4069
18-Jul-14,42.58,42.58,40.20,40.65,3348
17-Jul-14,41.40,42.30,41.25,41.40,1677
16-Jul-14,42.75,42.75,41.85,42.15,2996
15-Jul-14,42.00,42.75,40.95,41.85,1928
14-Jul-14,41.85,43.05,41.10,41.85,2183
11-Jul-14,44.10,44.10,41.25,42.15,2344
10-Jul-14,44.10,44.70,41.55,42.00,7468
9-Jul-14,43.95,45.00,43.65,43.80,2111
8-Jul-14,44.25,45.15,43.20,43.50,3722
7-Jul-14,44.40,45.45,43.50,43.65,3107
3-Jul-14,44.70,45.45,44.25,44.70,1533
2-Jul-14,45.45,46.05,44.55,45.15,5117
1-Jul-14,44.68,45.60,43.65,44.85,4471
30-Jun-14,44.70,45.30,42.75,43.35,5191
27-Jun-14,44.70,46.26,44.40,45.15,12957
26-Jun-14,46.20,46.50,43.95,44.40,5319
25-Jun-14,44.10,45.60,43.35,45.45,4310
24-Jun-14,43.95,46.20,43.88,44.25,5913
23-Jun-14,44.55,44.55,42.00,43.65,6957
20-Jun-14,45.30,46.50,43.35,44.40,12241
19-Jun-14,45.45,47.10,45.15,45.90,10287
18-Jun-14,45.90,48.45,45.00,46.05,16588
17-Jun-14,47.25,47.25,44.85,45.75,9653
16-Jun-14,47.25,47.25,44.25,44.70,4969
13-Jun-14,44.10,46.50,42.54,45.30,20533
12-Jun-14,43.50,44.70,43.20,43.95,2493
11-Jun-14,44.85,45.00,43.20,43.80,4080
10-Jun-14,42.30,45.75,42.30,44.40,8924
9-Jun-14,41.25,43.95,41.25,42.00,6699
6-Jun-14,42.00,42.00,40.20,40.65,5140
5-Jun-14,41.85,42.00,41.25,41.55,4462
4-Jun-14,39.75,42.60,39.75,40.65,3736
3-Jun-14,41.55,41.55,39.30,40.50,5479
2-Jun-14,40.65,41.70,39.45,40.20,4476
30-May-14,41.55,41.55,39.75,40.50,7989
29-May-14,43.05,45.60,40.80,41.55,16492
28-May-14,41.85,47.85,41.25,43.35,70655
27-May-14,37.65,41.25,37.65,40.65,6825
23-May-14,38.40,39.30,37.50,38.55,2245
