Date,Open,High,Low,Close,Volume
23-Oct-14,34.82,35.36,34.58,34.97,106625
22-Oct-14,34.71,34.71,34.11,34.34,101203
21-Oct-14,33.58,34.47,33.58,34.41,100630
20-Oct-14,33.33,33.60,33.15,33.45,143850
17-Oct-14,33.99,33.99,33.07,33.44,174197
16-Oct-14,32.51,33.74,32.51,33.50,187850
15-Oct-14,31.62,33.09,31.62,33.03,222887
14-Oct-14,31.99,32.35,31.68,31.90,168840
13-Oct-14,31.44,32.00,31.32,31.64,156589
10-Oct-14,32.04,32.21,31.41,31.48,155536
9-Oct-14,33.24,33.36,32.15,32.22,143612
8-Oct-14,32.79,33.42,32.57,33.36,133880
7-Oct-14,33.75,33.75,32.89,32.93,199310
6-Oct-14,34.27,34.46,33.82,33.91,169378
3-Oct-14,34.50,34.74,34.12,34.17,113441
2-Oct-14,34.30,34.56,34.09,34.29,140133
1-Oct-14,34.49,34.94,34.21,34.32,128393
30-Sep-14,34.98,34.99,34.52,34.59,209156
29-Sep-14,34.80,35.15,34.80,34.92,94403
26-Sep-14,34.90,35.72,34.70,35.13,158061
25-Sep-14,35.27,35.40,34.49,34.89,177552
24-Sep-14,35.27,35.52,35.00,35.39,59648
23-Sep-14,35.80,35.86,35.00,35.16,172538
22-Sep-14,36.38,36.69,35.77,35.94,115278
19-Sep-14,37.61,37.78,36.32,36.52,201027
18-Sep-14,37.15,37.62,36.98,37.53,81713
17-Sep-14,37.20,37.52,36.99,37.18,121874
16-Sep-14,37.27,37.46,37.03,37.20,102591
15-Sep-14,37.87,37.87,37.19,37.32,115902
12-Sep-14,38.73,38.73,37.83,37.99,125812
11-Sep-14,38.47,39.16,38.39,38.83,94893
10-Sep-14,38.77,39.10,38.60,38.77,85635
9-Sep-14,39.09,39.09,38.33,38.86,156321
8-Sep-14,38.55,39.30,38.43,39.28,146405
5-Sep-14,38.75,39.01,38.37,38.62,102457
4-Sep-14,38.89,39.34,38.62,38.94,120748
3-Sep-14,39.19,39.19,38.38,38.81,101034
2-Sep-14,38.81,39.12,38.50,38.93,84198
29-Aug-14,38.57,38.79,38.31,38.56,74788
28-Aug-14,38.91,39.27,38.44,38.48,45118
27-Aug-14,38.88,39.15,38.75,39.01,60800
26-Aug-14,38.54,38.93,38.54,38.83,81026
25-Aug-14,38.67,39.15,38.14,38.62,66760
22-Aug-14,39.05,39.98,37.91,38.52,133375
21-Aug-14,38.32,39.39,37.65,39.26,91384
20-Aug-14,38.81,38.81,38.09,38.29,55994
19-Aug-14,38.81,39.05,38.34,38.82,44862
18-Aug-14,38.12,38.75,37.76,38.65,101532
15-Aug-14,38.00,38.00,37.35,37.90,103183
14-Aug-14,37.78,37.98,37.35,37.52,52190
13-Aug-14,37.99,38.19,37.52,37.69,34415
12-Aug-14,37.41,38.02,37.41,37.87,98372
11-Aug-14,37.06,37.87,37.06,37.67,60216
8-Aug-14,36.42,37.05,36.42,36.89,124675
7-Aug-14,36.82,36.82,36.21,36.49,65689
6-Aug-14,36.72,37.29,36.43,36.62,61976
5-Aug-14,36.25,37.06,36.25,36.89,67490
4-Aug-14,36.30,36.60,36.20,36.49,82783
1-Aug-14,36.00,36.57,35.86,36.05,122987
31-Jul-14,36.12,36.12,35.59,35.81,125492
30-Jul-14,36.48,36.62,36.26,36.43,44417
29-Jul-14,36.30,36.69,36.18,36.34,70420
