Date,Open,High,Low,Close,Volume
23-Oct-14,39.75,40.22,39.10,39.32,35956
22-Oct-14,40.10,40.11,39.54,39.70,30565
21-Oct-14,40.00,40.60,39.87,39.99,37066
20-Oct-14,39.51,39.99,39.44,39.98,24516
17-Oct-14,40.31,40.31,39.54,39.62,45915
16-Oct-14,38.89,40.05,38.89,39.68,44024
15-Oct-14,39.42,39.98,38.66,39.56,54601
14-Oct-14,39.48,40.30,38.54,39.94,63205
13-Oct-14,38.06,39.42,37.61,39.08,31523
10-Oct-14,37.60,38.75,37.60,37.97,36286
9-Oct-14,38.68,38.68,37.76,37.81,24919
8-Oct-14,37.86,38.89,37.86,38.77,50301
7-Oct-14,38.21,38.32,37.76,38.03,20454
6-Oct-14,38.94,38.94,38.19,38.36,20431
3-Oct-14,39.05,39.54,38.56,38.84,32164
2-Oct-14,38.10,39.04,38.02,38.67,24649
1-Oct-14,38.66,38.90,38.10,38.20,40010
30-Sep-14,38.75,38.93,38.52,38.52,67452
29-Sep-14,38.65,38.88,38.51,38.78,40993
26-Sep-14,38.77,39.29,38.66,39.09,20819
25-Sep-14,38.99,39.62,38.56,38.68,34475
24-Sep-14,39.10,39.67,38.98,39.19,24043
23-Sep-14,39.79,40.08,39.02,39.16,40695
22-Sep-14,40.39,40.42,39.81,39.88,21014
19-Sep-14,41.34,41.34,40.55,40.63,78628
18-Sep-14,40.20,41.25,40.20,41.20,25305
17-Sep-14,40.28,40.74,39.78,40.33,28284
16-Sep-14,39.74,40.56,39.74,40.19,53906
15-Sep-14,40.86,40.86,40.31,40.63,24781
12-Sep-14,41.77,41.82,40.48,40.93,44547
11-Sep-14,41.01,41.70,41.01,41.64,44300
10-Sep-14,40.53,41.69,40.53,41.40,77247
9-Sep-14,40.60,40.83,40.50,40.68,23833
8-Sep-14,40.03,41.68,40.03,41.21,38369
5-Sep-14,40.34,40.99,40.30,40.78,16184
4-Sep-14,40.77,41.28,40.42,40.53,21419
3-Sep-14,40.74,40.92,40.50,40.79,30396
2-Sep-14,40.10,40.90,39.56,40.47,67148
29-Aug-14,39.91,40.00,39.59,39.92,26522
28-Aug-14,40.38,40.55,39.85,39.85,34012
27-Aug-14,40.96,41.22,40.53,40.59,40765
26-Aug-14,40.65,41.24,40.52,41.18,47902
25-Aug-14,39.69,41.20,39.59,40.69,86668
22-Aug-14,39.50,39.60,38.64,39.56,34869
21-Aug-14,38.60,39.59,38.18,39.46,72633
20-Aug-14,39.00,39.00,38.26,38.61,27587
19-Aug-14,39.38,39.65,39.16,39.19,34040
18-Aug-14,38.89,39.53,38.39,39.42,49985
15-Aug-14,39.35,39.61,37.93,38.48,65357
14-Aug-14,39.00,39.86,38.75,38.91,67289
13-Aug-14,38.98,39.38,38.61,39.08,100545
12-Aug-14,38.97,39.34,38.55,38.90,69428
11-Aug-14,39.53,39.67,38.95,39.22,84187
8-Aug-14,38.95,39.37,38.74,39.28,38648
7-Aug-14,39.48,39.54,38.87,38.98,36288
6-Aug-14,39.02,39.91,39.02,39.40,60626
5-Aug-14,39.04,39.86,39.00,39.21,89029
4-Aug-14,39.22,39.57,38.26,39.38,135205
1-Aug-14,39.76,39.85,38.91,38.92,57680
31-Jul-14,39.93,40.48,39.50,39.63,96283
30-Jul-14,39.84,40.53,39.70,40.49,86226
29-Jul-14,39.13,40.06,38.93,39.65,82391
28-Jul-14,39.28,39.28,38.68,39.10,38248
25-Jul-14,38.98,39.55,38.94,39.11,54463
24-Jul-14,38.67,39.54,38.50,38.82,72523
23-Jul-14,39.24,39.32,38.62,38.87,36888
22-Jul-14,39.24,39.30,38.83,38.98,45924
21-Jul-14,38.73,38.91,38.20,38.75,64254
18-Jul-14,37.50,39.25,37.50,39.03,61868
17-Jul-14,39.02,39.19,37.35,37.63,58487
16-Jul-14,40.03,40.24,39.17,39.42,67247
15-Jul-14,39.59,39.90,39.22,39.67,52061
14-Jul-14,39.59,39.75,39.32,39.48,67397
11-Jul-14,38.65,39.45,38.48,39.17,51131
10-Jul-14,38.67,39.28,38.62,38.85,51824
9-Jul-14,39.93,40.53,39.16,39.25,65629
8-Jul-14,40.03,40.03,39.39,39.53,34857
7-Jul-14,40.43,40.43,40.04,40.15,28172
3-Jul-14,40.26,40.90,40.26,40.70,16660
2-Jul-14,40.22,40.60,39.80,40.10,52021
1-Jul-14,39.70,40.78,39.70,40.18,61229
