Date,Open,High,Low,Close,Volume
23-Oct-14,35.16,36.33,34.62,35.60,710149
22-Oct-14,35.30,35.59,34.65,34.83,991753
21-Oct-14,35.60,35.60,34.38,35.31,800268
20-Oct-14,34.65,36.07,34.62,35.25,934999
17-Oct-14,35.15,35.42,34.06,34.65,2719058
16-Oct-14,32.77,36.18,32.77,34.73,1767314
15-Oct-14,31.49,33.81,31.40,33.33,1965256
14-Oct-14,31.80,33.11,31.40,31.96,1435994
13-Oct-14,32.00,32.38,30.80,31.51,1028526
10-Oct-14,33.11,33.84,31.97,32.00,987496
9-Oct-14,34.40,34.45,32.66,33.23,1089553
8-Oct-14,33.85,34.35,33.18,34.31,823546
7-Oct-14,34.39,34.68,33.72,33.77,1007099
6-Oct-14,36.02,36.15,34.56,34.64,886494
3-Oct-14,36.16,36.20,35.46,35.77,1361297
2-Oct-14,36.92,37.25,35.50,35.81,1396851
1-Oct-14,37.22,37.42,36.30,36.92,1266353
30-Sep-14,37.02,37.62,36.26,37.18,2164781
29-Sep-14,40.93,40.93,37.80,38.39,2036449
26-Sep-14,41.00,41.50,40.50,41.37,651364
25-Sep-14,41.69,42.18,40.92,40.93,801754
24-Sep-14,40.23,41.83,40.18,41.73,704836
23-Sep-14,39.79,41.12,39.51,40.11,895789
22-Sep-14,40.50,40.52,39.20,40.03,1138354
19-Sep-14,41.27,41.41,40.38,40.60,1264829
18-Sep-14,41.75,41.99,41.02,41.15,543863
17-Sep-14,41.77,42.06,41.18,41.38,939175
16-Sep-14,41.02,41.68,40.31,41.51,859895
15-Sep-14,41.32,41.43,39.96,40.82,980919
12-Sep-14,40.68,41.49,40.42,41.39,1096075
11-Sep-14,41.75,41.98,40.05,40.90,1154478
10-Sep-14,40.51,42.39,40.23,41.98,918568
9-Sep-14,41.48,41.48,39.87,40.12,607439
8-Sep-14,41.09,41.71,40.69,41.49,546481
5-Sep-14,41.76,41.77,40.15,41.10,916550
4-Sep-14,42.98,43.16,41.59,41.84,582559
3-Sep-14,42.71,43.09,42.44,42.83,741138
2-Sep-14,44.23,44.51,41.80,42.62,1205448
29-Aug-14,43.64,44.08,43.19,44.01,523020
28-Aug-14,43.81,44.95,43.16,43.57,864351
27-Aug-14,44.15,44.42,43.56,44.14,698203
26-Aug-14,43.60,44.43,43.59,44.09,550470
25-Aug-14,43.24,44.07,43.03,43.49,608899
22-Aug-14,42.50,43.35,41.51,42.86,785086
21-Aug-14,43.01,43.41,42.05,42.50,844854
20-Aug-14,43.00,43.58,42.70,42.99,551401
19-Aug-14,43.28,43.47,42.65,43.26,633424
18-Aug-14,42.64,43.48,42.32,43.05,776446
15-Aug-14,42.67,42.86,41.36,42.23,825804
14-Aug-14,41.75,42.69,41.50,42.57,900091
13-Aug-14,40.86,41.74,40.40,41.60,902889
