Date,Open,High,Low,Close,Volume
23-Oct-14,32.25,33.52,32.02,32.73,319637
22-Oct-14,32.00,32.45,31.72,31.92,245176
21-Oct-14,32.00,32.27,31.70,32.06,339867
20-Oct-14,32.03,32.08,31.28,32.07,299670
17-Oct-14,32.42,32.50,31.20,31.45,354146
16-Oct-14,32.20,32.60,31.96,32.06,403270
15-Oct-14,32.03,32.67,31.60,32.50,284801
14-Oct-14,33.15,33.60,31.74,32.40,307693
13-Oct-14,31.40,33.22,31.17,32.81,431071
10-Oct-14,31.51,32.02,31.10,31.25,259220
9-Oct-14,32.58,32.58,31.00,31.53,269005
8-Oct-14,31.13,32.89,31.00,32.72,318486
7-Oct-14,31.42,31.50,30.79,31.10,427754
6-Oct-14,31.72,32.29,31.46,31.50,190819
3-Oct-14,32.32,32.48,31.74,31.76,378161
2-Oct-14,31.72,32.54,31.66,31.86,328089
1-Oct-14,31.09,31.86,30.54,31.64,215307
30-Sep-14,30.45,31.30,30.35,31.10,266151
29-Sep-14,29.50,30.51,29.23,30.30,269277
26-Sep-14,29.72,30.10,29.13,29.50,243832
25-Sep-14,30.14,30.43,29.44,29.68,150708
24-Sep-14,30.11,30.54,29.89,30.43,168951
23-Sep-14,29.75,30.56,29.61,30.09,132447
22-Sep-14,30.95,30.98,29.79,29.94,207586
19-Sep-14,31.04,31.45,30.70,30.90,1039169
18-Sep-14,29.52,30.97,28.90,30.86,180247
17-Sep-14,29.38,29.96,29.38,29.49,203948
16-Sep-14,30.08,30.71,28.88,29.39,336773
15-Sep-14,28.73,30.27,28.12,30.03,296890
12-Sep-14,28.63,28.65,27.99,28.33,120845
11-Sep-14,28.33,28.70,27.89,28.61,121733
10-Sep-14,28.20,28.90,28.14,28.54,91046
9-Sep-14,28.58,28.81,28.09,28.25,77604
8-Sep-14,27.90,28.66,27.45,28.56,137259
5-Sep-14,27.94,28.29,27.18,27.72,92062
4-Sep-14,28.61,29.38,27.94,28.06,154908
3-Sep-14,28.61,29.01,28.39,28.58,121615
2-Sep-14,27.86,28.81,27.70,28.48,200177
29-Aug-14,27.10,28.04,27.10,27.82,114566
28-Aug-14,27.23,27.43,26.88,27.09,84523
27-Aug-14,27.51,27.77,27.14,27.30,107642
26-Aug-14,27.26,27.70,27.26,27.43,127265
25-Aug-14,27.50,28.73,26.91,27.23,165001
22-Aug-14,26.59,27.58,26.59,27.36,307376
21-Aug-14,26.27,26.68,26.15,26.55,130928
20-Aug-14,25.94,26.55,25.75,26.36,84714
19-Aug-14,26.11,26.11,25.55,26.00,113480
18-Aug-14,25.58,26.12,25.33,26.10,276289
15-Aug-14,25.48,25.63,24.49,25.36,135609
14-Aug-14,25.54,25.79,25.18,25.23,117285
13-Aug-14,24.42,25.69,24.42,25.49,175094
12-Aug-14,24.34,24.84,24.11,24.37,132443
11-Aug-14,24.12,24.72,23.99,24.38,248670
8-Aug-14,24.25,24.46,23.79,24.08,283649
7-Aug-14,24.75,24.90,24.17,24.22,196836
6-Aug-14,24.42,25.04,24.42,24.80,144382
5-Aug-14,23.93,24.67,23.74,24.55,185936
4-Aug-14,24.22,24.36,23.76,23.98,262440
1-Aug-14,25.56,25.68,24.02,24.27,321098
31-Jul-14,24.90,25.76,24.49,25.48,268182
30-Jul-14,27.23,27.43,25.73,25.95,241249
29-Jul-14,25.76,26.00,25.35,25.73,152497
28-Jul-14,26.12,26.31,25.50,25.77,135277
25-Jul-14,26.22,26.50,25.52,26.16,196571
24-Jul-14,26.88,27.18,26.41,26.66,124975
23-Jul-14,26.68,26.79,26.51,26.74,157184
22-Jul-14,26.56,27.13,26.19,26.55,127524
21-Jul-14,26.16,26.62,25.78,26.38,137412
18-Jul-14,25.86,26.41,25.46,26.28,209459
17-Jul-14,25.42,26.91,25.42,25.96,310355
16-Jul-14,26.10,26.30,25.40,25.52,183270
15-Jul-14,26.89,26.92,25.90,25.99,178547
14-Jul-14,26.69,26.95,26.34,26.78,137417
11-Jul-14,26.30,26.53,25.87,26.40,115549
10-Jul-14,25.76,26.62,25.43,26.24,143135
9-Jul-14,25.45,26.31,24.75,26.29,207031
8-Jul-14,26.36,26.41,25.15,25.29,224305
7-Jul-14,26.99,27.20,26.16,26.31,183810
3-Jul-14,26.36,27.05,26.11,27.01,98558
2-Jul-14,26.86,27.57,26.27,26.35,215784
1-Jul-14,25.97,26.98,25.72,26.97,489170
