Date,Open,High,Low,Close,Volume
23-Oct-14,2.75,2.82,2.71,2.78,806166
22-Oct-14,2.85,2.95,2.71,2.72,660880
21-Oct-14,2.86,2.98,2.79,2.85,1780113
20-Oct-14,2.70,2.75,2.65,2.74,635993
17-Oct-14,2.84,2.84,2.71,2.72,791825
16-Oct-14,2.62,2.79,2.62,2.75,1468355
15-Oct-14,2.61,2.72,2.52,2.69,1288473
14-Oct-14,2.64,2.73,2.58,2.67,923454
13-Oct-14,2.57,2.72,2.52,2.60,872885
10-Oct-14,2.60,2.71,2.45,2.57,995215
9-Oct-14,2.72,2.72,2.59,2.60,1058484
8-Oct-14,2.72,2.80,2.61,2.75,813179
7-Oct-14,2.82,2.84,2.71,2.71,521781
6-Oct-14,2.90,2.92,2.80,2.83,617245
3-Oct-14,2.94,2.95,2.80,2.89,874173
2-Oct-14,2.70,2.92,2.70,2.91,773146
1-Oct-14,2.76,2.78,2.65,2.66,914266
30-Sep-14,2.86,2.86,2.78,2.78,761136
29-Sep-14,2.85,2.90,2.81,2.86,676142
26-Sep-14,2.85,2.96,2.81,2.96,823199
25-Sep-14,3.02,3.08,2.75,2.81,1489816
24-Sep-14,2.93,3.07,2.92,3.04,494469
23-Sep-14,2.90,3.09,2.88,2.94,700535
22-Sep-14,3.02,3.09,2.85,2.90,1304600
19-Sep-14,3.18,3.24,2.88,3.04,5755342
18-Sep-14,3.30,3.34,3.16,3.19,917620
17-Sep-14,3.32,3.39,3.28,3.30,435063
16-Sep-14,3.28,3.42,3.26,3.30,614796
15-Sep-14,3.54,3.54,3.23,3.28,1839321
12-Sep-14,3.61,3.65,3.53,3.54,851548
11-Sep-14,3.79,3.83,3.57,3.60,964639
10-Sep-14,3.69,3.81,3.64,3.79,523462
9-Sep-14,3.86,3.86,3.67,3.69,866386
8-Sep-14,3.67,3.90,3.66,3.89,533672
5-Sep-14,3.84,3.84,3.66,3.69,451875
4-Sep-14,3.86,3.92,3.82,3.84,319435
3-Sep-14,3.84,3.92,3.81,3.83,436943
2-Sep-14,3.94,3.94,3.80,3.84,471804
29-Aug-14,3.82,3.91,3.80,3.90,515412
28-Aug-14,3.78,3.81,3.74,3.78,405008
27-Aug-14,3.81,3.90,3.77,3.79,592787
26-Aug-14,3.66,3.85,3.65,3.82,809864
25-Aug-14,3.55,3.70,3.54,3.69,416328
22-Aug-14,3.53,3.57,3.45,3.53,636587
21-Aug-14,3.69,3.69,3.52,3.52,619549
20-Aug-14,3.69,3.70,3.61,3.62,392977
19-Aug-14,3.58,3.72,3.56,3.70,542516
18-Aug-14,3.62,3.68,3.58,3.60,451945
15-Aug-14,3.69,3.72,3.55,3.58,524846
14-Aug-14,3.57,3.63,3.51,3.63,504205
13-Aug-14,3.57,3.65,3.52,3.55,813515
12-Aug-14,3.67,3.72,3.50,3.58,809929
11-Aug-14,3.62,3.79,3.59,3.79,692456
8-Aug-14,3.50,3.62,3.50,3.58,564102
7-Aug-14,3.65,3.67,3.52,3.53,556864
6-Aug-14,3.58,3.67,3.52,3.65,415564
5-Aug-14,3.57,3.65,3.50,3.64,598159
4-Aug-14,3.62,3.70,3.53,3.60,516650
1-Aug-14,3.65,3.73,3.52,3.61,853747
31-Jul-14,3.70,3.74,3.61,3.65,720315
30-Jul-14,3.78,3.85,3.70,3.78,596511
29-Jul-14,3.63,3.76,3.61,3.75,512241
28-Jul-14,3.81,3.87,3.61,3.63,898056
25-Jul-14,3.78,3.80,3.65,3.77,595036
24-Jul-14,3.84,3.85,3.73,3.77,568286
23-Jul-14,3.90,3.97,3.75,3.81,809645
22-Jul-14,3.86,3.99,3.82,3.88,678739
21-Jul-14,3.82,3.88,3.73,3.83,780292
18-Jul-14,3.63,3.88,3.61,3.85,878285
17-Jul-14,3.85,3.90,3.61,3.64,1838385
16-Jul-14,3.85,3.94,3.79,3.86,762283
15-Jul-14,3.99,4.02,3.78,3.84,1288871
14-Jul-14,4.05,4.05,3.95,4.01,880264
11-Jul-14,3.86,4.01,3.84,3.95,602892
10-Jul-14,3.76,4.01,3.74,3.85,1087126
9-Jul-14,3.93,3.96,3.75,3.83,892087
8-Jul-14,4.23,4.25,3.83,3.91,1720005
7-Jul-14,4.18,4.22,4.00,4.17,1441084
3-Jul-14,4.25,4.29,4.14,4.18,389973
2-Jul-14,4.11,4.29,4.11,4.24,811179
