Date,Open,High,Low,Close,Volume
23-Oct-14,16.71,17.28,16.70,16.94,35011
22-Oct-14,16.90,17.08,16.46,16.46,45709
21-Oct-14,16.55,17.02,16.55,16.93,56047
20-Oct-14,16.00,16.58,16.00,16.55,30393
17-Oct-14,16.40,16.72,15.94,15.98,49924
16-Oct-14,15.75,16.36,15.60,16.34,77929
15-Oct-14,15.55,16.09,15.15,16.01,103766
14-Oct-14,16.08,16.31,15.70,15.73,36782
13-Oct-14,15.66,16.30,15.58,15.84,53466
10-Oct-14,15.34,16.58,15.30,15.61,74780
9-Oct-14,15.95,15.98,15.15,15.26,40257
8-Oct-14,15.47,15.99,15.10,15.87,41233
7-Oct-14,15.88,16.05,15.34,15.48,85554
6-Oct-14,16.64,16.99,15.93,15.98,88061
3-Oct-14,17.56,17.64,16.51,16.54,63132
2-Oct-14,17.00,17.72,16.92,17.37,43231
1-Oct-14,16.92,17.27,16.66,16.96,53970
30-Sep-14,16.68,17.28,16.54,17.01,74461
29-Sep-14,17.20,17.24,16.50,16.67,49951
26-Sep-14,17.04,17.28,16.98,17.24,24588
25-Sep-14,17.61,17.61,16.83,16.98,27151
24-Sep-14,17.99,18.01,17.61,17.62,33700
23-Sep-14,17.86,18.21,17.78,17.98,47805
22-Sep-14,17.83,18.38,17.81,18.06,70907
19-Sep-14,18.25,18.43,17.88,18.02,113020
18-Sep-14,17.72,18.12,17.51,18.05,50917
17-Sep-14,17.01,17.65,16.72,17.59,118619
16-Sep-14,17.04,17.29,16.86,17.00,42410
15-Sep-14,17.50,17.50,16.85,17.01,57483
12-Sep-14,17.89,17.89,17.44,17.53,46321
11-Sep-14,17.70,17.98,17.62,17.82,41416
10-Sep-14,18.03,18.15,17.50,17.73,56362
9-Sep-14,18.48,18.50,17.80,17.87,57285
8-Sep-14,19.14,19.49,18.10,18.42,99184
5-Sep-14,18.34,19.00,18.30,18.99,71668
4-Sep-14,18.00,18.47,17.54,18.30,160387
3-Sep-14,16.98,17.10,16.59,16.59,15745
2-Sep-14,16.76,16.94,16.62,16.85,16684
29-Aug-14,16.73,16.73,16.38,16.71,20591
28-Aug-14,16.74,17.02,16.37,16.61,24602
27-Aug-14,17.12,17.17,16.77,16.86,11957
26-Aug-14,16.96,17.10,16.77,17.09,22968
25-Aug-14,16.98,17.00,16.74,16.85,22847
22-Aug-14,16.84,16.95,16.75,16.83,12332
21-Aug-14,16.94,16.98,16.74,16.81,38126
20-Aug-14,17.35,17.35,16.88,16.89,16689
19-Aug-14,17.26,17.48,16.93,17.39,18982
18-Aug-14,16.76,17.40,16.74,17.31,28340
15-Aug-14,16.75,16.76,16.27,16.59,42429
14-Aug-14,16.50,16.74,16.42,16.56,17311
13-Aug-14,16.69,16.69,16.44,16.53,16778
12-Aug-14,16.63,16.65,16.25,16.57,24609
11-Aug-14,16.49,16.98,16.49,16.68,31041
8-Aug-14,16.58,16.73,16.35,16.47,32854
7-Aug-14,16.78,16.95,16.45,16.56,34866
6-Aug-14,16.70,17.24,16.70,16.76,19730
5-Aug-14,17.02,17.24,16.75,16.81,21417
4-Aug-14,16.70,17.24,16.70,17.22,37820
1-Aug-14,17.00,17.24,16.65,16.70,38918
31-Jul-14,17.00,17.15,16.99,17.00,55728
30-Jul-14,17.38,17.42,17.05,17.11,32551
29-Jul-14,17.32,17.54,17.18,17.19,24598
28-Jul-14,17.65,17.91,17.20,17.31,26365
25-Jul-14,17.29,17.79,17.28,17.61,35019
24-Jul-14,17.84,17.95,17.47,17.47,52483
23-Jul-14,18.00,18.00,17.65,17.80,48305
22-Jul-14,17.71,18.00,17.61,17.91,28470
21-Jul-14,17.65,17.75,17.50,17.56,20300
18-Jul-14,17.12,17.96,17.07,17.70,85653
17-Jul-14,17.62,17.79,17.08,17.18,54745
16-Jul-14,18.24,18.24,17.80,17.82,29840
15-Jul-14,18.48,18.48,17.80,18.06,32572
14-Jul-14,18.41,18.54,18.20,18.43,25086
11-Jul-14,18.26,18.41,18.12,18.23,20670
10-Jul-14,18.22,18.69,17.96,18.28,40289
9-Jul-14,18.73,18.95,18.61,18.74,27248
8-Jul-14,18.60,18.74,18.18,18.68,33700
7-Jul-14,18.97,18.99,18.35,18.62,28550
3-Jul-14,19.12,19.12,18.92,19.00,8713
2-Jul-14,18.88,19.12,18.68,18.98,33683
1-Jul-14,18.75,19.00,18.22,18.81,73873
30-Jun-14,18.44,18.62,18.00,18.46,80178
27-Jun-14,19.06,19.21,18.62,18.62,413092
26-Jun-14,19.02,19.25,18.69,19.19,24213
25-Jun-14,18.66,19.18,18.59,19.10,29905
24-Jun-14,19.33,19.55,18.64,18.84,59022
23-Jun-14,19.28,19.49,18.78,19.24,68461
20-Jun-14,19.27,19.50,19.02,19.15,55425
19-Jun-14,19.57,19.57,19.00,19.27,29508
18-Jun-14,19.30,19.50,19.14,19.43,45391
17-Jun-14,19.04,19.46,18.97,19.28,44264
16-Jun-14,19.18,19.39,18.99,19.06,47661
13-Jun-14,18.89,19.33,18.86,19.11,31735
12-Jun-14,19.24,19.26,18.80,18.93,25418
11-Jun-14,19.11,19.41,18.68,19.19,35525
10-Jun-14,19.21,19.49,19.07,19.27,43852
9-Jun-14,18.97,19.25,18.71,19.21,44941
6-Jun-14,18.65,19.16,18.64,19.05,48585
5-Jun-14,17.97,18.65,17.96,18.63,48724
4-Jun-14,17.59,18.20,17.59,17.95,32515
3-Jun-14,17.57,18.00,17.26,17.71,58936
2-Jun-14,18.22,18.28,17.51,17.57,58814
30-May-14,17.98,18.22,17.63,18.09,54779
29-May-14,18.00,18.50,17.61,17.94,96832
28-May-14,17.72,18.00,17.10,17.93,78506
27-May-14,16.95,17.95,16.81,17.48,119572
23-May-14,16.70,16.81,16.01,16.72,241335
22-May-14,17.90,17.90,15.15,15.67,481890
21-May-14,17.67,18.13,17.50,17.98,82517
20-May-14,18.00,18.26,17.50,17.74,73787
19-May-14,17.76,18.09,17.54,17.98,52206
16-May-14,17.73,17.97,17.47,17.76,61560
15-May-14,18.09,18.15,17.38,17.64,80127
14-May-14,19.14,19.31,18.09,18.13,96099
13-May-14,19.63,19.77,19.15,19.22,63212
12-May-14,18.72,19.95,18.59,19.74,89624
9-May-14,18.21,18.59,18.02,18.54,52988
8-May-14,18.76,19.04,18.05,18.29,57388
7-May-14,19.00,19.00,18.32,18.87,61450
6-May-14,19.18,19.53,18.89,18.96,65345
5-May-14,19.07,19.33,18.78,19.21,54323
2-May-14,19.40,19.40,18.91,19.19,29234
1-May-14,19.67,19.80,18.93,19.26,71014
30-Apr-14,19.18,19.84,18.65,19.74,87734
29-Apr-14,19.71,19.75,19.20,19.33,74228
28-Apr-14,20.32,20.44,19.00,19.61,95255
25-Apr-14,20.17,20.46,19.57,20.20,85254
24-Apr-14,20.50,20.77,19.99,20.35,78105
23-Apr-14,20.69,20.77,20.11,20.37,63126
22-Apr-14,20.16,20.96,20.07,20.65,112031
21-Apr-14,19.42,20.20,19.42,20.04,132612
17-Apr-14,18.97,19.50,18.87,19.28,54547
16-Apr-14,18.77,19.10,18.39,19.08,44208
15-Apr-14,18.70,18.82,17.91,18.55,79043
14-Apr-14,18.43,19.16,18.29,18.59,76203
11-Apr-14,18.35,18.35,17.99,18.16,62420
10-Apr-14,19.22,19.25,18.23,18.40,52682
9-Apr-14,18.87,19.25,18.57,19.16,60017
8-Apr-14,18.02,18.93,18.02,18.74,105425
7-Apr-14,19.19,19.19,17.75,17.96,108865
4-Apr-14,19.68,19.74,18.82,19.19,121078
3-Apr-14,18.89,19.55,18.88,19.51,112739
2-Apr-14,18.62,18.95,18.32,18.84,103824
1-Apr-14,17.84,18.63,17.76,18.62,99357
31-Mar-14,17.55,17.99,17.43,17.74,137887
28-Mar-14,17.76,17.97,17.30,17.49,139002
27-Mar-14,17.40,17.87,17.21,17.68,193373
26-Mar-14,19.46,19.46,17.26,17.44,408793
25-Mar-14,19.40,19.80,19.01,19.21,140223
24-Mar-14,19.96,19.96,19.05,19.26,177076
21-Mar-14,19.60,19.84,19.32,19.59,144177
20-Mar-14,19.50,19.60,19.26,19.36,89979
19-Mar-14,19.45,19.68,19.15,19.33,266753
18-Mar-14,18.70,19.21,18.52,19.12,243971
17-Mar-14,18.82,18.91,18.09,18.55,363327
14-Mar-14,16.99,18.40,16.96,18.12,375593
13-Mar-14,17.66,17.66,16.89,17.14,54897
12-Mar-14,17.39,17.64,17.24,17.60,66341
11-Mar-14,17.58,17.71,17.00,17.48,83207
10-Mar-14,17.40,17.64,17.29,17.52,108874
7-Mar-14,17.92,17.99,17.45,17.48,42994
6-Mar-14,18.00,18.08,17.79,17.88,86748
5-Mar-14,17.76,18.08,17.59,17.97,63310
4-Mar-14,18.10,18.60,17.73,17.88,150646
3-Mar-14,18.81,19.25,17.29,17.96,232919
28-Feb-14,19.50,19.90,19.00,19.50,106007
27-Feb-14,19.56,19.90,19.45,19.57,72649
26-Feb-14,18.09,19.86,17.95,19.51,158575
25-Feb-14,18.05,18.24,17.77,18.15,49219
24-Feb-14,18.00,18.00,17.52,17.96,77651
21-Feb-14,18.25,18.25,17.71,17.91,57947
20-Feb-14,17.75,18.22,17.51,18.13,68811
19-Feb-14,17.69,17.87,17.50,17.80,94480
18-Feb-14,17.42,17.70,17.13,17.63,92063
14-Feb-14,17.38,17.38,16.87,17.19,106904
13-Feb-14,16.18,17.60,15.94,17.46,114377
12-Feb-14,15.65,16.61,15.64,16.09,92712
11-Feb-14,15.11,15.92,14.85,15.58,57762
10-Feb-14,14.60,15.25,14.25,15.08,74702
7-Feb-14,14.64,14.79,14.19,14.66,47534
6-Feb-14,14.53,14.82,14.53,14.58,41288
5-Feb-14,14.64,14.69,14.42,14.53,38008
4-Feb-14,14.98,14.98,14.58,14.70,54890
3-Feb-14,15.07,15.32,14.84,14.97,92859
31-Jan-14,15.14,15.34,14.61,15.08,73568
30-Jan-14,15.49,16.13,15.30,15.34,63344
29-Jan-14,15.25,16.00,14.85,15.31,196390
28-Jan-14,14.73,15.45,14.73,15.32,88209
27-Jan-14,15.80,15.80,14.42,14.77,123705
24-Jan-14,16.90,16.90,15.67,15.81,122317
23-Jan-14,16.50,17.27,16.13,17.09,205591
22-Jan-14,16.40,16.69,16.05,16.49,62855
21-Jan-14,16.71,16.80,16.38,16.43,133197
17-Jan-14,17.23,17.35,16.63,16.66,105150
16-Jan-14,16.80,17.24,16.77,17.15,80633
15-Jan-14,16.93,17.08,16.82,16.95,80897
14-Jan-14,16.84,17.01,16.72,16.93,98724
13-Jan-14,16.76,17.02,16.38,16.67,156576
10-Jan-14,16.86,17.24,16.60,17.00,98579
9-Jan-14,17.10,17.15,16.56,16.92,147094
8-Jan-14,17.00,17.19,16.23,16.98,238283
