Date,Open,High,Low,Close,Volume
23-Oct-14,30.25,30.46,29.70,29.78,453484
22-Oct-14,29.47,30.76,28.73,30.00,678985
21-Oct-14,28.97,29.48,28.81,29.48,795440
20-Oct-14,29.21,29.41,28.02,28.87,2781137
17-Oct-14,32.98,32.98,31.53,31.94,814587
16-Oct-14,31.57,32.56,31.53,32.54,703922
15-Oct-14,31.74,32.04,31.11,31.99,620715
14-Oct-14,31.96,32.51,31.56,32.04,473336
13-Oct-14,32.01,32.20,31.37,31.72,425392
10-Oct-14,31.72,32.47,31.57,31.90,704962
9-Oct-14,32.19,32.29,31.72,31.79,491877
8-Oct-14,31.44,32.20,31.32,32.19,417622
7-Oct-14,31.70,31.86,31.41,31.49,453166
6-Oct-14,32.51,32.52,31.77,31.81,312951
3-Oct-14,32.46,32.64,32.14,32.46,505629
2-Oct-14,31.75,32.30,31.56,32.21,667873
1-Oct-14,32.10,32.44,31.62,31.79,776271
30-Sep-14,32.89,33.08,32.18,32.23,455652
29-Sep-14,32.61,32.95,32.50,32.84,353569
26-Sep-14,33.06,33.32,32.72,33.03,246318
25-Sep-14,32.95,33.21,32.60,32.95,534270
24-Sep-14,33.16,33.20,32.86,33.04,247064
23-Sep-14,33.39,33.68,33.04,33.06,333270
22-Sep-14,33.72,33.94,33.33,33.39,290707
19-Sep-14,34.51,34.81,33.63,33.74,992416
18-Sep-14,34.22,34.62,33.96,34.46,516219
17-Sep-14,33.79,34.40,33.49,34.18,792703
16-Sep-14,33.58,33.94,33.33,33.89,479324
15-Sep-14,33.71,33.96,33.28,33.63,505062
12-Sep-14,33.45,33.90,33.10,33.85,521278
11-Sep-14,33.06,33.61,33.06,33.35,512902
10-Sep-14,33.28,33.52,32.85,33.12,365750
9-Sep-14,33.82,33.90,33.11,33.18,368690
8-Sep-14,34.04,34.06,33.66,33.90,231914
5-Sep-14,33.87,34.04,33.37,34.01,298572
4-Sep-14,33.95,34.33,33.66,34.06,435535
3-Sep-14,33.95,33.95,33.37,33.46,410770
2-Sep-14,34.13,34.16,33.55,33.84,521967
29-Aug-14,34.21,34.25,33.78,33.99,215150
28-Aug-14,34.57,35.08,33.87,34.22,580645
27-Aug-14,35.06,35.37,34.72,34.94,523043
26-Aug-14,34.72,35.34,34.72,35.10,659648
25-Aug-14,34.59,34.76,34.31,34.72,510496
22-Aug-14,34.14,34.54,34.06,34.46,350811
21-Aug-14,34.19,34.33,33.74,34.17,454228
20-Aug-14,33.75,34.33,33.59,34.22,510061
19-Aug-14,33.57,33.92,33.50,33.82,419062
18-Aug-14,33.27,33.52,33.12,33.44,557547
15-Aug-14,33.97,34.15,32.71,33.10,747837
14-Aug-14,32.02,32.34,31.91,32.32,272647
13-Aug-14,32.17,32.50,31.87,31.98,323518
