Date,Open,High,Low,Close,Volume
23-Oct-14,1.85,1.95,1.82,1.82,110357
22-Oct-14,2.00,2.05,1.84,1.86,215553
21-Oct-14,1.73,2.09,1.73,2.04,810959
20-Oct-14,1.74,1.83,1.65,1.73,182322
17-Oct-14,1.62,1.80,1.60,1.64,166145
16-Oct-14,1.52,1.67,1.52,1.64,220286
15-Oct-14,1.53,1.55,1.46,1.53,90735
14-Oct-14,1.46,1.60,1.46,1.57,133781
13-Oct-14,1.55,1.55,1.45,1.46,73884
10-Oct-14,1.63,1.69,1.55,1.55,191558
9-Oct-14,1.72,1.85,1.66,1.70,191272
8-Oct-14,1.71,1.72,1.65,1.69,129134
7-Oct-14,1.90,1.90,1.67,1.67,182993
6-Oct-14,2.02,2.02,1.80,1.83,238060
3-Oct-14,2.03,2.07,2.01,2.02,53691
2-Oct-14,2.10,2.13,1.96,2.01,143310
1-Oct-14,2.16,2.34,2.09,2.14,126465
30-Sep-14,2.18,2.39,2.12,2.16,375473
29-Sep-14,2.18,2.19,2.10,2.15,100096
26-Sep-14,2.15,2.27,2.11,2.16,104924
25-Sep-14,2.29,2.38,2.15,2.20,214882
24-Sep-14,2.63,2.72,2.30,2.34,1001158
23-Sep-14,2.05,2.64,1.95,2.45,2822279
22-Sep-14,2.28,2.36,2.01,2.01,398678
19-Sep-14,2.50,2.65,2.11,2.34,1317851
18-Sep-14,2.71,3.10,2.16,2.27,2524689
17-Sep-14,3.39,3.60,2.66,2.82,3031871
16-Sep-14,4.05,4.69,3.21,3.29,30341649
15-Sep-14,1.53,2.96,1.42,2.51,1588469
12-Sep-14,1.46,1.64,1.42,1.50,73765
11-Sep-14,1.44,1.46,1.37,1.46,32314
10-Sep-14,1.53,1.53,1.45,1.45,2353
9-Sep-14,1.51,1.51,1.44,1.45,26810
8-Sep-14,1.42,1.59,1.42,1.50,60981
5-Sep-14,1.44,1.52,1.42,1.52,25767
4-Sep-14,1.51,1.51,1.46,1.47,37953
3-Sep-14,1.55,1.58,1.48,1.49,21967
2-Sep-14,1.67,1.67,1.58,1.58,19447
29-Aug-14,1.63,1.73,1.62,1.68,29212
28-Aug-14,1.60,1.63,1.60,1.63,6716
27-Aug-14,1.53,1.64,1.53,1.63,1949
26-Aug-14,1.66,1.69,1.55,1.58,27171
25-Aug-14,1.72,1.72,1.66,1.69,8486
22-Aug-14,1.68,1.70,1.67,1.67,7440
21-Aug-14,1.63,1.74,1.62,1.69,6256
20-Aug-14,1.71,1.81,1.61,1.65,47527
19-Aug-14,1.59,1.70,1.54,1.69,97578
18-Aug-14,1.48,1.60,1.47,1.58,36622
15-Aug-14,1.49,1.50,1.38,1.50,18100
14-Aug-14,1.65,1.65,1.49,1.49,40827
13-Aug-14,1.60,1.65,1.58,1.65,2031
12-Aug-14,1.61,1.65,1.58,1.58,29557
11-Aug-14,1.65,1.65,1.63,1.65,14523
8-Aug-14,1.61,1.65,1.61,1.65,4321
7-Aug-14,1.71,1.71,1.63,1.65,6342
6-Aug-14,1.65,1.68,1.65,1.66,8700
5-Aug-14,1.65,1.66,1.61,1.66,40462
4-Aug-14,1.70,1.70,1.66,1.68,8943
1-Aug-14,1.63,1.74,1.63,1.72,7548
