Date,Open,High,Low,Close,Volume
23-Oct-14,42.29,45.16,41.77,44.03,1229606
22-Oct-14,39.81,40.09,38.61,38.69,475505
21-Oct-14,38.95,39.76,38.87,39.59,342270
20-Oct-14,37.71,38.66,37.47,38.64,244012
17-Oct-14,38.87,39.00,37.50,37.82,451337
16-Oct-14,37.21,38.75,36.88,38.48,459011
15-Oct-14,36.76,38.20,36.67,37.80,558540
14-Oct-14,37.52,38.06,37.06,37.42,518562
13-Oct-14,37.42,38.01,36.29,37.07,758555
10-Oct-14,38.40,38.75,37.02,38.06,1464800
9-Oct-14,39.53,39.62,38.89,39.17,683895
8-Oct-14,38.61,39.82,38.36,39.68,366061
7-Oct-14,39.23,39.77,38.62,38.67,322147
6-Oct-14,40.13,40.43,39.42,39.56,448316
3-Oct-14,40.87,40.99,40.05,40.09,236041
2-Oct-14,40.20,40.79,39.67,40.43,300867
1-Oct-14,40.63,41.04,40.13,40.15,407212
30-Sep-14,41.29,41.62,40.64,40.64,376319
29-Sep-14,40.94,41.76,40.94,41.28,336515
26-Sep-14,41.23,41.58,41.01,41.41,222407
25-Sep-14,41.60,41.83,40.75,40.92,231178
24-Sep-14,42.00,42.11,41.35,41.71,366552
23-Sep-14,42.03,42.72,41.81,41.83,266620
22-Sep-14,42.02,42.42,41.60,42.26,443065
19-Sep-14,42.77,42.78,42.03,42.24,591490
18-Sep-14,42.55,42.87,42.36,42.75,729252
17-Sep-14,42.10,42.80,42.08,42.28,366574
16-Sep-14,41.82,42.42,41.47,42.19,397518
15-Sep-14,42.49,42.80,41.76,42.02,277642
12-Sep-14,43.22,43.22,42.54,42.66,536786
11-Sep-14,42.83,43.32,42.83,43.14,318617
10-Sep-14,43.21,43.41,42.71,42.95,338308
9-Sep-14,43.65,43.99,43.08,43.32,358284
8-Sep-14,43.71,44.24,43.41,43.75,272047
5-Sep-14,43.68,44.33,43.31,43.71,286630
4-Sep-14,43.85,44.21,43.40,43.64,352557
3-Sep-14,44.76,44.79,43.46,43.68,376067
2-Sep-14,45.38,45.64,44.42,44.62,418227
29-Aug-14,43.94,45.50,43.94,45.33,353260
28-Aug-14,43.62,44.14,43.39,43.84,265763
27-Aug-14,44.15,44.15,43.52,43.70,239102
26-Aug-14,44.07,44.39,43.83,44.16,197666
25-Aug-14,44.49,44.70,43.89,44.04,274611
22-Aug-14,43.74,44.34,43.26,44.27,254299
21-Aug-14,43.22,43.83,42.95,43.82,187111
20-Aug-14,42.93,43.50,42.83,43.27,343653
19-Aug-14,42.96,43.63,42.96,43.13,255049
18-Aug-14,42.74,42.96,42.62,42.92,488881
15-Aug-14,42.83,42.98,41.87,42.31,381670
