Date,Open,High,Low,Close,Volume
23-Oct-14,23.54,24.07,23.45,23.81,340088
22-Oct-14,23.77,24.04,23.20,23.22,358926
21-Oct-14,23.55,23.84,23.44,23.70,485174
20-Oct-14,22.75,23.30,22.57,23.26,429354
17-Oct-14,23.22,23.39,22.80,22.84,590080
16-Oct-14,22.37,23.42,22.27,22.90,873487
15-Oct-14,22.12,22.94,22.00,22.82,786794
14-Oct-14,22.79,23.01,22.40,22.52,655466
13-Oct-14,22.57,23.18,22.21,22.57,748205
10-Oct-14,24.28,24.32,22.63,22.64,1281273
9-Oct-14,25.32,25.55,24.52,24.54,567164
8-Oct-14,25.22,25.59,24.84,25.40,749524
7-Oct-14,26.44,26.52,25.19,25.27,1046952
6-Oct-14,27.49,27.70,26.62,26.68,628666
3-Oct-14,27.79,27.79,27.39,27.40,639168
2-Oct-14,27.25,27.66,27.04,27.55,799706
1-Oct-14,27.15,27.53,26.89,27.25,993187
30-Sep-14,27.53,27.53,27.14,27.15,622760
29-Sep-14,27.19,27.71,27.16,27.54,627606
26-Sep-14,27.63,27.63,27.38,27.51,515011
25-Sep-14,27.43,27.53,27.07,27.50,1097606
24-Sep-14,27.38,27.74,27.33,27.53,363501
23-Sep-14,27.20,27.79,27.20,27.39,599482
22-Sep-14,27.41,27.47,27.08,27.25,393962
19-Sep-14,28.13,28.25,27.40,27.59,738969
18-Sep-14,27.90,28.16,27.70,28.07,392528
17-Sep-14,27.56,27.95,27.30,27.74,392455
16-Sep-14,27.30,27.67,25.41,27.54,503963
15-Sep-14,27.37,27.56,27.02,27.40,713122
12-Sep-14,27.42,27.42,27.10,27.33,597853
11-Sep-14,27.13,27.44,27.00,27.37,370390
10-Sep-14,27.11,27.31,26.94,27.27,361542
9-Sep-14,26.93,27.16,26.38,27.15,600455
8-Sep-14,27.04,27.28,26.67,27.00,486470
5-Sep-14,26.84,27.24,26.76,26.99,872302
4-Sep-14,26.68,27.06,26.38,26.86,686705
3-Sep-14,26.55,26.78,26.35,26.62,855276
2-Sep-14,26.06,26.48,25.95,26.45,993698
29-Aug-14,25.78,26.10,25.59,26.06,538863
28-Aug-14,24.90,25.74,24.90,25.66,604910
27-Aug-14,24.97,25.01,24.75,24.90,402575
26-Aug-14,24.71,25.00,24.71,24.96,454523
25-Aug-14,24.99,24.99,24.64,24.72,519159
22-Aug-14,25.03,25.43,24.78,24.89,715578
21-Aug-14,25.03,25.55,24.46,25.15,1739544
20-Aug-14,24.20,25.81,23.30,24.00,2512377
19-Aug-14,23.67,23.67,23.15,23.36,637822
18-Aug-14,23.71,23.79,23.36,23.70,256406
15-Aug-14,23.60,23.83,23.13,23.46,324350
14-Aug-14,23.59,23.78,23.29,23.38,492161
13-Aug-14,23.11,23.60,23.11,23.56,517200
12-Aug-14,22.99,23.30,22.74,22.99,340397
11-Aug-14,22.64,23.17,22.35,23.09,457441
8-Aug-14,22.41,22.64,22.19,22.53,261947
