Date,Open,High,Low,Close,Volume
23-Oct-14,6.40,6.40,6.17,6.31,11800
22-Oct-14,6.51,6.64,6.09,6.38,18237
21-Oct-14,6.60,6.65,6.15,6.50,12534
20-Oct-14,6.30,6.55,6.14,6.55,21092
17-Oct-14,6.30,6.45,6.25,6.30,10774
16-Oct-14,5.95,6.30,5.95,6.30,10862
15-Oct-14,5.85,6.18,5.17,5.89,49153
14-Oct-14,5.89,6.12,5.57,5.81,11451
13-Oct-14,6.18,6.20,5.33,5.49,80630
10-Oct-14,6.36,6.42,6.18,6.18,2986
9-Oct-14,6.34,6.58,6.34,6.49,4450
8-Oct-14,6.38,6.48,6.20,6.48,9664
7-Oct-14,6.39,6.57,6.34,6.41,2943
6-Oct-14,6.56,6.61,6.27,6.41,7825
3-Oct-14,6.65,6.65,6.44,6.44,573
2-Oct-14,6.30,6.38,6.23,6.38,4042
1-Oct-14,6.31,6.40,6.20,6.28,17209
30-Sep-14,6.33,6.40,6.33,6.40,22336
29-Sep-14,6.21,6.30,6.21,6.21,10132
26-Sep-14,6.21,6.29,6.21,6.29,2310
25-Sep-14,6.11,6.22,6.00,6.20,12216
24-Sep-14,6.00,6.20,6.00,6.11,13848
23-Sep-14,6.09,6.20,6.00,6.04,14261
22-Sep-14,6.30,6.40,6.08,6.08,15403
19-Sep-14,6.42,6.42,6.27,6.27,3028
18-Sep-14,6.41,6.48,6.35,6.40,6257
17-Sep-14,6.30,6.63,6.30,6.34,10874
16-Sep-14,6.43,6.67,6.26,6.26,24282
15-Sep-14,6.66,6.66,6.40,6.43,1715
12-Sep-14,6.45,6.50,6.37,6.41,6507
11-Sep-14,6.37,6.66,6.37,6.49,3785
10-Sep-14,6.36,6.68,6.31,6.40,3103
9-Sep-14,6.40,6.40,6.39,6.39,738
8-Sep-14,6.40,6.40,6.33,6.40,38770
5-Sep-14,6.44,6.45,6.40,6.43,2550
4-Sep-14,6.40,6.40,6.33,6.33,5325
3-Sep-14,6.45,6.61,6.40,6.40,8485
2-Sep-14,6.69,6.69,6.44,6.45,3573
29-Aug-14,6.41,6.44,6.40,6.44,3013
28-Aug-14,6.41,6.45,6.40,6.41,9926
27-Aug-14,6.47,6.60,6.40,6.40,17003
26-Aug-14,6.40,6.75,6.34,6.45,11936
25-Aug-14,6.49,6.51,6.42,6.42,12694
22-Aug-14,6.53,6.53,6.31,6.39,5311
21-Aug-14,6.40,6.75,6.30,6.54,15953
20-Aug-14,6.55,6.55,6.45,6.45,7430
19-Aug-14,6.74,6.84,6.42,6.50,20232
18-Aug-14,6.42,6.90,6.41,6.66,44413
15-Aug-14,6.40,6.50,6.35,6.40,39238
14-Aug-14,6.28,6.28,6.19,6.24,24995
13-Aug-14,6.36,6.36,6.23,6.29,11815
12-Aug-14,6.44,6.44,6.20,6.25,8221
11-Aug-14,6.34,7.00,6.20,6.25,29830
8-Aug-14,6.25,6.25,6.18,6.25,8863
7-Aug-14,6.36,6.36,6.18,6.25,11240
6-Aug-14,6.18,6.29,6.18,6.29,724
5-Aug-14,6.38,6.38,6.23,6.25,18753
4-Aug-14,6.47,6.48,6.19,6.26,22305
1-Aug-14,6.38,6.41,6.20,6.31,11088
31-Jul-14,6.29,6.35,6.28,6.30,14212
30-Jul-14,6.27,6.29,6.20,6.25,7291
29-Jul-14,6.22,6.27,6.22,6.25,10193
28-Jul-14,6.24,6.24,6.18,6.19,5235
25-Jul-14,6.24,6.24,6.20,6.21,7135
24-Jul-14,6.15,6.25,6.13,6.16,39248
23-Jul-14,6.07,6.24,6.03,6.03,39540
22-Jul-14,6.09,6.18,6.01,6.06,7572
21-Jul-14,6.15,6.21,6.00,6.05,10836
18-Jul-14,6.09,6.09,6.04,6.09,779
17-Jul-14,6.15,6.20,6.02,6.08,18579
16-Jul-14,6.25,6.25,6.03,6.17,1395
15-Jul-14,6.19,6.23,5.99,6.21,10452
14-Jul-14,6.01,6.19,5.98,6.19,5296
11-Jul-14,5.95,5.96,5.91,5.95,7407
10-Jul-14,5.90,6.00,5.90,5.95,5198
9-Jul-14,5.91,6.04,5.90,6.00,9719
8-Jul-14,6.10,6.12,5.91,5.99,11498
7-Jul-14,6.10,6.14,6.10,6.10,12309
