Date,Open,High,Low,Close,Volume
23-Oct-14,56.70,61.50,56.41,59.83,3721986
22-Oct-14,57.98,58.21,55.22,55.70,2568322
21-Oct-14,56.53,58.91,56.00,58.32,1719307
20-Oct-14,55.74,57.05,54.85,55.91,1696554
17-Oct-14,56.22,58.76,55.76,56.58,2815033
16-Oct-14,51.34,56.17,51.30,54.74,2068392
15-Oct-14,50.00,54.40,49.61,53.43,2355398
14-Oct-14,51.87,53.35,50.37,51.74,1991582
13-Oct-14,54.20,54.86,49.61,51.26,4565529
10-Oct-14,57.23,58.94,53.12,53.22,3241521
9-Oct-14,58.42,59.83,57.07,57.50,2277606
8-Oct-14,58.07,58.82,55.29,58.60,2424190
7-Oct-14,59.11,60.66,57.19,57.25,2971827
6-Oct-14,61.48,63.55,59.61,59.71,3421738
3-Oct-14,56.09,60.42,55.50,59.21,3772813
2-Oct-14,54.05,55.91,52.51,55.29,2164593
1-Oct-14,54.79,54.89,52.76,53.51,2041650
30-Sep-14,55.49,56.00,53.97,55.36,1612108
29-Sep-14,54.43,56.16,54.14,55.22,1628477
26-Sep-14,54.68,55.64,54.22,55.57,1258029
25-Sep-14,55.60,56.64,53.54,54.06,1961437
24-Sep-14,54.68,56.06,53.95,56.05,1821258
23-Sep-14,54.22,55.97,54.10,54.59,1975515
22-Sep-14,56.00,56.20,53.75,54.59,2647140
19-Sep-14,56.48,56.72,54.82,56.21,3091257
18-Sep-14,56.66,57.06,55.76,56.25,1320768
17-Sep-14,56.20,57.43,55.79,56.36,1615092
16-Sep-14,55.26,56.93,54.78,56.48,2172249
15-Sep-14,58.91,59.10,54.00,55.64,3750282
12-Sep-14,60.00,60.90,58.96,59.02,2779441
11-Sep-14,58.82,61.36,58.36,60.51,3421113
10-Sep-14,57.41,59.88,57.00,59.54,2355971
9-Sep-14,59.09,59.71,57.22,57.47,2112211
8-Sep-14,58.70,60.74,58.54,59.42,4281497
5-Sep-14,56.98,59.80,56.32,59.23,5070229
4-Sep-14,57.33,57.96,56.08,57.10,3437646
3-Sep-14,60.31,60.35,55.30,56.97,7732893
2-Sep-14,53.75,60.16,53.36,59.93,13453876
29-Aug-14,48.72,54.95,48.55,53.93,20229567
28-Aug-14,45.89,46.22,45.10,45.29,3881143
27-Aug-14,46.37,46.48,45.51,45.90,1735855
26-Aug-14,43.72,46.81,43.65,46.22,2547787
25-Aug-14,44.57,44.57,43.25,43.68,1731001
22-Aug-14,42.11,44.03,40.90,43.95,2542144
21-Aug-14,43.13,43.77,42.15,42.21,2085824
20-Aug-14,43.84,43.88,42.79,42.90,2102681
19-Aug-14,43.71,44.44,43.63,44.18,984764
18-Aug-14,43.17,43.77,43.09,43.48,1163926
15-Aug-14,42.97,43.47,42.40,42.75,1742070
14-Aug-14,42.88,42.99,42.05,42.80,1913634
13-Aug-14,41.58,42.42,41.01,42.36,1742134
12-Aug-14,42.02,42.37,40.80,41.05,1172806
11-Aug-14,41.30,42.36,40.89,41.93,2225066
8-Aug-14,41.99,42.40,40.71,41.07,2608909
7-Aug-14,42.68,42.72,41.32,41.85,2906092
6-Aug-14,43.00,43.22,41.77,42.27,2971531
5-Aug-14,45.06,45.75,43.61,44.11,1830476
4-Aug-14,44.59,45.52,43.90,45.40,1492331
1-Aug-14,47.10,47.24,43.52,44.27,3811128
31-Jul-14,49.38,49.56,46.95,47.02,2329351
30-Jul-14,47.87,50.97,47.39,50.39,2748688
29-Jul-14,47.38,48.25,46.71,47.76,1064313
28-Jul-14,47.88,48.22,46.46,47.19,1273942
25-Jul-14,47.61,48.58,47.06,47.88,1107528
24-Jul-14,47.33,48.21,46.87,47.92,1657219
23-Jul-14,46.62,47.69,46.46,47.33,976572
22-Jul-14,46.61,47.80,46.37,46.79,1346342
21-Jul-14,46.22,46.96,45.40,46.09,1323105
18-Jul-14,46.24,47.02,45.98,46.43,1367496
17-Jul-14,46.00,46.87,45.53,45.78,1798312
16-Jul-14,47.29,47.43,46.22,46.54,1270350
15-Jul-14,47.91,48.28,46.07,46.38,2164243
14-Jul-14,47.57,49.25,47.50,48.03,1602424
11-Jul-14,47.32,47.92,46.21,47.24,1280213
10-Jul-14,45.18,47.95,45.02,47.01,3432675
9-Jul-14,48.04,49.08,46.92,47.87,3621086
8-Jul-14,51.59,51.74,45.80,48.01,7373968
7-Jul-14,53.59,54.17,51.64,51.80,2965103
3-Jul-14,55.03,55.25,52.24,53.75,2513718
2-Jul-14,56.25,56.63,54.81,55.08,2180594
1-Jul-14,55.50,56.62,55.26,56.31,3335222
30-Jun-14,54.50,55.59,54.31,55.33,2171267
27-Jun-14,53.84,54.80,53.57,54.58,2596262
26-Jun-14,53.45,54.72,53.09,53.96,2940307
25-Jun-14,52.99,53.40,51.60,53.30,2925674
24-Jun-14,52.56,54.10,51.94,52.63,4330510
23-Jun-14,50.65,52.62,50.28,52.49,3414703
20-Jun-14,51.30,51.63,49.58,50.70,3838444
19-Jun-14,50.95,51.69,50.50,51.30,3944564
18-Jun-14,49.35,51.03,48.27,50.53,4418292
17-Jun-14,48.87,49.37,47.60,48.98,2713489
16-Jun-14,46.72,49.36,46.50,49.15,3570352
13-Jun-14,45.83,47.24,44.76,47.17,2792423
12-Jun-14,44.85,46.95,44.03,45.75,3438418
11-Jun-14,43.71,45.00,43.55,44.81,2491157
10-Jun-14,44.01,44.72,43.23,43.85,1648153
9-Jun-14,43.29,45.24,42.70,43.95,3442808
6-Jun-14,43.00,43.49,42.01,43.18,3151709
5-Jun-14,40.85,43.29,40.01,42.92,5763426
4-Jun-14,40.13,41.25,39.76,40.39,2662000
3-Jun-14,41.69,41.97,39.35,40.50,5690658
2-Jun-14,41.96,43.31,41.22,41.97,5660720
30-May-14,46.92,47.00,41.05,41.86,19324936
29-May-14,49.93,50.50,48.53,50.04,5402319
28-May-14,50.35,50.74,47.82,48.88,5671667
27-May-14,47.24,49.68,47.24,48.89,4619076
23-May-14,46.33,46.33,44.29,45.99,2700113
22-May-14,44.39,46.45,44.00,45.75,3829731
21-May-14,44.50,45.34,43.03,44.52,3082696
20-May-14,43.43,45.54,42.30,44.16,4950768
19-May-14,43.68,45.28,43.22,44.00,3798169
16-May-14,43.58,44.25,42.14,43.76,4550504
15-May-14,44.13,44.59,41.07,43.60,6254279
14-May-14,43.81,46.21,43.42,43.70,4806293
13-May-14,48.23,48.50,43.96,44.07,5181344
12-May-14,47.02,48.81,46.34,48.23,3558629
9-May-14,46.25,47.37,45.41,46.50,2782171
8-May-14,48.30,49.75,46.38,46.65,4037587
7-May-14,51.40,51.53,45.12,48.51,8384410
6-May-14,55.51,55.51,51.71,51.75,2572919
5-May-14,54.14,55.62,53.25,54.74,2597009
2-May-14,55.02,55.50,53.25,54.87,2422699
1-May-14,54.58,57.60,53.88,54.90,3474759
30-Apr-14,55.12,55.35,53.18,54.57,2379550
29-Apr-14,52.69,56.41,52.18,55.55,3879800
28-Apr-14,55.87,55.95,50.84,52.99,5910565
25-Apr-14,58.88,59.19,54.67,55.60,4122452
24-Apr-14,62.26,62.48,56.50,59.23,5449423
23-Apr-14,66.02,66.28,61.34,61.45,3290736
22-Apr-14,63.97,66.61,63.97,65.74,1921957
21-Apr-14,65.84,65.88,62.44,64.30,2059527
17-Apr-14,65.53,67.56,64.62,65.84,3857620
16-Apr-14,65.06,65.53,62.93,64.77,4009307
