Date,Open,High,Low,Close,Volume
23-Oct-14,7.51,7.85,7.49,7.81,1043286
22-Oct-14,7.62,7.68,7.43,7.43,542465
21-Oct-14,7.54,7.65,7.44,7.62,591892
20-Oct-14,7.37,7.59,7.37,7.49,518919
17-Oct-14,7.70,7.70,7.33,7.40,877895
16-Oct-14,7.24,7.68,7.18,7.55,992751
15-Oct-14,7.16,7.34,7.06,7.31,1099652
14-Oct-14,7.31,7.37,7.02,7.25,1262345
13-Oct-14,7.31,7.44,7.15,7.23,1204442
10-Oct-14,7.29,7.51,7.21,7.33,1000626
9-Oct-14,7.52,7.55,7.23,7.35,1418034
8-Oct-14,7.62,7.64,7.41,7.55,1255588
7-Oct-14,7.89,7.89,7.62,7.64,952137
6-Oct-14,8.24,8.27,7.86,7.93,1127355
3-Oct-14,8.33,8.34,8.11,8.24,567854
2-Oct-14,8.07,8.34,8.00,8.19,765213
1-Oct-14,8.11,8.27,8.00,8.09,693891
30-Sep-14,8.25,8.34,8.14,8.14,798841
29-Sep-14,8.14,8.32,8.05,8.25,366114
26-Sep-14,8.18,8.26,8.13,8.25,443905
25-Sep-14,8.22,8.28,8.00,8.17,601966
24-Sep-14,8.00,8.25,8.00,8.24,472080
23-Sep-14,8.04,8.15,7.93,7.99,556193
22-Sep-14,8.11,8.14,7.95,8.06,560756
19-Sep-14,8.19,8.33,7.95,8.14,2101266
18-Sep-14,8.07,8.22,8.04,8.13,557729
17-Sep-14,7.99,8.12,7.82,8.02,533676
16-Sep-14,8.03,8.06,7.82,8.01,737762
15-Sep-14,8.24,8.24,8.03,8.07,505740
12-Sep-14,8.44,8.50,8.17,8.26,666569
11-Sep-14,8.23,8.47,8.15,8.47,831150
10-Sep-14,8.07,8.27,7.99,8.27,926401
9-Sep-14,8.20,8.23,8.02,8.03,748055
8-Sep-14,7.98,8.12,7.93,8.11,555414
5-Sep-14,8.01,8.04,7.81,7.99,660472
4-Sep-14,8.24,8.24,8.00,8.03,786102
3-Sep-14,8.17,8.20,8.00,8.03,704208
2-Sep-14,8.13,8.17,7.98,8.02,870237
29-Aug-14,7.99,8.12,7.96,8.11,457277
28-Aug-14,8.08,8.14,7.94,7.97,672455
27-Aug-14,8.14,8.22,8.03,8.11,573690
26-Aug-14,7.95,8.21,7.86,8.15,1217290
25-Aug-14,7.95,8.11,7.92,7.99,957069
22-Aug-14,7.48,7.91,7.42,7.91,883321
21-Aug-14,7.84,7.84,7.34,7.51,2352608
20-Aug-14,8.06,8.13,7.74,7.75,979205
19-Aug-14,8.22,8.27,8.05,8.09,725531
18-Aug-14,8.14,8.20,8.10,8.16,785665
15-Aug-14,8.12,8.17,7.95,8.04,699037
14-Aug-14,8.01,8.08,7.97,8.06,796393
13-Aug-14,8.07,8.15,7.96,8.00,1138157
12-Aug-14,7.74,8.08,7.73,7.98,1266320
11-Aug-14,7.72,7.85,7.64,7.78,1159378
8-Aug-14,7.74,7.74,7.40,7.67,1735525
7-Aug-14,7.74,7.74,7.16,7.24,1038921
6-Aug-14,7.04,7.34,7.03,7.30,964488
5-Aug-14,6.93,7.05,6.84,7.04,825505
4-Aug-14,6.98,7.06,6.83,6.98,842155
1-Aug-14,7.02,7.11,6.75,6.91,883878
31-Jul-14,7.12,7.17,6.94,7.04,689689
30-Jul-14,7.03,7.23,7.00,7.20,639552
29-Jul-14,6.94,7.04,6.86,6.95,455253
28-Jul-14,7.08,7.08,6.76,6.89,748834
25-Jul-14,7.06,7.16,6.95,7.05,655097
24-Jul-14,7.13,7.24,7.03,7.10,642617
23-Jul-14,7.08,7.24,7.00,7.12,1013468
22-Jul-14,7.10,7.25,7.04,7.06,497992
21-Jul-14,7.18,7.18,6.99,7.08,705738
18-Jul-14,7.02,7.30,7.00,7.21,1047136
17-Jul-14,7.26,7.38,6.97,7.03,1056970
16-Jul-14,7.47,7.56,7.27,7.33,1200963
15-Jul-14,7.85,7.88,7.35,7.41,1758537
14-Jul-14,7.99,7.99,7.73,7.76,734013
11-Jul-14,7.90,7.97,7.75,7.91,1485723
10-Jul-14,8.07,8.14,7.88,7.90,1315661
9-Jul-14,8.32,8.40,8.11,8.38,1371612
8-Jul-14,8.61,8.62,8.24,8.26,2178986
7-Jul-14,9.04,9.19,8.58,8.63,3186896
3-Jul-14,8.75,9.27,8.65,8.90,3068741
2-Jul-14,8.47,8.78,8.45,8.72,1387601
1-Jul-14,8.21,8.47,8.15,8.46,1046477
30-Jun-14,8.00,8.30,7.99,8.13,1024335
27-Jun-14,7.92,8.02,7.80,8.01,1466895
26-Jun-14,8.22,8.22,7.91,7.94,1194892
25-Jun-14,8.17,8.28,7.98,8.18,1013077
24-Jun-14,8.27,8.34,8.19,8.20,709618
23-Jun-14,8.30,8.47,8.23,8.25,1233429
20-Jun-14,8.33,8.33,8.03,8.15,3661721
19-Jun-14,8.49,8.49,8.26,8.29,760102
18-Jun-14,8.61,8.64,8.23,8.44,1367610
17-Jun-14,8.64,8.78,8.50,8.63,513885
16-Jun-14,8.51,8.68,8.38,8.68,536288
13-Jun-14,8.44,8.61,8.32,8.55,367884
12-Jun-14,8.59,8.73,8.38,8.42,422803
11-Jun-14,8.58,8.88,8.52,8.57,762647
10-Jun-14,8.50,8.71,8.44,8.65,794422
9-Jun-14,8.04,8.53,7.97,8.51,1311110
6-Jun-14,8.07,8.09,7.90,8.00,517434
5-Jun-14,7.83,8.07,7.78,8.00,746952
4-Jun-14,7.85,7.91,7.69,7.84,314172
3-Jun-14,7.69,7.91,7.62,7.89,426791
2-Jun-14,7.85,8.04,7.55,7.73,684386
30-May-14,7.88,7.95,7.70,7.79,604659
29-May-14,7.89,8.00,7.78,7.85,354758
28-May-14,7.94,8.08,7.74,7.81,619425
27-May-14,7.59,7.94,7.59,7.92,849523
23-May-14,7.50,7.50,7.36,7.41,371790
22-May-14,7.59,7.65,7.45,7.46,425957
21-May-14,7.55,7.68,7.41,7.55,527656
20-May-14,7.67,7.75,7.44,7.51,879637
19-May-14,7.52,7.68,7.47,7.67,554013
16-May-14,7.80,7.88,7.41,7.51,859695
15-May-14,7.59,7.81,7.28,7.75,1136090
14-May-14,7.48,7.97,7.33,7.62,1359610
13-May-14,7.57,7.72,7.46,7.47,714163
12-May-14,7.33,7.64,7.32,7.59,1142889
9-May-14,6.69,7.33,6.50,7.30,1452072
8-May-14,6.94,7.02,6.52,6.65,685288
7-May-14,7.02,7.11,6.77,6.95,721158
6-May-14,7.11,7.17,6.99,7.02,517096
5-May-14,6.85,7.26,6.82,7.11,510777
2-May-14,6.98,7.00,6.84,6.89,415170
1-May-14,6.84,7.01,6.68,6.95,783846
30-Apr-14,6.86,6.91,6.72,6.87,558832
29-Apr-14,6.78,6.97,6.72,6.91,691815
28-Apr-14,6.81,6.91,6.49,6.72,756709
25-Apr-14,7.17,7.22,6.75,6.77,1057380
24-Apr-14,7.20,7.38,6.96,7.22,891046
23-Apr-14,7.25,7.56,6.95,7.18,3079972
22-Apr-14,6.69,7.02,6.68,6.90,881217
21-Apr-14,6.75,6.77,6.57,6.69,976033
17-Apr-14,6.86,6.96,6.73,6.74,363887
16-Apr-14,6.75,6.95,6.70,6.88,449722
15-Apr-14,6.77,6.93,6.36,6.70,943660
14-Apr-14,6.88,6.98,6.53,6.77,680002
11-Apr-14,7.08,7.30,6.79,6.79,1231298
10-Apr-14,7.71,7.71,7.07,7.16,1359731
9-Apr-14,7.32,7.75,7.32,7.71,776153
8-Apr-14,7.30,7.50,7.06,7.32,968577
7-Apr-14,7.18,7.51,7.06,7.27,868751
4-Apr-14,7.70,7.74,6.96,7.20,1847201
3-Apr-14,7.81,7.84,7.45,7.62,999761
2-Apr-14,7.95,8.02,7.80,7.81,477082
1-Apr-14,7.88,8.10,7.83,7.93,1221871
31-Mar-14,7.80,7.95,7.72,7.84,890466
28-Mar-14,7.78,7.89,7.69,7.77,679297
27-Mar-14,7.90,7.97,7.66,7.80,751456
26-Mar-14,7.81,7.95,7.75,7.90,1200285
25-Mar-14,7.85,7.91,7.56,7.72,870920
24-Mar-14,7.80,7.84,7.45,7.78,944986
21-Mar-14,8.07,8.14,7.71,7.74,3679690
20-Mar-14,8.07,8.10,7.97,8.00,425942
19-Mar-14,8.12,8.20,7.99,8.08,418715
18-Mar-14,7.79,8.15,7.79,8.15,570865
17-Mar-14,8.03,8.15,7.77,7.78,1644740
14-Mar-14,8.00,8.08,7.91,7.99,607605
13-Mar-14,8.12,8.20,7.94,8.02,908217
12-Mar-14,8.00,8.13,7.97,8.12,721871
11-Mar-14,7.92,8.09,7.90,8.04,901743
10-Mar-14,7.83,7.96,7.66,7.91,794458
7-Mar-14,8.05,8.22,7.65,7.87,2109163
6-Mar-14,8.46,8.46,8.16,8.17,1474099
5-Mar-14,8.42,8.48,8.30,8.36,381581
4-Mar-14,8.45,8.66,8.35,8.42,1034186
3-Mar-14,8.24,8.37,8.01,8.33,678213
28-Feb-14,8.81,8.99,8.26,8.35,812337
27-Feb-14,8.65,8.92,8.55,8.85,333856
26-Feb-14,8.65,8.78,8.58,8.68,414503
25-Feb-14,8.75,8.79,8.57,8.62,529086
24-Feb-14,8.68,8.84,8.55,8.75,487282
21-Feb-14,8.74,8.75,8.57,8.64,765360
20-Feb-14,8.51,8.72,8.45,8.68,317374
19-Feb-14,8.55,8.72,8.45,8.47,504766
18-Feb-14,8.19,8.56,8.19,8.54,456783
14-Feb-14,8.21,8.40,8.12,8.14,389311
13-Feb-14,8.03,8.27,8.03,8.25,312905
12-Feb-14,8.11,8.21,8.00,8.09,452331
11-Feb-14,8.16,8.30,8.12,8.14,1365211
10-Feb-14,8.21,8.24,8.08,8.19,427918
7-Feb-14,8.00,8.25,7.97,8.19,965284
6-Feb-14,8.38,8.39,7.92,7.97,933156
5-Feb-14,8.01,8.12,7.78,7.79,544071
4-Feb-14,8.19,8.36,8.00,8.05,662849
3-Feb-14,8.39,8.42,8.09,8.14,751727
31-Jan-14,8.47,8.65,8.33,8.41,712127
30-Jan-14,8.63,8.81,8.46,8.61,487712
29-Jan-14,8.69,8.88,8.45,8.53,1029445
28-Jan-14,8.83,8.93,8.59,8.74,608879
27-Jan-14,9.55,9.57,8.53,8.82,1141207
24-Jan-14,10.14,10.16,9.55,9.56,1118716
23-Jan-14,10.14,10.32,10.09,10.24,1012632
22-Jan-14,10.13,10.25,10.03,10.14,743989
21-Jan-14,9.90,10.25,9.80,10.16,1467553
17-Jan-14,9.86,9.91,9.76,9.88,792233
16-Jan-14,9.29,9.86,9.18,9.82,1805235
15-Jan-14,9.02,9.37,8.87,9.26,1339749
14-Jan-14,8.90,9.04,8.90,9.00,1027251
13-Jan-14,8.80,8.94,8.74,8.90,2058293
10-Jan-14,8.56,8.79,8.50,8.78,1077415
9-Jan-14,8.54,8.60,8.45,8.54,727351
8-Jan-14,8.47,8.64,8.39,8.48,725922
7-Jan-14,8.35,8.45,8.20,8.44,1357153
6-Jan-14,8.50,8.59,8.28,8.34,1039362
3-Jan-14,8.79,8.89,8.47,8.48,743349
2-Jan-14,8.84,8.91,8.55,8.79,1143451
31-Dec-13,8.83,8.95,8.80,8.85,617697
30-Dec-13,8.86,8.95,8.78,8.88,820183
27-Dec-13,8.66,8.90,8.63,8.82,537990
26-Dec-13,8.46,8.61,8.46,8.61,908213
24-Dec-13,8.31,8.51,8.31,8.45,456782
23-Dec-13,8.48,8.56,8.25,8.33,1173392
20-Dec-13,8.25,8.45,8.15,8.42,3482488
19-Dec-13,8.22,8.32,8.20,8.27,1694196
18-Dec-13,8.26,8.25,8.15,8.24,5655554
17-Dec-13,8.72,8.75,8.15,8.26,3115006
16-Dec-13,9.13,9.29,9.01,9.06,460273
13-Dec-13,9.18,9.28,9.01,9.12,501945
12-Dec-13,9.37,9.38,9.08,9.18,554862
11-Dec-13,9.80,9.95,9.25,9.29,932796
10-Dec-13,9.50,9.58,9.30,9.39,2860809
9-Dec-13,9.48,9.49,9.36,9.41,314832
6-Dec-13,9.42,9.49,9.30,9.44,415719
5-Dec-13,9.41,9.50,9.30,9.36,428827
4-Dec-13,9.54,9.57,9.40,9.44,362560
3-Dec-13,9.59,9.80,9.49,9.58,514489
2-Dec-13,9.62,9.75,9.52,9.62,534487
29-Nov-13,9.64,9.75,9.54,9.63,143191
27-Nov-13,9.47,9.63,9.37,9.59,294879
26-Nov-13,9.56,9.72,9.42,9.44,539889
25-Nov-13,9.49,9.62,9.42,9.52,421527
22-Nov-13,9.40,9.64,9.36,9.50,465735
21-Nov-13,9.34,9.50,9.31,9.36,479079
20-Nov-13,9.46,9.53,9.30,9.35,499394
19-Nov-13,9.60,9.69,9.45,9.45,540105
18-Nov-13,9.85,9.94,9.60,9.62,661886
15-Nov-13,9.35,9.83,9.17,9.82,770890
14-Nov-13,9.23,9.40,9.15,9.37,633113
13-Nov-13,9.10,9.56,8.95,9.30,1636719
12-Nov-13,9.35,9.55,9.29,9.41,631404
11-Nov-13,9.43,9.50,9.24,9.41,728887
8-Nov-13,9.10,9.54,9.05,9.42,991276
7-Nov-13,9.33,9.43,9.11,9.15,550992
6-Nov-13,9.54,9.54,9.14,9.29,757933
5-Nov-13,9.09,9.50,9.09,9.46,1024101
4-Nov-13,8.70,9.25,8.67,9.21,1407880
1-Nov-13,8.58,8.73,8.49,8.69,763818
31-Oct-13,8.51,8.62,8.44,8.60,717343
30-Oct-13,8.70,8.70,8.41,8.53,811410
29-Oct-13,8.62,8.76,8.40,8.70,554977
28-Oct-13,8.59,8.66,8.47,8.62,435956
25-Oct-13,8.75,8.75,8.54,8.60,439126
24-Oct-13,8.59,8.76,8.46,8.74,514597
23-Oct-13,8.28,8.59,8.28,8.57,315971
22-Oct-13,8.29,8.40,8.26,8.35,325981
21-Oct-13,8.48,8.56,8.24,8.28,408792
18-Oct-13,8.62,8.65,8.35,8.49,473909
17-Oct-13,8.50,8.60,8.45,8.55,450805
16-Oct-13,8.55,8.63,8.50,8.53,391167
15-Oct-13,8.61,8.67,8.39,8.50,418993
14-Oct-13,8.61,8.66,8.40,8.65,422658
11-Oct-13,8.54,8.70,8.46,8.64,545140
10-Oct-13,8.22,8.55,8.20,8.55,449406
9-Oct-13,8.49,8.49,8.09,8.11,1921329
8-Oct-13,8.70,8.80,8.48,8.50,899237
7-Oct-13,8.73,8.91,8.53,8.66,1221691
4-Oct-13,8.33,8.51,8.24,8.49,748647
3-Oct-13,8.25,8.36,8.20,8.29,536030
2-Oct-13,8.37,8.59,8.24,8.27,898471
1-Oct-13,8.40,8.47,8.26,8.39,422556
30-Sep-13,8.06,8.47,8.01,8.38,807846
27-Sep-13,8.21,8.25,8.11,8.15,418815
26-Sep-13,8.14,8.33,8.11,8.29,297300
25-Sep-13,8.20,8.26,8.11,8.13,680175
24-Sep-13,8.28,8.39,8.21,8.22,436199
23-Sep-13,8.43,8.48,8.29,8.30,693824
20-Sep-13,8.46,8.55,8.33,8.46,1920660
19-Sep-13,8.57,8.59,8.37,8.47,513126
18-Sep-13,8.42,8.60,8.30,8.57,894706
17-Sep-13,8.05,8.43,8.04,8.42,898494
16-Sep-13,8.10,8.17,8.01,8.04,516389
13-Sep-13,7.94,8.10,7.88,8.02,368568
12-Sep-13,7.95,8.00,7.85,7.91,361536
11-Sep-13,8.17,8.20,7.83,7.93,890579
10-Sep-13,8.16,8.32,8.09,8.22,1074249
9-Sep-13,7.90,8.16,7.82,8.15,629598
6-Sep-13,8.11,8.18,7.86,7.90,1034823
5-Sep-13,7.42,8.12,7.42,8.10,2117655
4-Sep-13,7.29,7.46,7.16,7.38,4834982
3-Sep-13,7.62,7.73,7.24,7.29,2512407
30-Aug-13,7.73,7.76,7.60,7.66,904789
29-Aug-13,7.73,7.80,7.52,7.76,916502
28-Aug-13,7.93,7.93,7.67,7.76,925904
27-Aug-13,8.01,8.04,7.84,7.96,1048127
26-Aug-13,8.07,8.14,7.94,8.09,656480
23-Aug-13,7.84,8.08,7.80,8.07,737802
22-Aug-13,7.63,7.84,7.60,7.84,493975
21-Aug-13,7.50,7.69,7.49,7.62,540219
20-Aug-13,7.39,7.58,7.33,7.56,707909
19-Aug-13,7.40,7.63,7.35,7.40,1225813
16-Aug-13,7.57,7.58,7.30,7.45,1532027
15-Aug-13,7.64,7.73,7.56,7.62,958563
14-Aug-13,7.54,7.80,7.54,7.75,820747
13-Aug-13,7.69,7.69,7.53,7.59,904873
12-Aug-13,7.72,7.74,7.61,7.70,796933
9-Aug-13,7.75,7.82,7.60,7.78,944197
8-Aug-13,8.19,8.46,7.71,7.79,2443670
7-Aug-13,8.32,8.33,8.12,8.22,1182470
6-Aug-13,8.35,8.44,8.22,8.33,587908
5-Aug-13,8.45,8.53,8.32,8.39,593918
2-Aug-13,8.36,8.48,8.28,8.46,410436
1-Aug-13,8.49,8.53,8.31,8.36,604952
31-Jul-13,8.34,8.54,8.27,8.44,926509
30-Jul-13,8.37,8.39,8.18,8.28,457348
29-Jul-13,8.38,8.45,8.18,8.37,408208
26-Jul-13,8.35,8.50,8.26,8.39,439651
25-Jul-13,8.25,8.39,8.10,8.39,885387
24-Jul-13,8.51,8.62,8.23,8.27,692113
23-Jul-13,8.59,8.62,8.45,8.50,506550
22-Jul-13,8.59,8.72,8.48,8.54,655185
19-Jul-13,8.50,8.59,8.40,8.54,721035
18-Jul-13,8.76,8.84,8.47,8.51,1099425
17-Jul-13,8.84,8.95,8.65,8.77,835245
16-Jul-13,9.06,9.21,8.35,8.89,2862294
15-Jul-13,8.64,8.80,8.55,8.70,961697
12-Jul-13,8.19,8.51,8.14,8.46,807556
11-Jul-13,8.19,8.24,7.98,8.18,677076
10-Jul-13,7.98,8.10,7.90,8.09,355899
9-Jul-13,8.03,8.07,7.91,7.98,458110
8-Jul-13,7.90,8.11,7.88,8.00,549138
5-Jul-13,7.95,7.98,7.81,7.88,388195
3-Jul-13,7.75,8.00,7.75,7.84,253424
2-Jul-13,7.80,8.00,7.80,7.82,701592
1-Jul-13,7.56,8.02,7.56,7.84,943557
28-Jun-13,7.42,7.56,7.35,7.46,2711764
27-Jun-13,7.41,7.69,7.41,7.49,599898
26-Jun-13,7.49,7.53,7.30,7.40,747578
25-Jun-13,7.92,7.92,7.47,7.47,807668
24-Jun-13,7.60,7.90,7.20,7.90,2031056
21-Jun-13,7.79,8.16,7.65,8.01,2960835
20-Jun-13,8.06,8.23,7.64,7.73,1026353
19-Jun-13,8.25,8.30,8.17,8.17,555193
18-Jun-13,8.25,8.35,8.14,8.28,546916
17-Jun-13,8.24,8.30,8.05,8.27,687897
14-Jun-13,8.20,8.28,8.05,8.15,483503
13-Jun-13,8.03,8.29,7.91,8.24,445601
12-Jun-13,8.30,8.42,8.00,8.00,466845
11-Jun-13,7.97,8.33,7.87,8.24,778264
10-Jun-13,8.14,8.14,7.95,8.04,696772
7-Jun-13,7.79,8.19,7.79,8.11,852701
6-Jun-13,7.72,7.89,7.58,7.76,706901
5-Jun-13,8.16,8.21,7.70,7.73,1458614
4-Jun-13,8.30,8.45,8.08,8.19,1623008
3-Jun-13,8.38,8.49,8.00,8.28,1154656
31-May-13,8.22,8.38,8.16,8.21,572364
30-May-13,8.21,8.42,8.20,8.28,491113
29-May-13,8.57,8.60,8.14,8.22,878208
28-May-13,8.42,8.60,8.31,8.48,1051949
24-May-13,8.52,8.58,8.29,8.33,581949
23-May-13,8.35,8.60,8.27,8.55,774292
22-May-13,8.12,8.81,8.07,8.43,2442408
21-May-13,8.07,8.16,8.03,8.13,664182
20-May-13,8.10,8.16,8.01,8.05,675308
17-May-13,8.09,8.18,8.03,8.14,711269
16-May-13,8.18,8.21,7.85,8.08,917779
15-May-13,8.03,8.11,7.96,7.97,620882
14-May-13,7.86,8.11,7.85,8.06,1884433
13-May-13,7.51,7.86,7.40,7.86,1021394
10-May-13,7.41,7.72,7.41,7.60,1322922
9-May-13,7.58,7.65,7.36,7.40,1052617
8-May-13,7.53,7.56,7.44,7.53,902437
7-May-13,7.45,7.54,7.35,7.53,840737
6-May-13,7.25,7.47,7.21,7.47,961379
3-May-13,7.23,7.39,7.11,7.23,641850
2-May-13,7.12,7.26,7.09,7.16,1054628
1-May-13,7.36,7.47,7.10,7.10,930372
30-Apr-13,7.39,7.49,7.28,7.41,580561
29-Apr-13,7.50,7.59,7.31,7.37,783612
26-Apr-13,7.49,7.50,7.30,7.45,528586
25-Apr-13,7.18,7.55,7.18,7.54,1354724
24-Apr-13,7.11,7.20,7.03,7.17,904421
23-Apr-13,7.19,7.30,7.03,7.14,1353136
22-Apr-13,7.14,7.19,7.00,7.15,596856
19-Apr-13,6.96,7.19,6.96,7.16,733283
18-Apr-13,7.10,7.17,6.95,7.00,867398
17-Apr-13,7.02,7.16,6.99,7.10,859223
16-Apr-13,7.06,7.17,7.04,7.08,647461
15-Apr-13,7.24,7.26,6.99,7.01,1292623
12-Apr-13,7.25,7.29,7.17,7.26,395844
11-Apr-13,7.15,7.44,7.13,7.31,1019285
10-Apr-13,7.08,7.20,7.05,7.17,1154681
9-Apr-13,7.08,7.21,7.07,7.08,617998
8-Apr-13,7.17,7.17,6.99,7.07,640146
5-Apr-13,6.99,7.22,6.99,7.17,592899
4-Apr-13,7.04,7.12,6.99,7.06,1040016
3-Apr-13,7.28,7.38,6.97,7.02,1373087
2-Apr-13,7.35,7.45,7.18,7.21,1236726
1-Apr-13,7.48,7.68,7.25,7.29,947432
28-Mar-13,7.52,7.77,7.39,7.46,1634048
27-Mar-13,7.50,7.52,7.26,7.46,1222888
26-Mar-13,7.33,7.53,7.23,7.51,1290149
25-Mar-13,7.14,7.35,7.08,7.27,1714932
22-Mar-13,7.06,7.15,6.99,7.06,1249315
21-Mar-13,6.94,7.12,6.92,7.06,2197095
20-Mar-13,7.25,7.28,6.93,7.01,3747525
19-Mar-13,7.55,7.60,7.24,7.25,3154157
18-Mar-13,7.65,7.74,7.57,7.62,1599753
15-Mar-13,7.86,7.86,7.62,7.76,2648997
14-Mar-13,7.97,7.98,7.79,7.81,3958621
13-Mar-13,7.81,8.26,7.72,7.79,22555500
12-Mar-13,11.93,12.47,11.80,12.43,2391698
11-Mar-13,11.74,11.97,11.63,11.96,553673
8-Mar-13,11.69,11.89,11.67,11.79,692294
7-Mar-13,11.28,11.64,11.28,11.60,490660
6-Mar-13,11.57,11.66,11.29,11.42,681190
5-Mar-13,11.52,11.64,11.34,11.54,514791
4-Mar-13,11.44,11.50,11.29,11.49,481854
1-Mar-13,11.32,11.49,11.25,11.44,509240
28-Feb-13,11.40,11.55,11.32,11.40,496716
27-Feb-13,11.20,11.55,11.20,11.39,482805
26-Feb-13,11.26,11.34,11.10,11.25,663384
25-Feb-13,11.35,11.57,11.22,11.24,557033
22-Feb-13,11.47,11.50,11.15,11.24,845123
21-Feb-13,11.90,11.91,11.00,11.33,1734600
20-Feb-13,11.55,11.92,11.51,11.83,917810
19-Feb-13,11.51,11.60,11.21,11.58,1234153
15-Feb-13,12.28,12.35,11.46,11.63,1291697
14-Feb-13,12.21,12.30,12.15,12.17,374840
13-Feb-13,12.32,12.38,12.13,12.28,358472
12-Feb-13,12.20,12.33,12.10,12.27,298164
11-Feb-13,12.34,12.44,12.16,12.20,313249
8-Feb-13,12.45,12.59,12.30,12.37,342194
7-Feb-13,12.20,12.50,12.02,12.39,931809
