Date,Open,High,Low,Close,Volume
23-Oct-14,6.24,6.36,6.18,6.24,31632
22-Oct-14,6.21,6.30,6.15,6.15,33222
21-Oct-14,6.03,6.30,5.94,6.27,74470
20-Oct-14,5.91,6.15,5.88,6.03,48002
17-Oct-14,5.82,6.00,5.76,5.88,94987
16-Oct-14,5.82,5.94,5.70,5.76,117520
15-Oct-14,5.52,5.82,5.37,5.82,115056
14-Oct-14,5.85,5.97,5.58,5.70,155736
13-Oct-14,5.91,5.94,5.73,5.79,74936
10-Oct-14,5.94,6.06,5.88,5.91,67246
9-Oct-14,6.21,6.21,6.00,6.03,56211
8-Oct-14,6.09,6.21,5.97,6.15,77010
7-Oct-14,6.06,6.24,6.03,6.03,86580
6-Oct-14,6.24,6.42,6.12,6.15,88203
3-Oct-14,6.45,6.45,6.21,6.24,89276
2-Oct-14,6.21,6.54,6.21,6.33,116070
1-Oct-14,6.42,6.60,6.12,6.18,166047
30-Sep-14,6.51,6.57,6.00,6.48,132189
29-Sep-14,6.63,6.66,6.54,6.57,28953
26-Sep-14,6.72,6.75,6.54,6.66,50815
25-Sep-14,6.57,6.72,6.55,6.72,83769
24-Sep-14,6.66,6.69,6.51,6.54,183747
23-Sep-14,6.60,6.69,6.57,6.60,76925
22-Sep-14,6.87,7.05,6.57,6.66,238781
19-Sep-14,7.02,7.02,6.84,7.02,60690
18-Sep-14,6.93,7.01,6.84,6.96,85641
17-Sep-14,6.90,6.99,6.81,6.81,50623
16-Sep-14,6.87,6.90,6.81,6.84,51538
15-Sep-14,6.84,6.99,6.84,6.84,87470
12-Sep-14,6.99,7.08,6.81,7.02,127646
11-Sep-14,6.90,7.17,6.90,7.02,53468
10-Sep-14,6.93,7.11,6.90,7.02,45970
9-Sep-14,7.05,7.26,6.99,7.02,98794
8-Sep-14,7.26,7.26,6.99,7.14,107475
5-Sep-14,7.26,7.26,7.14,7.23,139469
4-Sep-14,7.23,7.38,7.20,7.32,40889
3-Sep-14,7.32,7.44,7.14,7.23,38294
2-Sep-14,7.26,7.38,7.17,7.38,60178
29-Aug-14,7.23,7.29,7.08,7.23,85089
28-Aug-14,7.29,7.41,7.20,7.29,99212
27-Aug-14,7.38,7.38,7.29,7.38,66661
26-Aug-14,7.35,7.41,7.29,7.35,48647
25-Aug-14,7.35,7.50,7.32,7.35,32756
22-Aug-14,7.35,7.47,7.29,7.29,27059
21-Aug-14,7.41,7.50,7.23,7.41,49675
