Date,Open,High,Low,Close,Volume
23-Oct-14,21.06,21.08,20.56,20.66,72019
22-Oct-14,20.57,21.11,20.08,20.83,157457
21-Oct-14,20.45,20.60,20.29,20.46,81862
20-Oct-14,20.00,20.46,19.99,20.42,87970
17-Oct-14,20.77,20.77,19.92,20.04,163461
16-Oct-14,20.77,21.01,20.39,20.51,233202
15-Oct-14,20.62,21.19,20.14,21.11,171040
14-Oct-14,20.69,21.07,20.46,20.82,112425
13-Oct-14,20.08,20.65,20.00,20.50,150487
10-Oct-14,19.88,20.58,19.88,20.13,138340
9-Oct-14,20.74,20.97,19.99,20.02,152813
8-Oct-14,20.03,20.90,20.03,20.83,152431
7-Oct-14,20.03,20.35,19.91,20.13,103653
6-Oct-14,20.13,20.35,19.94,20.11,87098
3-Oct-14,19.81,20.28,19.73,20.13,161163
2-Oct-14,19.16,19.68,19.16,19.57,122203
1-Oct-14,19.50,19.55,19.19,19.23,158572
30-Sep-14,19.62,19.81,19.42,19.45,212613
29-Sep-14,19.51,19.77,19.46,19.62,77092
26-Sep-14,19.59,19.92,19.58,19.75,123933
25-Sep-14,19.91,20.00,19.48,19.57,107307
24-Sep-14,19.90,20.07,19.71,19.89,92641
23-Sep-14,20.27,20.40,19.84,19.84,95875
22-Sep-14,20.51,20.54,20.21,20.39,80714
19-Sep-14,20.63,20.74,20.16,20.65,200988
18-Sep-14,20.64,20.69,20.45,20.59,72763
17-Sep-14,20.73,20.73,20.42,20.51,75953
16-Sep-14,20.62,20.84,20.43,20.71,92298
15-Sep-14,21.02,21.28,20.64,20.70,172258
12-Sep-14,21.37,21.49,20.88,21.10,102270
11-Sep-14,21.16,21.54,21.12,21.43,65073
10-Sep-14,21.31,21.50,21.01,21.20,94275
9-Sep-14,21.63,21.77,21.17,21.25,72958
8-Sep-14,21.77,21.88,21.38,21.60,63622
5-Sep-14,21.53,21.88,21.38,21.77,124678
4-Sep-14,21.85,21.99,21.49,21.70,85866
3-Sep-14,21.70,21.90,21.45,21.77,145729
2-Sep-14,21.61,21.86,21.10,21.65,122790
29-Aug-14,21.17,21.54,20.90,21.49,106044
28-Aug-14,21.30,21.33,21.12,21.14,104130
27-Aug-14,21.60,21.67,21.36,21.40,84809
26-Aug-14,21.57,21.68,21.45,21.58,90463
25-Aug-14,22.00,22.00,21.55,21.62,84026
22-Aug-14,21.48,22.08,21.28,21.87,175804
21-Aug-14,21.44,21.58,21.11,21.52,84684
20-Aug-14,21.54,21.71,21.34,21.40,131117
19-Aug-14,21.41,21.63,21.27,21.62,96472
18-Aug-14,21.07,21.49,20.77,21.42,126707
15-Aug-14,21.63,21.63,20.70,20.86,223996
14-Aug-14,21.76,21.98,21.03,21.43,141668
13-Aug-14,21.82,21.92,21.50,21.73,125451
12-Aug-14,21.98,22.00,21.43,21.67,136543
11-Aug-14,21.45,22.00,21.45,21.96,96979
8-Aug-14,21.31,21.73,21.10,21.33,126801
7-Aug-14,21.55,21.58,20.95,21.21,95826
6-Aug-14,21.18,21.68,21.15,21.51,86145
5-Aug-14,21.26,21.59,21.07,21.27,65470
4-Aug-14,21.16,21.31,21.01,21.31,105707
1-Aug-14,21.07,21.16,20.76,21.08,143345
31-Jul-14,21.25,21.33,20.94,20.96,203934
30-Jul-14,21.55,21.55,21.25,21.37,116425
29-Jul-14,21.75,21.76,21.32,21.36,72648
28-Jul-14,21.65,21.75,21.35,21.60,91678
25-Jul-14,21.39,21.78,21.33,21.71,149358
24-Jul-14,21.93,22.16,21.51,21.61,122670
23-Jul-14,22.18,22.38,21.90,21.95,118554
22-Jul-14,22.12,22.30,21.96,22.22,150523
21-Jul-14,22.06,22.10,21.63,22.00,132443
18-Jul-14,21.50,22.14,21.50,22.08,177628
17-Jul-14,21.63,21.85,21.43,21.55,209264
16-Jul-14,21.86,21.90,21.47,21.72,168297
15-Jul-14,21.95,22.07,21.33,21.65,219165
14-Jul-14,22.21,22.50,21.75,21.81,189576
11-Jul-14,20.33,22.41,20.05,21.91,454552
10-Jul-14,20.05,20.45,19.44,20.41,169229
9-Jul-14,20.78,20.78,20.17,20.29,158685
8-Jul-14,21.09,21.09,20.61,20.77,113678
7-Jul-14,21.46,21.47,20.98,21.08,131819
3-Jul-14,21.35,21.68,20.85,21.49,42097
2-Jul-14,21.36,21.50,21.17,21.26,119193
1-Jul-14,21.08,21.69,20.79,21.41,164204
30-Jun-14,20.68,21.04,20.37,21.01,250024
27-Jun-14,21.04,21.16,20.58,20.66,528194
26-Jun-14,21.54,21.54,20.92,21.22,107697
25-Jun-14,20.98,21.56,20.78,21.50,94241
24-Jun-14,21.26,21.72,20.97,21.02,160372
23-Jun-14,21.19,21.40,20.86,21.31,200188
20-Jun-14,21.37,21.57,21.08,21.13,275343
19-Jun-14,21.99,22.01,21.35,21.37,97214
18-Jun-14,22.03,22.06,21.58,21.84,113074
17-Jun-14,21.79,22.03,21.62,22.03,124858
16-Jun-14,21.94,22.68,21.52,21.79,122945
13-Jun-14,22.06,22.18,21.46,21.63,117196
12-Jun-14,21.89,22.12,21.60,21.99,109000
11-Jun-14,22.25,22.43,21.83,21.96,97053
10-Jun-14,22.27,22.50,21.91,22.29,120956
9-Jun-14,22.49,22.69,22.00,22.31,171114
6-Jun-14,22.80,22.94,22.25,22.44,144918
5-Jun-14,22.17,22.76,21.95,22.62,172250
4-Jun-14,22.08,22.27,21.89,22.11,191612
3-Jun-14,22.49,22.51,21.90,22.15,890986
2-Jun-14,23.65,23.65,22.12,22.47,361612
30-May-14,23.56,24.41,23.28,24.28,268928
29-May-14,23.34,23.64,23.03,23.48,93644
28-May-14,24.25,24.25,22.79,23.35,327316
27-May-14,24.07,24.50,24.03,24.22,202798
23-May-14,24.26,24.68,23.82,24.03,279529
22-May-14,22.66,24.68,22.40,24.38,386752
21-May-14,21.71,21.88,21.49,21.69,155981
20-May-14,21.65,21.65,21.14,21.53,211661
19-May-14,21.65,21.93,21.56,21.69,65484
16-May-14,21.22,21.68,21.17,21.66,113015
15-May-14,21.32,21.47,21.11,21.17,193370
14-May-14,22.02,22.02,21.34,21.49,174400
13-May-14,22.43,22.43,21.90,22.00,222112
12-May-14,22.05,22.61,21.86,22.40,149807
9-May-14,21.48,21.94,21.31,21.88,163951
8-May-14,21.51,21.73,21.36,21.49,217327
7-May-14,21.50,21.68,21.27,21.46,243912
6-May-14,21.68,21.75,21.28,21.49,300135
5-May-14,21.52,21.92,21.35,21.81,171208
2-May-14,21.52,21.84,21.41,21.61,159424
1-May-14,21.47,21.73,21.12,21.53,221277
30-Apr-14,21.93,22.00,21.27,21.54,256175
29-Apr-14,22.15,22.47,21.90,22.01,230335
28-Apr-14,22.30,22.55,22.01,22.15,194812
25-Apr-14,22.25,22.54,22.23,22.25,143747
24-Apr-14,22.39,22.44,22.22,22.35,118375
23-Apr-14,22.24,22.42,22.20,22.25,109887
22-Apr-14,22.46,22.53,22.18,22.22,159316
21-Apr-14,22.25,22.61,22.19,22.40,110013
17-Apr-14,22.26,22.57,22.01,22.29,212145
16-Apr-14,22.71,22.71,22.03,22.27,162983
15-Apr-14,22.49,22.75,22.12,22.46,156195
14-Apr-14,22.45,22.63,22.20,22.34,151887
11-Apr-14,22.50,22.83,22.11,22.21,221624
10-Apr-14,22.92,23.05,22.43,22.72,394949
9-Apr-14,22.82,23.15,22.70,22.93,167137
8-Apr-14,22.72,23.13,22.64,22.84,146630
7-Apr-14,22.79,23.11,22.39,22.77,182446
4-Apr-14,23.74,23.74,22.77,22.87,162870
3-Apr-14,23.78,23.90,23.29,23.53,129690
2-Apr-14,23.51,23.88,23.34,23.66,135576
1-Apr-14,23.18,23.50,22.99,23.38,173174
31-Mar-14,22.40,23.30,22.36,23.21,309266
28-Mar-14,22.03,22.37,22.03,22.35,167983
27-Mar-14,22.34,22.42,22.01,22.09,163936
