Date,Open,High,Low,Close,Volume
23-Oct-14,147.20,147.84,142.28,144.64,1943148
22-Oct-14,148.08,151.96,147.36,151.80,1410917
21-Oct-14,156.16,157.32,149.36,149.40,2166246
20-Oct-14,169.92,170.80,161.72,162.24,1373010
17-Oct-14,169.84,172.87,164.72,169.88,2681272
16-Oct-14,184.36,184.60,172.32,176.76,1850124
15-Oct-14,178.00,185.20,171.36,173.52,2420356
14-Oct-14,166.84,171.64,163.60,170.24,2342803
13-Oct-14,163.52,170.68,159.76,170.08,1851976
10-Oct-14,154.00,162.68,151.36,162.64,2276652
9-Oct-14,144.80,151.96,143.84,151.32,2001805
8-Oct-14,153.04,155.80,143.00,144.40,1945883
7-Oct-14,149.12,153.40,147.88,153.28,1376469
6-Oct-14,145.00,148.44,143.72,147.00,1221380
3-Oct-14,147.88,149.56,144.32,146.20,1374976
2-Oct-14,150.84,156.32,149.28,150.72,1831992
1-Oct-14,144.96,151.96,144.56,150.60,1733866
30-Sep-14,143.00,145.76,141.52,143.64,1207294
29-Sep-14,148.12,148.31,143.22,144.24,1117756
26-Sep-14,147.20,147.84,143.04,143.68,1073156
25-Sep-14,141.04,148.68,140.62,148.52,1751870
24-Sep-14,144.08,145.44,139.60,139.96,1254537
23-Sep-14,144.92,145.24,142.48,144.36,946613
22-Sep-14,140.52,145.00,140.32,143.20,968992
19-Sep-14,137.40,141.00,137.36,139.44,761604
18-Sep-14,141.04,141.43,139.12,139.16,580430
17-Sep-14,143.00,144.88,140.32,142.32,853012
16-Sep-14,148.40,148.96,142.20,143.04,1064059
15-Sep-14,142.24,148.09,142.20,146.84,1106351
12-Sep-14,141.00,144.01,140.84,142.64,754790
11-Sep-14,142.00,143.64,140.36,140.48,806375
10-Sep-14,143.32,144.44,140.12,140.20,1042729
9-Sep-14,140.44,144.56,138.72,143.72,963002
8-Sep-14,141.12,142.24,139.28,140.24,716007
5-Sep-14,142.64,144.80,140.88,141.04,817897
4-Sep-14,141.80,144.36,139.72,143.28,981744
3-Sep-14,139.32,143.68,139.32,142.84,638363
2-Sep-14,140.72,142.20,140.36,140.44,573828
29-Aug-14,142.36,143.92,141.64,141.64,382328
28-Aug-14,144.12,144.74,142.84,143.36,430164
27-Aug-14,142.92,143.72,142.32,142.80,446192
26-Aug-14,142.68,143.84,142.40,142.80,377634
25-Aug-14,142.84,144.36,142.12,143.40,502931
22-Aug-14,145.52,146.36,144.04,144.94,901987
21-Aug-14,146.12,146.90,145.44,145.68,446708
20-Aug-14,146.88,147.17,145.56,146.36,638033
19-Aug-14,147.84,148.16,146.24,146.32,682534
18-Aug-14,150.24,150.76,148.60,149.00,572288
15-Aug-14,152.28,156.92,151.48,152.56,1500740
14-Aug-14,156.72,157.24,154.72,154.76,829504
13-Aug-14,160.36,160.68,157.04,157.20,1172332
12-Aug-14,162.64,164.84,161.16,162.40,753895
11-Aug-14,163.28,163.52,160.69,162.08,811724
8-Aug-14,167.88,170.16,164.56,165.16,912020
7-Aug-14,165.08,170.60,164.00,168.84,848272
6-Aug-14,170.00,170.42,164.16,167.12,1196068
5-Aug-14,165.04,169.12,163.68,166.80,1311326
4-Aug-14,165.28,167.32,161.17,163.12,1398381
1-Aug-14,165.80,169.80,163.04,166.56,1294925
31-Jul-14,159.08,165.40,158.44,164.72,1169734
30-Jul-14,154.64,157.20,153.68,155.28,794996
29-Jul-14,155.52,157.60,154.32,157.16,734948
28-Jul-14,156.12,160.00,155.20,156.36,591852
25-Jul-14,157.00,158.92,155.92,156.60,655166
24-Jul-14,153.36,155.44,152.92,154.68,603463
23-Jul-14,155.68,156.48,153.74,154.24,956265
22-Jul-14,158.00,158.56,156.56,157.12,933950
21-Jul-14,160.80,162.52,159.60,160.40,984576
18-Jul-14,164.92,165.76,159.52,159.84,1229918
17-Jul-14,162.60,169.28,160.92,167.80,904650
16-Jul-14,159.84,161.88,159.28,161.32,619290
15-Jul-14,160.84,166.76,160.20,163.28,808394
14-Jul-14,162.48,163.22,160.56,161.52,726579
11-Jul-14,166.72,168.08,164.64,164.72,650538
10-Jul-14,172.56,173.24,165.84,167.84,941346
9-Jul-14,168.64,170.20,165.76,166.28,948956
8-Jul-14,165.04,172.08,164.76,169.96,1170928
7-Jul-14,163.36,165.04,162.64,164.24,596229
3-Jul-14,164.24,165.56,162.80,162.80,348354
2-Jul-14,166.32,166.84,165.12,165.88,464638
1-Jul-14,170.76,170.76,165.32,166.56,728327
30-Jun-14,173.44,173.72,171.06,172.44,469279
27-Jun-14,176.44,176.44,173.20,173.20,528187
26-Jun-14,175.60,179.64,175.48,175.60,875365
25-Jun-14,180.60,180.60,174.96,175.80,1090594
24-Jun-14,178.84,180.85,174.36,179.56,1295564
23-Jun-14,179.16,180.32,178.67,178.72,478678
20-Jun-14,179.36,180.35,178.40,179.00,466896
19-Jun-14,178.52,181.96,178.08,179.48,609588
18-Jun-14,181.72,184.83,178.48,179.04,975110
17-Jun-14,182.84,183.91,180.84,182.24,806381
16-Jun-14,183.92,185.16,181.00,182.60,816910
13-Jun-14,182.28,185.48,181.72,183.12,808447
12-Jun-14,180.96,186.64,180.40,184.60,990726
11-Jun-14,181.56,182.04,179.12,179.92,707084
10-Jun-14,181.20,181.76,179.48,179.88,396238
9-Jun-14,180.08,182.16,179.33,180.76,509496
6-Jun-14,181.36,182.48,180.28,180.28,631535
5-Jun-14,187.76,189.60,182.44,183.44,992512
4-Jun-14,191.84,192.60,187.32,188.16,697066
3-Jun-14,192.00,192.64,189.40,190.28,436625
2-Jun-14,188.84,193.70,188.76,190.04,464199
30-May-14,189.48,192.52,188.68,189.56,732434
29-May-14,191.24,192.40,189.56,189.68,612932
28-May-14,191.92,193.80,191.00,193.28,712505
27-May-14,196.32,196.84,191.32,191.32,741918
23-May-14,202.96,204.24,198.96,199.00,588875
22-May-14,205.68,206.48,201.80,203.60,658670
21-May-14,211.16,211.48,206.00,206.36,950398
20-May-14,210.40,214.88,208.08,212.32,976194
19-May-14,216.32,217.60,209.12,210.00,710986
16-May-14,218.24,222.60,214.16,214.60,814243
15-May-14,214.00,222.88,212.88,218.72,1444164
14-May-14,212.36,215.28,210.08,213.84,805431
13-May-14,210.32,211.84,208.22,210.60,879243
12-May-14,217.96,218.56,210.84,211.08,1208729
9-May-14,225.02,229.40,221.52,221.91,1403208
8-May-14,226.00,227.72,216.44,224.60,1688812
7-May-14,220.24,231.64,219.80,223.88,1917056
6-May-14,214.64,222.16,214.28,221.80,1270069
5-May-14,220.88,222.44,213.58,213.72,1059989
2-May-14,213.80,218.56,212.48,216.96,1369776
1-May-14,216.72,218.44,212.28,215.76,1486378
30-Apr-14,222.36,224.28,217.28,217.68,1664398
29-Apr-14,222.76,226.20,218.44,219.60,1614677
28-Apr-14,224.12,235.72,220.00,224.76,3067447
25-Apr-14,220.72,228.72,219.92,227.12,1808200
24-Apr-14,212.12,224.12,212.12,216.80,1711673
23-Apr-14,217.36,223.52,217.36,223.20,1368213
22-Apr-14,220.40,221.64,215.96,217.40,984716
21-Apr-14,226.20,229.44,222.84,222.92,999289
17-Apr-14,230.28,232.36,224.56,227.84,1285261
16-Apr-14,231.96,237.20,228.12,228.28,1159386
15-Apr-14,237.44,252.64,233.48,237.64,2856408
14-Apr-14,239.48,246.84,236.00,239.84,2318688
11-Apr-14,243.72,247.36,234.61,245.80,2698722
10-Apr-14,216.96,239.20,216.84,237.24,2123391
9-Apr-14,226.44,228.32,216.88,217.24,1408840
8-Apr-14,234.80,237.28,228.16,229.04,1246684
7-Apr-14,233.24,240.28,227.04,235.32,1659653
4-Apr-14,208.12,230.68,207.28,229.36,1908110
3-Apr-14,206.56,215.60,205.60,212.04,795016
2-Apr-14,206.24,210.04,205.56,207.12,1149006
1-Apr-14,217.16,217.36,208.48,208.76,1607043
31-Mar-14,220.04,220.76,215.92,220.44,1364219
28-Mar-14,224.52,227.12,217.80,225.12,1650633
27-Mar-14,223.80,230.28,220.76,226.68,1675582
26-Mar-14,211.28,222.92,209.96,222.88,1618935
25-Mar-14,213.32,219.92,209.16,214.56,1546348
24-Mar-14,208.80,222.36,208.48,216.52,837647
21-Mar-14,200.56,212.28,200.04,211.24,1295786
20-Mar-14,207.44,208.68,202.00,203.80,819854
19-Mar-14,202.04,209.52,200.40,205.52,1180543
18-Mar-14,209.16,209.28,201.64,202.16,1154048
17-Mar-14,211.56,211.64,206.52,209.84,741800
14-Mar-14,213.48,215.84,210.56,215.68,1176700
13-Mar-14,200.36,214.00,200.24,211.36,1739857
12-Mar-14,207.76,210.08,202.40,202.64,1079621
11-Mar-14,200.96,206.78,199.40,205.00,1486304
10-Mar-14,203.31,206.36,202.08,202.44,920732
7-Mar-14,198.08,205.96,197.52,202.96,1518012
6-Mar-14,198.20,202.16,197.72,200.04,1277460
5-Mar-14,200.16,201.44,198.48,199.40,1015917
4-Mar-14,202.40,202.92,200.00,201.24,1324812
3-Mar-14,210.64,214.64,207.60,209.08,1825236
28-Feb-14,204.16,210.11,200.52,204.64,2024432
27-Feb-14,208.04,208.88,203.48,204.04,1040386
26-Feb-14,205.64,210.56,203.92,208.08,1647511
25-Feb-14,206.12,209.52,204.72,207.54,1478412
24-Feb-14,209.12,209.48,204.00,206.50,1173893
21-Feb-14,207.52,211.00,206.60,210.56,727560
20-Feb-14,211.96,214.72,208.20,209.36,1146388
19-Feb-14,209.40,213.69,207.88,212.32,1335138
18-Feb-14,210.20,211.72,207.00,208.28,754262
