Date,Open,High,Low,Close,Volume
23-Oct-14,5.17,5.53,5.10,5.36,86008
22-Oct-14,5.25,5.38,5.08,5.08,66647
21-Oct-14,5.31,5.49,5.24,5.29,22784
20-Oct-14,5.21,5.33,5.17,5.26,23654
17-Oct-14,5.26,5.38,5.09,5.25,87406
16-Oct-14,4.99,5.48,4.99,5.31,70643
15-Oct-14,5.05,5.19,4.95,5.14,132134
14-Oct-14,5.30,5.30,5.11,5.14,62638
13-Oct-14,5.43,5.50,5.01,5.24,130076
10-Oct-14,5.55,5.56,5.40,5.45,84023
9-Oct-14,5.78,5.85,5.46,5.52,43671
8-Oct-14,5.49,5.80,5.46,5.75,62580
7-Oct-14,5.48,5.64,5.43,5.45,67072
6-Oct-14,5.61,5.72,5.39,5.43,59409
3-Oct-14,5.47,5.64,5.40,5.57,45404
2-Oct-14,5.53,5.60,5.39,5.47,67919
1-Oct-14,5.65,5.73,5.39,5.53,109365
30-Sep-14,5.55,5.74,5.53,5.64,62207
29-Sep-14,5.55,5.57,5.39,5.55,56083
26-Sep-14,5.57,5.65,5.48,5.55,30825
25-Sep-14,5.65,5.69,5.48,5.56,84515
24-Sep-14,5.57,5.66,5.56,5.60,19786
23-Sep-14,5.51,5.64,5.47,5.60,53371
22-Sep-14,5.67,5.74,5.41,5.59,138374
19-Sep-14,6.15,6.22,5.62,5.64,346078
18-Sep-14,6.40,6.44,6.00,6.11,128928
17-Sep-14,6.32,6.50,6.09,6.40,175046
16-Sep-14,6.02,6.54,5.96,6.32,733492
15-Sep-14,6.04,6.20,5.73,5.83,203107
12-Sep-14,6.00,6.24,5.94,6.01,150369
11-Sep-14,5.80,5.99,5.75,5.92,152613
10-Sep-14,5.75,6.03,5.70,5.77,137539
9-Sep-14,5.67,5.84,5.50,5.73,64746
8-Sep-14,5.68,5.80,5.61,5.72,83578
5-Sep-14,5.49,5.72,5.49,5.66,55274
4-Sep-14,5.45,5.63,5.45,5.50,105777
3-Sep-14,5.39,5.45,5.32,5.38,62555
2-Sep-14,5.57,5.62,5.38,5.40,62285
29-Aug-14,5.42,5.62,5.36,5.59,57407
28-Aug-14,5.59,5.61,5.43,5.47,31331
27-Aug-14,5.49,5.60,5.44,5.60,60053
26-Aug-14,5.62,5.62,5.43,5.47,73843
25-Aug-14,5.50,5.68,5.43,5.65,60875
22-Aug-14,5.72,5.72,5.41,5.46,104865
21-Aug-14,5.37,5.78,5.37,5.71,131749
20-Aug-14,5.48,5.52,5.30,5.43,80739
19-Aug-14,5.29,5.67,5.29,5.47,180655
18-Aug-14,5.36,5.41,5.20,5.31,83395
15-Aug-14,5.37,5.46,5.19,5.32,78468
14-Aug-14,5.45,5.54,5.26,5.32,93943
13-Aug-14,5.10,5.50,4.90,5.45,239073
12-Aug-14,4.78,5.55,4.51,5.05,664101
11-Aug-14,4.25,4.48,4.15,4.40,142456
8-Aug-14,4.62,4.66,4.16,4.19,439728
7-Aug-14,4.70,4.70,4.63,4.65,69042
6-Aug-14,4.74,4.82,4.70,4.73,60594
5-Aug-14,4.85,4.85,4.72,4.76,106085
4-Aug-14,4.93,4.93,4.77,4.84,77949
1-Aug-14,4.96,5.00,4.84,4.95,44659
31-Jul-14,5.01,5.05,4.90,4.98,24689
30-Jul-14,5.00,5.05,4.92,5.02,44495
29-Jul-14,5.01,5.08,4.92,4.96,34815
28-Jul-14,5.08,5.09,4.99,5.04,29702
25-Jul-14,5.16,5.17,5.06,5.10,24969
24-Jul-14,4.77,5.20,4.77,5.18,117509
23-Jul-14,4.95,5.02,4.77,4.80,96317
22-Jul-14,4.94,5.01,4.86,4.91,45858
21-Jul-14,4.99,4.99,4.85,4.86,83653
18-Jul-14,4.92,5.05,4.91,4.97,129269
17-Jul-14,4.98,5.18,4.94,4.94,96635
16-Jul-14,5.03,5.15,4.95,4.98,61742
15-Jul-14,5.22,5.24,5.02,5.05,82259
14-Jul-14,5.31,5.34,5.20,5.25,95014
11-Jul-14,5.30,5.33,5.21,5.26,72729
10-Jul-14,5.33,5.37,5.29,5.30,59510
9-Jul-14,5.35,5.44,5.33,5.37,41448
8-Jul-14,5.50,5.50,5.33,5.37,68199
7-Jul-14,5.45,5.93,5.45,5.49,183896
3-Jul-14,5.48,5.48,5.40,5.43,35401
2-Jul-14,5.50,5.73,5.46,5.50,47575
1-Jul-14,5.56,5.64,5.47,5.52,61883
30-Jun-14,6.00,6.00,5.38,5.60,104187
27-Jun-14,5.33,5.47,5.33,5.47,23835
26-Jun-14,5.37,5.50,5.35,5.36,46642
25-Jun-14,5.65,5.65,5.33,5.39,71841
24-Jun-14,5.82,5.82,5.64,5.68,28680
23-Jun-14,5.90,5.91,5.80,5.83,67625
20-Jun-14,5.76,5.83,5.76,5.82,17151
19-Jun-14,5.80,5.84,5.75,5.78,33670
18-Jun-14,5.83,5.85,5.76,5.82,22821
17-Jun-14,5.80,5.84,5.77,5.83,55652
16-Jun-14,5.71,5.84,5.70,5.83,29980
13-Jun-14,5.74,5.79,5.70,5.72,37234
12-Jun-14,5.72,5.88,5.67,5.76,86900
11-Jun-14,5.33,5.86,5.33,5.77,141790
10-Jun-14,5.07,5.38,5.07,5.33,115149
9-Jun-14,4.95,5.03,4.95,5.03,61721
6-Jun-14,5.00,5.06,4.97,5.00,110281
5-Jun-14,5.06,5.13,4.91,4.99,180114
4-Jun-14,5.19,5.21,5.02,5.11,96796
3-Jun-14,5.25,5.29,5.06,5.14,59003
2-Jun-14,5.39,5.39,5.25,5.30,64816
30-May-14,5.51,5.60,5.38,5.40,76352
29-May-14,5.70,5.79,5.53,5.57,88242
28-May-14,5.76,5.81,5.67,5.73,38895
27-May-14,5.70,5.82,5.63,5.77,47405
23-May-14,5.67,5.83,5.60,5.66,46331
22-May-14,5.64,5.84,5.59,5.72,52745
21-May-14,5.62,5.75,5.58,5.60,38086
20-May-14,5.65,5.65,5.58,5.60,21587
19-May-14,5.55,5.75,5.55,5.68,40107
16-May-14,5.52,5.64,5.37,5.55,63162
15-May-14,5.84,5.87,5.50,5.54,72779
14-May-14,5.99,6.00,5.65,5.74,87044
13-May-14,6.09,6.09,5.73,5.81,126253
12-May-14,5.76,5.89,5.56,5.56,103488
9-May-14,5.74,5.82,5.52,5.63,88766
8-May-14,5.73,6.10,5.71,5.77,205549
7-May-14,6.17,6.17,5.70,5.74,137787
6-May-14,6.35,6.38,6.05,6.06,120326
5-May-14,5.98,6.49,5.87,6.39,297890
2-May-14,6.08,6.20,5.85,5.95,109511
1-May-14,5.80,6.24,5.80,6.10,176561
30-Apr-14,5.52,5.92,5.51,5.79,185341
29-Apr-14,5.54,5.59,5.40,5.50,66536
28-Apr-14,5.47,5.62,5.45,5.54,76255
25-Apr-14,5.51,5.57,5.40,5.46,91447
24-Apr-14,5.78,5.80,5.55,5.58,48046
23-Apr-14,5.65,5.79,5.58,5.72,58680
22-Apr-14,5.59,5.65,5.52,5.64,62250
21-Apr-14,5.65,5.76,5.56,5.57,108852
17-Apr-14,5.67,5.67,5.50,5.60,112164
16-Apr-14,5.25,5.88,5.18,5.70,211380
15-Apr-14,5.28,5.28,4.78,5.20,267982
14-Apr-14,5.63,5.78,5.10,5.25,300478
11-Apr-14,5.76,5.81,5.54,5.56,220366
10-Apr-14,6.07,6.07,5.75,5.83,185288
9-Apr-14,5.89,6.10,5.74,6.07,160047
8-Apr-14,5.70,5.98,5.60,5.92,154392
7-Apr-14,6.25,6.25,5.60,5.69,175116
4-Apr-14,5.90,6.06,5.83,5.96,192226
3-Apr-14,5.99,6.38,5.68,5.85,357969
2-Apr-14,5.66,5.96,5.64,5.95,158625
1-Apr-14,5.89,5.91,5.63,5.68,103073
31-Mar-14,5.71,5.92,5.61,5.84,183172
28-Mar-14,5.70,6.09,5.45,5.60,275109
27-Mar-14,5.74,5.84,5.60,5.70,123871
26-Mar-14,6.00,6.10,5.71,5.76,227821
25-Mar-14,5.76,6.00,5.71,6.00,271132
24-Mar-14,6.00,6.00,5.59,5.74,280604
21-Mar-14,6.21,6.34,5.86,6.01,257696
