Date,Open,High,Low,Close,Volume
23-Oct-14,5.36,5.44,5.15,5.38,3569507
22-Oct-14,5.65,5.68,5.40,5.41,1870259
21-Oct-14,5.88,5.94,5.70,5.74,2077357
20-Oct-14,5.85,5.85,5.58,5.72,1425308
17-Oct-14,5.90,5.90,5.54,5.56,2434610
16-Oct-14,5.66,6.07,5.62,5.84,2134133
15-Oct-14,5.58,5.88,5.54,5.74,2960095
14-Oct-14,5.56,5.82,5.53,5.65,2795308
13-Oct-14,5.59,5.70,5.44,5.48,2126545
10-Oct-14,5.59,5.91,5.33,5.50,2064948
9-Oct-14,5.96,5.99,5.47,5.60,3331970
8-Oct-14,5.43,5.95,5.14,5.92,4538678
7-Oct-14,5.69,5.69,5.22,5.28,2136463
6-Oct-14,5.60,5.66,5.41,5.63,1796691
3-Oct-14,5.79,5.79,5.49,5.49,2114281
2-Oct-14,6.10,6.11,5.79,5.91,1502042
1-Oct-14,6.18,6.26,6.00,6.04,1843726
30-Sep-14,6.29,6.39,6.04,6.10,1930042
29-Sep-14,6.47,6.64,6.33,6.35,970900
26-Sep-14,6.55,6.63,6.41,6.46,1127447
25-Sep-14,6.31,6.61,6.30,6.58,1318936
24-Sep-14,6.60,6.62,6.30,6.43,1648394
23-Sep-14,6.40,6.71,6.40,6.63,1605921
22-Sep-14,6.50,6.53,6.16,6.31,2440737
19-Sep-14,6.96,7.11,6.47,6.47,9104159
18-Sep-14,7.18,7.18,6.97,6.97,1706770
17-Sep-14,7.49,7.49,7.13,7.20,1772437
16-Sep-14,7.42,7.60,7.27,7.48,1060541
15-Sep-14,7.50,7.57,7.33,7.42,802928
12-Sep-14,7.70,7.79,7.48,7.50,1047581
11-Sep-14,7.51,7.78,7.33,7.76,1450631
10-Sep-14,7.44,7.68,7.39,7.50,1164038
9-Sep-14,7.57,7.75,7.07,7.60,2574867
8-Sep-14,7.79,8.00,7.65,7.68,1241717
5-Sep-14,8.06,8.26,7.83,8.08,1769142
4-Sep-14,8.82,8.87,8.00,8.03,2655666
3-Sep-14,9.03,9.07,8.77,8.77,1298620
2-Sep-14,9.20,9.21,8.96,9.00,896055
29-Aug-14,9.26,9.53,9.19,9.37,775595
28-Aug-14,9.33,9.39,9.24,9.33,617957
27-Aug-14,9.21,9.37,9.16,9.21,659749
26-Aug-14,8.93,9.24,8.87,9.23,1139476
25-Aug-14,9.05,9.08,8.79,8.79,931467
22-Aug-14,9.08,9.14,8.92,9.09,822895
21-Aug-14,9.16,9.28,8.92,9.07,1558273
20-Aug-14,9.46,9.56,9.28,9.40,757163
19-Aug-14,9.61,9.63,9.27,9.40,751085
18-Aug-14,9.34,9.62,9.30,9.62,955277
15-Aug-14,9.19,9.53,9.10,9.45,1081897
