Date,Open,High,Low,Close,Volume
23-Oct-14,21.69,22.84,21.02,21.14,36984
22-Oct-14,22.00,22.01,21.42,21.61,28289
21-Oct-14,22.18,22.43,21.85,22.01,38061
20-Oct-14,22.15,22.42,21.95,22.19,29242
17-Oct-14,23.42,23.42,22.13,22.25,36228
16-Oct-14,22.16,23.35,21.29,23.06,35935
15-Oct-14,21.82,22.62,21.03,22.52,47165
14-Oct-14,22.00,22.80,21.51,22.15,34789
13-Oct-14,21.29,22.00,20.83,21.72,32933
10-Oct-14,20.72,21.68,20.72,21.21,26762
9-Oct-14,21.22,21.22,20.25,20.87,55525
8-Oct-14,20.74,21.83,20.63,21.73,23252
7-Oct-14,21.34,21.52,20.83,20.85,31801
6-Oct-14,21.59,21.93,21.35,21.59,12648
3-Oct-14,21.53,22.12,21.41,21.48,25177
2-Oct-14,20.70,21.32,20.44,21.28,17783
1-Oct-14,20.56,20.90,20.36,20.69,40218
30-Sep-14,20.81,21.70,20.48,20.51,74590
29-Sep-14,20.87,21.12,20.69,20.81,14374
26-Sep-14,20.85,21.29,20.83,21.12,17524
25-Sep-14,21.21,21.61,20.80,20.83,27770
24-Sep-14,21.48,21.51,21.25,21.31,11846
23-Sep-14,21.45,21.68,21.26,21.51,34741
22-Sep-14,21.42,21.81,21.36,21.62,21425
19-Sep-14,21.82,22.16,21.37,21.63,52130
18-Sep-14,21.64,21.96,21.22,21.75,9731
17-Sep-14,21.49,21.63,21.25,21.53,24662
16-Sep-14,21.49,21.71,21.34,21.55,26780
15-Sep-14,21.47,21.80,21.13,21.61,46810
12-Sep-14,21.58,21.66,21.32,21.48,34632
11-Sep-14,21.31,21.94,21.31,21.54,18410
10-Sep-14,21.61,21.90,21.15,21.56,20699
9-Sep-14,21.41,21.82,21.21,21.47,32837
8-Sep-14,21.62,21.64,21.21,21.52,38474
5-Sep-14,21.33,22.09,21.33,21.52,20937
4-Sep-14,21.58,21.87,21.35,21.41,23504
3-Sep-14,22.00,22.04,21.45,21.46,22650
2-Sep-14,21.85,22.00,21.59,21.98,33173
29-Aug-14,21.82,21.82,21.31,21.70,23840
28-Aug-14,22.19,22.30,21.73,21.74,25244
27-Aug-14,22.03,22.58,21.99,22.30,20407
26-Aug-14,21.68,22.00,21.43,21.90,34177
25-Aug-14,21.28,22.00,21.28,21.72,32338
22-Aug-14,21.34,21.52,21.18,21.28,15890
21-Aug-14,21.35,21.62,21.17,21.48,12371
20-Aug-14,21.82,21.82,21.32,21.42,16465
19-Aug-14,21.60,21.99,21.54,21.88,12394
18-Aug-14,21.51,21.67,21.26,21.48,50018
15-Aug-14,21.71,21.82,20.98,21.23,29740
14-Aug-14,21.36,21.57,21.30,21.43,23659
13-Aug-14,21.22,21.33,21.09,21.29,13872
12-Aug-14,21.73,21.78,20.78,21.28,12708
11-Aug-14,21.41,22.17,21.41,21.95,19277
8-Aug-14,21.12,21.48,20.91,21.42,12427
7-Aug-14,21.33,21.50,21.06,21.12,9676
6-Aug-14,20.88,21.48,20.58,21.30,11881
5-Aug-14,20.72,21.32,20.72,20.93,17248
4-Aug-14,20.89,21.05,20.30,20.88,74571
1-Aug-14,21.21,21.84,20.51,20.74,40071
31-Jul-14,21.06,21.33,20.75,21.11,64401
30-Jul-14,21.74,21.94,21.09,21.14,26333
29-Jul-14,21.53,22.26,21.35,21.51,14111
28-Jul-14,21.74,22.25,21.18,21.46,25619
25-Jul-14,21.65,21.88,21.42,21.61,35708
24-Jul-14,22.06,22.14,21.59,21.88,32820
23-Jul-14,21.54,22.33,21.54,22.18,23573
22-Jul-14,21.40,21.71,20.97,21.55,48051
21-Jul-14,21.50,21.58,21.26,21.50,25473
18-Jul-14,21.34,21.97,21.34,21.56,57236
17-Jul-14,21.88,22.06,21.17,21.45,56808
16-Jul-14,22.57,22.57,21.99,22.11,22542
15-Jul-14,22.72,22.72,22.24,22.36,26669
14-Jul-14,22.80,22.88,22.58,22.65,24852
11-Jul-14,22.73,22.79,22.30,22.53,24642
10-Jul-14,22.75,22.90,22.23,22.67,43712
9-Jul-14,23.14,23.58,22.92,23.00,25097
8-Jul-14,23.37,23.37,22.92,23.10,21381
7-Jul-14,23.62,23.64,23.12,23.33,21933
3-Jul-14,23.79,23.84,23.30,23.73,15890
2-Jul-14,24.00,25.43,23.47,23.59,23222
1-Jul-14,23.51,24.28,23.45,23.93,69986
30-Jun-14,23.13,23.51,23.01,23.43,27385
27-Jun-14,22.99,23.33,22.95,23.18,103591
26-Jun-14,23.22,23.30,22.90,23.21,13659
25-Jun-14,22.75,23.33,22.75,23.22,23001
24-Jun-14,22.80,23.47,22.80,22.89,28980
23-Jun-14,23.20,23.20,22.86,22.91,13525
20-Jun-14,23.28,23.30,22.99,23.08,95781
19-Jun-14,22.81,23.25,22.81,23.07,20783
18-Jun-14,23.10,23.10,22.81,22.90,10421
17-Jun-14,23.29,23.62,22.82,22.90,29647
16-Jun-14,22.73,23.33,22.04,23.06,30996
13-Jun-14,22.74,23.27,22.53,22.64,32747
12-Jun-14,22.67,23.05,22.38,22.63,31980
11-Jun-14,22.87,23.36,22.64,22.80,46090
10-Jun-14,22.78,23.09,22.42,22.69,64131
9-Jun-14,22.54,22.93,22.41,22.93,28972
6-Jun-14,22.05,22.77,21.55,22.56,69933
5-Jun-14,20.95,21.87,20.90,21.86,42911
4-Jun-14,20.98,21.49,20.95,21.00,23759
3-Jun-14,21.33,21.58,20.97,21.05,31587
2-Jun-14,21.76,21.99,21.14,21.52,25133
30-May-14,21.84,22.20,21.40,21.61,36491
29-May-14,22.22,22.23,21.63,21.71,16051
28-May-14,22.65,22.72,21.80,22.03,37310
27-May-14,22.07,22.91,21.16,22.60,44860
23-May-14,21.73,21.90,21.23,21.79,25873
