Date,Open,High,Low,Close,Volume
23-Oct-14,22.43,22.53,21.77,22.15,5168372
22-Oct-14,22.17,22.50,21.80,22.26,8406745
21-Oct-14,22.70,22.70,21.24,21.90,8621566
20-Oct-14,21.08,21.40,20.95,21.10,6251126
17-Oct-14,21.17,21.70,20.95,21.06,4452762
16-Oct-14,19.82,21.16,19.75,20.94,8144083
15-Oct-14,19.60,20.47,19.27,20.29,6486818
14-Oct-14,19.72,20.38,19.26,20.01,6638965
13-Oct-14,20.16,20.63,19.51,19.59,6553352
10-Oct-14,20.72,20.96,19.94,19.95,5175919
9-Oct-14,21.47,21.51,20.65,20.77,3810304
8-Oct-14,21.08,21.63,20.73,21.57,4410035
7-Oct-14,21.47,21.71,21.11,21.12,3262610
6-Oct-14,21.79,21.97,21.43,21.60,6241889
3-Oct-14,22.13,22.64,21.60,21.63,6569129
2-Oct-14,21.99,22.31,21.61,22.12,4219104
1-Oct-14,22.56,22.72,21.91,22.08,3880692
30-Sep-14,22.78,22.87,22.40,22.61,3194813
29-Sep-14,22.80,23.06,22.76,22.78,3127620
26-Sep-14,23.06,23.08,22.84,23.03,2674907
25-Sep-14,23.25,23.28,22.74,23.20,3350868
24-Sep-14,23.99,24.00,23.06,23.34,3986818
23-Sep-14,23.99,24.10,23.81,23.89,2691533
22-Sep-14,24.25,24.29,23.81,23.96,3393261
19-Sep-14,24.98,24.99,24.20,24.36,5592277
18-Sep-14,25.37,25.51,24.86,24.95,6966722
17-Sep-14,24.75,25.16,24.69,24.85,5785118
16-Sep-14,23.55,24.08,23.43,23.94,3116477
15-Sep-14,23.87,24.08,23.57,23.67,2058490
12-Sep-14,23.92,24.01,23.71,23.76,2292744
11-Sep-14,23.42,24.06,23.38,23.98,2017921
10-Sep-14,23.73,23.89,23.44,23.55,3938895
9-Sep-14,23.74,23.93,23.49,23.64,3707030
8-Sep-14,24.24,24.37,23.64,23.72,3993319
5-Sep-14,24.16,24.29,23.94,24.24,2403907
4-Sep-14,23.86,24.57,23.86,24.20,4671769
3-Sep-14,23.62,23.96,23.60,23.90,3725970
2-Sep-14,23.35,23.37,23.18,23.21,2454045
29-Aug-14,23.27,23.30,23.02,23.24,2551422
28-Aug-14,23.45,23.45,23.09,23.14,2771234
27-Aug-14,23.68,23.70,23.26,23.49,2396273
26-Aug-14,23.26,23.71,23.19,23.61,3201548
25-Aug-14,23.16,23.48,23.11,23.28,2729904
22-Aug-14,23.06,23.38,22.94,23.30,2326424
21-Aug-14,23.19,23.23,22.89,23.13,2226962
20-Aug-14,23.19,23.28,23.07,23.16,2140924
19-Aug-14,22.98,23.31,22.89,23.21,4765688
18-Aug-14,22.17,22.98,22.13,22.91,5262881
15-Aug-14,22.18,22.22,22.02,22.11,4159774
14-Aug-14,22.15,22.20,22.02,22.17,3194807
13-Aug-14,21.74,22.16,21.66,22.14,3704452
12-Aug-14,21.62,21.74,21.39,21.70,2710542
11-Aug-14,21.91,21.96,21.56,21.60,2674536
8-Aug-14,21.31,21.84,21.30,21.82,2856132
7-Aug-14,21.53,21.62,21.27,21.36,2324688
6-Aug-14,21.39,21.62,21.31,21.51,2692684
5-Aug-14,21.48,21.70,21.25,21.44,3153928
4-Aug-14,21.63,21.66,21.13,21.65,4842742
1-Aug-14,21.13,21.36,20.74,20.92,4136297
31-Jul-14,21.27,21.63,21.05,21.21,4209009
30-Jul-14,21.82,21.90,21.47,21.48,3759460
29-Jul-14,21.80,21.80,21.43,21.44,4215939
28-Jul-14,21.74,21.87,21.57,21.67,3238292
25-Jul-14,21.72,21.84,21.58,21.66,3901185
24-Jul-14,21.89,21.94,21.62,21.74,3864970
23-Jul-14,21.77,21.87,21.60,21.79,5592427
22-Jul-14,20.72,21.83,20.50,21.69,11288046
21-Jul-14,19.31,20.82,19.22,20.75,19031577
18-Jul-14,18.31,18.62,18.30,18.58,2387988
17-Jul-14,18.40,18.62,18.30,18.35,2354985
16-Jul-14,18.33,18.64,18.24,18.55,3590430
15-Jul-14,17.91,18.31,17.86,18.18,3439678
14-Jul-14,18.28,18.29,17.75,17.91,2646008
11-Jul-14,17.90,18.21,17.85,18.20,3481750
