Date,Open,High,Low,Close,Volume
23-Oct-14,2.83,2.83,2.75,2.77,18555
22-Oct-14,2.76,2.79,2.75,2.79,7916
21-Oct-14,2.77,2.79,2.75,2.75,8125
20-Oct-14,2.83,2.86,2.72,2.82,26263
17-Oct-14,2.79,2.90,2.79,2.81,17752
16-Oct-14,2.70,2.81,2.70,2.79,15526
15-Oct-14,2.71,2.76,2.65,2.75,14118
14-Oct-14,2.76,2.78,2.66,2.74,21405
13-Oct-14,2.80,2.85,2.67,2.76,30146
10-Oct-14,2.81,2.81,2.77,2.79,24048
9-Oct-14,2.84,2.84,2.77,2.80,16202
8-Oct-14,2.91,2.91,2.78,2.81,33665
7-Oct-14,2.92,2.94,2.79,2.87,27774
6-Oct-14,2.77,2.92,2.77,2.91,63522
3-Oct-14,2.86,2.86,2.77,2.80,20882
2-Oct-14,2.74,2.81,2.74,2.78,27997
1-Oct-14,2.75,2.79,2.75,2.76,11843
30-Sep-14,2.75,2.81,2.72,2.80,8150
29-Sep-14,2.79,2.81,2.77,2.79,9190
26-Sep-14,2.78,2.80,2.77,2.77,14746
25-Sep-14,2.82,2.82,2.71,2.77,17414
24-Sep-14,2.84,2.84,2.78,2.80,14207
23-Sep-14,2.84,2.84,2.79,2.81,12727
22-Sep-14,2.89,2.89,2.80,2.83,14211
19-Sep-14,2.85,2.88,2.79,2.88,48198
18-Sep-14,2.86,2.87,2.82,2.83,29609
17-Sep-14,2.79,2.83,2.79,2.83,3589
16-Sep-14,2.86,2.88,2.77,2.82,28883
15-Sep-14,2.86,2.87,2.77,2.82,25529
12-Sep-14,2.83,2.84,2.78,2.84,22845
11-Sep-14,2.77,2.85,2.77,2.80,16424
10-Sep-14,2.81,2.83,2.77,2.77,20351
9-Sep-14,2.81,2.82,2.75,2.80,31374
8-Sep-14,2.80,2.84,2.76,2.78,35232
5-Sep-14,2.75,2.79,2.74,2.77,36558
4-Sep-14,2.77,2.77,2.73,2.74,22941
3-Sep-14,2.71,2.72,2.71,2.72,13928
2-Sep-14,2.70,2.74,2.65,2.65,29378
29-Aug-14,2.72,2.77,2.67,2.72,22285
28-Aug-14,2.73,2.73,2.72,2.72,14281
27-Aug-14,2.72,2.78,2.72,2.77,19503
26-Aug-14,2.80,2.82,2.76,2.76,8290
25-Aug-14,2.65,2.80,2.65,2.77,87465
22-Aug-14,2.64,2.64,2.59,2.62,29488
21-Aug-14,2.59,2.60,2.58,2.59,1625
20-Aug-14,2.57,2.61,2.55,2.59,9771
19-Aug-14,2.52,2.62,2.52,2.59,21738
18-Aug-14,2.62,2.66,2.54,2.56,111011
15-Aug-14,2.58,2.64,2.58,2.58,51495
14-Aug-14,2.58,2.61,2.58,2.58,22823
13-Aug-14,2.57,2.63,2.54,2.56,25103
12-Aug-14,2.57,2.61,2.54,2.59,10200
11-Aug-14,2.53,2.61,2.53,2.57,7773
8-Aug-14,2.61,2.67,2.53,2.54,26800
7-Aug-14,2.57,2.59,2.53,2.58,5250
6-Aug-14,2.53,2.59,2.53,2.56,5714
5-Aug-14,2.58,2.58,2.49,2.52,27213
4-Aug-14,2.56,2.62,2.55,2.56,17890
