Date,Open,High,Low,Close,Volume
23-Oct-14,65.55,67.81,65.55,66.30,78029
22-Oct-14,65.41,65.43,64.77,65.19,85655
21-Oct-14,65.91,66.03,65.07,65.50,82678
20-Oct-14,64.03,67.03,64.03,65.40,168267
17-Oct-14,63.90,64.79,63.46,64.15,167620
16-Oct-14,61.97,63.56,60.33,63.06,114952
15-Oct-14,59.75,63.14,59.19,62.79,196559
14-Oct-14,59.53,60.25,59.06,60.15,178987
13-Oct-14,57.62,60.14,57.27,59.10,184813
10-Oct-14,58.67,59.50,57.28,57.75,248533
9-Oct-14,60.10,60.18,58.87,58.97,137030
8-Oct-14,59.28,60.67,58.93,60.19,97292
7-Oct-14,59.67,59.80,59.17,59.25,122624
6-Oct-14,60.09,60.36,59.68,60.04,88799
3-Oct-14,60.71,60.71,59.62,59.84,115542
2-Oct-14,60.29,60.93,59.83,60.24,87637
1-Oct-14,59.85,60.42,58.91,60.08,98279
30-Sep-14,59.52,60.74,59.47,59.88,106540
29-Sep-14,58.67,59.74,58.51,59.36,53080
26-Sep-14,59.37,59.57,58.79,59.23,53175
25-Sep-14,59.49,59.58,58.16,59.14,107899
24-Sep-14,59.64,59.94,59.07,59.53,134972
23-Sep-14,59.76,60.62,59.27,59.44,110186
22-Sep-14,59.75,60.48,59.22,59.82,111675
19-Sep-14,60.90,60.90,59.43,60.10,164086
18-Sep-14,60.45,60.99,59.99,60.89,119413
17-Sep-14,60.02,60.73,59.70,60.02,63472
16-Sep-14,60.03,60.35,59.35,59.91,89644
15-Sep-14,60.39,60.55,59.36,60.11,87552
12-Sep-14,60.46,60.46,59.58,60.26,84801
11-Sep-14,59.02,60.87,59.02,60.30,94160
10-Sep-14,59.04,59.73,58.98,59.43,103603
9-Sep-14,59.56,60.35,59.01,59.05,121257
8-Sep-14,59.97,60.47,59.09,59.84,76513
5-Sep-14,59.39,60.55,59.21,60.15,88881
4-Sep-14,59.25,59.99,59.04,59.60,101885
3-Sep-14,60.96,61.12,59.21,59.30,96172
2-Sep-14,60.72,61.17,59.61,60.68,92890
29-Aug-14,59.76,60.98,59.13,60.72,72486
28-Aug-14,60.15,60.75,59.41,59.69,57658
27-Aug-14,59.49,61.58,59.49,60.54,136834
26-Aug-14,59.57,61.49,59.43,59.51,106709
25-Aug-14,60.05,60.54,59.38,59.46,68575
22-Aug-14,59.95,60.63,59.43,59.85,115387
21-Aug-14,60.52,60.61,59.60,60.11,111154
20-Aug-14,60.09,60.94,59.40,60.54,71007
19-Aug-14,60.05,61.26,59.50,60.53,118601
18-Aug-14,59.17,60.36,58.75,60.07,135802
15-Aug-14,58.93,59.34,58.29,58.88,142784
14-Aug-14,59.00,59.00,57.41,58.51,125713
13-Aug-14,57.53,57.97,56.68,57.66,109364
12-Aug-14,58.02,58.02,56.98,57.39,89326
11-Aug-14,56.60,58.98,56.20,58.02,207926
8-Aug-14,56.13,56.64,55.54,56.27,64306
7-Aug-14,56.42,56.76,55.40,56.17,147137
6-Aug-14,55.88,56.57,55.42,56.11,158053
5-Aug-14,56.77,58.21,55.92,56.03,248050
4-Aug-14,56.45,57.48,54.76,57.12,240706
1-Aug-14,53.46,57.03,52.50,56.04,311939
31-Jul-14,51.36,53.96,49.50,51.82,213283
30-Jul-14,51.53,51.53,50.74,51.27,189021
29-Jul-14,47.83,51.46,47.83,51.11,155272
28-Jul-14,48.54,48.65,47.47,47.70,180954
25-Jul-14,49.27,50.01,48.55,48.66,104287
24-Jul-14,49.47,50.06,48.95,49.73,89463
23-Jul-14,50.42,50.42,49.35,49.39,67749
22-Jul-14,49.65,51.08,48.94,50.41,100634
21-Jul-14,51.08,51.80,48.96,49.47,107359
18-Jul-14,50.22,51.82,50.06,51.40,80780
17-Jul-14,50.25,50.90,50.01,50.38,82132
16-Jul-14,50.90,51.32,50.18,50.66,108061
15-Jul-14,51.42,52.35,50.66,50.78,115175
14-Jul-14,52.93,53.21,51.22,51.60,154798
11-Jul-14,52.75,53.10,51.04,52.50,102050
10-Jul-14,51.92,53.52,51.92,52.87,142601
9-Jul-14,51.43,53.25,51.15,52.98,115225
8-Jul-14,52.16,52.30,50.96,51.20,177055
7-Jul-14,53.03,53.28,52.02,52.33,95334
3-Jul-14,53.03,54.20,53.03,53.28,38505
2-Jul-14,53.64,54.71,52.70,53.00,76417
1-Jul-14,52.59,55.07,52.55,53.88,173245
30-Jun-14,52.50,53.10,51.70,52.51,95991
27-Jun-14,52.62,53.28,51.93,52.64,212653
26-Jun-14,52.98,53.45,52.33,52.94,95848
25-Jun-14,52.44,53.32,52.14,53.14,166050
