Date,Open,High,Low,Close,Volume
23-Oct-14,3.59,3.87,3.59,3.86,21326
22-Oct-14,3.59,3.64,3.49,3.55,28515
21-Oct-14,3.39,3.63,3.22,3.61,69458
20-Oct-14,3.47,3.53,3.39,3.47,13528
17-Oct-14,3.59,3.59,3.44,3.49,54341
16-Oct-14,3.64,3.64,3.49,3.51,36089
15-Oct-14,3.52,3.63,3.49,3.54,37991
14-Oct-14,3.56,3.69,3.42,3.50,57980
13-Oct-14,3.62,3.79,3.54,3.55,13190
10-Oct-14,3.90,3.92,3.60,3.64,96228
9-Oct-14,4.04,4.04,3.85,3.85,36200
8-Oct-14,4.07,4.11,3.99,4.07,27177
7-Oct-14,4.17,4.32,4.10,4.12,19809
6-Oct-14,4.34,4.35,4.06,4.12,29105
3-Oct-14,4.28,4.55,4.24,4.27,12836
2-Oct-14,4.35,4.48,4.20,4.27,33954
1-Oct-14,4.66,4.66,4.30,4.40,37695
30-Sep-14,4.27,4.66,4.16,4.63,68376
29-Sep-14,4.13,4.44,4.06,4.21,76424
26-Sep-14,4.06,4.13,3.97,4.11,22979
25-Sep-14,4.04,4.09,3.95,4.09,26434
24-Sep-14,3.90,4.08,3.83,4.00,71403
23-Sep-14,3.82,4.00,3.75,3.90,78893
22-Sep-14,3.75,3.85,3.75,3.78,81331
19-Sep-14,3.92,3.92,3.80,3.87,149217
18-Sep-14,3.92,4.05,3.77,3.78,32284
17-Sep-14,3.88,4.11,3.82,3.94,241090
16-Sep-14,3.88,4.04,3.79,3.83,170158
15-Sep-14,4.10,4.10,3.96,3.99,19980
12-Sep-14,4.00,4.10,3.95,4.09,46736
11-Sep-14,4.14,4.14,4.00,4.04,194302
10-Sep-14,4.91,4.91,3.95,4.15,444676
9-Sep-14,4.77,4.93,4.75,4.91,25555
8-Sep-14,4.55,4.98,4.55,4.89,27377
5-Sep-14,4.43,4.97,4.43,4.75,17908
4-Sep-14,4.82,4.89,4.78,4.81,19288
3-Sep-14,4.82,4.82,4.76,4.81,10110
2-Sep-14,4.75,4.85,4.60,4.84,17982
29-Aug-14,4.80,4.88,4.75,4.75,20049
28-Aug-14,4.80,4.98,4.55,4.75,43254
27-Aug-14,4.75,4.98,4.75,4.85,43115
26-Aug-14,4.69,4.81,4.60,4.76,46261
25-Aug-14,4.34,4.70,4.20,4.64,77248
22-Aug-14,4.39,4.45,4.33,4.33,5902
21-Aug-14,4.40,4.45,4.39,4.43,9008
20-Aug-14,4.49,4.55,4.38,4.39,9882
19-Aug-14,4.34,4.72,4.34,4.37,38920
18-Aug-14,4.53,4.54,4.22,4.32,52772
15-Aug-14,4.63,4.65,4.44,4.52,7004
14-Aug-14,4.62,4.70,4.55,4.59,8420
13-Aug-14,4.50,4.60,4.45,4.59,22920
12-Aug-14,4.44,4.66,4.42,4.50,22568
11-Aug-14,4.55,4.57,4.33,4.41,19916
8-Aug-14,4.60,4.63,4.42,4.55,19410
7-Aug-14,4.69,4.69,4.50,4.65,9735
6-Aug-14,4.73,4.73,4.53,4.68,15501
5-Aug-14,4.65,4.84,4.65,4.82,13170
4-Aug-14,4.80,4.94,4.59,4.62,16208
1-Aug-14,5.00,5.01,4.71,4.71,50228
31-Jul-14,5.00,5.03,5.00,5.00,26815
30-Jul-14,4.99,5.19,4.99,5.02,32435
29-Jul-14,5.20,5.20,4.82,5.06,27831
28-Jul-14,4.72,4.94,4.41,4.79,37076
25-Jul-14,5.04,5.13,4.59,4.72,129923
24-Jul-14,5.31,5.45,5.20,5.34,18298
23-Jul-14,5.21,5.35,5.21,5.31,12893
22-Jul-14,5.28,5.36,5.25,5.35,13686
21-Jul-14,5.35,5.59,5.26,5.34,12813
18-Jul-14,5.35,5.61,5.31,5.36,6614
17-Jul-14,5.40,5.46,5.21,5.35,40082
16-Jul-14,5.30,5.77,5.30,5.52,30207
15-Jul-14,5.35,5.41,5.21,5.27,15716
14-Jul-14,5.30,5.50,5.20,5.29,23743
11-Jul-14,5.30,5.50,5.22,5.25,8040
10-Jul-14,5.07,5.60,5.07,5.29,78868
9-Jul-14,5.03,5.22,5.03,5.06,23582
8-Jul-14,5.12,5.17,5.00,5.02,23521
7-Jul-14,5.06,5.36,5.06,5.13,39472
3-Jul-14,4.85,5.10,4.85,5.10,21042
2-Jul-14,4.79,4.99,4.79,4.89,25732
1-Jul-14,4.82,4.99,4.75,4.99,18415
30-Jun-14,4.64,4.85,4.64,4.80,10574
27-Jun-14,4.66,4.79,4.54,4.71,15218
26-Jun-14,4.47,4.75,4.47,4.62,15461
25-Jun-14,4.55,4.59,4.45,4.45,6963
24-Jun-14,4.52,4.73,4.45,4.53,44454
23-Jun-14,4.48,4.61,4.45,4.49,18186
20-Jun-14,4.68,4.68,4.47,4.49,35424
19-Jun-14,4.55,4.65,4.51,4.55,56280
18-Jun-14,4.66,4.87,4.41,4.42,91291
17-Jun-14,4.88,5.00,4.65,4.72,58595
16-Jun-14,4.91,4.93,4.84,4.85,18373
13-Jun-14,4.99,5.00,4.90,4.91,9576
12-Jun-14,4.93,5.00,4.83,4.97,29732
11-Jun-14,4.67,5.00,4.65,4.92,31727
10-Jun-14,4.62,4.80,4.36,4.75,27689
9-Jun-14,4.80,4.89,4.49,4.49,6818
6-Jun-14,4.75,5.00,4.75,4.76,23865
5-Jun-14,4.71,5.00,4.17,4.80,63198
4-Jun-14,4.52,4.78,4.32,4.63,28191
3-Jun-14,4.90,5.10,4.47,4.50,28092
2-Jun-14,5.04,5.10,4.81,4.83,31857
30-May-14,5.22,5.22,4.96,5.09,13942
29-May-14,4.96,5.32,4.74,5.32,132482
28-May-14,5.17,5.30,4.94,5.00,19963
27-May-14,5.35,5.36,5.00,5.30,82721
23-May-14,4.98,5.11,4.95,5.02,35021
22-May-14,4.99,5.10,4.95,5.01,44141
21-May-14,5.13,5.13,4.95,5.09,6317
20-May-14,5.15,5.15,5.00,5.13,11311
19-May-14,5.13,5.14,5.01,5.14,3131
16-May-14,4.85,5.23,4.85,5.17,47136
15-May-14,5.00,5.01,4.62,4.62,18243
14-May-14,5.09,5.11,5.01,5.01,10399
13-May-14,5.00,5.11,4.92,5.07,8411
12-May-14,4.65,5.03,4.62,5.03,112997
9-May-14,4.94,4.97,4.61,4.61,9060
