Date,Open,High,Low,Close,Volume
23-Oct-14,15.39,15.88,14.71,14.97,151832
22-Oct-14,15.40,15.49,15.29,15.35,29263
21-Oct-14,15.32,15.45,15.32,15.41,20111
20-Oct-14,15.36,15.58,15.27,15.39,36056
17-Oct-14,15.15,15.41,15.15,15.33,37201
16-Oct-14,14.75,15.34,14.75,15.11,59866
15-Oct-14,15.15,15.17,14.84,14.89,117745
14-Oct-14,15.24,15.24,15.01,15.18,69251
13-Oct-14,15.38,15.39,15.19,15.21,34060
10-Oct-14,15.43,15.43,15.35,15.37,46598
9-Oct-14,15.49,15.52,15.40,15.43,22319
8-Oct-14,15.54,15.54,15.45,15.49,23818
7-Oct-14,15.50,15.54,15.50,15.54,21852
6-Oct-14,15.54,15.59,15.50,15.51,20220
3-Oct-14,15.60,15.64,15.55,15.56,12024
2-Oct-14,15.56,15.57,15.45,15.50,22608
1-Oct-14,15.40,15.70,15.35,15.53,68244
30-Sep-14,15.58,15.60,15.35,15.39,85735
29-Sep-14,15.56,15.70,15.48,15.55,36256
26-Sep-14,15.71,15.77,15.61,15.62,58748
25-Sep-14,15.83,15.83,15.61,15.71,30995
24-Sep-14,15.69,15.84,15.62,15.83,82362
23-Sep-14,15.65,15.77,15.60,15.69,58531
22-Sep-14,15.85,16.03,15.70,15.79,56071
19-Sep-14,15.82,16.05,15.80,15.80,70469
18-Sep-14,15.78,15.91,15.72,15.75,25293
17-Sep-14,15.69,15.82,15.69,15.76,34596
16-Sep-14,15.75,16.22,15.69,15.72,42180
15-Sep-14,15.88,15.96,15.71,15.71,44179
12-Sep-14,15.99,16.06,15.85,15.92,49146
11-Sep-14,15.79,15.98,15.76,15.92,61192
10-Sep-14,15.76,15.86,15.72,15.82,70059
9-Sep-14,15.85,15.85,15.69,15.73,55656
8-Sep-14,15.87,16.12,15.70,15.78,102540
5-Sep-14,15.77,15.86,15.65,15.81,29690
4-Sep-14,15.77,15.91,15.77,15.80,35869
3-Sep-14,15.88,15.90,15.78,15.78,61856
2-Sep-14,15.83,15.97,15.82,15.87,64899
29-Aug-14,15.74,16.00,15.69,15.90,197647
28-Aug-14,15.72,15.77,15.66,15.68,99362
27-Aug-14,15.75,15.78,15.68,15.69,77924
26-Aug-14,15.84,15.91,15.68,15.69,68657
25-Aug-14,15.86,15.86,15.72,15.78,35318
22-Aug-14,15.76,15.80,15.64,15.78,93386
21-Aug-14,15.73,15.80,15.55,15.77,76017
20-Aug-14,15.80,15.85,15.66,15.71,91726
19-Aug-14,15.83,15.94,15.80,15.80,126353
18-Aug-14,16.17,16.25,15.95,15.97,101274
15-Aug-14,16.22,16.28,16.10,16.13,51338
14-Aug-14,16.12,16.31,16.10,16.20,42330
13-Aug-14,16.10,16.16,16.09,16.13,33583
12-Aug-14,16.10,16.15,15.90,16.09,61706
11-Aug-14,16.21,16.37,16.10,16.15,74771
8-Aug-14,16.24,16.32,16.14,16.26,29400
7-Aug-14,16.24,16.34,16.22,16.28,31349
6-Aug-14,16.13,16.31,16.13,16.24,32766
5-Aug-14,16.16,16.25,16.14,16.23,52289
4-Aug-14,16.30,16.33,16.15,16.15,81359
1-Aug-14,16.32,16.45,16.30,16.32,44379
31-Jul-14,16.49,16.60,16.31,16.31,69732
30-Jul-14,16.63,16.63,16.52,16.54,31451
29-Jul-14,16.60,16.67,16.60,16.60,24931
28-Jul-14,16.63,16.68,16.62,16.64,30068
25-Jul-14,16.64,16.71,16.63,16.63,45341
24-Jul-14,16.60,16.72,16.55,16.66,11103
23-Jul-14,16.60,16.68,16.50,16.61,15566
22-Jul-14,16.56,16.76,16.49,16.62,66715
21-Jul-14,16.80,16.95,16.58,16.65,85612
18-Jul-14,16.85,16.99,16.80,16.80,31377
17-Jul-14,16.95,16.96,16.82,16.82,35244
16-Jul-14,17.00,17.06,16.93,16.97,24198
15-Jul-14,16.81,17.11,16.81,16.98,55120
14-Jul-14,16.86,16.92,16.76,16.85,30988
11-Jul-14,16.83,16.89,16.79,16.83,31337
10-Jul-14,16.72,16.85,16.72,16.84,64520
9-Jul-14,16.78,16.94,16.78,16.78,62730
8-Jul-14,17.00,17.00,16.76,16.77,108682
7-Jul-14,17.00,17.07,16.95,17.01,62069
3-Jul-14,17.11,17.11,16.93,17.04,65409
2-Jul-14,17.01,17.10,16.95,17.10,37859
1-Jul-14,16.95,17.10,16.91,17.03,85132
30-Jun-14,16.86,17.10,16.71,16.88,113777
27-Jun-14,16.78,17.05,16.74,16.88,1792892
26-Jun-14,16.75,16.90,16.67,16.87,64428
25-Jun-14,16.65,16.75,16.60,16.72,61765
24-Jun-14,16.85,16.94,16.56,16.69,127439
23-Jun-14,16.89,16.89,16.75,16.82,58147
20-Jun-14,16.96,17.15,16.83,16.86,140691
19-Jun-14,16.91,16.96,16.72,16.89,41713
18-Jun-14,16.47,16.96,16.40,16.92,81842
17-Jun-14,16.58,16.70,16.47,16.49,105246
16-Jun-14,16.60,16.75,16.59,16.70,53692
13-Jun-14,16.77,16.81,16.52,16.60,40035
12-Jun-14,16.66,16.79,16.60,16.72,42199
11-Jun-14,16.50,16.74,16.50,16.70,50704
10-Jun-14,16.67,16.71,16.51,16.60,63373
9-Jun-14,16.59,16.66,16.40,16.62,42411
6-Jun-14,16.60,16.64,16.34,16.54,81272
5-Jun-14,16.55,16.66,16.44,16.60,30493
4-Jun-14,16.45,16.67,16.45,16.56,52395
3-Jun-14,16.52,16.59,16.36,16.55,71138
2-Jun-14,16.70,16.93,16.49,16.50,110668
30-May-14,16.90,16.94,16.42,16.76,69082
29-May-14,17.14,17.20,16.78,16.83,39216
28-May-14,17.11,17.11,16.86,17.01,22766
27-May-14,17.48,17.48,17.05,17.24,47287
23-May-14,17.02,17.39,16.87,17.36,40052
22-May-14,16.79,17.11,16.63,16.95,52062
21-May-14,16.74,16.85,16.61,16.70,39958
20-May-14,16.68,16.85,16.59,16.65,53007
19-May-14,16.59,16.86,16.59,16.82,46251
16-May-14,16.54,16.71,16.37,16.60,46882
15-May-14,16.64,16.88,16.46,16.61,35937
14-May-14,16.55,16.93,16.28,16.73,92050
13-May-14,16.77,16.77,16.52,16.60,55531
12-May-14,16.49,16.87,16.38,16.76,49274
9-May-14,16.23,16.42,16.21,16.38,45376
8-May-14,16.43,16.58,16.25,16.29,42231
7-May-14,16.54,16.88,16.31,16.35,53042
6-May-14,16.25,16.72,16.25,16.35,53223
5-May-14,16.29,16.37,16.25,16.32,39064
2-May-14,16.43,16.43,16.30,16.40,29875
1-May-14,16.50,16.55,16.08,16.35,76138
30-Apr-14,16.48,17.09,16.48,16.55,70004
29-Apr-14,16.60,16.64,16.46,16.49,35195
28-Apr-14,16.85,16.90,16.40,16.49,51641
25-Apr-14,16.84,16.98,16.71,16.76,47401
24-Apr-14,16.93,17.16,16.88,16.92,29105
23-Apr-14,17.12,17.15,16.83,16.88,37335
22-Apr-14,16.99,17.14,16.99,17.10,29219
21-Apr-14,17.11,17.24,17.10,17.11,31879
17-Apr-14,17.24,17.42,17.15,17.15,39597
16-Apr-14,17.34,17.69,17.15,17.21,34155
15-Apr-14,17.31,17.65,17.05,17.28,22086
14-Apr-14,17.48,17.52,17.19,17.28,32255
11-Apr-14,17.60,17.69,17.28,17.38,68414
