Date,Open,High,Low,Close,Volume
23-Oct-14,3.46,3.52,3.46,3.50,36302
22-Oct-14,3.43,3.46,3.40,3.46,8555
21-Oct-14,3.45,3.46,3.33,3.45,32585
20-Oct-14,3.34,3.46,3.27,3.39,7035
17-Oct-14,3.40,3.49,3.29,3.37,17517
16-Oct-14,3.41,3.42,3.33,3.38,31232
15-Oct-14,3.60,3.60,3.32,3.41,123504
14-Oct-14,3.35,3.46,3.31,3.44,47604
13-Oct-14,3.30,3.31,3.25,3.31,30454
10-Oct-14,3.28,3.36,3.19,3.27,21948
9-Oct-14,3.31,3.35,3.25,3.31,78615
8-Oct-14,3.33,3.37,3.25,3.30,121517
7-Oct-14,3.44,3.44,3.29,3.35,33799
6-Oct-14,3.43,3.48,3.38,3.41,72065
3-Oct-14,3.38,3.43,3.38,3.41,18092
2-Oct-14,3.33,3.44,3.32,3.37,41932
1-Oct-14,3.42,3.43,3.37,3.43,16828
30-Sep-14,3.38,3.42,3.36,3.41,71819
29-Sep-14,3.37,3.42,3.34,3.39,12391
26-Sep-14,3.36,3.39,3.36,3.39,17436
25-Sep-14,3.40,3.40,3.37,3.39,12770
24-Sep-14,3.34,3.46,3.34,3.39,51096
23-Sep-14,3.34,3.34,3.30,3.34,15724
22-Sep-14,3.26,3.35,3.25,3.31,50179
19-Sep-14,3.31,3.35,3.27,3.31,88137
18-Sep-14,3.28,3.31,3.24,3.31,37920
17-Sep-14,3.27,3.29,3.21,3.25,25485
16-Sep-14,3.12,3.25,3.12,3.25,57763
15-Sep-14,3.23,3.27,3.15,3.27,59460
12-Sep-14,3.14,3.40,3.14,3.27,211383
11-Sep-14,3.11,3.14,3.05,3.13,85255
10-Sep-14,3.15,3.15,3.10,3.12,16842
9-Sep-14,3.13,3.18,3.11,3.16,48507
8-Sep-14,3.09,3.13,3.09,3.11,11697
5-Sep-14,3.13,3.16,3.08,3.09,34606
4-Sep-14,3.09,3.13,3.09,3.11,20657
3-Sep-14,3.05,3.13,3.05,3.11,27792
2-Sep-14,3.05,3.07,3.05,3.05,18509
29-Aug-14,3.07,3.07,3.04,3.04,13758
28-Aug-14,3.10,3.13,3.05,3.05,39681
27-Aug-14,3.12,3.14,3.09,3.13,26756
26-Aug-14,3.13,3.14,3.10,3.12,31143
25-Aug-14,3.07,3.19,3.07,3.14,111706
22-Aug-14,3.02,3.09,3.01,3.09,112829
21-Aug-14,3.04,3.07,3.01,3.07,95616
20-Aug-14,3.01,3.05,3.00,3.05,71696
19-Aug-14,3.04,3.04,3.00,3.03,95252
18-Aug-14,3.01,3.08,3.01,3.05,137658
15-Aug-14,3.07,3.09,3.01,3.01,8678
14-Aug-14,3.10,3.10,3.03,3.08,38698
13-Aug-14,3.09,3.10,3.06,3.08,9224
12-Aug-14,3.08,3.11,3.08,3.11,56610
11-Aug-14,3.06,3.13,3.06,3.08,37638
8-Aug-14,3.10,3.15,3.08,3.08,33400
7-Aug-14,3.10,3.14,3.08,3.08,73188
6-Aug-14,3.09,3.14,3.06,3.09,108625
5-Aug-14,3.10,3.10,3.05,3.06,31393
4-Aug-14,3.05,3.09,3.01,3.07,65380
1-Aug-14,3.10,3.12,3.01,3.01,33496
31-Jul-14,3.10,3.12,3.04,3.12,300108
30-Jul-14,3.12,3.13,3.09,3.13,42135
29-Jul-14,3.10,3.13,3.10,3.13,45823
28-Jul-14,3.06,3.11,3.06,3.10,42341
25-Jul-14,3.04,3.11,3.03,3.08,50588
24-Jul-14,3.06,3.13,3.05,3.07,36952
23-Jul-14,3.05,3.14,3.04,3.06,113008
22-Jul-14,2.99,3.06,2.99,3.03,103906
21-Jul-14,2.97,3.00,2.97,2.98,24718
18-Jul-14,3.00,3.00,2.95,2.96,48459
17-Jul-14,2.99,3.01,2.97,2.98,59243
16-Jul-14,3.00,3.04,2.99,2.99,126701
15-Jul-14,3.00,3.04,2.99,3.00,41620
14-Jul-14,3.03,3.04,2.98,3.02,99423
11-Jul-14,3.00,3.03,2.99,3.02,64377
10-Jul-14,3.00,3.03,2.99,3.00,160266
9-Jul-14,3.02,3.05,2.98,2.98,174036
8-Jul-14,3.02,3.07,2.97,2.99,137549
7-Jul-14,3.02,3.09,2.97,3.04,68596
3-Jul-14,3.02,3.04,2.97,3.04,111177
2-Jul-14,3.06,3.13,2.97,3.04,203748
1-Jul-14,3.11,3.15,3.06,3.09,226343
30-Jun-14,3.18,3.19,3.06,3.10,194551
27-Jun-14,3.18,3.27,3.13,3.22,157504
26-Jun-14,3.17,3.21,3.17,3.17,38801
25-Jun-14,3.12,3.19,3.11,3.15,52228
24-Jun-14,3.14,3.19,3.10,3.13,48083
23-Jun-14,3.10,3.18,3.06,3.14,75901
20-Jun-14,3.12,3.15,3.12,3.12,17844
19-Jun-14,3.18,3.18,3.11,3.14,40364
18-Jun-14,3.11,3.15,3.11,3.14,38653
17-Jun-14,3.03,3.15,3.03,3.15,61176
16-Jun-14,3.11,3.15,3.05,3.06,42461
13-Jun-14,3.19,3.19,3.07,3.08,21435
12-Jun-14,3.07,3.16,3.03,3.13,35383
11-Jun-14,3.15,3.20,3.02,3.05,137103
10-Jun-14,3.40,3.43,3.05,3.15,151878
9-Jun-14,3.37,3.45,3.30,3.44,107929
6-Jun-14,3.40,3.40,3.29,3.35,47670
5-Jun-14,3.26,3.40,3.22,3.39,43919
4-Jun-14,3.24,3.30,3.22,3.28,38657
3-Jun-14,3.25,3.25,3.21,3.23,15995
2-Jun-14,3.29,3.32,3.23,3.25,61750
30-May-14,3.30,3.30,3.23,3.26,17189
29-May-14,3.38,3.40,3.25,3.34,49375
28-May-14,3.37,3.40,3.28,3.36,19375
27-May-14,3.46,3.46,3.38,3.39,20172
23-May-14,3.40,3.45,3.35,3.42,34136
22-May-14,3.38,3.45,3.35,3.42,16314
21-May-14,3.41,3.41,3.38,3.41,21164
20-May-14,3.44,3.45,3.32,3.42,27933
19-May-14,3.48,3.48,3.40,3.47,26119
16-May-14,3.45,3.48,3.40,3.48,23703
15-May-14,3.42,3.47,3.38,3.47,22488
14-May-14,3.48,3.48,3.34,3.43,9780
13-May-14,3.40,3.50,3.40,3.47,48265
12-May-14,3.31,3.50,3.31,3.46,81354
9-May-14,3.32,3.35,3.28,3.33,42623
8-May-14,3.34,3.34,3.28,3.31,28481
7-May-14,3.39,3.40,3.27,3.32,36114
6-May-14,3.35,3.39,3.34,3.39,22351
5-May-14,3.35,3.37,3.33,3.36,36013
2-May-14,3.31,3.36,3.30,3.35,17590
1-May-14,3.31,3.35,3.30,3.31,9179
30-Apr-14,3.33,3.36,3.30,3.33,33413
29-Apr-14,3.37,3.44,3.35,3.35,58978
28-Apr-14,3.40,3.41,3.34,3.38,86393
25-Apr-14,3.40,3.45,3.37,3.39,79927
24-Apr-14,3.42,3.45,3.38,3.40,43565
23-Apr-14,3.32,3.40,3.32,3.40,80115
22-Apr-14,3.36,3.40,3.29,3.34,77027
21-Apr-14,3.34,3.37,3.30,3.33,58933
17-Apr-14,3.33,3.40,3.30,3.31,51931
16-Apr-14,3.34,3.42,3.20,3.37,70082
15-Apr-14,3.36,3.36,3.30,3.33,74931
14-Apr-14,3.35,3.36,3.32,3.35,103975
11-Apr-14,3.32,3.36,3.30,3.32,170281
