Date,Open,High,Low,Close,Volume
23-Oct-14,26.04,26.19,25.92,26.06,262254
22-Oct-14,26.11,26.11,25.79,25.81,103479
21-Oct-14,25.75,26.03,25.63,26.03,285545
20-Oct-14,25.23,25.52,25.10,25.49,115484
17-Oct-14,25.46,25.64,25.35,25.50,139257
16-Oct-14,25.00,25.35,24.75,25.18,215756
15-Oct-14,25.06,25.33,24.64,25.27,606121
14-Oct-14,25.44,25.65,25.29,25.37,180412
13-Oct-14,25.54,25.71,25.24,25.25,232617
10-Oct-14,26.10,26.31,25.56,25.58,274781
9-Oct-14,26.76,26.81,26.31,26.36,181638
8-Oct-14,26.40,26.87,26.20,26.84,206409
7-Oct-14,26.66,26.70,26.36,26.38,104942
6-Oct-14,26.93,26.98,26.71,26.79,101274
3-Oct-14,26.71,26.89,26.62,26.80,281502
2-Oct-14,26.60,26.66,26.32,26.60,190342
1-Oct-14,27.00,27.23,26.59,26.64,274194
30-Sep-14,27.09,27.18,26.94,27.08,735186
29-Sep-14,26.90,27.09,26.71,27.05,1058128
26-Sep-14,26.95,27.16,26.86,27.10,234699
25-Sep-14,27.39,27.39,26.88,26.91,348898
24-Sep-14,27.28,27.46,27.17,27.45,113984
23-Sep-14,27.43,27.48,27.31,27.32,108937
22-Sep-14,27.71,27.73,27.54,27.61,185777
19-Sep-14,28.01,28.22,27.66,27.75,149219
18-Sep-14,27.85,27.93,27.78,27.93,411304
17-Sep-14,27.67,27.87,27.65,27.74,143030
16-Sep-14,27.50,27.77,27.49,27.74,125491
15-Sep-14,27.73,27.73,27.47,27.56,86126
12-Sep-14,27.81,27.81,27.61,27.69,124278
11-Sep-14,27.68,27.85,27.59,27.85,377658
10-Sep-14,27.72,27.82,27.62,27.80,109989
9-Sep-14,27.85,27.90,27.65,27.71,102716
8-Sep-14,27.83,27.91,27.68,27.81,137761
5-Sep-14,27.74,27.83,27.69,27.83,104065
4-Sep-14,27.76,27.87,27.62,27.70,97568
3-Sep-14,27.85,27.85,27.70,27.73,174841
2-Sep-14,27.87,27.87,27.63,27.73,179005
29-Aug-14,27.73,27.79,27.64,27.77,99533
28-Aug-14,27.65,27.71,27.53,27.68,89136
27-Aug-14,27.72,27.72,27.59,27.70,132869
26-Aug-14,27.67,27.68,27.59,27.64,211513
25-Aug-14,27.71,27.85,27.52,27.58,102935
22-Aug-14,27.66,27.66,27.53,27.56,190498
21-Aug-14,27.51,27.62,27.42,27.60,118231
20-Aug-14,27.40,27.45,27.34,27.42,130970
19-Aug-14,27.39,27.39,27.30,27.39,161388
18-Aug-14,27.26,27.29,27.17,27.27,112414
15-Aug-14,27.18,27.20,26.92,27.15,105154
14-Aug-14,26.97,27.05,26.95,27.05,244951
13-Aug-14,26.94,27.01,26.85,27.01,97356
12-Aug-14,26.79,26.82,26.64,26.81,113009
11-Aug-14,26.74,26.84,26.70,26.78,126913
8-Aug-14,26.40,26.60,26.33,26.59,211844
7-Aug-14,26.69,26.69,26.34,26.40,177144
6-Aug-14,26.50,26.72,26.45,26.60,77449
5-Aug-14,26.78,26.79,26.50,26.62,83876
4-Aug-14,26.77,26.92,26.65,26.89,185159
1-Aug-14,26.84,26.91,26.58,26.70,99193
31-Jul-14,27.06,27.14,26.83,26.87,173724
30-Jul-14,27.36,27.36,27.11,27.25,75936
29-Jul-14,27.48,27.50,27.24,27.26,148192
28-Jul-14,27.21,27.28,27.00,27.25,83299
25-Jul-14,27.26,27.26,27.04,27.11,95310
24-Jul-14,27.25,27.33,27.21,27.28,159870
23-Jul-14,27.42,27.43,27.29,27.33,99255
22-Jul-14,27.30,27.46,27.28,27.41,119978
21-Jul-14,27.18,27.25,27.04,27.20,204044
18-Jul-14,27.08,27.23,27.02,27.20,99518
17-Jul-14,27.28,27.32,26.93,27.00,125527
16-Jul-14,27.16,27.36,27.12,27.33,216840
15-Jul-14,26.90,27.00,26.72,26.86,70753
14-Jul-14,26.92,26.99,26.89,26.92,83565
11-Jul-14,26.78,26.81,26.69,26.79,46817
10-Jul-14,26.51,26.84,26.50,26.73,119668
9-Jul-14,26.75,26.83,26.66,26.80,79340
8-Jul-14,26.91,26.93,26.60,26.72,89732
7-Jul-14,26.92,26.92,26.82,26.89,129332
3-Jul-14,26.79,26.94,26.77,26.88,88127
2-Jul-14,26.75,26.77,26.67,26.77,78870
1-Jul-14,26.48,26.77,26.45,26.69,61277
30-Jun-14,26.46,26.53,26.40,26.48,110701
27-Jun-14,26.27,26.43,26.22,26.43,86017
26-Jun-14,26.34,26.34,26.12,26.31,136526
25-Jun-14,26.21,26.34,26.12,26.31,555583
24-Jun-14,26.34,26.48,26.16,26.26,87702
23-Jun-14,26.55,26.56,26.44,26.54,99345
20-Jun-14,26.54,26.57,26.45,26.54,81154
19-Jun-14,26.62,26.62,26.49,26.59,85188
18-Jun-14,26.55,26.63,26.40,26.62,146444
17-Jun-14,26.50,26.59,26.46,26.55,71467
16-Jun-14,26.45,26.57,26.40,26.50,124381
13-Jun-14,26.35,26.50,26.33,26.42,85235
12-Jun-14,26.24,26.36,26.10,26.20,191470
11-Jun-14,26.40,26.45,26.27,26.32,105193
10-Jun-14,26.43,26.50,26.36,26.46,111184
9-Jun-14,26.35,26.50,26.35,26.41,77338
6-Jun-14,26.36,26.43,26.34,26.40,104867
5-Jun-14,26.09,26.29,26.03,26.28,121457
4-Jun-14,26.05,26.15,26.01,26.12,92098
3-Jun-14,26.02,26.10,25.95,26.08,70418
2-Jun-14,26.07,26.10,25.93,26.09,54675
30-May-14,25.98,26.03,25.92,25.98,144715
29-May-14,25.96,25.96,25.85,25.96,78656
28-May-14,25.92,25.95,25.86,25.90,81911
27-May-14,25.86,25.91,25.76,25.89,105758
23-May-14,25.54,25.76,25.54,25.76,54012
22-May-14,25.57,25.64,25.50,25.53,97583
21-May-14,25.50,25.55,25.42,25.53,90574
20-May-14,25.57,25.57,25.32,25.39,72875
19-May-14,25.41,25.61,25.37,25.60,64947
16-May-14,25.30,25.46,25.25,25.42,88847
15-May-14,25.43,25.53,25.25,25.33,88619
14-May-14,25.41,25.48,25.32,25.37,88957
13-May-14,25.55,25.55,25.41,25.48,275226
12-May-14,25.35,25.53,25.35,25.50,131061
9-May-14,25.25,25.25,25.10,25.25,83623
8-May-14,25.07,25.45,25.07,25.24,385536
7-May-14,25.16,25.20,24.90,25.20,109691
6-May-14,25.20,25.21,25.03,25.08,346251
5-May-14,25.03,25.20,25.01,25.19,84246
2-May-14,25.26,25.27,25.13,25.18,126150
1-May-14,25.31,25.32,25.11,25.19,164364
30-Apr-14,25.19,25.35,25.13,25.30,64167
29-Apr-14,25.23,25.28,25.14,25.23,152754
28-Apr-14,24.96,25.16,24.81,25.08,80947
25-Apr-14,25.11,25.11,24.75,24.81,91969
24-Apr-14,25.22,25.25,25.03,25.14,120379
23-Apr-14,25.14,25.14,24.95,25.05,77873
22-Apr-14,25.18,25.23,25.11,25.21,59109
21-Apr-14,25.15,25.23,25.01,25.18,125711
17-Apr-14,24.90,25.14,24.86,25.10,95440
16-Apr-14,25.00,25.00,24.77,25.00,249297
15-Apr-14,24.87,24.97,24.55,24.86,82173
14-Apr-14,24.77,24.87,24.61,24.84,134717
11-Apr-14,24.78,24.92,24.60,24.64,151900
10-Apr-14,25.35,25.35,24.80,24.86,102287
9-Apr-14,25.15,25.34,25.08,25.32,61652
8-Apr-14,24.96,25.12,24.87,25.11,90653
7-Apr-14,24.95,25.09,24.92,24.98,212989
4-Apr-14,25.51,25.51,24.95,25.02,90695
3-Apr-14,25.39,25.49,25.28,25.35,60166
2-Apr-14,25.45,25.45,25.30,25.44,107381
1-Apr-14,25.18,25.44,25.16,25.39,1580816
31-Mar-14,25.08,25.22,25.02,25.12,64897
28-Mar-14,24.76,25.02,24.76,24.88,76987
27-Mar-14,24.69,24.86,24.51,24.67,58441
26-Mar-14,25.05,25.07,24.75,24.75,108258
25-Mar-14,24.64,24.89,24.64,24.87,452897
24-Mar-14,24.88,24.98,24.69,24.89,67249
21-Mar-14,25.00,25.09,24.79,24.84,66035
20-Mar-14,24.63,25.00,24.63,24.91,57118
19-Mar-14,24.65,24.84,24.59,24.70,65252
18-Mar-14,24.38,24.74,24.37,24.73,50224
17-Mar-14,24.18,24.46,24.18,24.41,50087
14-Mar-14,24.19,24.29,24.09,24.14,55803
13-Mar-14,24.64,24.64,24.15,24.23,84634
12-Mar-14,24.41,24.55,24.34,24.50,49356
11-Mar-14,24.60,24.67,24.40,24.49,44272
10-Mar-14,24.59,24.60,24.45,24.54,77112
7-Mar-14,24.72,24.72,24.50,24.57,66859
6-Mar-14,24.71,24.71,24.61,24.64,67552
5-Mar-14,24.69,24.69,24.60,24.65,39187
4-Mar-14,24.59,24.69,24.57,24.69,57823
3-Mar-14,24.32,24.39,24.13,24.31,92977
28-Feb-14,24.54,24.65,24.36,24.53,82807
27-Feb-14,24.37,24.53,24.30,24.53,65079
26-Feb-14,24.38,24.48,24.30,24.39,137875
25-Feb-14,24.44,24.44,24.26,24.32,95014
24-Feb-14,24.41,24.55,24.39,24.47,317113
21-Feb-14,24.51,24.54,24.35,24.37,3977238
20-Feb-14,24.27,24.46,24.24,24.44,57568
19-Feb-14,24.35,24.39,24.21,24.24,83250
18-Feb-14,24.30,24.40,24.26,24.35,59204
14-Feb-14,24.27,24.43,24.18,24.39,52953
13-Feb-14,24.01,24.31,24.01,24.31,94362
12-Feb-14,24.10,24.21,24.06,24.18,46817
11-Feb-14,23.79,24.14,23.79,24.03,154367
10-Feb-14,23.74,23.83,23.65,23.83,50894
7-Feb-14,23.59,23.78,23.48,23.75,83167
6-Feb-14,23.22,23.49,23.00,23.43,103557
5-Feb-14,23.14,23.28,23.00,23.14,51213
4-Feb-14,23.24,23.24,23.06,23.19,151031
3-Feb-14,23.55,23.64,23.10,23.16,229648
31-Jan-14,23.56,23.79,23.49,23.69,75646
30-Jan-14,23.60,23.72,23.54,23.72,53867
29-Jan-14,23.39,23.66,23.35,23.53,65061
28-Jan-14,23.69,23.69,23.50,23.60,144118
27-Jan-14,24.01,24.03,23.78,23.86,107667
24-Jan-14,24.35,24.35,24.01,24.07,84871
23-Jan-14,24.44,24.45,24.28,24.45,117081
22-Jan-14,24.55,24.62,24.49,24.56,48233
21-Jan-14,24.74,24.74,24.46,24.61,67362
17-Jan-14,24.62,24.68,24.53,24.62,151811
16-Jan-14,24.77,24.81,24.64,24.76,109257
15-Jan-14,24.61,24.80,24.58,24.74,70678
14-Jan-14,24.16,24.52,24.16,24.49,82497
13-Jan-14,24.28,24.38,24.00,24.07,104235
10-Jan-14,24.25,24.31,24.11,24.25,50009
9-Jan-14,24.50,24.50,24.07,24.18,79767
8-Jan-14,24.39,24.40,24.25,24.34,150437
7-Jan-14,24.35,24.45,24.31,24.42,90092
6-Jan-14,24.29,24.34,24.19,24.26,71199
3-Jan-14,24.43,24.43,24.25,24.32,152590
2-Jan-14,24.54,24.54,24.31,24.32,82526
31-Dec-13,24.59,24.68,24.54,24.67,63950
30-Dec-13,24.47,24.57,24.42,24.56,102000
27-Dec-13,24.77,24.77,24.45,24.52,142204
26-Dec-13,24.44,24.50,24.39,24.50,59874
24-Dec-13,24.31,24.40,24.28,24.32,40407
23-Dec-13,24.15,24.27,24.10,24.27,120710
20-Dec-13,23.90,24.05,23.90,24.04,105288
19-Dec-13,23.87,23.90,23.76,23.88,102833
18-Dec-13,23.68,23.87,23.39,23.87,191274
17-Dec-13,23.71,23.91,23.70,23.84,65965
16-Dec-13,23.57,23.82,23.57,23.77,86032
13-Dec-13,23.61,23.71,23.47,23.47,80468
12-Dec-13,23.80,23.83,23.63,23.68,107669
11-Dec-13,24.09,24.10,23.82,23.84,104867
10-Dec-13,24.04,24.15,24.03,24.08,123551
9-Dec-13,24.23,24.26,24.11,24.12,90059
6-Dec-13,24.04,24.18,24.02,24.14,64485
5-Dec-13,24.03,24.03,23.81,23.85,60043
4-Dec-13,23.91,24.07,23.83,23.96,72147
3-Dec-13,23.92,24.00,23.82,23.94,74317
2-Dec-13,24.08,24.08,23.86,23.87,106345
29-Nov-13,24.28,24.28,23.99,24.04,115499
27-Nov-13,24.00,24.00,23.85,23.98,117460
26-Nov-13,23.89,23.89,23.69,23.79,65415
25-Nov-13,23.79,23.81,23.70,23.76,73271
22-Nov-13,24.03,24.03,23.71,23.78,55074
21-Nov-13,23.99,23.99,23.65,23.87,143405
20-Nov-13,23.94,23.94,23.63,23.71,102683
19-Nov-13,23.89,23.90,23.60,23.73,113618
18-Nov-13,24.27,24.27,23.76,23.81,72295
15-Nov-13,23.86,23.93,23.75,23.93,69334
14-Nov-13,23.78,23.83,23.67,23.81,48065
13-Nov-13,23.73,24.05,23.73,24.05,38727
12-Nov-13,23.73,23.89,23.71,23.87,47566
11-Nov-13,23.76,23.82,23.71,23.81,62316
8-Nov-13,23.65,23.79,23.50,23.79,53206
7-Nov-13,23.90,23.90,23.56,23.57,48200
6-Nov-13,23.84,23.89,23.75,23.88,87965
5-Nov-13,23.69,23.78,23.60,23.72,62345
4-Nov-13,23.82,23.82,23.67,23.80,47243
1-Nov-13,23.71,23.78,23.57,23.72,104282
31-Oct-13,23.71,23.79,23.65,23.69,52250
30-Oct-13,23.80,23.82,23.62,23.72,39063
29-Oct-13,23.70,23.77,23.62,23.75,62240
28-Oct-13,23.61,23.61,23.47,23.59,114989
25-Oct-13,23.54,23.59,23.44,23.54,83383
24-Oct-13,23.36,23.39,23.23,23.32,92398
23-Oct-13,23.50,23.50,23.26,23.27,98169
22-Oct-13,23.55,23.55,23.39,23.49,86136
21-Oct-13,23.43,23.48,23.28,23.44,75770
18-Oct-13,23.26,23.35,23.17,23.33,76172
17-Oct-13,23.08,23.23,22.95,23.23,92400
16-Oct-13,23.11,23.25,23.10,23.19,105432
15-Oct-13,23.12,23.17,23.00,23.01,65993
14-Oct-13,22.94,23.17,22.90,23.14,100321
11-Oct-13,22.81,23.03,22.75,23.02,89080
10-Oct-13,22.62,22.86,22.61,22.85,80615
9-Oct-13,22.36,22.52,22.26,22.47,61449
8-Oct-13,22.56,22.63,22.32,22.33,42823
7-Oct-13,22.66,22.73,22.54,22.61,41333
4-Oct-13,22.62,22.76,22.58,22.73,49119
3-Oct-13,22.81,22.81,22.50,22.64,183088
2-Oct-13,22.67,22.81,22.61,22.81,65416
1-Oct-13,22.62,22.84,22.62,22.72,48751
30-Sep-13,22.48,22.65,22.25,22.54,87473
27-Sep-13,22.73,22.73,22.59,22.65,40443
26-Sep-13,22.93,22.99,22.78,22.83,41081
25-Sep-13,22.85,22.93,22.76,22.90,73770
24-Sep-13,22.82,22.94,22.75,22.83,58258
23-Sep-13,22.78,22.93,22.77,22.82,85912
20-Sep-13,23.02,23.02,22.73,22.80,66229
19-Sep-13,23.03,23.16,23.03,23.08,57794
18-Sep-13,22.78,23.11,22.78,23.08,115147
