Date,Open,High,Low,Close,Volume
23-Oct-14,31.87,32.20,31.61,32.03,27161
22-Oct-14,32.08,32.23,31.57,31.69,19518
21-Oct-14,31.80,32.19,31.68,31.98,25229
20-Oct-14,31.50,31.88,31.30,31.82,17187
17-Oct-14,32.40,32.40,31.50,31.51,24982
16-Oct-14,31.51,32.26,31.51,31.95,26449
15-Oct-14,31.59,32.07,31.51,31.85,43009
14-Oct-14,31.62,32.13,31.24,31.89,51424
13-Oct-14,31.11,31.88,31.00,31.54,24604
10-Oct-14,31.08,31.66,31.00,31.00,81212
9-Oct-14,31.50,31.52,31.12,31.17,16330
8-Oct-14,31.21,32.04,31.21,31.87,31639
7-Oct-14,31.30,31.63,31.21,31.23,31924
6-Oct-14,31.33,31.75,31.25,31.33,23135
3-Oct-14,31.37,31.59,31.15,31.34,28630
2-Oct-14,31.00,31.47,31.00,31.04,14284
1-Oct-14,30.95,31.44,30.82,30.99,29601
30-Sep-14,31.10,31.13,30.90,30.95,43523
29-Sep-14,31.06,31.32,31.06,31.22,20345
26-Sep-14,31.53,31.81,31.22,31.47,25010
25-Sep-14,31.70,31.70,31.39,31.49,24304
24-Sep-14,31.72,31.86,31.52,31.71,17974
23-Sep-14,32.00,32.16,31.68,31.73,26748
22-Sep-14,32.25,32.40,31.89,32.04,104022
19-Sep-14,33.27,33.44,32.26,32.27,52632
18-Sep-14,33.09,33.48,32.93,33.19,18562
17-Sep-14,32.94,33.37,32.69,32.89,39408
16-Sep-14,32.89,33.02,32.80,32.92,10594
15-Sep-14,32.91,32.94,32.32,32.81,31367
12-Sep-14,33.32,33.33,32.74,32.94,25594
11-Sep-14,33.12,33.38,32.93,33.32,19941
10-Sep-14,33.04,33.24,32.88,33.08,15587
9-Sep-14,32.99,33.01,32.69,32.75,21487
8-Sep-14,32.76,33.00,32.00,32.96,177723
5-Sep-14,32.35,32.76,32.30,32.66,18276
4-Sep-14,32.47,32.59,32.37,32.43,10375
3-Sep-14,32.75,32.96,32.15,32.27,35732
2-Sep-14,32.50,32.83,32.32,32.63,17739
29-Aug-14,32.04,32.46,32.02,32.32,22032
28-Aug-14,31.70,32.29,31.50,32.02,219569
27-Aug-14,31.96,31.96,31.71,31.76,10028
26-Aug-14,31.88,31.98,31.83,31.95,17933
25-Aug-14,31.74,31.98,31.71,31.81,23410
22-Aug-14,31.55,31.85,31.55,31.66,12599
21-Aug-14,31.70,31.91,31.42,31.51,25589
20-Aug-14,31.80,31.88,31.50,31.83,13694
19-Aug-14,31.75,31.94,31.69,31.84,8026
18-Aug-14,31.65,31.93,31.52,31.82,10823
15-Aug-14,32.18,32.18,30.95,31.26,37000
14-Aug-14,31.67,31.90,31.61,31.77,11572
13-Aug-14,31.70,31.72,31.57,31.63,12836
12-Aug-14,31.67,31.72,31.49,31.56,17886
11-Aug-14,31.51,31.97,31.38,31.71,10885
8-Aug-14,31.09,31.70,30.94,31.45,16117
7-Aug-14,31.24,31.40,30.95,31.14,7859
6-Aug-14,30.82,31.40,30.82,31.25,21041
5-Aug-14,30.69,30.92,30.60,30.92,10439
4-Aug-14,30.85,30.96,30.49,30.84,15071
