Date,Open,High,Low,Close,Volume
23-Oct-14,3.00,3.04,2.94,2.98,973748
22-Oct-14,3.00,3.02,2.93,2.97,427326
21-Oct-14,3.00,3.03,2.92,3.00,454728
20-Oct-14,2.99,3.02,2.89,2.99,622582
17-Oct-14,3.07,3.07,2.97,2.99,754681
16-Oct-14,2.99,3.11,2.97,3.00,724479
15-Oct-14,3.29,3.29,2.93,3.03,938909
14-Oct-14,3.00,3.10,2.95,3.02,603592
13-Oct-14,2.89,3.07,2.82,2.94,971058
10-Oct-14,3.07,3.16,2.86,2.90,1630769
9-Oct-14,3.25,3.26,3.08,3.10,528568
8-Oct-14,3.29,3.29,3.11,3.26,857940
7-Oct-14,3.40,3.40,3.29,3.29,536636
6-Oct-14,3.56,3.60,3.40,3.41,565366
3-Oct-14,3.61,3.63,3.50,3.56,338677
2-Oct-14,3.47,3.65,3.45,3.56,841427
1-Oct-14,3.60,3.60,3.40,3.45,910383
30-Sep-14,3.76,3.83,3.60,3.61,527628
29-Sep-14,3.73,3.91,3.73,3.75,363939
26-Sep-14,3.76,3.87,3.68,3.84,727238
25-Sep-14,3.88,3.91,3.72,3.76,658582
24-Sep-14,3.95,4.01,3.86,3.90,633519
23-Sep-14,3.94,4.01,3.88,3.91,703121
22-Sep-14,4.36,4.47,3.94,3.97,2878228
19-Sep-14,4.69,4.75,4.42,4.47,1082230
18-Sep-14,4.73,4.75,4.58,4.69,537106
17-Sep-14,4.58,4.75,4.56,4.68,664199
16-Sep-14,4.70,4.80,4.55,4.62,844307
15-Sep-14,4.91,4.94,4.66,4.73,777762
12-Sep-14,5.04,5.05,4.80,4.91,737846
11-Sep-14,5.00,5.10,4.83,5.03,1245850
10-Sep-14,4.80,4.96,4.75,4.96,1333895
9-Sep-14,5.37,5.41,4.76,4.80,7874789
8-Sep-14,4.12,4.73,4.05,4.61,2821645
5-Sep-14,4.12,4.12,3.90,3.96,613615
4-Sep-14,4.05,4.06,3.90,3.93,490099
