Date,Open,High,Low,Close,Volume
23-Oct-14,3.93,3.98,3.80,3.82,18931
22-Oct-14,3.95,3.95,3.81,3.91,12849
21-Oct-14,3.95,4.00,3.91,3.98,9788
20-Oct-14,3.89,3.90,3.86,3.90,5179
17-Oct-14,3.83,3.98,3.83,3.89,3635
16-Oct-14,3.76,3.82,3.75,3.81,9800
15-Oct-14,3.68,3.77,3.68,3.75,2670
14-Oct-14,3.87,3.90,3.74,3.78,10904
13-Oct-14,3.88,3.88,3.67,3.75,71372
10-Oct-14,3.92,3.95,3.80,3.87,35202
9-Oct-14,3.94,3.94,3.88,3.91,10662
8-Oct-14,4.02,4.02,3.86,3.99,15773
7-Oct-14,4.04,4.05,3.92,4.00,19200
6-Oct-14,4.00,4.02,3.93,4.00,10612
3-Oct-14,3.92,4.00,3.92,4.00,12101
2-Oct-14,3.91,3.96,3.83,3.87,11200
1-Oct-14,4.09,4.09,3.87,3.89,44082
30-Sep-14,4.03,4.09,3.98,4.07,18299
29-Sep-14,4.02,4.09,3.98,4.00,11900
26-Sep-14,4.02,4.10,3.95,4.01,38829
25-Sep-14,4.12,4.13,3.98,4.01,26180
24-Sep-14,4.07,4.13,3.99,4.11,32612
23-Sep-14,4.10,4.20,3.95,3.99,93556
22-Sep-14,4.02,4.16,4.01,4.03,41765
19-Sep-14,3.99,4.14,3.95,4.02,39525
18-Sep-14,3.98,4.16,3.98,4.00,73363
17-Sep-14,4.21,4.21,3.90,3.97,75587
16-Sep-14,4.26,4.26,4.07,4.17,40954
15-Sep-14,4.54,4.65,4.03,4.26,81262
12-Sep-14,4.59,4.70,4.36,4.57,157677
11-Sep-14,4.36,4.59,4.18,4.57,282921
10-Sep-14,4.23,4.47,4.06,4.30,153570
9-Sep-14,3.98,4.29,3.94,4.28,301036
8-Sep-14,3.94,3.94,3.85,3.87,30205
5-Sep-14,3.96,4.00,3.89,3.89,17267
4-Sep-14,4.00,4.01,3.90,3.95,48608
3-Sep-14,3.99,3.99,3.88,3.93,16183
2-Sep-14,4.06,4.06,3.94,3.96,29323
29-Aug-14,3.95,4.07,3.90,4.02,61735
28-Aug-14,3.95,4.10,3.95,3.96,30497
27-Aug-14,4.10,4.16,3.95,4.01,96022
26-Aug-14,4.00,4.05,3.92,4.05,25501
25-Aug-14,4.08,4.10,3.97,3.99,56938
22-Aug-14,4.01,4.24,3.90,3.93,42890
21-Aug-14,3.91,3.99,3.90,3.96,3150
20-Aug-14,4.05,4.15,3.91,3.98,12800
19-Aug-14,4.04,4.08,4.00,4.04,38333
18-Aug-14,4.06,4.10,3.90,3.91,35241
15-Aug-14,3.99,4.07,3.92,4.02,61717
14-Aug-14,4.00,4.18,3.95,4.00,67280
13-Aug-14,4.02,4.13,3.95,4.04,53023
12-Aug-14,3.95,4.14,3.89,4.07,21951
11-Aug-14,4.00,4.00,3.90,3.94,12259
8-Aug-14,3.98,3.98,3.90,3.90,16300
7-Aug-14,3.99,4.00,3.90,3.98,25293
6-Aug-14,3.90,4.05,3.90,3.94,52857
5-Aug-14,4.04,4.06,3.90,3.95,18614
4-Aug-14,4.08,4.30,3.95,3.98,64173
1-Aug-14,3.92,3.95,3.85,3.95,4719
31-Jul-14,4.09,4.20,3.77,4.00,63884
30-Jul-14,4.10,4.25,3.90,4.19,69000
29-Jul-14,4.14,4.20,4.04,4.13,25133
28-Jul-14,4.11,4.22,3.96,4.08,44554
25-Jul-14,4.11,4.22,3.96,4.17,28262
24-Jul-14,4.11,4.21,4.05,4.21,20100
23-Jul-14,4.27,4.45,3.94,4.03,63805
22-Jul-14,4.34,4.34,4.01,4.23,24281
21-Jul-14,4.10,4.33,4.10,4.27,42500
18-Jul-14,4.16,4.29,4.10,4.14,45792
17-Jul-14,4.19,4.33,4.10,4.20,57143
16-Jul-14,4.36,4.47,4.15,4.15,14864
15-Jul-14,4.46,4.46,4.15,4.31,53921
14-Jul-14,4.30,4.34,4.22,4.27,6131
11-Jul-14,4.33,4.33,4.18,4.26,5719
10-Jul-14,4.09,4.32,4.09,4.29,26299
9-Jul-14,4.27,4.27,4.12,4.23,21861
8-Jul-14,4.47,4.47,3.93,4.28,84188
7-Jul-14,4.18,4.20,4.07,4.09,12034
3-Jul-14,4.07,4.15,4.00,4.15,31934
2-Jul-14,4.05,4.10,3.98,3.99,5611
1-Jul-14,3.95,4.10,3.95,3.99,15881
30-Jun-14,3.77,4.10,3.77,3.94,118349
27-Jun-14,3.71,3.83,3.70,3.77,10219
26-Jun-14,3.65,3.70,3.65,3.69,9309
25-Jun-14,3.71,3.71,3.53,3.59,33088
24-Jun-14,3.80,3.80,3.64,3.67,8312
23-Jun-14,3.65,3.68,3.61,3.68,5424
20-Jun-14,3.66,3.68,3.62,3.63,23478
19-Jun-14,3.71,3.73,3.63,3.70,18525
18-Jun-14,3.73,3.75,3.60,3.74,18980
17-Jun-14,3.62,3.73,3.62,3.70,23386
16-Jun-14,3.65,3.70,3.56,3.64,54724
13-Jun-14,3.71,3.76,3.61,3.70,36420
12-Jun-14,3.78,3.90,3.75,3.80,36300
11-Jun-14,3.71,3.87,3.70,3.78,32438
10-Jun-14,3.70,3.74,3.66,3.74,17700
9-Jun-14,3.66,3.70,3.62,3.67,47359
6-Jun-14,3.75,3.84,3.65,3.69,30486
5-Jun-14,3.75,3.76,3.70,3.75,51377
4-Jun-14,3.62,3.72,3.62,3.70,62892
3-Jun-14,3.88,3.88,3.67,3.74,87111
2-Jun-14,3.85,3.90,3.80,3.87,74548
30-May-14,3.86,3.88,3.74,3.85,64542
29-May-14,4.00,4.00,3.86,3.86,25401
28-May-14,4.00,4.00,3.83,3.95,41058
27-May-14,3.94,4.24,3.90,4.01,46725
23-May-14,3.92,3.99,3.92,3.93,89636
22-May-14,3.97,4.02,3.82,3.85,16006
21-May-14,3.89,4.05,3.89,4.00,35950
20-May-14,4.05,4.06,3.81,3.95,23623
19-May-14,4.00,4.33,3.90,4.03,55054
16-May-14,4.10,4.16,3.87,3.98,82930
15-May-14,3.95,3.99,3.86,3.88,41638
14-May-14,3.98,4.22,3.90,3.96,134787
13-May-14,3.79,3.80,3.75,3.79,28705
12-May-14,3.75,3.80,3.65,3.77,32923
9-May-14,3.90,3.90,3.51,3.74,82293
8-May-14,3.95,3.99,3.80,3.85,34370
7-May-14,4.02,4.02,3.83,3.90,12363
6-May-14,3.92,4.18,3.92,3.96,3656
5-May-14,3.92,4.21,3.88,3.99,11021
2-May-14,4.00,4.05,3.82,4.00,16390
1-May-14,4.08,4.10,3.93,4.03,15106
30-Apr-14,4.03,4.07,3.90,3.99,25011
29-Apr-14,4.15,4.15,4.00,4.09,22886
28-Apr-14,4.11,4.14,4.10,4.13,10678
25-Apr-14,4.11,4.24,4.11,4.21,702
24-Apr-14,4.24,4.24,4.15,4.24,38500
23-Apr-14,4.23,4.25,4.20,4.24,42765
22-Apr-14,4.22,4.25,4.15,4.24,2700
21-Apr-14,4.27,4.50,4.17,4.22,9562
17-Apr-14,4.23,4.28,4.20,4.24,4400
16-Apr-14,4.13,4.33,4.06,4.25,48954
15-Apr-14,4.23,4.24,4.01,4.19,17244
14-Apr-14,4.21,4.23,4.20,4.23,1711
11-Apr-14,4.22,4.27,4.15,4.20,16245
10-Apr-14,4.32,4.32,4.20,4.28,8702
9-Apr-14,4.18,4.31,4.18,4.30,11051
8-Apr-14,4.29,4.29,4.15,4.23,22232
7-Apr-14,4.29,4.33,4.26,4.28,24502
4-Apr-14,4.36,4.36,4.32,4.34,8308
3-Apr-14,4.36,4.40,4.31,4.39,10550
2-Apr-14,4.35,4.43,4.30,4.40,45705
1-Apr-14,4.43,4.59,4.31,4.39,104498
31-Mar-14,4.51,4.67,4.36,4.44,73453
28-Mar-14,4.57,4.60,4.42,4.56,25279
27-Mar-14,4.66,4.68,4.49,4.60,60905
26-Mar-14,4.59,4.72,4.54,4.60,156359
25-Mar-14,4.40,4.69,4.38,4.61,74729
24-Mar-14,4.30,4.37,4.30,4.33,42550
21-Mar-14,4.56,4.56,4.25,4.33,40614
20-Mar-14,4.55,4.62,4.30,4.53,78808
19-Mar-14,4.60,4.63,4.47,4.51,47754
18-Mar-14,4.49,4.71,4.35,4.58,26097
17-Mar-14,4.57,4.57,4.44,4.47,58000
14-Mar-14,4.48,4.68,4.35,4.57,86024
13-Mar-14,4.13,4.37,4.11,4.33,52277
12-Mar-14,4.35,4.35,4.01,4.06,130131
11-Mar-14,4.52,4.53,4.31,4.33,66762
10-Mar-14,4.56,4.60,4.45,4.48,52315
7-Mar-14,4.70,4.70,4.53,4.57,46451
6-Mar-14,4.71,4.90,4.50,4.66,161442
5-Mar-14,5.08,5.14,4.72,4.77,190526
4-Mar-14,5.18,5.20,5.10,5.16,26406
3-Mar-14,5.19,5.19,5.10,5.18,12581
28-Feb-14,5.25,5.25,5.10,5.19,25730
27-Feb-14,5.25,5.28,5.17,5.21,12718
26-Feb-14,5.31,5.31,5.20,5.26,21322
25-Feb-14,5.35,5.36,5.16,5.28,26157
24-Feb-14,5.31,5.31,5.18,5.28,21044
21-Feb-14,5.39,5.39,5.12,5.16,25089
20-Feb-14,5.39,5.45,5.26,5.26,37179
19-Feb-14,5.32,5.32,5.18,5.27,23461
18-Feb-14,5.49,5.59,5.30,5.36,37147
14-Feb-14,5.40,5.50,5.35,5.45,73573
13-Feb-14,5.22,5.47,5.18,5.44,149694
12-Feb-14,5.16,5.42,5.09,5.19,77594
11-Feb-14,4.98,5.31,4.91,5.12,117609
10-Feb-14,4.84,5.05,4.83,4.93,60098
7-Feb-14,4.82,4.95,4.82,4.89,67355
6-Feb-14,4.75,4.91,4.72,4.81,60846
5-Feb-14,4.90,4.90,4.64,4.69,109425
4-Feb-14,4.97,4.97,4.79,4.91,92191
3-Feb-14,4.79,5.03,4.74,4.92,292330
31-Jan-14,4.75,4.92,4.61,4.81,1241235
30-Jan-14,5.48,5.63,5.41,5.47,18105
29-Jan-14,5.50,5.72,5.41,5.50,117710
28-Jan-14,5.60,5.60,5.45,5.46,65231
27-Jan-14,5.24,5.64,5.18,5.48,122160
24-Jan-14,5.51,5.64,5.39,5.53,34968
23-Jan-14,5.67,5.75,5.45,5.53,65505
22-Jan-14,5.50,5.78,5.50,5.50,71500
21-Jan-14,5.57,5.57,5.40,5.50,75243
17-Jan-14,5.58,5.76,5.50,5.57,57543
16-Jan-14,5.54,5.75,5.42,5.51,36382
15-Jan-14,5.85,5.85,5.58,5.58,43511
14-Jan-14,5.81,5.97,5.63,5.77,78625
13-Jan-14,5.56,6.04,5.56,5.79,191980
10-Jan-14,5.63,5.65,5.50,5.58,61858
9-Jan-14,5.64,5.64,5.40,5.54,107465
8-Jan-14,5.66,5.80,5.62,5.67,36074
7-Jan-14,5.87,6.00,5.67,5.70,25929
6-Jan-14,5.90,6.01,5.84,5.88,28230
3-Jan-14,5.80,5.90,5.62,5.84,65197
2-Jan-14,5.95,5.99,5.50,5.85,98125
