Date,Open,High,Low,Close,Volume
23-Oct-14,20.13,20.44,20.05,20.16,312297
22-Oct-14,19.96,20.38,19.76,19.88,786042
21-Oct-14,19.39,19.98,19.13,19.96,419370
20-Oct-14,19.07,19.31,18.83,19.30,412210
17-Oct-14,19.43,19.66,19.13,19.17,412554
16-Oct-14,18.41,19.23,18.38,19.22,1025041
15-Oct-14,17.85,19.02,17.76,18.71,860941
14-Oct-14,17.79,18.22,17.62,18.10,1201541
13-Oct-14,17.98,18.14,17.52,17.61,611059
10-Oct-14,18.86,19.00,17.92,17.94,746018
9-Oct-14,19.67,19.84,18.93,18.93,532702
8-Oct-14,19.17,19.80,19.04,19.76,795346
7-Oct-14,19.47,19.60,19.07,19.14,600333
6-Oct-14,19.81,20.00,19.60,19.62,511724
3-Oct-14,19.91,20.02,19.62,19.74,641480
2-Oct-14,19.83,19.93,19.36,19.79,844392
1-Oct-14,19.66,19.98,19.53,19.81,1582654
30-Sep-14,19.90,20.09,19.55,19.74,996627
29-Sep-14,19.99,20.16,19.80,19.87,696382
26-Sep-14,20.34,20.34,19.84,20.07,316910
25-Sep-14,20.24,20.40,19.90,20.01,446728
24-Sep-14,20.60,20.60,20.16,20.27,433807
23-Sep-14,20.70,20.89,20.53,20.56,436025
22-Sep-14,21.28,21.28,20.70,20.74,521597
19-Sep-14,21.60,21.79,21.32,21.33,759488
18-Sep-14,21.44,21.72,21.38,21.58,420781
17-Sep-14,21.39,21.79,21.36,21.36,713860
16-Sep-14,20.85,21.38,20.67,21.36,708266
15-Sep-14,20.86,21.01,20.42,20.89,733751
12-Sep-14,21.19,21.24,20.86,20.90,637457
11-Sep-14,21.10,21.25,21.01,21.12,598979
10-Sep-14,21.81,21.82,20.86,21.25,806637
9-Sep-14,22.25,22.32,21.59,21.73,667813
8-Sep-14,22.57,22.64,22.16,22.34,325597
5-Sep-14,22.50,22.65,22.26,22.57,270630
4-Sep-14,23.00,23.14,22.43,22.50,425968
3-Sep-14,23.30,23.41,22.95,23.02,586261
2-Sep-14,22.83,23.50,22.83,23.26,788294
29-Aug-14,23.07,23.20,22.72,23.13,334290
28-Aug-14,23.14,23.26,22.99,23.03,286173
27-Aug-14,23.62,23.62,23.10,23.29,325252
26-Aug-14,23.26,23.70,23.12,23.56,376429
25-Aug-14,23.28,23.38,22.99,23.16,240721
22-Aug-14,23.36,23.40,23.03,23.19,205233
21-Aug-14,23.18,23.54,23.01,23.36,384324
20-Aug-14,23.21,23.34,23.06,23.22,191299
19-Aug-14,23.36,23.50,23.12,23.26,210719
18-Aug-14,23.04,23.33,22.86,23.32,199099
15-Aug-14,23.05,23.08,22.57,22.92,355722
14-Aug-14,22.91,23.27,22.80,22.90,281253
13-Aug-14,22.48,22.94,22.33,22.86,315686
12-Aug-14,22.19,22.46,22.11,22.40,637999
11-Aug-14,22.21,22.57,22.13,22.20,458530
8-Aug-14,22.16,22.34,21.98,22.09,596435
7-Aug-14,22.44,22.55,22.16,22.20,600928
6-Aug-14,22.05,22.46,22.03,22.32,816632
5-Aug-14,22.06,22.34,21.98,22.19,1217120
4-Aug-14,22.09,22.33,22.01,22.16,767671
1-Aug-14,23.17,23.50,21.98,22.11,1106360
31-Jul-14,24.75,25.12,23.16,23.37,830790
30-Jul-14,23.47,23.87,23.44,23.71,564899
29-Jul-14,23.36,23.49,22.95,23.30,544637
28-Jul-14,23.43,23.61,23.15,23.37,396114
25-Jul-14,23.37,23.57,23.14,23.43,338778
24-Jul-14,23.29,23.65,23.25,23.41,280510
23-Jul-14,23.52,23.67,23.26,23.29,270661
22-Jul-14,23.19,23.79,22.94,23.59,538597
21-Jul-14,23.06,23.19,22.79,23.06,312004
18-Jul-14,23.01,23.43,22.82,23.16,420873
17-Jul-14,23.36,23.61,22.99,22.99,410250
16-Jul-14,23.45,23.57,23.09,23.44,520700
15-Jul-14,23.54,23.79,23.09,23.33,401652
14-Jul-14,23.86,23.98,23.52,23.64,292899
11-Jul-14,23.62,23.87,23.34,23.73,239631
10-Jul-14,23.35,23.91,23.25,23.66,463231
9-Jul-14,23.85,23.97,23.43,23.74,379173
8-Jul-14,24.04,24.04,23.43,23.78,510206
7-Jul-14,24.04,24.28,23.87,24.02,382957
3-Jul-14,24.18,24.39,24.08,24.21,359118
2-Jul-14,24.48,24.83,24.13,24.16,383882
1-Jul-14,24.05,24.82,23.98,24.59,824881
30-Jun-14,23.77,24.16,23.42,23.96,750896
27-Jun-14,23.44,23.85,23.42,23.79,982318
26-Jun-14,23.83,23.84,23.41,23.54,501823
25-Jun-14,23.46,24.09,23.46,23.78,543500
24-Jun-14,23.55,24.09,23.46,23.52,448499
23-Jun-14,23.68,23.81,23.22,23.64,661337
20-Jun-14,23.95,23.98,23.33,23.64,1454741
19-Jun-14,24.04,24.04,23.60,23.91,372481
18-Jun-14,24.17,24.34,23.69,23.96,645383
17-Jun-14,23.81,24.62,23.80,24.10,1006267
16-Jun-14,24.13,24.13,23.45,23.89,727415
13-Jun-14,23.97,24.25,23.80,24.20,342347
12-Jun-14,24.48,24.56,23.74,23.89,405690
11-Jun-14,24.08,24.66,23.92,24.53,498468
10-Jun-14,24.29,24.44,24.02,24.22,436784
9-Jun-14,24.41,24.59,24.08,24.36,641745
6-Jun-14,24.33,24.50,24.04,24.41,346334
5-Jun-14,24.21,24.45,23.82,24.26,532580
4-Jun-14,24.16,24.44,24.01,24.16,402056
3-Jun-14,23.93,24.37,23.57,24.21,550623
2-Jun-14,24.41,24.41,23.56,24.02,432647
30-May-14,24.63,24.63,23.97,24.17,550781
29-May-14,24.74,25.09,24.58,24.59,831720
28-May-14,24.58,24.66,24.12,24.60,500627
27-May-14,24.51,24.85,24.51,24.60,588818
23-May-14,24.18,24.57,23.96,24.39,335245
22-May-14,23.69,24.24,23.68,24.13,541957
21-May-14,23.29,23.81,22.97,23.69,470313
20-May-14,23.13,23.43,22.75,23.18,332963
19-May-14,22.77,23.61,22.77,23.20,595922
16-May-14,23.13,23.13,22.24,22.76,406425
15-May-14,23.00,23.07,22.12,23.05,475253
14-May-14,23.12,23.40,23.03,23.09,360590
13-May-14,23.48,23.56,22.92,23.16,424829
12-May-14,22.59,23.60,22.59,23.44,377878
9-May-14,22.23,22.49,21.98,22.43,279226
8-May-14,22.24,23.22,21.75,22.27,499667
7-May-14,22.51,22.89,21.77,22.28,525381
6-May-14,22.83,23.08,22.41,22.45,550751
5-May-14,22.26,23.05,22.00,22.93,597218
2-May-14,22.10,22.73,22.04,22.44,470731
1-May-14,23.54,23.54,21.89,22.06,823608
30-Apr-14,22.10,22.39,21.79,22.29,533471
29-Apr-14,21.88,22.41,21.71,22.27,786584
28-Apr-14,22.20,22.25,21.25,21.65,1055375
25-Apr-14,22.43,22.54,22.05,22.09,648150
24-Apr-14,22.69,22.98,22.27,22.54,753018
23-Apr-14,22.45,22.59,22.20,22.47,510480
22-Apr-14,22.02,22.59,21.96,22.39,741809
21-Apr-14,21.79,22.13,21.61,22.00,964607
17-Apr-14,21.20,21.77,21.12,21.70,1023854
16-Apr-14,21.20,21.35,20.96,21.25,558784
15-Apr-14,21.05,21.34,20.58,20.98,844673
14-Apr-14,21.64,21.81,20.89,21.00,1165834
11-Apr-14,21.79,21.88,21.43,21.49,695976
10-Apr-14,22.49,22.64,21.87,21.90,1812083
9-Apr-14,20.54,22.73,20.51,22.40,2834377
8-Apr-14,23.22,23.42,19.50,20.50,6579088
7-Apr-14,23.50,23.85,23.25,23.26,1167487
4-Apr-14,24.13,24.30,23.78,23.79,1095142
3-Apr-14,24.79,24.81,23.75,23.87,1161833
2-Apr-14,23.58,24.86,23.58,24.76,1419658
1-Apr-14,22.82,23.64,22.76,23.58,1091706
31-Mar-14,22.55,22.83,22.46,22.78,637695
28-Mar-14,22.34,22.84,22.30,22.44,824207
27-Mar-14,22.28,22.54,21.95,22.32,1015151
26-Mar-14,23.32,23.61,22.31,22.33,1038757
25-Mar-14,23.62,23.94,22.92,23.25,1199365
24-Mar-14,24.65,24.85,23.49,23.54,1515579
21-Mar-14,25.00,25.23,24.58,24.59,1894852
20-Mar-14,24.55,25.04,24.39,24.83,709466
19-Mar-14,24.71,24.84,24.45,24.58,607844
18-Mar-14,24.36,24.95,24.15,24.72,1197678
17-Mar-14,24.75,24.81,24.18,24.25,917195
14-Mar-14,23.98,24.72,23.96,24.57,865535
13-Mar-14,24.81,24.96,23.91,24.09,1107200
12-Mar-14,24.43,25.04,24.27,24.83,958600
11-Mar-14,24.92,25.10,24.50,24.54,947196
10-Mar-14,24.82,25.07,24.52,24.84,1055533
7-Mar-14,24.91,25.12,24.79,24.84,1051241
6-Mar-14,24.91,25.00,24.63,24.85,951298
5-Mar-14,24.87,25.02,24.67,24.79,859846
4-Mar-14,24.56,25.00,24.04,24.90,1372525
3-Mar-14,22.60,24.53,22.39,24.32,2451832
28-Feb-14,24.97,25.24,24.59,24.84,1492797
27-Feb-14,24.64,25.06,24.64,24.99,1219921
26-Feb-14,25.04,25.24,24.38,24.70,1410594
25-Feb-14,24.97,25.34,24.95,25.20,1658810
24-Feb-14,24.28,24.94,24.28,24.92,1106783
21-Feb-14,24.38,24.51,24.16,24.28,753624
20-Feb-14,24.00,24.58,23.94,24.35,1362881
19-Feb-14,23.79,24.27,23.79,24.02,1325058
18-Feb-14,22.22,23.98,22.09,23.74,1683126
14-Feb-14,23.28,23.80,22.12,22.76,1554173
13-Feb-14,22.29,24.10,21.95,23.45,2351054
12-Feb-14,22.59,22.89,22.04,22.31,1143526
11-Feb-14,22.18,23.14,22.05,22.62,1297048
10-Feb-14,21.36,21.98,21.35,21.88,1152111
7-Feb-14,20.98,21.50,20.98,21.29,999450
6-Feb-14,20.91,21.14,20.69,20.94,804211
5-Feb-14,20.57,20.95,20.35,20.88,881195
