Date,Open,High,Low,Close,Volume
23-Oct-14,9.50,9.60,9.50,9.53,1555
21-Oct-14,9.64,9.64,9.52,9.52,2162
20-Oct-14,9.63,9.65,9.40,9.65,2082
17-Oct-14,9.49,9.63,9.34,9.63,6277
16-Oct-14,9.54,9.70,9.41,9.52,4768
15-Oct-14,9.55,9.71,9.41,9.52,8652
14-Oct-14,9.58,9.69,9.54,9.69,1049
13-Oct-14,9.75,9.75,9.53,9.53,4101
10-Oct-14,9.72,9.74,9.61,9.70,3085
9-Oct-14,9.65,9.71,9.65,9.70,7675
8-Oct-14,9.58,9.63,9.54,9.57,3214
7-Oct-14,9.47,9.58,9.47,9.58,1192
6-Oct-14,9.53,9.62,9.53,9.61,1076
3-Oct-14,9.65,9.65,9.50,9.55,4157
2-Oct-14,9.60,9.61,9.50,9.61,9874
1-Oct-14,9.50,9.60,9.43,9.60,5888
30-Sep-14,9.59,9.59,9.29,9.45,13389
29-Sep-14,9.48,9.57,9.48,9.57,1411
26-Sep-14,9.52,9.52,9.52,9.52,1406
25-Sep-14,9.52,9.52,9.45,9.52,5928
24-Sep-14,9.57,9.60,9.56,9.59,1772
23-Sep-14,9.58,9.59,9.49,9.52,3364
22-Sep-14,9.55,9.59,9.50,9.50,1278
19-Sep-14,9.59,9.59,9.50,9.55,11808
18-Sep-14,9.59,9.59,9.51,9.51,1240
17-Sep-14,9.59,9.59,9.54,9.56,1364
16-Sep-14,9.51,9.60,9.51,9.52,1498
15-Sep-14,9.40,9.64,9.40,9.54,3706
12-Sep-14,9.44,9.59,9.41,9.41,2810
11-Sep-14,9.48,9.58,9.35,9.46,7526
10-Sep-14,9.31,9.60,9.31,9.59,4634
9-Sep-14,9.50,9.50,9.32,9.50,12800
8-Sep-14,9.33,9.50,9.33,9.45,4503
5-Sep-14,9.42,9.43,9.28,9.43,4344
4-Sep-14,9.46,9.46,9.23,9.42,5410
3-Sep-14,9.31,9.31,9.21,9.26,2812
2-Sep-14,9.29,9.29,9.18,9.29,7186
29-Aug-14,9.30,9.30,9.24,9.24,4128
28-Aug-14,9.43,9.43,9.21,9.29,20123
27-Aug-14,9.35,9.50,9.33,9.41,9082
26-Aug-14,9.47,9.53,9.32,9.32,8084
25-Aug-14,9.50,9.53,9.45,9.53,17032
22-Aug-14,9.50,9.52,9.50,9.52,28330
21-Aug-14,9.40,9.51,9.40,9.51,29633
20-Aug-14,9.43,9.55,9.23,9.35,7769
19-Aug-14,9.50,9.50,9.37,9.37,12906
18-Aug-14,9.50,9.55,9.48,9.49,18960
15-Aug-14,9.49,9.49,9.44,9.44,2243
14-Aug-14,9.37,9.45,9.37,9.41,3812
13-Aug-14,9.44,9.45,9.41,9.41,1306
12-Aug-14,9.45,9.45,9.00,9.41,101837
11-Aug-14,9.50,9.50,9.31,9.50,16833
8-Aug-14,9.51,9.51,9.28,9.46,38732
7-Aug-14,9.40,9.46,9.05,9.46,48661
6-Aug-14,9.43,9.50,9.40,9.46,10796
5-Aug-14,9.37,9.45,9.35,9.44,16978
4-Aug-14,9.39,9.40,9.38,9.39,5180
1-Aug-14,9.40,9.49,9.30,9.49,33371
31-Jul-14,9.33,9.38,9.27,9.34,10683
30-Jul-14,9.42,9.45,9.30,9.39,14407
29-Jul-14,9.27,9.39,9.21,9.39,6342
28-Jul-14,9.20,9.29,9.15,9.29,13850
25-Jul-14,9.20,9.25,9.13,9.20,15912
24-Jul-14,9.18,9.25,9.15,9.20,19749
23-Jul-14,9.04,9.21,9.00,9.20,19978
22-Jul-14,9.00,9.09,8.95,9.03,13220
21-Jul-14,8.99,9.15,8.95,9.02,16290
18-Jul-14,9.01,9.09,8.97,9.09,4915
17-Jul-14,8.98,9.00,8.92,8.98,4487
16-Jul-14,9.00,9.00,8.98,8.98,2138
15-Jul-14,9.06,9.16,8.96,8.96,10095
14-Jul-14,9.09,9.18,8.97,9.02,17777
11-Jul-14,9.06,9.14,8.97,9.02,11107
