Date,Open,High,Low,Close,Volume
23-Oct-14,8.15,8.15,8.15,8.15,1600
22-Oct-14,7.76,8.25,7.76,8.25,2400
21-Oct-14,8.15,8.34,8.15,8.25,2858
20-Oct-14,7.92,8.06,7.92,8.06,369
17-Oct-14,7.92,8.09,7.92,8.09,3803
16-Oct-14,7.98,8.21,7.91,8.21,1730
15-Oct-14,7.90,8.01,7.86,7.89,2303
14-Oct-14,7.80,8.00,7.80,8.00,7171
13-Oct-14,7.81,7.90,7.80,7.87,2817
10-Oct-14,7.78,7.97,7.78,7.97,800
8-Oct-14,7.90,7.97,7.81,7.92,6511
3-Oct-14,8.10,8.11,8.10,8.11,250
1-Oct-14,7.90,7.94,7.90,7.94,610
30-Sep-14,8.08,8.08,7.95,7.95,702
29-Sep-14,8.15,8.15,8.15,8.15,131
26-Sep-14,8.03,8.03,7.70,7.85,2411
25-Sep-14,7.91,7.91,7.91,7.91,247
24-Sep-14,7.81,7.95,7.75,7.91,8332
23-Sep-14,8.18,8.18,7.95,7.95,1311
22-Sep-14,8.08,8.10,7.97,7.97,5404
19-Sep-14,8.08,8.11,8.08,8.11,635
18-Sep-14,8.11,8.32,8.09,8.09,1654
17-Sep-14,8.06,8.11,8.06,8.09,1978
16-Sep-14,8.17,8.17,7.81,8.06,14115
15-Sep-14,8.09,8.32,8.06,8.32,11385
12-Sep-14,8.18,8.19,8.01,8.14,3457
11-Sep-14,8.10,8.25,8.10,8.23,2545
10-Sep-14,8.27,8.28,8.06,8.27,9870
9-Sep-14,8.25,8.34,8.08,8.08,13850
8-Sep-14,8.03,8.22,8.03,8.20,16569
5-Sep-14,8.13,8.46,8.13,8.19,5349
4-Sep-14,8.22,8.22,8.20,8.20,8416
3-Sep-14,8.26,8.28,8.25,8.25,1916
2-Sep-14,8.27,8.39,8.25,8.39,15877
29-Aug-14,8.33,8.33,8.22,8.25,13274
28-Aug-14,8.20,8.25,8.20,8.25,994
27-Aug-14,8.25,8.35,8.15,8.29,3223
26-Aug-14,8.37,8.37,8.26,8.32,8501
25-Aug-14,8.20,8.25,8.20,8.25,10090
22-Aug-14,8.26,8.27,8.26,8.27,340
21-Aug-14,8.20,8.20,8.20,8.20,840
20-Aug-14,8.15,8.37,8.12,8.24,12710
19-Aug-14,8.13,8.30,8.13,8.22,7352
18-Aug-14,8.25,8.35,8.18,8.18,3686
15-Aug-14,8.32,8.32,8.25,8.25,1495
14-Aug-14,8.82,8.82,8.16,8.47,2265
13-Aug-14,8.36,8.42,8.03,8.42,4900
12-Aug-14,8.26,8.38,8.13,8.36,11045
11-Aug-14,8.35,8.35,8.27,8.32,12697
8-Aug-14,8.16,8.35,8.15,8.22,13186
7-Aug-14,8.15,8.23,8.15,8.22,4760
6-Aug-14,8.20,8.23,8.12,8.12,5450
5-Aug-14,8.25,8.30,8.11,8.17,20322
4-Aug-14,8.13,8.28,8.11,8.25,12574
1-Aug-14,8.61,8.61,8.16,8.16,40279
31-Jul-14,8.88,8.88,8.62,8.63,1691
30-Jul-14,8.89,8.89,8.55,8.62,5697
29-Jul-14,8.88,8.88,8.55,8.63,25196
28-Jul-14,8.60,8.94,8.52,8.94,25292
25-Jul-14,8.73,8.83,8.48,8.66,10649
24-Jul-14,8.48,8.80,8.48,8.80,1754
23-Jul-14,8.47,8.77,8.46,8.47,12039
22-Jul-14,8.52,8.80,8.52,8.62,1572
21-Jul-14,8.91,8.91,8.67,8.75,10483
18-Jul-14,8.67,8.67,8.50,8.66,5950
17-Jul-14,8.67,8.67,8.49,8.57,2511
16-Jul-14,8.55,8.64,8.45,8.60,28277
