Date,Open,High,Low,Close,Volume
23-Oct-14,23.51,23.77,23.37,23.46,367664
22-Oct-14,23.79,23.80,23.31,23.34,371330
21-Oct-14,23.33,23.75,23.28,23.68,311734
20-Oct-14,23.18,23.36,23.00,23.20,243402
17-Oct-14,23.76,23.76,23.15,23.18,436019
16-Oct-14,22.56,23.54,22.50,23.43,672973
15-Oct-14,22.97,23.45,22.39,22.86,1005855
14-Oct-14,23.23,23.57,23.12,23.31,478945
13-Oct-14,22.72,23.30,22.70,22.97,377496
10-Oct-14,22.62,23.20,22.56,22.75,531243
9-Oct-14,23.11,23.32,22.73,22.73,569483
8-Oct-14,22.77,23.24,22.59,23.22,700831
7-Oct-14,22.97,23.05,22.71,22.74,475772
6-Oct-14,23.42,23.54,23.00,23.07,221769
3-Oct-14,23.23,23.54,23.16,23.32,490721
2-Oct-14,22.80,23.17,22.67,22.96,381023
1-Oct-14,22.95,23.20,22.68,22.78,591660
30-Sep-14,23.29,23.39,23.03,23.04,484896
29-Sep-14,23.21,23.38,23.14,23.28,340186
26-Sep-14,23.35,23.47,23.18,23.46,368128
25-Sep-14,23.54,23.54,23.27,23.37,550732
24-Sep-14,23.65,23.75,23.48,23.66,419313
23-Sep-14,23.89,24.09,23.65,23.65,488156
22-Sep-14,24.23,24.24,23.93,23.98,384192
19-Sep-14,24.69,24.76,24.21,24.24,814593
18-Sep-14,24.09,24.69,24.09,24.50,363467
17-Sep-14,23.94,24.24,23.73,24.00,272196
16-Sep-14,24.10,24.33,23.89,23.94,437967
15-Sep-14,24.55,24.55,24.12,24.14,225015
12-Sep-14,24.40,24.68,24.18,24.44,307328
11-Sep-14,24.16,24.40,24.07,24.36,258588
10-Sep-14,23.87,24.27,23.87,24.26,184825
9-Sep-14,24.04,24.04,23.73,23.91,201473
8-Sep-14,23.95,24.14,23.86,24.12,228170
5-Sep-14,23.80,24.00,23.71,23.94,181434
4-Sep-14,23.94,24.21,23.76,23.91,205056
3-Sep-14,24.06,24.15,23.81,23.91,278876
2-Sep-14,23.86,24.12,23.75,23.93,388145
29-Aug-14,23.71,23.86,23.54,23.74,324392
28-Aug-14,23.83,23.87,23.56,23.68,226385
27-Aug-14,24.02,24.02,23.77,23.92,396171
26-Aug-14,23.87,24.18,23.87,24.16,267341
25-Aug-14,23.97,24.07,23.78,23.91,196522
22-Aug-14,23.92,24.08,23.71,23.85,185993
21-Aug-14,23.73,24.06,23.53,23.92,269827
20-Aug-14,23.64,23.79,23.51,23.76,193519
19-Aug-14,23.72,23.89,23.61,23.75,229026
18-Aug-14,23.54,23.80,23.42,23.77,243510
15-Aug-14,23.64,23.68,23.12,23.34,479890
14-Aug-14,23.26,23.56,23.26,23.47,448708
