Date,Open,High,Low,Close,Volume
23-Oct-14,78.30,78.30,76.11,77.32,2335073
22-Oct-14,77.99,78.16,76.90,76.99,2197509
21-Oct-14,76.99,77.85,76.69,77.69,1774107
20-Oct-14,75.99,76.27,75.43,76.23,1164259
17-Oct-14,76.19,77.30,75.69,76.39,2009331
16-Oct-14,73.44,76.00,72.91,75.43,2102193
15-Oct-14,73.08,75.01,71.78,74.49,2558319
14-Oct-14,74.18,74.98,73.95,74.23,1755334
13-Oct-14,75.22,75.93,73.91,73.94,1855372
10-Oct-14,75.84,76.59,75.33,75.35,2643245
9-Oct-14,77.32,77.59,75.91,75.97,2577515
8-Oct-14,76.32,77.65,75.57,77.55,1668216
7-Oct-14,77.51,78.11,76.38,76.39,1354565
6-Oct-14,78.30,78.49,77.66,78.14,872860
3-Oct-14,77.99,78.57,77.72,77.88,1075572
2-Oct-14,76.81,77.77,76.46,77.44,1432730
1-Oct-14,78.50,78.72,76.81,77.08,1685195
30-Sep-14,78.77,78.90,78.06,78.40,1345356
29-Sep-14,78.57,78.69,77.92,78.52,1399532
26-Sep-14,78.67,79.49,78.53,79.20,1259227
25-Sep-14,79.59,79.68,78.52,78.72,2444911
24-Sep-14,79.35,79.74,79.02,79.69,1670282
23-Sep-14,79.09,79.65,78.94,79.04,1498485
22-Sep-14,80.07,80.08,79.17,79.19,1306895
19-Sep-14,80.50,80.74,79.50,80.07,1487699
18-Sep-14,79.63,80.53,79.56,80.21,918051
17-Sep-14,79.60,79.76,78.78,79.30,1224483
16-Sep-14,78.74,79.24,78.42,79.08,1353830
15-Sep-14,79.55,79.72,78.70,78.98,1271038
12-Sep-14,79.81,80.07,79.18,79.52,1461729
11-Sep-14,79.50,79.88,79.24,79.74,1495432
10-Sep-14,80.49,80.72,79.94,80.17,1493418
9-Sep-14,80.90,80.90,80.13,80.40,1221412
8-Sep-14,80.91,81.15,80.72,81.01,946007
5-Sep-14,80.79,81.18,80.29,81.17,761412
4-Sep-14,80.97,81.31,80.67,80.97,803631
3-Sep-14,81.09,81.49,80.51,80.65,831842
2-Sep-14,81.19,81.50,80.47,80.71,1469118
29-Aug-14,81.00,81.17,80.46,81.00,1108658
28-Aug-14,80.88,80.99,79.96,80.80,1082474
27-Aug-14,81.56,81.56,80.37,80.66,942284
26-Aug-14,80.93,81.34,80.68,80.91,1003035
25-Aug-14,80.00,80.84,79.91,80.72,1216995
22-Aug-14,79.64,80.19,79.50,79.69,1123597
21-Aug-14,79.43,79.92,79.29,79.78,1202624
20-Aug-14,78.71,79.56,78.63,79.49,1737331
19-Aug-14,78.68,79.03,78.60,78.69,1062096
18-Aug-14,78.58,78.83,76.89,78.82,2373283
15-Aug-14,78.73,78.97,77.35,77.75,2140469
14-Aug-14,78.77,78.83,78.45,78.55,1579115
13-Aug-14,76.31,79.11,76.31,78.56,2667029
12-Aug-14,78.13,78.91,78.07,78.35,2029416
11-Aug-14,78.35,78.73,78.00,78.39,1680638
8-Aug-14,77.31,78.21,76.34,78.11,2390362
7-Aug-14,78.01,78.29,76.58,76.81,1496744
6-Aug-14,76.90,78.29,76.84,77.70,1527277
5-Aug-14,77.85,77.85,76.83,77.10,2218603
4-Aug-14,76.61,77.84,75.61,77.57,1771245
1-Aug-14,77.50,78.05,76.94,77.66,1738705
31-Jul-14,79.33,79.62,77.64,77.66,1971349
30-Jul-14,81.63,81.63,79.09,79.73,1594165
29-Jul-14,80.23,80.66,79.36,79.36,1923879
28-Jul-14,80.09,80.48,79.56,80.25,1355087
25-Jul-14,80.00,80.48,79.37,80.29,1986470
24-Jul-14,80.31,80.74,79.57,80.33,2206136
23-Jul-14,80.95,82.32,80.95,82.25,1993635
22-Jul-14,81.65,82.25,81.50,81.97,1720538
21-Jul-14,80.97,81.53,80.78,81.26,1448378
18-Jul-14,80.83,81.38,80.02,81.24,1868305
17-Jul-14,81.50,81.91,80.16,80.40,1938524
16-Jul-14,82.62,82.81,81.43,81.91,1480603
15-Jul-14,82.54,82.98,81.85,82.18,1296506
14-Jul-14,82.58,82.76,81.58,82.42,1338549
11-Jul-14,81.00,81.70,81.00,81.58,1674387
10-Jul-14,82.93,82.93,81.22,81.59,2750151
9-Jul-14,84.90,85.09,83.39,84.01,1416770
8-Jul-14,85.17,85.35,84.01,84.52,744118
7-Jul-14,85.42,85.42,84.82,85.17,637789
3-Jul-14,85.31,85.74,85.06,85.63,540921
2-Jul-14,84.91,85.03,84.37,84.86,798145
1-Jul-14,84.52,85.40,84.52,85.06,1092161
30-Jun-14,83.77,84.89,83.67,84.41,1467625
27-Jun-14,83.01,83.89,82.83,83.78,755278
26-Jun-14,83.77,83.77,82.50,83.38,541193
25-Jun-14,82.67,83.69,82.49,83.54,803579
