Date,Open,High,Low,Close,Volume
23-Oct-14,10.01,10.01,10.01,10.01,100
20-Oct-14,10.09,10.10,10.02,10.05,2100
13-Oct-14,10.19,10.19,10.19,10.19,100
3-Oct-14,10.08,10.09,10.02,10.04,3698
2-Oct-14,10.06,10.06,10.03,10.04,1100
30-Sep-14,10.08,10.08,10.05,10.05,604
29-Sep-14,10.08,10.08,10.05,10.05,500
26-Sep-14,10.08,10.08,10.08,10.08,240
25-Sep-14,10.05,10.15,10.05,10.05,1068
24-Sep-14,10.04,10.07,10.02,10.02,1204
23-Sep-14,10.09,10.09,10.03,10.05,8418
22-Sep-14,10.03,10.08,10.03,10.03,14200
19-Sep-14,10.04,10.08,10.04,10.05,13404
18-Sep-14,10.07,10.08,10.06,10.07,16804
17-Sep-14,10.06,10.06,10.05,10.05,1661
15-Sep-14,10.08,10.08,10.03,10.05,3521
12-Sep-14,10.06,10.06,10.03,10.03,2611
11-Sep-14,10.04,10.07,10.03,10.03,2701
10-Sep-14,10.06,10.07,10.06,10.07,398
9-Sep-14,10.06,10.06,10.06,10.06,446
8-Sep-14,10.05,10.08,10.02,10.03,13649
5-Sep-14,10.06,10.07,10.06,10.07,205
3-Sep-14,10.05,10.08,10.05,10.08,1900
2-Sep-14,10.06,10.06,10.05,10.05,20666
29-Aug-14,10.04,10.05,10.04,10.05,1700
28-Aug-14,10.05,10.08,10.04,10.08,16206
27-Aug-14,10.06,10.09,10.03,10.03,46401
26-Aug-14,10.06,10.08,10.03,10.03,7412
25-Aug-14,10.02,10.09,10.02,10.04,80812
22-Aug-14,9.62,10.19,9.62,10.01,110212
21-Aug-14,9.91,10.08,9.91,10.06,60204
20-Aug-14,9.32,10.14,9.32,10.00,107566
19-Aug-14,10.04,10.07,10.01,10.04,13409
18-Aug-14,10.00,10.09,10.00,10.04,104138
14-Aug-14,10.02,10.02,10.02,10.02,1268
13-Aug-14,10.04,10.09,10.04,10.05,6556
11-Aug-14,10.08,10.08,10.08,10.08,623
8-Aug-14,10.05,10.05,10.05,10.05,1250
7-Aug-14,10.01,10.01,10.01,10.01,1020
6-Aug-14,10.06,10.09,10.06,10.09,2700
4-Aug-14,10.01,10.10,10.01,10.09,11200
31-Jul-14,10.05,10.08,10.03,10.06,550492
30-Jul-14,10.00,10.04,10.00,10.04,1150
29-Jul-14,10.03,10.04,10.03,10.04,12917
28-Jul-14,10.02,10.05,10.02,10.04,74942
25-Jul-14,10.03,10.05,10.03,10.04,13200
24-Jul-14,10.04,10.04,10.02,10.03,25300
23-Jul-14,10.02,10.10,10.02,10.03,261600
22-Jul-14,10.03,10.03,10.01,10.01,210350
21-Jul-14,10.00,10.01,10.00,10.00,33691
18-Jul-14,10.00,10.03,10.00,10.00,708485
17-Jul-14,10.00,10.04,10.00,10.01,1230910
