Date,Open,High,Low,Close,Volume
23-Oct-14,5.22,5.90,5.09,5.61,32177
22-Oct-14,4.94,5.25,4.94,5.25,17608
21-Oct-14,5.10,5.34,4.92,5.04,16970
20-Oct-14,5.29,5.29,4.93,5.16,28548
17-Oct-14,4.98,5.55,4.93,5.37,18777
16-Oct-14,4.42,5.00,4.01,4.82,23949
15-Oct-14,4.82,4.88,4.46,4.57,20354
14-Oct-14,4.96,5.00,4.66,4.91,14601
13-Oct-14,5.07,5.07,4.64,4.96,21574
10-Oct-14,5.40,5.40,5.01,5.01,18731
9-Oct-14,5.68,5.82,5.42,5.53,41410
8-Oct-14,6.07,6.31,5.67,5.68,55775
7-Oct-14,5.73,6.11,5.63,5.89,57723
6-Oct-14,6.01,6.01,5.84,5.87,46595
3-Oct-14,5.88,6.20,5.82,6.03,20063
2-Oct-14,5.92,6.04,5.62,5.94,37453
1-Oct-14,6.31,6.44,5.85,5.91,1181675
30-Sep-14,6.56,6.56,6.28,6.42,18734
29-Sep-14,5.80,7.00,5.62,6.57,131862
26-Sep-14,5.97,5.99,5.76,5.79,16924
25-Sep-14,5.95,6.04,5.89,5.91,26051
24-Sep-14,5.69,6.04,5.69,5.91,20641
23-Sep-14,5.75,6.05,5.61,5.91,30195
22-Sep-14,5.87,6.05,5.75,5.77,24844
19-Sep-14,6.04,6.06,5.84,5.94,48680
18-Sep-14,5.68,6.08,5.66,5.96,44314
17-Sep-14,5.68,5.86,5.56,5.66,39521
16-Sep-14,5.82,5.85,5.56,5.67,49335
15-Sep-14,5.81,6.00,5.65,5.74,51535
12-Sep-14,5.87,6.06,5.87,5.92,33760
11-Sep-14,5.93,6.03,5.84,5.97,37674
10-Sep-14,5.86,6.10,5.86,5.99,25621
9-Sep-14,5.84,6.12,5.79,5.90,39724
8-Sep-14,5.73,6.01,5.66,5.95,71645
5-Sep-14,5.70,5.95,5.50,5.85,67397
4-Sep-14,5.94,5.94,5.54,5.71,54315
3-Sep-14,6.04,6.08,5.85,5.91,54144
2-Sep-14,6.02,6.21,6.01,6.07,19013
29-Aug-14,6.18,6.18,5.85,5.91,30569
28-Aug-14,6.18,6.27,5.88,6.14,27295
27-Aug-14,6.12,6.21,5.95,6.17,31561
26-Aug-14,6.04,6.22,5.95,6.09,27343
25-Aug-14,6.01,6.10,5.83,6.03,14364
22-Aug-14,6.06,6.22,5.76,6.00,49271
21-Aug-14,6.17,6.43,6.00,6.08,22595
20-Aug-14,6.11,6.44,6.11,6.14,17422
19-Aug-14,6.44,6.50,6.02,6.11,15668
18-Aug-14,6.53,6.53,6.25,6.49,18630
15-Aug-14,6.28,6.56,5.99,6.52,42767
14-Aug-14,6.10,6.57,5.90,5.98,117456
13-Aug-14,6.14,6.38,5.90,6.04,68150
12-Aug-14,6.00,6.45,5.52,6.42,91573
11-Aug-14,6.00,6.26,5.90,6.01,98178
8-Aug-14,5.96,6.07,5.72,5.96,65553
7-Aug-14,5.92,6.05,5.62,5.99,97234
6-Aug-14,6.00,6.09,5.77,5.97,33866
5-Aug-14,6.47,6.63,5.98,6.06,44622
4-Aug-14,6.28,6.41,6.12,6.22,42648
1-Aug-14,6.66,6.77,6.35,6.39,40617
31-Jul-14,6.41,6.90,6.29,6.85,91775
30-Jul-14,5.72,6.68,5.63,6.42,97000
29-Jul-14,5.48,5.88,5.40,5.71,26804
28-Jul-14,5.58,5.58,5.20,5.44,46032
25-Jul-14,5.85,5.85,5.50,5.64,30350
24-Jul-14,5.75,5.90,5.65,5.86,13944
23-Jul-14,6.12,6.29,5.66,5.75,42419
22-Jul-14,6.58,6.58,5.96,6.09,44877
21-Jul-14,6.28,6.96,6.28,6.57,50343
18-Jul-14,6.36,6.47,5.74,6.29,49902
17-Jul-14,6.38,6.68,6.19,6.32,61407
16-Jul-14,6.32,6.72,6.16,6.50,89055
15-Jul-14,6.65,6.87,6.37,6.47,53317
14-Jul-14,6.39,6.97,6.30,6.71,90602
11-Jul-14,6.01,6.46,5.90,6.30,51033
10-Jul-14,6.16,6.25,5.55,6.02,134776
9-Jul-14,5.52,6.12,5.27,5.97,83892
8-Jul-14,5.58,5.62,5.44,5.52,88757
7-Jul-14,5.63,5.74,5.31,5.55,86112
3-Jul-14,5.60,5.70,5.55,5.61,19253
2-Jul-14,6.11,6.17,5.60,5.60,96539
1-Jul-14,5.61,6.13,5.50,5.83,137310
30-Jun-14,4.90,6.11,4.90,5.65,258413
27-Jun-14,4.44,4.97,4.38,4.97,961623
26-Jun-14,4.44,4.60,4.36,4.48,138936
25-Jun-14,4.31,4.60,4.13,4.34,133033
24-Jun-14,4.62,4.62,4.30,4.31,61351
23-Jun-14,4.37,4.68,4.24,4.30,60675
20-Jun-14,4.14,4.50,4.07,4.34,138253
19-Jun-14,4.20,4.24,4.08,4.11,41312
18-Jun-14,4.32,4.32,4.07,4.15,69198
17-Jun-14,4.35,4.36,4.18,4.20,80664
16-Jun-14,4.49,4.49,4.26,4.34,43957
13-Jun-14,4.68,5.06,4.44,4.52,29628
12-Jun-14,4.89,5.11,4.60,4.65,85328
11-Jun-14,4.44,4.89,4.38,4.78,154092
10-Jun-14,4.44,4.44,4.25,4.39,276851
9-Jun-14,4.45,4.51,4.25,4.46,125505
6-Jun-14,4.43,4.44,4.28,4.44,40494
5-Jun-14,4.43,4.51,4.35,4.39,33258
4-Jun-14,4.45,4.48,4.31,4.40,42270
3-Jun-14,4.52,4.53,4.25,4.48,272557
2-Jun-14,4.31,4.50,4.25,4.34,22897
30-May-14,4.53,4.53,4.31,4.39,40785
29-May-14,4.50,4.53,4.49,4.53,25106
28-May-14,4.61,4.61,4.50,4.55,28531
27-May-14,4.52,4.58,4.42,4.58,19664
23-May-14,4.48,4.52,4.40,4.46,21138
22-May-14,4.29,4.57,4.27,4.46,31879
21-May-14,4.57,4.57,4.27,4.37,53949
20-May-14,4.27,4.45,4.25,4.41,61629
19-May-14,4.70,4.70,4.26,4.36,27497
16-May-14,4.78,4.78,4.41,4.46,39978
15-May-14,4.78,5.07,4.64,4.80,33184
14-May-14,4.76,4.90,4.66,4.78,97842
13-May-14,4.67,4.92,4.60,4.79,74554
12-May-14,4.77,4.82,4.58,4.67,24287
9-May-14,4.62,4.82,4.50,4.72,92904
8-May-14,4.93,4.93,4.75,4.75,27378
7-May-14,4.81,5.00,4.81,4.88,15545
6-May-14,4.94,5.00,4.86,4.96,118621
5-May-14,4.81,5.07,4.78,4.94,37234
2-May-14,4.95,5.00,4.76,4.94,40389
1-May-14,5.03,5.03,4.82,4.92,27857
30-Apr-14,4.92,5.78,4.92,5.01,80365
29-Apr-14,4.99,5.11,4.85,4.94,52242
28-Apr-14,5.20,5.20,4.79,4.94,51501
25-Apr-14,5.48,5.75,5.10,5.16,81160
24-Apr-14,5.62,5.75,5.42,5.49,103345
23-Apr-14,5.86,5.86,5.50,5.56,63150
22-Apr-14,5.74,6.00,5.61,5.85,80154
21-Apr-14,5.47,6.22,5.21,5.76,73748
17-Apr-14,5.10,5.51,5.10,5.39,53378
16-Apr-14,5.05,5.14,4.74,5.10,49168
15-Apr-14,5.45,5.45,4.81,4.97,84975
14-Apr-14,5.78,5.89,5.29,5.36,86251
11-Apr-14,5.74,6.02,5.58,5.71,148023
10-Apr-14,6.00,6.02,5.57,5.80,96656
9-Apr-14,6.18,6.18,6.00,6.04,80997
8-Apr-14,6.42,6.42,5.76,6.18,141181
7-Apr-14,6.89,6.92,6.25,6.41,147196
4-Apr-14,7.26,7.35,6.92,6.94,102987
3-Apr-14,7.61,7.64,7.21,7.25,57520
2-Apr-14,7.55,7.82,7.50,7.63,138721
1-Apr-14,7.65,7.75,6.81,7.57,94017
31-Mar-14,7.49,7.94,7.32,7.86,923802
28-Mar-14,6.68,7.72,6.21,7.45,142412
27-Mar-14,7.11,7.33,6.08,6.69,198732
26-Mar-14,7.04,7.40,6.69,7.12,85845
25-Mar-14,7.39,7.48,6.82,6.98,135195
24-Mar-14,7.87,7.89,7.22,7.25,123177
21-Mar-14,8.45,8.45,7.82,7.83,315472
20-Mar-14,8.54,8.64,8.08,8.38,75516
19-Mar-14,8.87,8.97,8.16,8.42,232886
18-Mar-14,8.56,8.81,8.30,8.71,142023
17-Mar-14,9.14,9.21,8.33,8.45,125492
14-Mar-14,9.25,9.46,8.96,9.07,120617
13-Mar-14,9.41,9.62,9.09,9.28,74210
12-Mar-14,9.24,9.48,8.98,9.29,81829
11-Mar-14,9.30,9.64,8.80,9.29,210512
10-Mar-14,9.01,9.48,8.82,9.16,114284
7-Mar-14,9.43,9.52,8.53,9.14,107987
6-Mar-14,9.76,9.94,9.06,9.25,58525
5-Mar-14,9.45,9.95,9.00,9.64,106069
4-Mar-14,8.46,9.57,8.24,9.27,148480
3-Mar-14,7.78,8.48,7.75,8.18,84235
28-Feb-14,8.00,8.08,7.75,7.98,81331
27-Feb-14,8.05,8.09,7.92,8.00,215240
26-Feb-14,8.20,8.43,7.61,7.97,415924
25-Feb-14,8.00,8.00,7.57,7.77,187441
24-Feb-14,8.86,8.98,7.41,8.23,372453
21-Feb-14,7.46,8.19,7.17,7.40,86610
20-Feb-14,7.38,7.54,7.21,7.40,101972
19-Feb-14,7.13,7.13,7.00,7.10,7983
18-Feb-14,6.75,7.11,6.75,6.95,30159
14-Feb-14,7.24,7.24,6.51,6.89,95346
13-Feb-14,7.24,7.27,7.03,7.17,33787
12-Feb-14,7.56,7.60,6.85,7.15,45526
11-Feb-14,7.15,7.55,7.15,7.55,35655
10-Feb-14,7.02,7.21,6.85,7.21,21741
7-Feb-14,7.10,7.11,6.73,7.02,68973
6-Feb-14,6.61,6.94,6.50,6.89,68473
5-Feb-14,6.87,7.20,6.49,6.70,195383
4-Feb-14,6.50,7.00,6.50,6.58,48571
3-Feb-14,6.50,6.72,6.46,6.59,61119
31-Jan-14,7.11,7.25,6.35,6.50,3135696
