Date,Open,High,Low,Close,Volume
23-Oct-14,7.78,7.99,7.65,7.89,267976
22-Oct-14,7.91,7.99,7.65,7.67,326592
21-Oct-14,7.85,8.49,7.69,7.92,782466
20-Oct-14,7.85,8.26,7.81,8.26,294146
17-Oct-14,8.26,8.32,7.75,7.94,263173
16-Oct-14,8.02,8.38,7.91,8.08,241712
15-Oct-14,7.65,8.23,7.58,8.09,461156
14-Oct-14,7.78,7.95,7.62,7.69,142096
13-Oct-14,7.44,7.77,7.32,7.67,187906
10-Oct-14,7.85,7.85,7.37,7.40,203541
9-Oct-14,7.93,8.09,7.84,7.87,149852
8-Oct-14,7.85,8.01,7.68,7.96,362543
7-Oct-14,8.08,8.14,7.77,7.91,682369
6-Oct-14,9.12,9.12,8.00,8.10,1366183
3-Oct-14,9.32,9.41,9.10,9.12,103537
2-Oct-14,8.94,9.30,8.89,9.24,83562
1-Oct-14,8.96,9.04,8.82,8.91,128262
30-Sep-14,9.01,9.10,8.90,8.95,186524
29-Sep-14,9.00,9.15,8.93,9.01,131493
26-Sep-14,9.07,9.12,9.01,9.08,49424
25-Sep-14,9.13,9.14,8.85,9.03,116981
24-Sep-14,8.92,9.22,8.92,9.13,85962
23-Sep-14,9.00,9.11,8.85,8.88,148525
22-Sep-14,9.25,9.26,9.04,9.04,85521
19-Sep-14,9.39,9.65,9.26,9.36,250186
18-Sep-14,9.23,9.42,9.00,9.40,122866
17-Sep-14,9.07,9.23,9.07,9.16,89317
16-Sep-14,8.97,9.14,8.96,9.10,98413
15-Sep-14,9.19,9.30,8.95,9.02,181881
12-Sep-14,9.42,9.42,9.23,9.23,82271
11-Sep-14,9.33,9.45,9.26,9.45,61414
10-Sep-14,9.24,9.38,9.24,9.36,65218
9-Sep-14,9.44,9.45,9.25,9.25,87949
8-Sep-14,9.38,9.50,9.27,9.46,78606
5-Sep-14,9.10,9.40,9.02,9.35,142410
4-Sep-14,9.61,9.81,9.12,9.16,315296
3-Sep-14,10.01,10.17,9.53,9.59,340513
2-Sep-14,9.68,9.97,9.57,9.92,135082
29-Aug-14,9.58,9.73,9.46,9.65,94319
28-Aug-14,9.87,9.87,9.57,9.57,109508
27-Aug-14,9.93,10.04,9.85,9.90,115916
26-Aug-14,9.88,10.03,9.88,9.93,100298
25-Aug-14,10.10,10.22,9.85,9.92,131088
22-Aug-14,9.95,10.09,9.82,10.07,223454
21-Aug-14,9.91,10.06,9.71,9.97,196175
20-Aug-14,10.16,10.20,9.86,9.89,114643
19-Aug-14,10.05,10.29,10.04,10.19,203479
18-Aug-14,10.24,10.29,10.05,10.07,215991
15-Aug-14,10.11,10.28,10.02,10.16,320702
14-Aug-14,9.93,10.16,9.70,10.00,208802
13-Aug-14,9.70,9.96,9.68,9.95,196269
12-Aug-14,9.55,9.69,9.50,9.66,182826
11-Aug-14,9.34,9.68,9.24,9.63,177273
8-Aug-14,9.42,9.42,9.14,9.31,195438
7-Aug-14,9.35,9.51,9.25,9.37,289192
6-Aug-14,9.02,9.50,9.01,9.38,178898
5-Aug-14,8.80,9.16,8.80,9.10,321965
4-Aug-14,8.82,8.85,8.70,8.81,118474
1-Aug-14,8.72,8.87,8.59,8.78,171870
31-Jul-14,8.73,8.93,8.58,8.67,324643
30-Jul-14,8.84,8.96,8.79,8.87,152913
29-Jul-14,8.86,8.98,8.73,8.74,187948
28-Jul-14,8.90,9.08,8.70,8.86,178749
25-Jul-14,9.06,9.06,8.86,8.88,192970
24-Jul-14,9.14,9.36,9.12,9.17,194592
23-Jul-14,9.20,9.27,8.94,9.12,305919
22-Jul-14,9.05,9.44,8.74,9.20,872559
21-Jul-14,8.66,9.19,8.63,9.16,583312
18-Jul-14,8.65,8.80,8.60,8.68,284673
17-Jul-14,8.90,9.11,8.66,8.68,262427
16-Jul-14,9.11,9.16,8.90,8.97,194602
15-Jul-14,9.22,9.22,9.01,9.07,248885
14-Jul-14,9.28,9.28,9.14,9.20,267783
11-Jul-14,9.08,9.30,8.94,9.20,166346
10-Jul-14,8.96,9.24,8.80,9.13,229847
9-Jul-14,9.10,9.29,8.95,9.21,406025
8-Jul-14,9.22,9.35,8.84,9.06,253665
7-Jul-14,9.33,9.35,9.02,9.26,272061
3-Jul-14,9.34,9.38,9.17,9.32,352875
2-Jul-14,9.30,9.37,9.16,9.29,258160
1-Jul-14,9.08,9.48,9.07,9.30,438365
30-Jun-14,8.69,9.08,8.69,9.05,280342
27-Jun-14,8.58,8.80,8.46,8.69,985087
26-Jun-14,8.81,8.82,8.57,8.66,184299
25-Jun-14,8.79,8.89,8.69,8.81,200813
24-Jun-14,8.88,9.08,8.78,8.81,212035
23-Jun-14,9.06,9.06,8.80,8.93,261219
20-Jun-14,9.12,9.19,8.96,9.05,287844
19-Jun-14,9.27,9.36,8.93,9.05,172678
18-Jun-14,9.25,9.40,9.04,9.26,277138
17-Jun-14,9.18,9.40,9.10,9.23,288912
16-Jun-14,8.88,9.23,8.88,9.14,594304
13-Jun-14,8.81,8.94,8.76,8.88,221031
12-Jun-14,8.79,8.93,8.51,8.78,336251
11-Jun-14,8.62,8.84,8.56,8.78,126098
10-Jun-14,8.89,8.95,8.62,8.65,172406
9-Jun-14,8.78,9.11,8.77,8.93,318521
6-Jun-14,8.60,9.04,8.59,8.78,406837
5-Jun-14,8.42,8.62,8.16,8.59,337964
4-Jun-14,8.12,8.35,8.10,8.26,252320
3-Jun-14,8.32,8.32,8.08,8.13,189421
2-Jun-14,8.30,8.37,8.05,8.33,267361
30-May-14,8.61,8.73,8.16,8.28,342226
29-May-14,8.70,8.86,8.51,8.59,265472
28-May-14,8.71,8.73,8.46,8.71,194998
27-May-14,8.33,8.78,8.26,8.69,269285
23-May-14,8.32,8.36,8.16,8.25,153086
22-May-14,8.19,8.41,7.97,8.30,167326
21-May-14,8.03,8.13,7.79,8.13,148405
20-May-14,8.17,8.51,7.85,8.01,264974
19-May-14,7.80,8.21,7.75,8.20,254462
16-May-14,7.81,7.87,7.62,7.87,197437
15-May-14,8.02,8.02,7.70,7.81,264180
14-May-14,8.06,8.08,7.90,8.04,220113
13-May-14,8.37,8.37,7.98,8.05,359940
12-May-14,8.21,8.48,8.14,8.36,345300
9-May-14,7.97,8.22,7.97,8.19,286295
8-May-14,8.13,8.36,7.92,8.01,249529
7-May-14,8.26,8.29,7.83,8.14,605933
6-May-14,8.41,8.48,8.18,8.20,490549
5-May-14,8.33,8.63,8.33,8.43,343992
2-May-14,8.61,8.70,8.32,8.38,690421
1-May-14,8.49,8.90,8.24,8.60,831865
30-Apr-14,8.75,8.97,8.51,8.52,1313557
29-Apr-14,9.12,9.88,8.55,8.73,3072800
28-Apr-14,11.59,12.19,11.36,11.81,1099711
25-Apr-14,11.66,11.67,11.22,11.58,569930
24-Apr-14,11.50,11.81,10.96,11.77,568990
23-Apr-14,11.55,11.60,11.34,11.41,320746
22-Apr-14,11.46,11.67,11.27,11.62,321994
21-Apr-14,11.02,11.35,10.77,11.33,496684
17-Apr-14,10.92,11.04,10.77,11.00,334196
16-Apr-14,11.10,11.13,10.67,10.96,325281
15-Apr-14,11.02,11.30,10.52,11.03,526161
14-Apr-14,11.51,11.67,10.82,11.00,691291
11-Apr-14,11.67,11.98,11.39,11.49,418835
10-Apr-14,12.55,12.55,11.67,11.80,463328
9-Apr-14,12.55,12.74,12.37,12.50,296475
8-Apr-14,12.71,12.92,12.38,12.44,287970
7-Apr-14,13.78,13.89,12.59,12.71,571428
4-Apr-14,13.28,13.39,12.51,12.64,259178
3-Apr-14,13.38,13.48,13.02,13.16,240692
2-Apr-14,13.28,13.43,13.00,13.34,321872
1-Apr-14,13.21,13.28,12.95,13.20,335948
31-Mar-14,12.62,13.50,12.62,13.15,605972
28-Mar-14,12.70,12.98,12.26,12.47,488770
27-Mar-14,13.15,13.24,12.51,12.69,499055
26-Mar-14,14.18,14.22,13.07,13.13,498360
25-Mar-14,13.73,14.49,13.73,14.11,442534
24-Mar-14,14.25,14.26,13.36,13.60,725962
21-Mar-14,14.80,14.97,14.30,14.32,353371
20-Mar-14,14.61,14.95,14.52,14.79,246774
19-Mar-14,14.95,14.98,14.53,14.73,371764
18-Mar-14,14.75,15.00,14.75,14.90,490298
17-Mar-14,14.28,14.96,14.12,14.75,914219
14-Mar-14,14.33,14.67,13.98,14.13,426215
13-Mar-14,14.70,14.84,14.09,14.44,529434
12-Mar-14,14.26,14.71,14.14,14.60,332009
11-Mar-14,14.44,14.65,14.22,14.29,388642
10-Mar-14,14.40,14.49,14.21,14.36,328803
7-Mar-14,14.42,14.50,14.18,14.40,351904
