Date,Open,High,Low,Close,Volume
23-Oct-14,263.99,263.99,256.72,263.65,10686
22-Oct-14,264.25,264.25,259.74,259.74,14041
21-Oct-14,253.62,265.20,253.62,264.25,40058
20-Oct-14,250.85,253.15,247.55,252.87,19590
17-Oct-14,254.14,254.14,247.50,252.61,19002
16-Oct-14,238.11,250.74,238.11,248.90,21620
15-Oct-14,234.91,243.00,231.53,242.28,23198
14-Oct-14,238.20,244.39,238.00,242.00,19373
13-Oct-14,251.00,251.05,239.66,239.66,30018
10-Oct-14,250.85,255.12,249.31,250.73,52327
9-Oct-14,256.37,257.45,251.06,252.79,29968
8-Oct-14,257.74,259.41,255.54,258.05,19088
7-Oct-14,259.25,260.38,256.84,258.43,67002
6-Oct-14,258.98,262.02,258.78,260.93,21001
3-Oct-14,258.36,262.07,257.06,259.26,80783
2-Oct-14,258.30,259.94,253.81,257.83,29105
1-Oct-14,261.43,261.82,256.02,259.78,62976
30-Sep-14,265.37,265.37,259.87,261.89,39319
29-Sep-14,263.97,268.88,263.97,266.60,15687
26-Sep-14,266.66,267.65,264.00,266.04,16873
25-Sep-14,267.15,267.15,262.01,265.50,26918
24-Sep-14,264.01,268.93,264.01,268.41,29552
23-Sep-14,267.89,269.37,264.24,265.42,35073
22-Sep-14,270.50,270.63,267.37,268.16,23484
19-Sep-14,272.73,273.20,270.37,272.12,38278
18-Sep-14,268.51,271.84,268.30,270.95,33109
17-Sep-14,270.21,270.21,266.26,268.14,12842
16-Sep-14,264.99,267.84,264.00,267.45,19020
15-Sep-14,267.85,269.90,264.01,264.94,37109
12-Sep-14,271.20,271.57,266.90,267.25,17618
11-Sep-14,271.31,273.44,269.67,272.50,35650
10-Sep-14,270.26,275.74,268.13,271.20,27077
9-Sep-14,270.98,272.34,266.00,271.48,42729
8-Sep-14,273.46,274.60,268.58,270.90,22383
5-Sep-14,273.00,274.54,271.36,274.20,26334
4-Sep-14,278.16,280.35,271.66,273.94,35449
