Date,Open,High,Low,Close,Volume
23-Oct-14,23.44,23.65,23.44,23.65,691
22-Oct-14,24.39,24.39,23.34,24.25,4235
21-Oct-14,24.10,24.10,24.10,24.10,190
20-Oct-14,24.77,24.77,23.75,23.75,4121
17-Oct-14,24.68,24.68,23.50,23.60,2326
16-Oct-14,23.11,23.82,23.11,23.44,1382
15-Oct-14,24.13,24.13,23.00,23.00,3261
14-Oct-14,23.95,23.95,23.95,23.95,627
13-Oct-14,23.75,23.75,23.56,23.65,2060
10-Oct-14,23.59,23.60,23.50,23.55,1248
9-Oct-14,23.75,24.46,23.75,24.01,1152
8-Oct-14,24.04,24.04,23.75,23.75,455
7-Oct-14,23.50,23.86,23.50,23.72,3926
6-Oct-14,24.00,24.67,23.55,23.76,7294
3-Oct-14,23.91,24.90,23.91,24.00,7057
2-Oct-14,24.14,24.29,23.97,23.97,2188
1-Oct-14,24.44,24.44,23.98,24.39,411
30-Sep-14,24.94,24.94,23.97,23.97,7807
29-Sep-14,24.55,24.95,24.55,24.95,1978
26-Sep-14,24.50,24.55,24.50,24.55,868
25-Sep-14,24.54,24.54,24.51,24.52,1131
24-Sep-14,24.99,24.99,24.50,24.50,1310
23-Sep-14,24.55,24.65,24.50,24.65,1599
22-Sep-14,24.88,24.88,24.64,24.70,3277
19-Sep-14,24.80,24.80,24.51,24.80,5520
18-Sep-14,24.50,24.61,24.50,24.61,3508
17-Sep-14,24.61,24.71,24.61,24.65,3999
16-Sep-14,24.79,24.79,24.79,24.79,315
15-Sep-14,24.53,24.61,24.53,24.61,569
12-Sep-14,24.53,24.62,24.45,24.45,4881
11-Sep-14,24.27,24.66,24.20,24.43,4139
10-Sep-14,24.13,24.71,24.07,24.15,2490
9-Sep-14,23.96,24.80,23.96,24.80,374
8-Sep-14,24.65,24.82,23.96,24.11,1152
5-Sep-14,24.84,24.86,24.77,24.82,1400
4-Sep-14,24.93,24.93,24.55,24.68,701
3-Sep-14,24.94,24.94,24.94,24.94,140
2-Sep-14,24.72,24.99,24.72,24.99,3158
29-Aug-14,24.45,24.71,24.40,24.55,3820
28-Aug-14,24.40,24.48,24.40,24.46,707
27-Aug-14,24.33,24.50,24.32,24.50,501
26-Aug-14,24.99,24.99,24.30,24.30,953
25-Aug-14,24.64,24.65,24.61,24.65,1498
22-Aug-14,24.63,24.98,24.60,24.76,1830
21-Aug-14,24.99,24.99,24.78,24.78,581
20-Aug-14,24.68,24.80,24.60,24.80,1199
19-Aug-14,24.35,24.35,24.30,24.30,558
18-Aug-14,25.00,25.00,24.99,24.99,1116
15-Aug-14,24.90,24.90,24.37,24.37,368
14-Aug-14,24.92,24.92,24.92,24.92,474
13-Aug-14,24.99,24.99,24.31,24.31,1993
12-Aug-14,24.06,24.94,24.06,24.94,683
11-Aug-14,24.62,24.99,24.62,24.84,867
8-Aug-14,25.00,25.00,24.94,25.00,687
7-Aug-14,25.00,25.48,24.99,25.00,2386
6-Aug-14,24.74,24.74,24.34,24.72,1065
5-Aug-14,25.00,25.00,23.70,24.67,841
4-Aug-14,25.29,25.49,24.75,24.75,1035
1-Aug-14,24.51,24.99,23.55,24.79,3895
31-Jul-14,25.00,25.00,24.20,24.47,3682
30-Jul-14,25.16,25.16,25.00,25.00,759
29-Jul-14,25.32,25.32,25.18,25.18,748
28-Jul-14,25.25,25.50,25.25,25.35,2772
25-Jul-14,25.19,25.20,25.19,25.20,1483
24-Jul-14,25.19,25.19,25.10,25.14,500
23-Jul-14,25.11,25.19,25.03,25.19,651
22-Jul-14,25.55,25.68,25.10,25.10,2804
21-Jul-14,25.71,25.71,25.11,25.15,1683
18-Jul-14,25.00,25.31,25.00,25.30,2627
17-Jul-14,25.08,25.70,25.08,25.64,4542
16-Jul-14,25.20,25.40,25.00,25.39,1709
15-Jul-14,25.01,25.75,25.01,25.60,4525
14-Jul-14,25.75,25.75,25.54,25.59,1806
11-Jul-14,25.84,25.84,25.71,25.71,532
10-Jul-14,25.13,25.60,25.13,25.59,1018
9-Jul-14,25.88,25.88,25.18,25.18,550
8-Jul-14,24.97,25.69,24.97,25.01,1114
7-Jul-14,25.00,25.89,24.75,25.88,6663
3-Jul-14,24.74,24.94,24.33,24.70,1591
2-Jul-14,24.28,24.92,24.28,24.72,3335
1-Jul-14,24.77,24.99,24.29,24.29,439
30-Jun-14,24.25,24.89,24.25,24.89,768
27-Jun-14,24.36,25.00,24.36,24.90,1556
26-Jun-14,24.96,25.11,24.26,24.97,6713
25-Jun-14,24.45,25.20,24.45,24.97,5091
24-Jun-14,25.20,25.20,24.41,24.74,442
23-Jun-14,25.45,25.45,24.45,24.60,905
20-Jun-14,24.65,24.65,24.40,24.40,2382
19-Jun-14,24.50,24.75,24.35,24.35,1075
18-Jun-14,24.38,24.50,24.08,24.20,4958
17-Jun-14,24.10,24.17,24.10,24.11,1132
16-Jun-14,24.10,24.10,24.03,24.10,1307
13-Jun-14,24.00,24.19,24.00,24.10,673
11-Jun-14,24.29,24.29,24.00,24.00,2452
10-Jun-14,23.80,24.37,23.80,24.27,1621
9-Jun-14,24.04,24.10,23.89,24.09,4076
6-Jun-14,23.55,24.01,23.55,23.85,3027
5-Jun-14,24.33,24.33,23.56,23.56,4495
4-Jun-14,23.64,24.10,23.54,23.90,3520
3-Jun-14,24.23,24.25,23.47,23.54,5365
2-Jun-14,23.62,24.11,23.62,24.11,390
30-May-14,23.72,24.25,23.63,23.65,3550
29-May-14,23.55,23.75,23.55,23.59,2119
28-May-14,23.59,23.59,23.59,23.59,170
27-May-14,23.50,23.50,23.50,23.50,1316
23-May-14,23.75,23.75,23.51,23.51,1101
22-May-14,23.75,23.75,23.70,23.75,1284
21-May-14,23.75,23.75,23.70,23.70,519
20-May-14,23.46,23.75,23.45,23.70,1130
19-May-14,23.70,23.70,23.70,23.70,205
16-May-14,23.75,23.75,23.75,23.75,500
15-May-14,23.60,23.75,23.60,23.62,3487
14-May-14,23.50,23.73,23.50,23.60,1873
12-May-14,23.70,23.74,23.46,23.59,3016
9-May-14,24.00,24.22,23.45,23.46,4471
8-May-14,24.42,24.42,23.48,23.94,1962
7-May-14,23.48,24.00,23.48,23.71,8612
6-May-14,24.01,24.01,23.25,23.51,1810
5-May-14,23.49,24.22,23.49,24.16,1060
2-May-14,23.20,23.70,23.20,23.70,660
1-May-14,23.08,23.64,23.08,23.20,1095
30-Apr-14,24.00,24.00,23.34,23.65,1659
28-Apr-14,23.98,24.07,23.50,23.70,2273
24-Apr-14,24.00,24.24,24.00,24.24,1137
23-Apr-14,23.80,24.18,23.80,23.80,5354
22-Apr-14,23.95,24.24,23.75,24.24,6121
21-Apr-14,23.61,23.96,23.61,23.81,3551
17-Apr-14,23.75,23.89,23.56,23.58,5724
16-Apr-14,23.53,23.75,23.50,23.50,1867
15-Apr-14,23.25,23.94,23.25,23.25,3213
14-Apr-14,23.26,23.26,23.26,23.26,100
11-Apr-14,23.25,23.59,23.25,23.51,2246
10-Apr-14,23.24,23.91,23.24,23.91,970
8-Apr-14,23.10,23.10,23.10,23.10,410
7-Apr-14,23.03,23.45,23.03,23.16,994
4-Apr-14,23.31,23.48,23.00,23.42,2611
3-Apr-14,22.95,23.31,22.46,23.30,4052
2-Apr-14,23.10,23.10,22.93,22.93,200
1-Apr-14,22.94,23.69,22.45,23.69,3636
31-Mar-14,23.62,23.74,22.80,22.91,5211
28-Mar-14,23.94,23.95,23.70,23.70,1862
27-Mar-14,24.48,24.48,23.32,23.54,2057
26-Mar-14,23.55,23.55,23.50,23.50,1592
25-Mar-14,24.00,24.40,23.99,23.99,1354
24-Mar-14,24.50,24.50,23.98,24.00,4162
21-Mar-14,24.00,24.44,24.00,24.25,1550
20-Mar-14,24.41,24.50,23.71,24.04,4282
19-Mar-14,23.50,24.00,23.50,23.81,2760
18-Mar-14,23.38,24.15,23.38,24.00,1220
14-Mar-14,23.50,24.50,23.50,24.00,1100
13-Mar-14,23.95,23.95,23.32,23.36,1002
12-Mar-14,23.97,23.97,23.04,23.42,2698
11-Mar-14,23.12,23.24,23.12,23.24,342
10-Mar-14,23.75,24.45,23.75,24.45,2140
7-Mar-14,23.46,23.55,23.46,23.55,2372
6-Mar-14,23.48,23.48,23.48,23.48,400
5-Mar-14,23.00,23.20,23.00,23.20,873
4-Mar-14,23.50,23.50,23.18,23.22,1430
3-Mar-14,23.20,23.20,23.20,23.20,1153
27-Feb-14,22.76,23.49,22.75,23.44,3511
26-Feb-14,22.78,23.25,22.74,22.78,1018
25-Feb-14,23.05,23.49,23.00,23.18,1812
24-Feb-14,23.14,23.14,23.14,23.14,451
21-Feb-14,22.63,22.63,22.63,22.63,134
20-Feb-14,23.30,23.44,22.81,23.10,1439
19-Feb-14,23.39,23.41,22.54,23.41,735
18-Feb-14,22.74,23.44,22.54,22.68,1529
14-Feb-14,23.44,23.44,22.51,22.85,1442
13-Feb-14,22.61,22.98,22.61,22.90,2807
12-Feb-14,22.99,22.99,22.99,22.99,317
11-Feb-14,23.40,23.49,22.70,23.20,1859
7-Feb-14,23.40,23.50,22.78,23.45,4663
6-Feb-14,23.49,23.49,23.45,23.46,868
5-Feb-14,22.30,23.50,22.30,22.31,1086
3-Feb-14,22.50,23.50,22.12,22.12,2885
31-Jan-14,22.20,22.34,22.00,22.15,7292
30-Jan-14,22.41,22.50,22.34,22.34,1280
29-Jan-14,22.55,22.55,21.84,22.50,4082
28-Jan-14,22.83,22.99,22.55,22.88,8727
27-Jan-14,24.10,24.24,22.84,23.45,2816
24-Jan-14,24.34,24.34,22.77,23.80,547
23-Jan-14,24.50,24.50,23.89,24.10,5683
22-Jan-14,24.64,24.80,24.64,24.75,3376
21-Jan-14,24.78,24.85,24.60,24.75,7542
17-Jan-14,24.88,25.00,24.60,24.60,1800
16-Jan-14,25.08,25.20,24.50,24.65,5656
15-Jan-14,24.60,25.11,24.34,24.57,6198
14-Jan-14,24.90,24.98,23.58,23.58,7803
13-Jan-14,23.35,23.86,23.25,23.35,5600
10-Jan-14,23.23,23.23,23.20,23.20,810
9-Jan-14,23.25,23.25,22.75,23.25,2290
8-Jan-14,23.24,23.25,23.13,23.13,400
7-Jan-14,22.61,23.20,22.61,22.81,2484
6-Jan-14,23.03,23.35,22.60,22.95,4648
3-Jan-14,22.94,25.99,22.94,22.99,6456
2-Jan-14,22.25,23.55,22.25,23.00,10578
30-Dec-13,22.12,23.00,22.01,23.00,3991
27-Dec-13,21.93,22.56,21.92,22.01,1180
26-Dec-13,22.50,22.50,22.19,22.20,1179
24-Dec-13,22.04,22.20,21.91,22.08,4193
23-Dec-13,22.58,22.58,21.87,22.35,6430
20-Dec-13,22.00,22.30,21.80,21.80,10355
19-Dec-13,21.98,21.99,21.80,21.80,969
18-Dec-13,21.87,22.00,21.75,22.00,4721
17-Dec-13,21.70,21.99,21.70,21.80,3293
16-Dec-13,21.97,21.98,21.66,21.89,1516
13-Dec-13,21.93,21.93,21.61,21.61,1051
12-Dec-13,21.98,21.98,21.56,21.78,2053
11-Dec-13,21.96,21.96,21.50,21.51,2693
10-Dec-13,21.83,21.95,21.75,21.95,2683
9-Dec-13,21.75,21.75,21.75,21.75,474
6-Dec-13,21.80,21.80,21.65,21.75,900
5-Dec-13,21.50,21.76,21.50,21.60,1558
4-Dec-13,21.52,21.78,21.50,21.65,2085
3-Dec-13,21.59,21.68,21.56,21.58,2799
2-Dec-13,21.45,21.70,21.45,21.65,2199
26-Nov-13,21.38,21.46,21.38,21.46,600
25-Nov-13,21.38,21.83,21.38,21.83,200
22-Nov-13,21.78,21.78,21.25,21.46,2251
21-Nov-13,21.83,21.85,21.83,21.85,400
20-Nov-13,21.39,21.92,21.39,21.92,300
19-Nov-13,21.37,21.54,21.36,21.50,1916
18-Nov-13,21.44,21.65,21.35,21.35,1039
15-Nov-13,21.43,21.48,21.27,21.46,1908
14-Nov-13,21.89,21.89,21.48,21.50,1325
13-Nov-13,21.80,22.00,21.26,21.99,2890
12-Nov-13,21.61,21.70,21.56,21.70,869
11-Nov-13,21.55,21.55,21.50,21.50,401
8-Nov-13,21.95,22.02,21.60,21.60,1600
7-Nov-13,22.02,22.02,21.50,21.95,1828
6-Nov-13,21.62,21.62,21.61,21.61,200
5-Nov-13,21.96,21.96,21.65,21.65,387
4-Nov-13,21.30,21.99,21.30,21.96,1100
1-Nov-13,21.35,21.35,21.25,21.25,4615
31-Oct-13,21.49,21.70,21.43,21.67,1050
30-Oct-13,21.70,21.70,21.50,21.50,1300
29-Oct-13,21.60,21.67,21.60,21.67,2100
28-Oct-13,21.90,21.90,21.59,21.59,3200
25-Oct-13,21.90,21.90,21.90,21.90,200
24-Oct-13,21.53,21.93,21.53,21.93,1115
23-Oct-13,22.21,22.21,21.66,21.94,3875
22-Oct-13,21.74,22.50,21.70,22.00,8150
21-Oct-13,21.50,21.75,21.50,21.66,5007
18-Oct-13,21.46,21.49,21.31,21.49,2100
17-Oct-13,21.30,21.49,21.30,21.41,4082
16-Oct-13,21.35,21.49,21.09,21.25,3890
15-Oct-13,21.42,21.50,21.20,21.20,2837
14-Oct-13,21.31,21.47,21.24,21.43,725
11-Oct-13,21.11,21.42,21.11,21.32,800
10-Oct-13,21.06,21.11,21.06,21.10,400
9-Oct-13,21.25,21.36,21.25,21.30,1346
8-Oct-13,21.23,21.25,21.20,21.20,3730
7-Oct-13,21.17,21.17,21.03,21.04,1844
4-Oct-13,21.26,21.27,21.12,21.12,600
3-Oct-13,21.03,21.10,21.03,21.10,646
2-Oct-13,21.15,21.27,21.03,21.12,1124
1-Oct-13,21.28,21.28,21.20,21.20,1079
30-Sep-13,21.08,21.31,21.06,21.07,1955
27-Sep-13,21.12,21.25,21.12,21.14,500
26-Sep-13,21.27,21.27,21.27,21.27,300
25-Sep-13,21.03,21.30,21.03,21.30,900
24-Sep-13,21.29,21.29,21.03,21.09,1802
23-Sep-13,21.09,21.28,21.09,21.21,511
20-Sep-13,21.02,21.42,21.01,21.16,5992
19-Sep-13,21.23,21.35,21.23,21.25,3177
18-Sep-13,21.00,21.23,21.00,21.23,1226
17-Sep-13,21.47,21.47,21.07,21.07,300
16-Sep-13,21.60,21.67,20.88,21.46,750
13-Sep-13,21.01,21.20,21.00,21.20,3660
12-Sep-13,21.00,21.44,21.00,21.10,1710
11-Sep-13,21.69,21.69,21.03,21.06,3590
10-Sep-13,21.05,21.35,21.01,21.35,3000
9-Sep-13,21.01,21.01,21.01,21.01,200
6-Sep-13,21.01,21.01,21.00,21.00,800
5-Sep-13,21.20,21.45,20.99,20.99,1013
4-Sep-13,21.01,21.48,21.01,21.44,500
3-Sep-13,21.00,21.00,21.00,21.00,100
30-Aug-13,21.10,21.10,20.83,21.10,500
29-Aug-13,21.00,21.35,21.00,21.35,5634
28-Aug-13,21.00,21.18,21.00,21.18,700
26-Aug-13,21.00,21.30,20.73,21.30,2451
23-Aug-13,20.97,20.99,20.97,20.99,1300
22-Aug-13,21.48,21.48,20.75,20.80,570
21-Aug-13,21.00,21.00,21.00,21.00,100
