Date,Open,High,Low,Close,Volume
23-Oct-14,30.05,30.92,30.04,30.70,1497696
22-Oct-14,30.33,30.96,30.03,30.06,3028664
21-Oct-14,30.23,30.39,30.00,30.24,4816813
20-Oct-14,29.55,30.57,29.55,30.19,4056020
17-Oct-14,29.82,30.45,29.11,29.62,16249582
16-Oct-14,33.85,34.68,33.76,34.56,3447742
15-Oct-14,34.11,34.87,33.70,34.69,3238761
14-Oct-14,34.74,35.21,34.52,34.66,2182285
13-Oct-14,35.10,35.44,34.60,34.62,2574057
10-Oct-14,35.57,35.88,34.92,34.94,2218431
9-Oct-14,36.02,36.38,35.61,35.71,2391076
8-Oct-14,35.87,36.35,35.70,36.25,2012798
7-Oct-14,35.84,36.11,35.64,35.77,1834198
6-Oct-14,36.58,36.60,35.83,36.08,2177341
3-Oct-14,36.50,36.92,36.19,36.45,2144081
2-Oct-14,36.05,36.32,35.50,36.24,2027723
1-Oct-14,36.61,36.71,35.91,36.14,1471928
30-Sep-14,37.00,37.00,36.49,36.70,1532603
29-Sep-14,37.13,37.31,36.81,36.96,1549404
26-Sep-14,37.66,37.81,37.34,37.46,1126657
25-Sep-14,37.90,38.35,37.21,37.52,1221615
24-Sep-14,37.28,38.22,37.28,38.13,2604164
23-Sep-14,37.05,37.71,36.94,37.31,2087923
22-Sep-14,37.90,37.98,37.18,37.26,1689369
19-Sep-14,38.82,38.90,37.87,38.02,2646709
18-Sep-14,38.09,38.54,37.86,38.46,1335290
17-Sep-14,38.76,38.76,37.92,38.02,2083319
16-Sep-14,38.38,38.93,38.24,38.62,1083171
15-Sep-14,38.69,38.86,38.38,38.43,876719
12-Sep-14,38.86,38.86,38.46,38.82,1107080
11-Sep-14,38.60,39.06,38.40,38.82,1710669
10-Sep-14,38.20,38.95,37.99,38.66,3231012
9-Sep-14,39.08,39.19,38.73,38.89,1633810
8-Sep-14,39.25,39.49,38.77,39.07,1555569
5-Sep-14,39.69,39.97,39.13,39.37,2069880
4-Sep-14,39.76,40.31,39.67,40.10,1824437
3-Sep-14,39.90,40.09,39.56,39.62,1380741
2-Sep-14,39.85,40.20,39.42,39.79,1837592
29-Aug-14,39.90,40.05,39.59,39.79,2234546
28-Aug-14,39.94,40.19,39.36,39.77,2291530
27-Aug-14,40.50,40.67,40.18,40.26,1794673
26-Aug-14,40.21,40.47,39.77,40.24,1788044
25-Aug-14,39.85,40.32,39.66,40.19,2016467
22-Aug-14,39.11,39.84,39.11,39.80,1911943
21-Aug-14,39.02,39.36,38.94,39.27,1528699
20-Aug-14,38.44,39.20,38.44,39.15,3904817
19-Aug-14,37.80,38.79,37.24,38.59,5480880
18-Aug-14,36.46,37.03,36.11,36.92,3601142
15-Aug-14,36.37,36.42,35.61,36.05,1865864
14-Aug-14,36.48,36.50,36.01,36.34,1397887
13-Aug-14,36.92,36.92,35.98,36.36,2351099
12-Aug-14,36.88,37.14,36.54,36.76,1143720
11-Aug-14,37.18,37.43,36.74,36.78,1812484
8-Aug-14,36.59,37.31,36.45,37.17,2716906
7-Aug-14,36.53,37.09,36.28,36.34,1933462
6-Aug-14,35.99,37.21,35.85,36.93,2716315
5-Aug-14,35.72,36.14,35.49,36.05,3081567
4-Aug-14,35.64,36.09,35.48,36.01,1878132
1-Aug-14,35.69,35.86,35.21,35.60,1550267
31-Jul-14,35.74,35.99,35.52,35.73,2196993
