Date,Open,High,Low,Close,Volume
23-Oct-14,2.88,2.88,2.80,2.83,43654
22-Oct-14,2.90,2.90,2.85,2.89,6156
21-Oct-14,2.96,2.96,2.75,2.85,10525
20-Oct-14,2.91,2.95,2.81,2.94,20807
17-Oct-14,2.96,2.96,2.77,2.93,16609
16-Oct-14,2.77,2.90,2.77,2.90,23251
15-Oct-14,2.72,2.79,2.70,2.79,7374
14-Oct-14,2.75,2.76,2.71,2.73,7531
13-Oct-14,2.70,2.74,2.65,2.72,24688
10-Oct-14,2.65,2.80,2.64,2.71,33963
9-Oct-14,2.70,2.73,2.57,2.71,176063
8-Oct-14,2.68,2.76,2.66,2.75,8973
7-Oct-14,2.76,2.80,2.68,2.70,20920
6-Oct-14,2.81,2.87,2.73,2.77,37096
3-Oct-14,2.85,2.89,2.84,2.84,18422
2-Oct-14,2.86,2.89,2.82,2.84,25466
1-Oct-14,3.03,3.04,2.87,2.89,65667
30-Sep-14,2.92,3.07,2.90,3.05,24437
29-Sep-14,2.86,3.04,2.86,2.96,54370
26-Sep-14,2.85,2.98,2.81,2.92,112981
25-Sep-14,2.99,3.10,2.84,2.84,241950
24-Sep-14,3.03,3.13,2.99,3.03,120984
23-Sep-14,3.05,3.18,3.01,3.06,218838
22-Sep-14,3.26,3.26,3.09,3.09,145875
19-Sep-14,3.34,3.34,3.11,3.25,258883
18-Sep-14,3.22,3.35,3.22,3.32,13782
17-Sep-14,3.30,3.38,3.22,3.23,141422
16-Sep-14,3.37,3.41,3.20,3.23,129906
15-Sep-14,3.46,3.50,3.33,3.42,152250
12-Sep-14,3.49,3.54,3.33,3.43,179895
11-Sep-14,3.49,3.53,3.41,3.52,197469
10-Sep-14,3.52,3.57,3.45,3.50,182518
9-Sep-14,3.45,3.58,3.42,3.49,405247
8-Sep-14,3.50,3.50,3.38,3.44,227014
5-Sep-14,3.19,3.45,3.18,3.44,880821
4-Sep-14,3.03,3.20,3.01,3.20,96263
3-Sep-14,3.05,3.09,3.01,3.06,84575
2-Sep-14,3.12,3.14,3.02,3.07,119057
29-Aug-14,3.00,3.09,2.92,3.09,84303
28-Aug-14,2.93,3.01,2.88,3.00,103770
27-Aug-14,3.04,3.04,2.96,2.99,42658
26-Aug-14,2.96,3.02,2.96,2.96,53788
25-Aug-14,2.98,3.04,2.87,2.96,95776
22-Aug-14,2.84,3.02,2.84,2.98,87479
21-Aug-14,2.83,2.90,2.83,2.87,178744
20-Aug-14,2.83,2.90,2.83,2.85,269406
19-Aug-14,2.84,2.90,2.84,2.87,63707
18-Aug-14,2.75,2.96,2.75,2.91,87773
15-Aug-14,2.70,2.80,2.70,2.78,20326
14-Aug-14,2.85,2.90,2.76,2.85,41741
13-Aug-14,2.85,2.88,2.80,2.81,19887
12-Aug-14,2.85,2.91,2.81,2.84,32798
11-Aug-14,2.80,2.89,2.80,2.85,62226
8-Aug-14,2.87,2.89,2.78,2.82,31568
7-Aug-14,2.97,2.99,2.81,2.89,16116
6-Aug-14,2.81,2.95,2.73,2.86,85386
5-Aug-14,2.81,2.98,2.81,2.85,67222
4-Aug-14,2.96,2.96,2.87,2.88,9519
1-Aug-14,2.99,3.00,2.85,2.93,20292
31-Jul-14,2.93,3.00,2.93,2.99,7804
30-Jul-14,2.91,3.00,2.91,2.98,21265
29-Jul-14,2.92,2.98,2.92,2.98,9935
28-Jul-14,2.96,2.98,2.92,2.98,12207
25-Jul-14,2.92,2.96,2.92,2.96,24374
24-Jul-14,2.94,2.94,2.85,2.92,15894
23-Jul-14,2.89,2.95,2.89,2.94,37755
22-Jul-14,2.94,2.94,2.88,2.91,22552
21-Jul-14,2.91,2.93,2.83,2.93,84192
18-Jul-14,2.82,2.91,2.82,2.89,3105
17-Jul-14,2.85,2.91,2.84,2.85,42750
16-Jul-14,2.82,2.92,2.82,2.89,8376
15-Jul-14,2.89,2.91,2.81,2.89,9077
14-Jul-14,2.83,2.92,2.83,2.88,3176
11-Jul-14,2.85,2.93,2.81,2.84,15066
10-Jul-14,2.83,2.90,2.82,2.87,20719
9-Jul-14,2.87,2.90,2.84,2.86,23356
8-Jul-14,2.86,2.91,2.81,2.91,59996
7-Jul-14,2.91,2.93,2.86,2.91,23264
3-Jul-14,2.92,2.94,2.87,2.92,54186
2-Jul-14,2.94,3.06,2.89,2.93,121433
1-Jul-14,2.92,2.95,2.89,2.91,49974
30-Jun-14,2.88,2.97,2.87,2.93,52586
27-Jun-14,2.87,2.93,2.79,2.93,77615
26-Jun-14,2.82,2.87,2.82,2.87,31947
25-Jun-14,2.84,2.86,2.80,2.84,18947
24-Jun-14,2.84,2.84,2.80,2.83,23930
23-Jun-14,2.80,2.82,2.80,2.82,12349
20-Jun-14,2.80,2.82,2.78,2.80,17550
19-Jun-14,2.77,2.82,2.74,2.82,18767
18-Jun-14,2.76,2.82,2.75,2.79,16116
17-Jun-14,2.71,2.77,2.71,2.76,12690
16-Jun-14,2.68,2.88,2.68,2.74,33367
13-Jun-14,2.64,2.70,2.61,2.66,24873
12-Jun-14,2.64,2.69,2.62,2.64,13735
11-Jun-14,2.65,2.68,2.60,2.62,14204
10-Jun-14,2.67,2.69,2.67,2.69,12631
9-Jun-14,2.71,2.71,2.58,2.64,19864
6-Jun-14,2.64,2.75,2.58,2.75,77391
5-Jun-14,2.60,2.67,2.58,2.67,86307
4-Jun-14,2.62,2.64,2.62,2.62,5334
3-Jun-14,2.54,2.66,2.54,2.59,49236
2-Jun-14,2.59,2.64,2.55,2.59,61093
30-May-14,2.59,2.66,2.59,2.59,29062
29-May-14,2.60,2.63,2.57,2.62,28313
28-May-14,2.58,2.62,2.54,2.61,36205
27-May-14,2.61,2.67,2.57,2.61,76208
23-May-14,2.45,2.66,2.45,2.64,136882
22-May-14,2.66,2.70,2.56,2.70,72251
21-May-14,2.50,2.60,2.50,2.50,27157
20-May-14,2.54,2.58,2.42,2.42,33158
19-May-14,2.49,2.60,2.46,2.59,132635
16-May-14,2.53,2.58,2.46,2.57,97266
